PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19030901 19030930     0.0
19031001 19031031     0.0
19031101 19031130    31.8
19031201 19031231   117.3
19040101 19040131   156.7
19040201 19040229   304.8
19040301 19040331    79.8
19040401 19040430    15.2
19040501 19040531    78.7
19040601 19040630     0.0
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031    41.9
19041101 19041130     0.0
19041201 19041231    31.7
19050101 19050131    36.6
19050201 19050228     2.8
19050301 19050331     5.1
19050401 19050430     0.0
19050501 19050531     1.8
19050601 19050630    28.4
19050701 19050731     0.0
19050801 19050831     0.0
19050901 19050930     1.5
19051001 19051031     5.8
19051101 19051130    11.4
19051201 19051231     2.5
19060101 19060131    15.2
19060201 19060228   121.2
19060301 19060331     7.6
19060401 19060430     2.5
19060501 19060531     0.0
19060601 19060630     0.0
19060701 19060731     0.0
19060801 19060831     0.0
19060901 19060930    18.1
19061001 19061031   113.8
19061101 19061130     4.3
19061201 19061231   130.1
19070101 19070131   155.0
19070201 19070228   101.2
19070301 19070331     0.0
19070401 19070430     2.3
19070501 19070531     2.0
19070601 19070630     9.4
19070701 19070731    15.2
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    11.4
19071101 19071130    12.7
19071201 19071231   217.2
19080101 19080131    69.3
19080201 19080229    29.5
19080301 19080331    11.7
19080401 19080430    34.8
19080501 19080531     0.0
19080601 19080630     0.0
19080701 19080731     0.0
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031    14.0
19081101 19081130     0.0
19081201 19081231    26.7
19090101 19090131   114.5
19090201 19090228    16.8
19090301 19090331    43.2
19090401 19090430    43.6
19090501 19090531    14.5
19090601 19090630     4.8
19090701 19090731     0.0
19090801 19090831    17.5
19090901 19090930     0.0
19091001 19091031     4.3
19091101 19091130     5.8
19091201 19091231     7.6
19100101 19100131    21.0
19100201 19100228    84.6
19100301 19100331   168.9
19100401 19100430    14.0
19100501 19100531     0.0
19100601 19100630    44.9
19100701 19100731     3.0
19100801 19100831     0.0
19100901 19100930     2.0
19101001 19101031     2.5
19101101 19101130    59.5
19101201 19101231    46.2
19110101 19110131     3.8
19110201 19110228    12.7
19110301 19110331    25.9
19110401 19110430    29.7
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     1.5
19110801 19110831     0.0
19110901 19110930    45.8
19111001 19111031    10.2
19111101 19111130    39.4
19111201 19111231    74.9
19120101 19120131    55.4
19120201 19120229    61.2
19120301 19120331     0.0
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    59.6
19120701 19120731    36.5
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     4.1
19121101 19121130    19.5
19121201 19121231    20.4
19130101 19130131    28.7
19130201 19130228   115.1
