PRCP       015086 18890101 20171130 missing_value=99999.9 NEWCASTLE WATERS                          
18890101 18890131   218.9
18890201 18890228   141.7
18890301 18890331    15.8
18890401 18890430    32.0
18890501 18890531    22.9
18890601 18890630     6.9
18890701 18890731     0.0
18890801 18890831     0.0
18890901 18890930    39.4
18891001 18891031     6.1
18891101 18891130    30.1
18891201 18891231    30.5
18900101 18900131   160.5
18900201 18900228   142.5
18900301 18900331    34.7
18900401 18900430   140.0
18900501 18900531     0.3
18900601 18900630     0.0
18900701 18900731     0.0
18900801 18900831     1.8
18900901 18900930    60.7
18901001 18901031    40.0
18901101 18901130    32.8
18901201 18901231    50.3
18910101 18910131    62.6
18910201 18910228    97.5
18910301 18910331    37.8
18910401 18910430    55.4
18910501 18910531     0.0
18910601 18910630    11.9
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031    16.0
18911101 18911130     7.3
18911201 18911231    21.9
18920101 18920131     9.7
18920201 18920229    31.2
18920301 18920331   126.5
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     0.0
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     0.0
18921001 18921031     1.3
18921101 18921130     2.8
18921201 18921231    38.1
18930101 18930131    61.3
18930201 18930228    24.1
18930301 18930331     8.2
18930401 18930430     2.5
18930501 18930531    33.0
18930601 18930630     0.0
18930701 18930731     0.0
18930801 18930831    55.6
18930901 18930930     0.0
18931001 18931031    23.1
18931101 18931130    16.5
18931201 18931231    35.9
18940101 18940131    94.2
18940201 18940228   186.6
18940301 18940331    84.6
18940401 18940430     0.0
18940501 18940531     0.0
18940601 18940630     0.0
18940701 18940731     0.0
18940801 18940831     0.0
18940901 18940930     7.7
18941001 18941031    38.9
18941101 18941130    11.9
18941201 18941231    49.3
18950101 18950131   278.1
18950201 18950228   457.2
18950301 18950331    38.1
18950401 18950430    19.6
18950501 18950531     0.0
18950601 18950630     0.0
18950701 18950731     0.0
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031     6.4
18951101 18951130    84.1
18951201 18951231    20.3
18960101 18960131   112.0
18960201 18960229   174.2
18960301 18960331    59.2
18960401 18960430    43.4
18960501 18960531    33.3
18960601 18960630     0.0
18960701 18960731    13.7
18960801 18960831     0.0
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130    77.2
18961201 18961231   104.6
18970101 18970131    97.5
18970201 18970228   144.8
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630     0.0
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930     6.1
18971001 18971031    27.9
18971101 18971130     1.5
18971201 18971231    53.8
18980101 18980131    18.0
18980201 18980228    98.8
18980301 18980331    68.8
18980401 18980430     1.0
18980501 18980531     0.0
18980601 18980630     7.9
18980701 18980731     0.0
18980801 18980831     0.0
18980901 18980930    14.2
18981001 18981031     0.0
18981101 18981130     3.8
18981201 18981231    62.5
18990101 18990131   231.1
18990201 18990228    26.4
18990301 18990331   254.8
18990401 18990430    25.4
18990501 18990531     0.0
18990601 18990630     0.0
18990701 18990731     0.0
18990801 18990831     0.0
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130    17.3
18991201 18991231    43.7
19000101 19000131     6.4
19000201 19000228     1.8
19000301 19000331    53.1
19000401 19000430     0.0
19000501 19000531    15.5
19000601 19000630    12.7
19000701 19000731    32.3
19000801 19000831     0.0
19000901 19000930     0.0
19001001 19001031     0.0
19001101 19001130    35.6
19001201 19001231    13.0
19010101 19010131    17.0
19010201 19010228   171.7
19010301 19010331   343.2
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630     0.0
19010701 19010731     0.0
19010801 19010831     0.0
19010901 19010930     0.0
19011001 19011031     0.0
19011101 19011130     0.0
19011201 19011231    11.9
19020101 19020131    63.0
19020201 19020228   179.1
19020301 19020331    11.9
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     0.5
19021101 19021130    11.4
19021201 19021231    29.2
19030101 19030131   120.4
19030201 19030228    36.2
19030301 19030331   137.2
19030401 19030430    37.8
19030501 19030531     0.0
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     0.0
19031001 19031031     0.0
19031101 19031130    36.1
19031201 19031231   187.4
19040101 19040131   186.3
19040201 19040229   294.4
19040301 19040331    21.1
19040401 19040430    45.0
19040501 19040531    45.0
19040601 19040630     3.6
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031    45.7
19041101 19041130     5.1
19041201 19041231    64.0
19050101 19050131   104.1
19050201 19050228     6.4
19050301 19050331    58.4
19050401 19050430     0.0
19050501 19050531     0.0
19050601 19050630     6.9
19050701 19050731     0.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     0.0
19051101 19051130    48.4
19051201 19051231    45.8
19060101 19060131   154.5
19060201 19060228    17.8
19060301 19060331    12.7
19060401 19060430     0.0
19060501 19060531     0.0
19060601 19060630     0.0
19060701 19060731     0.0
19060801 19060831     0.0
19060901 19060930    33.0
19061001 19061031     0.0
19061101 19061130     0.0
19061201 19061231    87.6
19070101 19070131   135.8
19070201 19070228   170.9
19070301 19070331     0.0
19070401 19070430     0.0
19070501 19070531     0.0
19070601 19070630    10.2
19070701 19070731     0.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    15.3
19071101 19071130     0.0
19071201 19071231   186.6
19080101 19080131   139.7
19080201 19080229   133.9
19080301 19080331    67.4
19080401 19080430    20.3
19080501 19080531     0.0
