PRCP       015135 19690801 20180131 missing_value=99999.9 TENNANT CREEK AIRPORT                     
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    48.1
19691101 19691130     8.7
19691201 19691231    41.2
19700101 19700131    13.1
19700201 19700228    10.5
19700301 19700331    40.4
19700401 19700430    21.3
19700501 19700531     1.1
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    11.7
19701001 19701031     7.4
19701101 19701130    22.1
19701201 19701231    42.4
19710101 19710131     9.6
19710201 19710228     8.0
19710301 19710331    56.7
19710401 19710430    49.7
19710501 19710531     0.3
19710601 19710630     1.5
19710701 19710731    10.0
19710801 19710831     6.4
19710901 19710930     0.8
19711001 19711031    12.0
19711101 19711130    58.4
19711201 19711231   190.2
19720101 19720131     4.4
19720201 19720229    52.9
19720301 19720331   130.7
19720401 19720430     3.3
19720501 19720531     3.3
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    28.0
19721201 19721231     4.8
19730101 19730131    93.9
19730201 19730228   112.0
19730301 19730331    12.2
19730401 19730430     0.0
19730501 19730531     0.0
19730601 19730630    85.3
19730701 19730731     0.0
19730801 19730831     6.6
19730901 19730930    26.1
19731001 19731031    29.0
19731101 19731130    38.4
19731201 19731231   124.0
19740101 19740131   276.0
19740201 19740228   166.2
19740301 19740331    60.8
19740401 19740430     3.0
19740501 19740531    10.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    16.0
19740901 19740930     8.8
19741001 19741031    48.6
19741101 19741130   111.0
19741201 19741231    27.0
19750101 19750131    40.4
19750201 19750228   211.6
19750301 19750331    34.2
19750401 19750430     2.4
19750501 19750531     0.0
19750601 19750630     0.2
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    55.6
19751001 19751031    75.5
19751101 19751130    44.0
19751201 19751231    55.2
19760101 19760131    79.0
19760201 19760229   339.8
19760301 19760331    52.2
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    42.0
19761101 19761130    27.3
19761201 19761231    44.2
19770101 19770131   105.3
19770201 19770228   285.6
19770301 19770331   120.0
19770401 19770430     1.8
19770501 19770531    36.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    70.7
19771201 19771231   215.9
19780101 19780131   107.9
19780201 19780228    26.2
19780301 19780331    29.4
19780401 19780430     0.0
19780501 19780531    50.8
19780601 19780630    23.0
19780701 19780731    74.2
19780801 19780831     6.6
19780901 19780930     8.8
19781001 19781031    17.1
19781101 19781130    22.0
19781201 19781231    49.2
19790101 19790131   145.5
19790201 19790228    69.4
19790301 19790331    29.6
19790401 19790430     0.0
19790501 19790531    19.0
19790601 19790630    10.8
19790701 19790731     0.0
19790801 19790831     2.4
19790901 19790930    29.6
19791001 19791031     5.2
19791101 19791130     2.8
19791201 19791231     3.0
19800101 19800131   126.4
19800201 19800229    69.6
19800301 19800331     2.0
19800401 19800430    25.8
19800501 19800531     1.2
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    17.0
19801101 19801130     9.8
19801201 19801231    27.0
19810101 19810131   280.2
19810201 19810228    96.6
19810301 19810331     5.0
19810401 19810430     0.0
19810501 19810531     0.0
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     2.0
19810901 19810930    11.0
19811001 19811031     7.4
19811101 19811130    98.8
19811201 19811231     1.8
19820101 19820131   205.6
19820201 19820228   199.0
19820301 19820331   145.8
19820401 19820430     4.2
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    39.8
19821201 19821231    69.4
19830101 19830131    21.6
19830201 19830228    56.2
19830301 19830331   188.2
19830401 19830430    68.2
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.4
19830901 19830930     0.0
19831001 19831031    33.2
19831101 19831130     1.8
19831201 19831231    31.6
19840101 19840131   205.4
19840201 19840229    32.4
19840301 19840331   190.2
19840401 19840430    85.4
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    20.0
19840801 19840831     5.6
19840901 19840930    48.2
19841001 19841031    17.6
19841101 19841130     3.0
19841201 19841231    80.6
19850101 19850131     2.2
19850201 19850228    66.0
19850301 19850331    36.8
19850401 19850430     1.6
19850501 19850531     0.8
19850601 19850630    22.2
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    22.8
19851101 19851130    17.6
19851201 19851231   105.6
19860101 19860131    63.2
19860201 19860228     1.4
19860301 19860331     4.4
19860401 19860430     5.2
19860501 19860531    28.6
19860601 19860630     2.4
19860701 19860731    41.2
19860801 19860831     0.0
19860901 19860930     2.8
19861001 19861031    49.2
19861101 19861130     1.8
19861201 19861231    31.4
19870101 19870131   103.6
19870201 19870228   137.4
19870301 19870331     0.0
19870401 19870430     2.0
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     5.8
19871001 19871031     0.4
19871101 19871130    37.2
19871201 19871231    43.0
19880101 19880131    88.2
19880201 19880229    46.8
19880301 19880331    90.0
19880401 19880430    22.6
19880501 19880531     1.6
19880601 19880630     0.0
19880701 19880731     0.2
19880801 19880831     3.0
19880901 19880930     5.4
19881001 19881031     2.2
19881101 19881130    14.8
19881201 19881231    70.2
19890101 19890131    12.0
19890201 19890228     1.0
19890301 19890331   142.2
19890401 19890430    25.6
19890501 19890531     0.0
19890601 19890630     0.0
19890701 19890731     0.2
