PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
19520201 19520229    45.5
19520301 19520331     0.0
19520401 19520430    13.5
19520501 19520531    12.0
19520601 19520630     0.0
19520701 19520731     9.9
19520801 19520831     2.8
19520901 19520930     0.8
19521001 19521031    18.3
19521101 19521130    32.2
19521201 19521231    14.2
19530101 19530131   208.5
19530201 19530228    38.6
19530301 19530331    18.1
19530401 19530430    57.1
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731    15.0
19530801 19530831     1.3
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    24.4
19531201 19531231   127.4
19540101 19540131    30.2
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    34.8
19540501 19540531     0.0
19540601 19540630     0.3
19540701 19540731     0.0
19540801 19540831    77.7
19540901 19540930     0.0
19541001 19541031    47.4
19541101 19541130    27.4
19541201 19541231    32.7
19550101 19550131     0.8
19550201 19550228     0.0
19550301 19550331     3.0
19550401 19550430    69.3
19550501 19550531    11.4
19550601 19550630     0.0
19550701 19550731    77.8
19550801 19550831     6.1
19550901 19550930     0.0
19551001 19551031     6.4
19551101 19551130    20.9
19551201 19551231     0.0
19560101 19560131    16.7
19560201 19560229   180.4
19560301 19560331     0.0
19560401 19560430    41.7
19560501 19560531    30.0
19560601 19560630    35.1
19560701 19560731    40.9
19560801 19560831     0.0
19560901 19560930    16.6
19561001 19561031    40.2
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131     5.3
19570201 19570228     0.0
19570301 19570331     0.0
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630   117.4
19570701 19570731    24.7
19570801 19570831     0.0
19570901 19570930     1.3
19571001 19571031     0.0
19571101 19571130     6.9
19571201 19571231   109.3
19580101 19580131     4.5
19580201 19580228     0.8
19580301 19580331    26.3
19580401 19580430     0.0
19580501 19580531    52.6
19580601 19580630    15.7
19580701 19580731    14.7
19580801 19580831     0.0
19580901 19580930     4.1
19581001 19581031    20.8
19581101 19581130    46.9
19581201 19581231     0.0
19590101 19590131     3.0
19590201 19590228    23.7
19590301 19590331     7.6
19590401 19590430     3.0
19590501 19590531    67.0
19590601 19590630     0.0
19590701 19590731     3.8
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     2.5
19591101 19591130    11.7
19591201 19591231    37.6
19600101 19600131    91.3
19600201 19600229    29.0
19600301 19600331     0.0
19600401 19600430    56.9
19600501 19600531    50.2
19600601 19600630     5.5
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     2.8
19601001 19601031    26.9
19601101 19601130     0.0
19601201 19601231    44.5
19610101 19610131    16.5
19610201 19610228     5.1
19610301 19610331     0.0
19610401 19610430    28.5
19610501 19610531     0.8
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    14.2
19611201 19611231     6.9
19620101 19620131    38.5
19620201 19620228     0.0
19620301 19620331   130.3
19620401 19620430     0.0
19620501 19620531    17.8
19620601 19620630    25.4
19620701 19620731     5.6
19620801 19620831    17.7
19620901 19620930     0.0
19621001 19621031    21.6
19621101 19621130     8.4
19621201 19621231     4.0
19630101 19630131    49.0
19630201 19630228     2.5
19630301 19630331     0.0
19630401 19630430    12.5
19630501 19630531    18.3
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    11.0
19631101 19631130     3.6
19631201 19631231    48.8
19640101 19640131     7.7
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430     1.3
19640501 19640531    59.0
19640601 19640630    12.5
19640701 19640731     0.0
19640801 19640831     1.5
19640901 19640930    19.6
19641001 19641031     4.4
19641101 19641130    10.9
19641201 19641231    25.0
19650101 19650131     3.3
19650201 19650228     0.0
19650301 19650331    44.4
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     3.8
19650701 19650731     0.0
19650801 19650831     4.1
19650901 19650930     0.0
19651001 19651031     3.3
19651101 19651130    37.1
19651201 19651231    34.9
19660101 19660131   107.3
19660201 19660228    11.7
19660301 19660331     1.8
19660401 19660430     7.1
19660501 19660531     9.7
19660601 19660630    75.8
19660701 19660731     0.0
19660801 19660831    78.3
19660901 19660930     1.0
19661001 19661031    34.9
19661101 19661130    32.8
19661201 19661231    21.7
19670101 19670131    37.4
19670201 19670228   256.9
19670301 19670331    64.2
19670401 19670430     0.0
19670501 19670531     7.3
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     2.3
19671101 19671130    34.1
19671201 19671231     3.8
19680101 19680131    62.9
19680201 19680229   121.9
19680301 19680331    35.8
19680401 19680430    50.5
19680501 19680531   138.1
19680601 19680630     5.1
19680701 19680731    34.1
19680801 19680831     3.5
19680901 19680930     3.8
19681001 19681031    37.4
19681101 19681130    20.3
19681201 19681231    41.7
19690101 19690131    15.2
19690201 19690228   174.1
19690301 19690331    80.5
19690401 19690430     0.8
19690501 19690531     2.3
19690601 19690630     4.3
19690701 19690731    28.2
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    11.7
19691101 19691130     9.1
19691201 19691231    30.2
19700101 19700131     0.0
19700201 19700228    12.7
19700301 19700331    17.6
19700401 19700430    86.1
19700501 19700531    10.9
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.3
19701001 19701031    11.5
19701101 19701130    23.1
19701201 19701231    69.1
19710101 19710131     0.0
19710201 19710228    20.3
19710301 19710331    34.6
19710401 19710430    11.4
19710501 19710531     0.0
19710601 19710630    15.8
19710701 19710731     3.8
19710801 19710831    11.2
19710901 19710930     0.8
19711001 19711031     4.3
19711101 19711130    29.3
19711201 19711231    73.5
19720101 19720131     3.4
19720201 19720229     9.2
19720301 19720331   290.1
