PRCP       015553 18880101 20151231 missing_value=99999.9 HAMILTON DOWNS                            
18880101 18880131     7.5
18880201 18880229    14.9
18880301 18880331     0.0
18880401 18880430     6.0
18880501 18880531    65.3
18880601 18880630    38.7
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930     4.5
18881001 18881031    56.3
18881101 18881130    14.1
18881201 18881231    82.7
18890101 18890131    19.9
18890201 18890228    56.5
18890301 18890331    12.0
18890401 18890430    73.3
18890501 18890531   137.6
18890601 18890630    14.1
18890701 18890731     0.0
18890801 18890831     6.2
18890901 18890930     5.4
18891001 18891031    15.5
18891101 18891130    53.7
18891201 18891231    13.5
18900101 18900131    17.1
18900201 18900228    10.8
18900301 18900331     2.1
18900401 18900430    79.8
18900501 18900531     6.9
18900601 18900630     7.7
18900701 18900731     3.3
18900801 18900831     1.9
18900901 18900930     2.9
18901001 18901031     8.4
18901101 18901130     5.6
18901201 18901231    66.1
18910101 18910131   135.5
18910201 18910228     0.0
18910301 18910331     3.5
18910401 18910430    97.2
18910501 18910531    32.5
18910601 18910630    35.4
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031    14.7
18911101 18911130    68.2
18911201 18911231     0.0
18920101 18920131     0.0
18920201 18920229    44.7
18920301 18920331    22.0
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     0.0
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930    20.9
18921001 18921031    43.4
18921101 18921130     2.1
18921201 18921231    38.7
18930101 18930131     6.6
18930201 18930228     0.0
18930301 18930331     0.0
18930401 18930430    29.5
18930501 18930531   117.3
18930601 18930630     0.0
18930701 18930731     0.0
18930801 18930831     0.0
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130    88.1
18931201 18931231    49.3
18940101 18940131   252.0
18940201 18940228   105.7
18940301 18940331     6.0
18940401 18940430     0.0
18940501 18940531     0.0
18940601 18940630     0.0
18940701 18940731     8.9
18940801 18940831     0.0
18940901 18940930    40.2
18941001 18941031     0.0
18941101 18941130     0.0
18941201 18941231    19.1
18950101 18950131   286.8
18950201 18950228    11.4
18950301 18950331     0.0
18950401 18950430    32.5
18950501 18950531    95.9
18950601 18950630    16.6
18950701 18950731    48.9
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031    13.4
18951101 18951130     6.2
18951201 18951231    33.6
18960101 18960131    76.9
18960201 18960229    77.5
18960301 18960331     0.0
18960401 18960430    25.9
18960501 18960531     0.9
18960601 18960630     0.0
18960701 18960731     0.0
18960801 18960831     0.0
18960901 18960930     6.2
18961001 18961031    10.4
18961101 18961130    22.4
18961201 18961231    30.6
18970101 18970131    11.8
18970201 18970228    68.8
18970301 18970331     8.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    13.7
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930     8.3
18971001 18971031     3.9
18971101 18971130    15.5
18971201 18971231     4.5
18980101 18980131     0.0
18980201 18980228    70.3
18980301 18980331    80.6
18980401 18980430    24.7
18980501 18980531     0.0
18980601 18980630    30.7
18980701 18980731     0.0
18980801 18980831     7.7
18980901 18980930     7.5
18981001 18981031     0.0
18981101 18981130    14.3
18981201 18981231     3.9
18990101 18990131    18.5
18990201 18990228    37.7
18990301 18990331    35.9
18990401 18990430    15.5
18990501 18990531     0.0
18990601 18990630     5.4
18990701 18990731     0.0
18990801 18990831     0.6
18990901 18990930     0.0
18991001 18991031    12.3
18991101 18991130     9.8
18991201 18991231    29.1
19000101 19000131     6.0
19000201 19000228    61.9
19000301 19000331    98.0
19000401 19000430     0.0
19000501 19000531    34.6
19000601 19000630    24.1
19000701 19000731     3.5
19000801 19000831     1.2
19000901 19000930     0.0
19001001 19001031     0.4
19001101 19001130    13.1
19001201 19001231     7.1
19010101 19010131     0.0
19010201 19010228   115.3
19010301 19010331    32.1
19010401 19010430     0.6
19010501 19010531     0.0
19010601 19010630    10.4
19010701 19010731     5.6
19010801 19010831    13.7
19010901 19010930     2.9
19011001 19011031     0.0
19011101 19011130     4.8
19011201 19011231     9.6
19020101 19020131    53.4
19020201 19020228     0.0
19020301 19020331     0.0
19020401 19020430     0.4
19020501 19020531     0.0
19020601 19020630     3.9
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     5.6
19021101 19021130    15.5
19021201 19021231    43.7
19030101 19030131     6.2
19030201 19030228     0.6
19030301 19030331    42.4
19030401 19030430    83.8
19030501 19030531     6.8
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930    47.7
19031001 19031031     3.9
19031101 19031130    40.6
19031201 19031231    95.5
19040101 19040131     6.6
19040201 19040229     0.0
19040301 19040331    16.4
19040401 19040430    28.8
19040501 19040531    47.6
19040601 19040630     7.5
19040701 19040731    46.6
19040801 19040831     0.0
19040901 19040930    21.2
19041001 19041031    54.3
19041101 19041130     2.1
19041201 19041231     9.3
19050101 19050131     5.2
19050201 19050228     0.0
19050301 19050331    27.8
19050401 19050430    10.4
19050501 19050531     2.9
19050601 19050630    52.4
19050701 19050731    23.0
19050801 19050831     2.3
19050901 19050930     0.6
19051001 19051031    29.4
19051101 19051130     5.0
19051201 19051231     0.0
19060101 19060131     5.6
19060201 19060228     0.0
19060301 19060331     0.0
19060401 19060430     7.5
19060501 19060531     1.5
19060601 19060630    13.7
19060701 19060731     7.7
19060801 19060831    11.8
19060901 19060930    25.3
19061001 19061031    20.0
19061101 19061130    17.2
19061201 19061231    93.9
19070101 19070131    42.3
19070201 19070228    17.3
19070301 19070331     4.6
19070401 19070430     0.0
19070501 19070531     2.9
19070601 19070630    39.8
19070701 19070731    22.5
19070801 19070831     2.1
19070901 19070930     0.0
19071001 19071031    20.5
19071101 19071130    40.4
19071201 19071231    26.8
19080101 19080131     3.3
19080201 19080229   120.0
19080301 19080331   105.0
19080401 19080430    58.4
19080501 19080531     0.0
19080601 19080630     1.5
19080701 19080731   108.1
19080801 19080831     3.3
19080901 19080930     0.0
19081001 19081031     3.5
19081101 19081130    12.5
19081201 19081231    54.0
19090101 19090131     3.6
19090201 19090228     7.7
19090301 19090331    16.3
19090401 19090430    41.7
19090501 19090531     3.5
19090601 19090630     9.3
19090701 19090731     0.0
19090801 19090831    21.4
19090901 19090930     0.0
19091001 19091031    29.9
19091101 19091130   100.3
19091201 19091231     0.0
19100101 19100131     6.0
19100201 19100228     0.0
19100301 19100331   146.1
19100401 19100430     0.0
19100501 19100531     0.4
19100601 19100630    33.3
19100701 19100731    25.4
19100801 19100831     6.0
19100901 19100930     3.0
19101001 19101031    44.7
19101101 19101130    26.7
19101201 19101231   108.8
19110101 19110131     0.9
19110201 19110228     0.4
19110301 19110331     1.3
19110401 19110430     3.6
19110501 19110531     2.3
19110601 19110630     0.4
19110701 19110731    18.2
19110801 19110831     2.3
19110901 19110930    11.3
19111001 19111031    19.3
19111101 19111130    28.6
19111201 19111231   149.3
19120101 19120131     0.6
19120201 19120229   162.7
19120301 19120331     5.6
19120401 19120430     4.6
19120501 19120531     0.0
19120601 19120630    11.1
19120701 19120731    10.1
19120801 19120831     2.5
19120901 19120930     0.0
19121001 19121031     0.4
19121101 19121130    20.2
19121201 19121231    62.8
19130101 19130131    71.7
19130201 19130228    13.1
19130301 19130331    55.2
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     0.4
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     3.0
19131001 19131031    23.0
19131101 19131130     2.2
19131201 19131231    26.5
19140101 19140131   147.7
19140201 19140228     1.5
19140301 19140331     0.0
19140401 19140430     1.5
19140501 19140531   180.4
19140601 19140630     0.6
19140701 19140731     3.5
19140801 19140831     0.0
19140901 19140930     1.5
19141001 19141031     6.0
19141101 19141130   105.2
19141201 19141231    62.6
19150101 19150131    13.5
19150201 19150228     1.8
19150301 19150331     0.0
19150401 19150430     3.6
19150501 19150531    19.1
19150601 19150630     4.5
19150701 19150731     5.6
19150801 19150831     0.0
19150901 19150930     5.0
19151001 19151031     1.9
19151101 19151130     8.8
19151201 19151231     2.9
19160101 19160131    30.2
19160201 19160229    83.4
19160301 19160331    17.6
19160401 19160430    18.8
19160501 19160531     2.1
19160601 19160630    41.4
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     2.3
19161001 19161031    93.4
19161101 19161130    17.8
19161201 19161231    21.8
19170101 19170131    99.7
19170201 19170228    51.9
19170301 19170331     3.5
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630    16.4
19170701 19170731    15.6
19170801 19170831    19.3
19170901 19170930    49.5
19171001 19171031     1.2
19171101 19171130    55.4
19171201 19171231    14.4
19180101 19180131     8.3
19180201 19180228    77.5
19180301 19180331     0.0
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     9.0
19180801 19180831    19.9
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130    24.1
19181201 19181231    15.1
19190101 19190131   120.7
19190201 19190228    53.4
19190301 19190331     0.0
19190401 19190430    12.5
19190501 19190531     3.9
19190601 19190630     0.9
19190701 19190731     0.0
19190801 19190831     9.5
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    20.6
19191201 19191231    96.5
19200101 19200131    35.5
19200201 19200229     6.8
19200301 19200331     9.5
19200401 19200430    21.2
19200501 19200531     0.0
19200601 19200630     6.6
19200701 19200731    37.7
19200801 19200831    37.2
19200901 19200930    20.6
19201001 19201031    43.0
19201101 19201130   192.4
19201201 19201231   125.6
19210101 19210131    12.0
19210201 19210228    91.9
19210301 19210331   136.2
19210401 19210430     0.0
19210501 19210531   124.8
19210601 19210630    50.5
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930    17.0
19211001 19211031     5.4
19211101 19211130    23.6
19211201 19211231    39.6
19220101 19220131     3.3
19220201 19220228    51.0
19220301 19220331    10.5
19220401 19220430    72.1
19220501 19220531    54.7
19220601 19220630    36.8
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.2
19221101 19221130    12.5
19221201 19221231   126.7
19230101 19230131     0.0
19230201 19230228     0.9
19230301 19230331    56.3
19230401 19230430     0.0
19230501 19230531    36.7
19230601 19230630    83.3
19230701 19230731     3.3
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    25.5
19231101 19231130     2.7
19231201 19231231   198.7
19240101 19240131     0.0
19240201 19240229    20.3
19240301 19240331     0.0
19240401 19240430    10.7
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.9
19240901 19240930     0.0
19241001 19241031    40.7
19241101 19241130    39.7
19241201 19241231    21.1
19250101 19250131   235.9
19250201 19250228    10.4
19250301 19250331    20.5
19250401 19250430    20.9
19250501 19250531     4.1
19250601 19250630     0.0
19250701 19250731    22.4
19250801 19250831     3.5
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130    23.9
19251201 19251231     3.3
19260101 19260131     0.4
19260201 19260228     0.4
19260301 19260331    44.8
19260401 19260430    84.3
19260501 19260531    33.8
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    21.4
19261001 19261031     0.0
19261101 19261130    28.2
19261201 19261231     2.5
19270101 19270131    11.0
19270201 19270228     0.0
19270301 19270331     2.1
19270401 19270430     0.0
19270501 19270531     0.9
19270601 19270630    34.7
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    32.5
19271001 19271031    10.4
19271101 19271130    30.9
19271201 19271231    20.0
19280101 19280131    34.7
19280201 19280229    18.0
19280301 19280331     4.2
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     1.8
19280701 19280731     1.5
19280801 19280831     0.0
19280901 19280930     0.4
19281001 19281031    10.4
19281101 19281130     0.0
19281201 19281231     6.9
19290101 19290131     0.0
19290201 19290228     6.8
19290301 19290331    27.8
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630     0.4
19290701 19290731     0.0
19290801 19290831     3.2
19290901 19290930     2.7
19291001 19291031     1.9
19291101 19291130     1.3
19291201 19291231    64.9
19300101 19300131    74.4
19300201 19300228    61.6
19300301 19300331     0.0
19300401 19300430     0.0
19300501 19300531     3.9
19300601 19300630     0.0
19300701 19300731     2.5
19300801 19300831     2.9
19300901 19300930     1.5
19301001 19301031   108.6
19301101 19301130    19.3
19301201 19301231   112.5
19310101 19310131     2.9
19310201 19310228     0.0
19310301 19310331    60.9
19310401 19310430    24.4
19310501 19310531    11.0
19310601 19310630    37.7
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031    23.8
19311101 19311130    13.9
19311201 19311231     4.2
19320101 19320131    13.7
19320201 19320229    12.0
19320301 19320331    72.7
19320401 19320430    37.5
19320501 19320531    55.1
19320601 19320630     3.5
19320701 19320731     0.0
19320801 19320831     2.3
19320901 19320930     2.1
19321001 19321031    57.9
19321101 19321130     3.3
19321201 19321231     0.0
19330101 19330131     0.0
19330201 19330228     6.2
19330301 19330331    29.9
19330401 19330430    10.2
19330501 19330531    23.2
19330601 19330630     0.0
19330701 19330731     0.6
19330801 19330831    67.6
19330901 19330930     6.2
19331001 19331031    11.4
