PRCP       015590 19001001 20180131 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19001001 19001031     3.6
19001101 19001130    21.5
19001201 19001231    45.7
19010101 19010131     1.1
19010201 19010228   101.6
19010301 19010331    26.9
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630    31.1
19010701 19010731     1.5
19010801 19010831    10.2
19010901 19010930     3.7
19011001 19011031     2.1
19011101 19011130     1.5
19011201 19011231     5.5
19020101 19020131     7.5
19020201 19020228     8.1
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.6
19020701 19020731     0.0
19020801 19020831     0.4
19020901 19020930     0.0
19021001 19021031     4.9
19021101 19021130    98.4
19021201 19021231     6.3
19030101 19030131    16.0
19030201 19030228     0.9
19030301 19030331    65.3
19030401 19030430   108.7
19030501 19030531     0.2
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930    10.9
19031001 19031031    18.3
19031101 19031130     7.4
19031201 19031231    71.0
19040101 19040131    28.8
19040201 19040229    60.5
19040301 19040331   108.5
19040401 19040430    21.7
19040501 19040531    70.0
19040601 19040630     0.2
19040701 19040731     8.6
19040801 19040831     0.0
19040901 19040930     3.7
19041001 19041031    23.0
19041101 19041130     0.0
19041201 19041231     0.0
19050101 19050131    26.0
19050201 19050228     0.0
19050301 19050331    35.7
19050401 19050430    11.1
19050501 19050531     5.4
19050601 19050630    25.8
19050701 19050731    11.7
19050801 19050831    53.6
19050901 19050930     0.0
19051001 19051031    13.8
19051101 19051130     6.7
19051201 19051231     0.0
19060101 19060131     7.5
19060201 19060228    17.2
19060301 19060331     2.2
19060401 19060430     0.9
19060501 19060531     0.0
19060601 19060630    32.8
19060701 19060731     2.6
19060801 19060831     0.0
19060901 19060930    14.0
19061001 19061031     6.1
19061101 19061130    22.1
19061201 19061231   108.0
19070101 19070131    13.8
19070201 19070228     5.4
19070301 19070331     2.2
19070401 19070430     0.0
19070501 19070531     5.9
19070601 19070630    43.6
19070701 19070731    11.5
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    13.5
19071101 19071130    49.7
19071201 19071231    32.2
19080101 19080131     3.1
19080201 19080229    46.1
19080301 19080331    49.4
19080401 19080430    75.3
19080501 19080531     0.0
19080601 19080630     0.0
19080701 19080731    38.3
19080801 19080831     1.9
19080901 19080930     0.0
19081001 19081031     4.8
19081101 19081130    10.1
19081201 19081231    25.2
19090101 19090131     7.2
19090201 19090228    17.0
19090301 19090331     5.7
19090401 19090430    20.8
19090501 19090531     0.0
19090601 19090630    32.2
19090701 19090731     0.0
19090801 19090831    24.7
19090901 19090930     1.8
19091001 19091031    34.8
19091101 19091130    16.8
19091201 19091231     0.0
19100101 19100131     0.6
19100201 19100228    17.2
19100301 19100331   246.1
19100401 19100430     2.2
19100501 19100531    14.4
