PRCP       015593 19501001 20080430 missing_value=99999.9 ALCOOTA                                   
19501001 19501031    56.4
19501101 19501130    66.8
19501201 19501231    96.5
19510101 19510131     8.4
19510201 19510228    36.1
19510301 19510331     0.0
19510401 19510430    33.8
19510501 19510531     0.0
19510601 19510630    21.1
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     6.8
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    44.5
19520201 19520229    19.5
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531     0.0
19520601 19520630     5.6
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    45.2
19521101 19521130    76.2
19521201 19521231    59.8
19530101 19530131    20.3
19530201 19530228    58.8
19530301 19530331     0.0
19530401 19530430    43.2
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     5.6
19531101 19531130     5.1
19531201 19531231    61.9
19540101 19540131    60.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    48.6
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831    40.1
19540901 19540930     0.0
19541001 19541031    52.8
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131     0.0
19550201 19550228    30.8
19550301 19550331    25.1
19550401 19550430     0.0
19550501 19550531    12.7
19550601 19550630     0.0
19550701 19550731   134.9
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    49.3
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     7.7
19560201 19560229   114.3
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    63.2
19560601 19560630    38.1
19560701 19560731    45.7
19560801 19560831     0.0
19560901 19560930    12.2
19561001 19561031    74.6
19561101 19561130     0.0
19561201 19561231    29.7
19570101 19570131     3.8
19570201 19570228    11.7
19570301 19570331     0.0
19570401 19570430    41.4
19570501 19570531     0.0
19570601 19570630    61.5
19570701 19570731    36.3
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231   106.7
19580101 19580131    14.0
19580201 19580228     0.0
19580301 19580331     0.0
19580401 19580430     0.0
19580501 19580531    38.1
19580601 19580630     0.0
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    17.8
19581101 19581130    39.6
19581201 19581231    21.8
19590101 19590131     0.8
19590201 19590228     7.9
19590301 19590331    35.8
19590401 19590430     0.0
19590501 19590531    65.2
19590601 19590630     0.0
19590701 19590731     3.0
19590801 19590831     0.0
19590901 19590930     2.3
19591001 19591031     6.3
19591101 19591130    24.1
19591201 19591231     4.8
19600101 19600131   134.1
19600201 19600229    15.7
19600301 19600331     0.0
19600401 19600430    45.0
19600501 19600531    11.7
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930    17.8
19601001 19601031    11.9
19601101 19601130    25.1
19601201 19601231    38.6
19610101 19610131    12.2
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430    42.4
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    20.6
19611201 19611231     0.0
19620101 19620131    85.8
19620201 19620228    13.2
19620301 19620331    83.0
19620401 19620430     0.0
19620501 19620531    27.5
19620601 19620630    27.7
19620701 19620731     6.6
19620801 19620831    22.9
19620901 19620930     0.0
19621001 19621031    17.0
19621101 19621130    18.8
19621201 19621231     3.0
19630101 19630131     6.1
19630201 19630228     0.0
19630301 19630331     5.1
19630401 19630430     0.0
19630501 19630531    47.2
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     7.6
19631101 19631130     3.8
19631201 19631231    60.9
19640101 19640131     9.4
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430     3.3
19640501 19640531     9.4
19640601 19640630    25.6
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    13.9
19641001 19641031    20.1
19641101 19641130     8.7
19641201 19641231    14.3
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     6.6
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630    15.2
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    15.5
19651101 19651130     0.0
19651201 19651231    51.0
19660101 19660131    43.4
19660201 19660228     6.6
