PRCP       016006 19100101 20180131 missing_value=99999.9 COMMONWEALTH HILL                         
19100101 19100131     3.0
19100201 19100228     0.0
19100301 19100331    46.8
19100401 19100430     0.0
19100501 19100531    89.1
19100601 19100630    46.5
19100701 19100731    13.5
19100801 19100831    12.6
19100901 19100930    30.6
19101001 19101031     3.5
19101101 19101130    55.6
19101201 19101231     8.0
19110101 19110131     2.5
19110201 19110228    12.0
19110301 19110331     3.7
19110401 19110430     0.0
19110501 19110531    10.9
19110601 19110630    11.0
19110701 19110731     9.3
19110801 19110831    16.5
19110901 19110930     4.7
19111001 19111031    11.8
19111101 19111130     1.3
19111201 19111231     7.7
19120101 19120131     0.0
19120201 19120229    14.3
19120301 19120331    29.9
19120401 19120430     0.0
19120501 19120531     0.8
19120601 19120630    31.0
19120701 19120731    45.1
19120801 19120831    13.4
19120901 19120930     2.0
19121001 19121031     0.0
19121101 19121130    15.6
19121201 19121231     3.5
19130101 19130131     1.5
19130201 19130228    45.5
19130301 19130331    27.3
19130401 19130430     0.0
19130501 19130531     4.2
19130601 19130630     1.8
19130701 19130731     0.8
19130801 19130831    19.5
19130901 19130930    26.3
19131001 19131031    40.5
19131101 19131130    11.5
19131201 19131231    15.8
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331     2.0
19140401 19140430     8.3
19140501 19140531    16.5
19140601 19140630     2.8
19140701 19140731     2.9
19140801 19140831     0.5
19140901 19140930    12.2
19141001 19141031     0.8
19141101 19141130    39.9
19141201 19141231    46.6
19150101 19150131    12.5
19150201 19150228     1.3
19150301 19150331     0.0
19150401 19150430     1.3
19150501 19150531     7.9
19150601 19150630    10.4
19150701 19150731     2.0
19150801 19150831    27.0
19150901 19150930    12.8
19151001 19151031     8.5
19151101 19151130     0.0
19151201 19151231    10.5
19160101 19160131    16.3
19160201 19160229     0.0
19160301 19160331     2.6
19160401 19160430     1.3
19160501 19160531    18.2
19160601 19160630    16.4
19160701 19160731    45.6
19160801 19160831     9.8
19160901 19160930     9.3
19161001 19161031    66.7
19161101 19161130    11.8
19161201 19161231     0.8
19170101 19170131    54.1
19170201 19170228    40.8
19170301 19170331    10.1
19170401 19170430     4.7
19170501 19170531     1.0
19170601 19170630    18.5
19170701 19170731    30.5
19170801 19170831     7.0
19170901 19170930    24.1
19171001 19171031    17.1
19171101 19171130     9.0
19171201 19171231    13.8
19180101 19180131     5.5
19180201 19180228    23.3
19180301 19180331    37.9
19180401 19180430     6.7
19180501 19180531     0.5
19180601 19180630    26.0
19180701 19180731     9.3
19180801 19180831    51.3
19180901 19180930     6.0
19181001 19181031    12.0
