PRCP       016022 19050701 20171231 missing_value=99999.9 KONDOOLKA                                 
19050701 19050731    15.9
19050801 19050831    21.6
19050901 19050930    19.4
19051001 19051031    22.5
19051101 19051130     0.5
19051201 19051231     0.0
19060101 19060131     2.5
19060201 19060228     8.9
19060301 19060331     9.4
19060401 19060430     0.0
19060501 19060531    10.5
19060601 19060630    26.9
19060701 19060731    27.3
19060801 19060831     8.6
19060901 19060930    30.5
19061001 19061031    11.5
19061101 19061130    40.3
19061201 19061231     8.6
19070101 19070131     2.5
19070201 19070228     0.0
19070301 19070331     4.8
19070401 19070430     6.4
19070501 19070531     0.5
19070601 19070630    60.1
19070701 19070731    32.5
19070801 19070831    49.2
19070901 19070930     7.9
19071001 19071031    10.7
19071101 19071130    22.7
19071201 19071231    10.2
19080101 19080131    23.1
19080201 19080229     1.5
19080301 19080331    44.8
19080401 19080430    27.0
19080501 19080531    32.7
19080601 19080630    48.5
19080701 19080731     7.9
19080801 19080831    46.8
19080901 19080930    22.0
19081001 19081031    32.7
19081101 19081130     3.4
19081201 19081231     3.0
19090101 19090131     0.3
19090201 19090228     4.8
19090301 19090331    14.0
19090401 19090430    20.1
19090501 19090531    21.9
19090601 19090630    29.9
19090701 19090731    21.7
19090801 19090831    74.4
19090901 19090930     4.0
19091001 19091031    40.2
19091101 19091130     1.6
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     1.3
19100301 19100331    28.0
19100401 19100430     0.0
19100501 19100531    69.9
19100601 19100630    23.6
19100701 19100731    49.7
19100801 19100831    27.7
19100901 19100930    55.7
19101001 19101031    27.7
19101101 19101130     9.9
19101201 19101231    11.9
19110101 19110131     0.0
19110201 19110228    31.8
19110301 19110331     2.5
19110401 19110430     1.0
19110501 19110531    21.1
19110601 19110630    17.4
19110701 19110731    35.3
19110801 19110831    23.9
19110901 19110930    18.0
19111001 19111031     5.4
19111101 19111130     6.9
19111201 19111231    22.3
19120101 19120131     0.0
19120201 19120229    25.4
19120301 19120331    31.2
19120401 19120430     0.0
19120501 19120531    11.7
19120601 19120630    56.5
19120701 19120731    54.7
19120801 19120831    26.6
19120901 19120930    10.1
19121001 19121031    39.4
19121101 19121130    33.3
19121201 19121231    14.0
19130101 19130131     0.0
19130201 19130228   107.2
19130301 19130331    17.8
19130401 19130430     0.0
19130501 19130531    27.9
19130601 19130630     4.6
19130701 19130731    14.1
19130801 19130831    49.3
19130901 19130930    51.3
19131001 19131031    29.4
19131101 19131130     1.5
19131201 19131231     7.6
19140101 19140131     0.0
19140201 19140228     9.4
19140301 19140331    14.5
19140401 19140430     5.9
19140501 19140531    11.9
19140601 19140630    20.8
19140701 19140731     9.9
19140801 19140831     1.8
19140901 19140930     7.4
19141001 19141031     0.0
19141101 19141130    51.6
19141201 19141231     0.0
19150101 19150131    13.7
19150201 19150228    13.0
19150301 19150331     0.0
19150401 19150430     6.1
19150501 19150531    25.0
19150601 19150630    24.9
19150701 19150731    15.2
19150801 19150831    49.9
19150901 19150930    21.1
19151001 19151031     3.3
19151101 19151130     0.0
19151201 19151231    31.9
19160101 19160131     3.6
19160201 19160229     0.0
19160301 19160331     8.1
19160401 19160430     0.0
19160501 19160531    22.0
19160601 19160630    64.4
19160701 19160731   101.6
19160801 19160831    67.2
19160901 19160930    46.5
19161001 19161031    46.4
19161101 19161130    14.8
19161201 19161231     0.0
19170101 19170131    24.4
19170201 19170228     0.0
19170301 19170331    10.9
19170401 19170430     0.0
19170501 19170531    33.6
19170601 19170630    33.3
19170701 19170731    30.2
19170801 19170831    47.6
19170901 19170930    78.3
19171001 19171031    36.3
19171101 19171130    15.2
19171201 19171231     0.0
19180101 19180131     0.0
19180201 19180228     0.0
19180301 19180331    26.7
19180401 19180430     0.0
19180501 19180531    12.7
19180601 19180630    38.9
19180701 19180731    16.7
19180801 19180831    49.1
19180901 19180930     0.0
19181001 19181031    36.3
19181101 19181130    10.6
19181201 19181231     0.0
19190101 19190131    12.7
19190201 19190228    39.6
19190301 19190331     0.0
19190401 19190430    27.4
19190501 19190531    10.1
19190601 19190630     7.4
19190701 19190731     5.1
19190801 19190831    14.5
19190901 19190930    22.9
19191001 19191031     0.0
19191101 19191130    14.8
19191201 19191231    33.1
19200101 19200131    14.0
19200201 19200229     0.0
19200301 19200331     6.1
19200401 19200430    15.2
19200501 19200531    43.4
19200601 19200630    41.2
19200701 19200731    26.6
19200801 19200831    23.7
19200901 19200930    72.7
19201001 19201031    32.5
19201101 19201130    37.6
19201201 19201231     0.0
19210101 19210131     9.1
19210201 19210228    90.9
19210301 19210331    48.3
19210401 19210430     6.3
19210501 19210531    93.6
19210601 19210630    15.7
19210701 19210731    12.9
19210801 19210831     7.9
19210901 19210930    20.5
19211001 19211031    25.4
19211101 19211130     8.9
19211201 19211231    22.1
19220101 19220131    12.4
19220201 19220228     4.6
19220301 19220331     4.6
19220401 19220430    16.0
19220501 19220531    38.4
19220601 19220630     7.1
19220701 19220731    19.5
19220801 19220831    13.2
19220901 19220930     2.5
19221001 19221031     3.0
19221101 19221130     0.0
19221201 19221231    28.4
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    24.1
19230601 19230630    18.6
19230701 19230731    39.4
19230801 19230831    18.1
19230901 19230930    29.7
19231001 19231031    10.2
19231101 19231130     0.0
19231201 19231231    76.7
19240101 19240131    16.2
19240201 19240229    12.9
19240301 19240331     0.0
19240401 19240430     0.0
19240501 19240531     6.3
19240601 19240630    36.4
19240701 19240731     1.3
19240801 19240831    45.3
19240901 19240930    27.8
19241001 19241031    96.8
19241101 19241130    18.6
19241201 19241231    13.7
19250101 19250131    10.2
19250201 19250228    37.4
19250301 19250331     0.8
19250401 19250430     0.0
19250501 19250531    43.4
19250601 19250630    26.1
19250701 19250731    27.6
19250801 19250831    25.8
19250901 19250930    16.8
19251001 19251031     7.4
19251101 19251130    19.1
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     7.1
19260301 19260331    32.0
19260401 19260430    18.3
19260501 19260531    29.0
19260601 19260630    79.5
19260701 19260731     9.7
19260801 19260831    42.7
19260901 19260930    20.3
19261001 19261031     2.5
19261101 19261130     0.0
19261201 19261231     2.5
19270101 19270131     0.0
19270201 19270228     2.8
19270301 19270331    21.2
19270401 19270430     0.8
19270501 19270531    19.3
19270601 19270630    89.6
19270701 19270731    12.1
19270801 19270831    20.0
19270901 19270930     2.5
19271001 19271031     0.0
19271101 19271130     0.0
19271201 19271231     7.1
19280101 19280131    12.7
19280201 19280229    16.5
19280301 19280331     0.5
19280401 19280430     5.6
19280501 19280531     9.1
19280601 19280630    20.9
19280701 19280731    13.6
19280801 19280831     8.1
19280901 19280930    13.4
19281001 19281031     6.4
19281101 19281130     1.3
19281201 19281231     0.8
19290101 19290131     0.8
19290201 19290228     3.6
19290301 19290331     0.0
19290401 19290430     0.6
19290501 19290531    18.6
19290601 19290630    25.1
19290701 19290731    10.1
19290801 19290831    24.8
19290901 19290930    29.7
19291001 19291031     4.1
19291101 19291130    17.6
19291201 19291231     7.5
19300101 19300131     0.0
19300201 19300228     2.1
19300301 19300331     0.0
19300401 19300430    29.5
19300501 19300531    15.4
19300601 19300630     2.7
19300701 19300731    54.3
19300801 19300831    34.1
19300901 19300930    14.1
19301001 19301031    88.4
19301101 19301130     7.0
19301201 19301231     5.4
19310101 19310131     3.3
19310201 19310228     0.3
19310301 19310331    76.2
19310401 19310430    33.9
19310501 19310531    32.7
19310601 19310630    67.8
19310701 19310731    42.6
19310801 19310831    31.4
19310901 19310930    17.7
19311001 19311031     9.0
19311101 19311130     9.0
19311201 19311231     0.0
19320101 19320131     2.0
19320201 19320229    38.9
19320301 19320331     3.8
19320401 19320430    38.1
19320501 19320531    16.0
19320601 19320630    43.5
19320701 19320731    26.6
19320801 19320831    62.2
19320901 19320930    33.3
19321001 19321031    33.6
19321101 19321130     2.8
19321201 19321231     4.8
19330101 19330131     8.4
19330201 19330228     0.0
19330301 19330331    24.7
19330401 19330430    13.3
19330501 19330531    43.7
19330601 19330630     1.3
19330701 19330731    29.3
19330801 19330831    32.3
19330901 19330930    17.2
19331001 19331031     8.9
19331101 19331130    13.4
19331201 19331231     5.6
19340101 19340131     0.0
19340201 19340228    11.0
19340301 19340331     7.8
19340401 19340430     7.1
19340501 19340531     6.1
19340601 19340630    37.0
19340701 19340731    20.1
19340801 19340831    45.4
19340901 19340930    15.2
19341001 19341031    25.3
19341101 19341130    30.0
19341201 19341231     1.8
19350101 19350131    21.9
19350201 19350228     0.0
19350301 19350331    45.8
19350401 19350430    10.3
19350501 19350531    12.3
19350601 19350630    14.6
19350701 19350731    11.0
19350801 19350831    34.6
19350901 19350930    49.8
19351001 19351031    34.3
19351101 19351130    15.9
19351201 19351231     9.2
19360101 19360131     0.0
19360201 19360229    12.7
19360301 19360331     1.5
19360401 19360430     3.6
19360501 19360531     7.2
19360601 19360630    16.5
19360701 19360731    32.2
19360801 19360831    25.6
19360901 19360930     1.3
19361001 19361031    37.3
19361101 19361130     3.1
19361201 19361231    33.1
19370101 19370131    20.1
19370201 19370228    35.5
19370301 19370331    27.4
19370401 19370430     4.8
19370501 19370531    38.6
19370601 19370630    22.2
19370701 19370731    14.0
19370801 19370831    45.9
19370901 19370930    18.8
19371001 19371031    10.7
19371101 19371130    21.5
19371201 19371231    14.3
19380101 19380131    12.2
19380201 19380228   152.5
19380301 19380331     0.8
19380401 19380430    21.4
19380501 19380531     6.1
19380601 19380630    36.1
19380701 19380731    39.2
19380801 19380831    52.5
19380901 19380930     1.3
19381001 19381031    22.1
19381101 19381130     0.0
19381201 19381231     9.4
19390101 19390131    23.4
19390201 19390228    17.2
19390301 19390331    27.9
19390401 19390430     1.3
19390501 19390531    20.7
19390601 19390630    31.3
19390701 19390731    46.3
19390801 19390831    42.8
19390901 19390930     4.1
19391001 19391031     6.2
19391101 19391130    50.4
19391201 19391231     0.5
19400101 19400131    31.8
19400201 19400229    11.4
19400301 19400331    26.7
19400401 19400430    20.4
19400501 19400531    10.4
19400601 19400630     4.1
19400701 19400731    15.4
19400801 19400831     5.3
19400901 19400930    17.3
19401001 19401031     8.0
19401101 19401130     1.8
19401201 19401231     2.1
19410101 19410131    43.0
19410201 19410228     0.0
19410301 19410331    65.5
19410401 19410430    17.3
19410501 19410531     7.1
19410601 19410630    17.3
19410701 19410731    16.7
19410801 19410831    29.9
19410901 19410930    34.0
19411001 19411031    21.8
19411101 19411130    12.5
19411201 19411231     0.8
19420101 19420131    30.5
19420201 19420228     3.3
19420301 19420331    11.4
19420401 19420430    16.5
19420501 19420531    22.1
19420601 19420630    69.6
19420701 19420731    29.1
19420801 19420831    39.4
19420901 19420930    21.1
19421001 19421031     7.8
19421101 19421130    25.7
19421201 19421231    13.8
19430101 19430131     9.7
19430201 19430228    63.2
19430301 19430331     3.6
19430401 19430430    24.7
19430501 19430531     6.6
19430601 19430630    12.4
19430701 19430731    26.5
19430801 19430831    36.5
19430901 19430930     9.4
19431001 19431031    11.1
19431101 19431130     3.6
19431201 19431231     3.0
19440101 19440131     0.0
19440201 19440229     7.2
19440301 19440331     1.8
19440401 19440430    20.1
19440501 19440531    29.5
19440601 19440630     8.3
19440701 19440731    19.7
19440801 19440831     9.1
19440901 19440930    19.4
19441001 19441031     3.1
19441101 19441130    18.5
19441201 19441231    38.1
19450101 19450131    21.1
19450201 19450228     0.0
19450301 19450331     1.0
19450401 19450430     1.0
19450501 19450531    13.9
19450601 19450630    20.3
19450701 19450731     8.2
19450801 19450831    13.7
19450901 19450930    15.9
19451001 19451031    29.6
19451101 19451130    14.2
19451201 19451231    82.8
19460101 19460131    21.6
19460201 19460228   118.3
19460301 19460331     7.1
19460401 19460430    16.3
19460501 19460531    17.9
19460601 19460630    31.4
19460701 19460731    22.0
19460801 19460831    18.0
19460901 19460930    36.6
19461001 19461031    14.2
19461101 19461130    39.4
19461201 19461231    56.0
19470101 19470131     0.8
19470201 19470228    34.4
19470301 19470331    35.3
19470401 19470430     7.1
19470501 19470531    11.0
19470601 19470630    27.0
19470701 19470731    32.9
19470801 19470831    33.2
19470901 19470930    39.6
19471001 19471031    63.9
19471101 19471130    14.5
19471201 19471231    12.5
19480101 19480131     0.0
19480201 19480229     0.5
19480301 19480331     0.0
19480401 19480430     7.6
19480501 19480531    13.7
19480601 19480630    12.9
19480701 19480731    11.7
19480801 19480831    34.6
19480901 19480930     3.6
19481001 19481031    30.3
19481101 19481130    35.1
19481201 19481231     3.5
19490101 19490131     0.0
19490201 19490228    52.8
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    33.4
19490601 19490630    12.0
19490701 19490731    33.6
19490801 19490831     7.1
19490901 19490930    53.7
19491001 19491031    51.8
19491101 19491130    49.8
19491201 19491231    11.7
19500101 19500131     0.0
19500201 19500228    35.1
19500301 19500331     0.0
19500401 19500430     5.8
19500501 19500531    36.5
19500601 19500630    25.2
19500701 19500731    16.6
19500801 19500831    27.2
19500901 19500930    15.0
19501001 19501031    43.4
19501101 19501130    32.6
19501201 19501231   107.7
19510101 19510131     0.0
19510201 19510228     4.6
19510301 19510331    12.9
19510401 19510430    16.2
19510501 19510531    43.5
19510601 19510630   110.8
19510701 19510731   101.3
19510801 19510831    64.7
19510901 19510930    18.5
19511001 19511031    24.6
19511101 19511130     1.3
19511201 19511231     0.0
19520101 19520131    26.4
19520201 19520229     0.0
19520301 19520331    21.3
19520401 19520430    42.2
19520501 19520531    62.6
19520601 19520630    26.2
19520701 19520731    33.2
19520801 19520831    19.5
19520901 19520930    17.2
