PRCP       016027 19090501 20171130 missing_value=99999.9 MCDOUALL PEAK                             
19090501 19090531    24.9
19090601 19090630    48.7
19090701 19090731     2.5
19090801 19090831    21.8
19090901 19090930     0.8
19091001 19091031    26.6
19091101 19091130     9.4
19091201 19091231     0.0
19100101 19100131     2.8
19100201 19100228     0.0
19100301 19100331    72.6
19100401 19100430     0.0
19100501 19100531    79.7
19100601 19100630    67.2
19100701 19100731    11.4
19100801 19100831     8.9
19100901 19100930    29.2
19101001 19101031     5.1
19101101 19101130    11.4
19101201 19101231     3.3
19110101 19110131     5.1
19110201 19110228    16.8
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    25.1
19110601 19110630    17.0
19110701 19110731    24.1
19110801 19110831     9.6
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130    12.7
19111201 19111231     7.1
19120101 19120131     0.0
19120201 19120229    19.0
19120301 19120331    26.7
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    24.1
19120701 19120731    30.5
19120801 19120831    11.7
19120901 19120930     0.8
19121001 19121031     2.5
19121101 19121130    24.7
19121201 19121231    27.2
19130101 19130131     5.1
19130201 19130228    90.9
19130301 19130331    35.0
19130401 19130430     0.0
19130501 19130531     3.0
19130601 19130630     0.0
19130701 19130731     5.1
19130801 19130831     6.9
19130901 19130930    11.9
19131001 19131031     7.6
19131101 19131130    14.9
19131201 19131231     0.0
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331     0.0
19140401 19140430    12.7
19140501 19140531     9.4
19140601 19140630     0.0
19140701 19140731     3.3
19140801 19140831     0.0
19140901 19140930    14.0
19141001 19141031     0.0
19141101 19141130    29.0
19141201 19141231     3.0
19150101 19150131    29.0
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430     5.8
19150501 19150531    20.1
19150601 19150630     5.8
19150701 19150731     0.0
19150801 19150831    15.2
19150901 19150930    14.3
19151001 19151031     5.3
19151101 19151130     0.0
19151201 19151231     8.9
19160101 19160131    12.7
19160201 19160229     8.1
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531    14.5
19160601 19160630    14.7
19160701 19160731     5.3
19160801 19160831     0.8
19160901 19160930    39.6
19161001 19161031    77.9
19161101 19161130    18.9
19161201 19161231     8.2
19170101 19170131    76.5
19170201 19170228    40.6
19170301 19170331    26.4
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630    27.7
19170701 19170731    20.8
19170801 19170831     5.1
19170901 19170930    31.0
19171001 19171031     4.8
19171101 19171130     6.4
19171201 19171231    14.0
19180101 19180131    22.9
19180201 19180228     8.9
19180301 19180331    10.2
19180401 19180430     2.1
19180501 19180531     4.1
19180601 19180630    15.3
19180701 19180731     2.3
19180801 19180831    41.7
19180901 19180930     0.8
19181001 19181031     3.0
19181101 19181130     0.0
19181201 19181231     2.5
19190101 19190131     3.6
19190201 19190228    22.4
19190301 19190331     0.0
19190401 19190430    44.3
19190501 19190531     0.0
19190601 19190630     1.5
19190701 19190731     0.0
19190801 19190831    11.1
19190901 19190930     1.6
19191001 19191031     2.8
19191101 19191130     0.0
19191201 19191231    71.6
19200101 19200131    27.9
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430    28.0
19200501 19200531    38.1
19200601 19200630    43.0
19200701 19200731    11.7
19200801 19200831    52.9
19200901 19200930    38.9
19201001 19201031    35.2
19201101 19201130    71.0
19201201 19201231    36.1
19210101 19210131    69.3
19210201 19210228    85.4
19210301 19210331    26.9
19210401 19210430     0.0
19210501 19210531    65.9
19210601 19210630    14.8
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130     5.8
19211201 19211231    19.7
19220101 19220131     0.0
19220201 19220228    30.4
19220301 19220331     2.6
19220401 19220430    22.9
19220501 19220531    41.1
19220601 19220630    38.1
19220701 19220731     1.7
19220801 19220831     0.7
19220901 19220930     0.6
19221001 19221031     3.4
19221101 19221130     3.2
19221201 19221231    57.7
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    10.2
19230601 19230630     0.0
19230701 19230731     6.6
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    73.4
19240101 19240131    28.2
19240201 19240229     4.3
19240301 19240331     0.0
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     2.3
19240801 19240831     9.7
19240901 19240930     1.8
19241001 19241031    23.7
19241101 19241130     5.1
19241201 19241231    37.1
19250101 19250131    13.4
19250201 19250228     0.0
19250301 19250331     0.0
19250401 19250430     0.0
19250501 19250531     8.2
19250601 19250630     0.0
19250701 19250731    16.5
19250801 19250831     5.5
19250901 19250930     3.8
19251001 19251031     2.5
19251101 19251130     7.6
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    99.9
19260401 19260430     3.8
19260501 19260531    17.3
19260601 19260630     8.1
19260701 19260731     1.3
19260801 19260831    19.0
19260901 19260930     8.9
19261001 19261031     0.0
19261101 19261130     7.9
19261201 19261231     6.4
19270101 19270131     0.0
19270201 19270228     7.6
19270301 19270331     0.0
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    61.7
19270701 19270731    17.1
19270801 19270831     2.0
19270901 19270930     0.0
19271001 19271031    41.4
19271101 19271130     1.8
19271201 19271231     0.0
19280101 19280131     0.0
19280201 19280229     0.0
19280301 19280331     6.9
19280401 19280430     0.0
19280501 19280531     2.5
19280601 19280630    13.6
19280701 19280731     8.6
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    33.3
19281101 19281130     0.0
19281201 19281231     5.4
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     1.0
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630    17.3
19290701 19290731     0.0
19290801 19290831     5.1
19290901 19290930     9.6
19291001 19291031     0.0
19291101 19291130     5.3
19291201 19291231    10.2
19300101 19300131     0.8
19300201 19300228     2.8
19300301 19300331     3.9
19300401 19300430    24.1
19300501 19300531    13.1
19300601 19300630     1.8
19300701 19300731    10.3
19300801 19300831    33.8
19300901 19300930     0.0
19301001 19301031    21.6
19301101 19301130     8.2
19301201 19301231    39.9
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    14.7
19310401 19310430    26.7
19310501 19310531     4.3
19310601 19310630    41.6
19310701 19310731     9.1
19310801 19310831     3.5
19310901 19310930     0.0
19311001 19311031    12.4
19311101 19311130     6.9
19311201 19311231     0.0
19320101 19320131     1.0
19320201 19320229    38.1
19320301 19320331     8.3
19320401 19320430     5.7
19320501 19320531    44.7
19320601 19320630     1.3
19320701 19320731    14.9
19320801 19320831    11.9
19320901 19320930    34.6
19321001 19321031    30.7
19321101 19321130     2.3
19321201 19321231     5.6
19330101 19330131     8.4
19330201 19330228     0.0
19330301 19330331     4.0
19330401 19330430     2.1
19330501 19330531     7.6
19330601 19330630     3.1
19330701 19330731    11.4
19330801 19330831    29.8
19330901 19330930     4.1
19331001 19331031     0.8
19331101 19331130    32.0
19331201 19331231     4.3
19340101 19340131    10.4
19340201 19340228    18.8
19340301 19340331     6.4
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     7.4
19340701 19340731    11.4
19340801 19340831    10.4
19340901 19340930     0.5
19341001 19341031     3.3
19341101 19341130    10.2
19341201 19341231     0.0
19350101 19350131     4.8
19350201 19350228     2.0
19350301 19350331    24.6
19350401 19350430     0.3
19350501 19350531     0.0
19350601 19350630     6.1
19350701 19350731     0.0
19350801 19350831    34.6
19350901 19350930    51.5
19351001 19351031    13.4
19351101 19351130    15.1
19351201 19351231     0.0
19360101 19360131    15.2
19360201 19360229     8.4
19360301 19360331     7.6
19360401 19360430     0.0
19360501 19360531     1.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     4.8
19360901 19360930     0.0
19361001 19361031    41.9
19361101 19361130     8.7
19361201 19361231     0.8
19370101 19370131    61.5
19370201 19370228    25.6
19370301 19370331     2.5
19370401 19370430     0.0
19370501 19370531     3.9
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     9.4
19370901 19370930     0.0
19371001 19371031     1.0
19371101 19371130     9.7
19371201 19371231     0.0
19380101 19380131     7.9
19380201 19380228   132.1
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     3.4
19380601 19380630    21.4
19380701 19380731     1.1
19380801 19380831     4.6
19380901 19380930     0.0
19381001 19381031     7.3
19381101 19381130     0.0
19381201 19381231    10.5
19390101 19390131   116.9
19390201 19390228    37.7
19390301 19390331     3.3
19390401 19390430     0.0
19390501 19390531    30.0
19390601 19390630    24.6
19390701 19390731     1.8
19390801 19390831     1.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     3.8
19391201 19391231     0.0
19400101 19400131    31.7
19400201 19400229     0.0
19400301 19400331     7.9
19400401 19400430     6.9
19400501 19400531     7.6
19400601 19400630     0.0
19400701 19400731     2.5
19400801 19400831     0.3
19400901 19400930     5.1
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231     5.6
19410101 19410131    19.6
19410201 19410228     8.4
19410301 19410331    17.6
19410401 19410430    21.9
19410501 19410531     1.3
19410601 19410630    15.3
19410701 19410731    19.4
19410801 19410831     5.1
19410901 19410930     2.1
19411001 19411031    20.3
19411101 19411130    12.2
19411201 19411231     0.0
19420101 19420131     7.1
19420201 19420228     8.1
19420301 19420331     1.0
19420401 19420430     0.0
19420501 19420531     9.9
19420601 19420630    22.9
19420701 19420731     5.6
19420801 19420831     7.5
19420901 19420930     7.1
19421001 19421031     7.6
19421101 19421130    28.5
19421201 19421231    23.3
19430101 19430131     1.8
19430201 19430228    54.1
19430301 19430331     2.3
19430401 19430430     8.4
19430501 19430531     3.4
19430601 19430630     2.4
19430701 19430731    17.1
19430801 19430831    17.4
19430901 19430930     0.0
19431001 19431031     8.7
19431101 19431130     5.6
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229    37.9
19440301 19440331     0.0
19440401 19440430     1.8
19440501 19440531     4.8
19440601 19440630     1.5
19440701 19440731     2.5
19440801 19440831     0.0
19440901 19440930     7.1
19441001 19441031     0.0
