PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19030101 19030131     2.8
19030201 19030228     3.3
19030301 19030331    33.3
19030401 19030430    18.3
19030501 19030531     9.9
19030601 19030630     7.6
19030701 19030731    13.2
19030801 19030831    25.7
19030901 19030930    24.6
19031001 19031031     0.0
19031101 19031130   114.6
19031201 19031231    11.4
19040101 19040131    26.4
19040201 19040229    22.4
19040301 19040331     4.1
19040401 19040430     9.9
19040501 19040531     5.1
19040601 19040630    34.3
19040701 19040731    68.6
19040801 19040831    16.3
19040901 19040930     6.1
19041001 19041031    25.9
19041101 19041130    13.5
19041201 19041231     0.0
19050101 19050131    16.0
19050201 19050228     0.0
19050301 19050331     4.1
19050401 19050430    17.3
19050501 19050531    35.6
19050601 19050630    21.3
19050701 19050731    13.7
19050801 19050831    15.5
19050901 19050930     9.7
19051001 19051031    15.0
19051101 19051130     0.0
19051201 19051231    28.4
19060101 19060131     3.0
19060201 19060228     1.5
19060301 19060331    21.6
19060401 19060430     0.0
19060501 19060531    11.4
19060601 19060630    54.4
19060701 19060731    11.7
19060801 19060831    24.4
19060901 19060930    45.2
19061001 19061031     6.6
19061101 19061130    27.4
19061201 19061231    19.8
19070101 19070131     3.6
19070201 19070228     0.0
19070301 19070331     4.6
19070401 19070430    12.7
19070501 19070531    21.8
19070601 19070630    42.2
19070701 19070731    40.1
19070801 19070831    28.2
19070901 19070930     5.3
19071001 19071031    10.7
19071101 19071130    11.2
19071201 19071231     3.8
19080101 19080131    40.9
19080201 19080229     3.8
19080301 19080331    51.1
19080401 19080430    16.8
19080501 19080531    29.5
19080601 19080630    23.6
19080701 19080731    20.6
19080801 19080831    41.1
19080901 19080930    73.9
19081001 19081031    44.2
19081101 19081130     0.0
19081201 19081231    11.4
19090101 19090131     7.1
19090201 19090228     0.0
19090301 19090331     2.3
19090401 19090430    18.8
19090501 19090531    24.1
19090601 19090630    19.8
19090701 19090731    17.5
19090801 19090831    48.3
19090901 19090930     4.1
19091001 19091031     3.8
19091101 19091130    23.6
19091201 19091231     0.0
19100101 19100131     1.5
19100201 19100228    12.2
19100301 19100331    21.6
19100401 19100430     0.0
19100501 19100531    91.1
19100601 19100630    83.6
19100701 19100731    34.9
19100801 19100831    11.3
19100901 19100930    64.5
19101001 19101031     7.6
19101101 19101130     0.0
19101201 19101231     0.0
19110101 19110131     3.0
19110201 19110228    16.7
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    36.8
19110601 19110630    21.0
19110701 19110731    13.2
19110801 19110831    15.5
19110901 19110930    13.0
19111001 19111031     4.1
19111101 19111130     0.8
19111201 19111231    19.9
19120101 19120131     0.0
19120201 19120229    23.5
19120301 19120331    33.6
19120401 19120430     0.0
19120501 19120531     0.8
19120601 19120630    40.6
19120701 19120731    50.3
19120801 19120831    25.1
19120901 19120930    16.8
19121001 19121031    70.4
19121101 19121130    15.0
19121201 19121231     2.0
19130101 19130131     3.5
19130201 19130228    24.1
19130301 19130331     9.0
19130401 19130430     2.4
19130501 19130531    24.3
19130601 19130630     4.3
19130701 19130731    13.5
19130801 19130831    27.3
19130901 19130930    40.6
19131001 19131031    41.7
19131101 19131130    28.5
19131201 19131231    17.8
19140101 19140131     8.9
19140201 19140228     5.6
19140301 19140331    14.2
19140401 19140430    18.7
19140501 19140531    14.0
19140601 19140630     7.8
19140701 19140731     2.8
19140801 19140831     2.8
19140901 19140930    12.2
19141001 19141031     5.8
19141101 19141130    22.9
19141201 19141231    13.2
19150101 19150131    10.5
19150201 19150228     1.3
19150301 19150331     0.0
19150401 19150430    33.6
