PRCP       016033 18860701 20141231 missing_value=99999.9 OAKDEN HILLS                              
18860701 18860731    24.4
18860801 18860831    71.1
18860901 18860930     7.6
18861001 18861031     0.0
18861101 18861130     7.1
18861201 18861231     8.7
18870101 18870131     1.5
18870201 18870228     0.0
18870301 18870331     2.0
18870401 18870430    16.8
18870501 18870531    16.5
18870601 18870630    23.2
18870701 18870731    11.2
18870801 18870831    38.1
18870901 18870930     0.0
18871001 18871031    22.4
18871101 18871130     2.8
18871201 18871231    58.4
18880101 18880131     0.0
18880201 18880229     0.0
18880301 18880331     3.0
18880401 18880430    25.7
18880501 18880531     7.2
18880601 18880630    15.3
18880701 18880731     5.6
18880801 18880831     0.0
18880901 18880930    14.0
18881001 18881031     3.6
18881101 18881130     0.0
18881201 18881231     1.0
18890101 18890131    64.8
18890201 18890228     3.3
18890301 18890331     4.0
18890401 18890430    78.5
18890501 18890531   111.3
18890601 18890630    53.3
18890701 18890731     0.0
18890801 18890831    13.6
18890901 18890930     5.8
18891001 18891031    11.4
18891101 18891130    13.0
18891201 18891231     0.0
18900101 18900131    56.7
18900201 18900228     7.7
18900301 18900331    19.1
18900401 18900430    14.8
18900501 18900531    25.4
18900601 18900630    34.8
18900701 18900731    39.8
18900801 18900831    16.1
18900901 18900930     6.4
18901001 18901031     8.6
18901101 18901130     6.9
18901201 18901231     0.0
18910101 18910131    11.9
18910201 18910228     0.0
18910301 18910331     0.0
18910401 18910430    86.6
18910501 18910531    19.0
18910601 18910630    24.3
18910701 18910731     5.3
18910801 18910831    17.8
18910901 18910930     9.7
18911001 18911031     7.6
18911101 18911130     1.3
18911201 18911231     1.8
18920101 18920131     1.3
18920201 18920229     0.0
18920301 18920331     0.0
18920401 18920430     3.3
18920501 18920531     6.4
18920601 18920630     5.3
18920701 18920731     1.3
18920801 18920831    26.2
18920901 18920930   100.6
18921001 18921031    73.3
18921101 18921130    12.2
18921201 18921231     3.6
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     0.0
18930401 18930430    38.1
18930501 18930531    59.3
18930601 18930630    12.3
18930701 18930731    10.5
18930801 18930831     8.4
18930901 18930930     4.3
18931001 18931031     3.3
18931101 18931130    12.7
18931201 18931231    12.4
18940101 18940131     0.0
18940201 18940228     7.9
18940301 18940331     3.0
18940401 18940430     7.9
18940501 18940531     2.0
18940601 18940630     1.1
18940701 18940731    16.2
18940801 18940831     5.3
18940901 18940930    11.4
18941001 18941031    36.6
18941101 18941130     2.8
18941201 18941231    15.2
18950101 18950131    61.0
18950201 18950228     2.8
18950301 18950331     1.5
18950401 18950430    58.7
