PRCP       016040 19100101 20141130 missing_value=99999.9 ROXBY DOWNS STATION                       
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331    26.3
19100401 19100430     1.0
19100501 19100531    43.4
19100601 19100630    56.4
19100701 19100731    19.1
19100801 19100831     6.7
19100901 19100930    20.3
19101001 19101031     0.8
19101101 19101130    23.9
19101201 19101231     0.0
19110101 19110131     0.0
19110201 19110228     0.0
19110301 19110331     1.0
19110401 19110430     0.0
19110501 19110531    12.1
19110601 19110630     9.4
19110701 19110731     4.3
19110801 19110831    15.8
19110901 19110930     6.1
19111001 19111031     0.0
19111101 19111130    13.5
19111201 19111231    41.5
19120101 19120131     0.0
19120201 19120229    15.0
19120301 19120331    42.5
19120401 19120430     0.0
19120501 19120531     3.0
19120601 19120630    32.9
19120701 19120731    11.4
19120801 19120831     4.8
19120901 19120930     0.0
19121001 19121031     0.0
19121101 19121130    10.9
19121201 19121231     5.1
19130101 19130131     1.5
19130201 19130228    29.8
19130301 19130331    43.9
19130401 19130430     0.0
19130501 19130531    12.2
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     4.6
19130901 19130930    10.6
19131001 19131031    18.5
19131101 19131130    27.8
19131201 19131231    12.7
19140101 19140131     8.1
19140201 19140228     0.0
19140301 19140331     2.8
19140401 19140430     6.6
19140501 19140531     2.0
19140601 19140630    17.8
19140701 19140731     1.6
19140801 19140831     0.0
19140901 19140930     7.4
19141001 19141031     0.0
19141101 19141130    51.2
19141201 19141231    27.6
19150101 19150131    22.4
19150201 19150228     2.0
19150301 19150331     0.0
19150401 19150430     4.3
19150501 19150531    21.3
19150601 19150630     4.3
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930    39.3
19151001 19151031     1.5
19151101 19151130     0.0
19151201 19151231     7.1
19160101 19160131     2.3
19160201 19160229     1.5
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531     8.4
19160601 19160630    27.0
19160701 19160731    40.8
19160801 19160831    14.8
19160901 19160930    56.3
19161001 19161031    24.0
19161101 19161130    31.1
19161201 19161231     8.4
19170101 19170131    69.9
19170201 19170228    16.3
19170301 19170331    16.3
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630    46.4
19170701 19170731    39.7
19170801 19170831     7.9
19170901 19170930    26.7
19171001 19171031    13.4
19171101 19171130     0.0
19171201 19171231     0.0
19180101 19180131     4.5
19180201 19180228     0.0
19180301 19180331     3.0
19180401 19180430     3.8
19180501 19180531    12.5
19180601 19180630    19.1
19180701 19180731     5.3
19180801 19180831    24.4
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228    40.2
19190301 19190331     0.0
19190401 19190430    22.0
19190501 19190531     8.6
19190601 19190630     0.0
19190701 19190731     2.5
19190801 19190831     8.4
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    20.4
19191201 19191231    49.6
19200101 19200131    32.3
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430    43.3
19200501 19200531    38.7
19200601 19200630     3.3
19200701 19200731     2.0
19200801 19200831    42.3
19200901 19200930    64.8
19201001 19201031    13.8
19201101 19201130    82.8
19201201 19201231    25.8
19210101 19210131    89.1
19210201 19210228   108.4
19210301 19210331    17.5
19210401 19210430     0.0
19210501 19210531    70.8
19210601 19210630    28.6
19210701 19210731     1.5
19210801 19210831     2.5
19210901 19210930     0.0
19211001 19211031     2.0
19211101 19211130     1.3
19211201 19211231     7.6
19220101 19220131     4.6
19220201 19220228     0.8
19220301 19220331     0.0
19220401 19220430    25.5
19220501 19220531    72.2
19220601 19220630     0.0
19220701 19220731     6.1
19220801 19220831     3.3
19220901 19220930     7.2
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231    46.5
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     3.3
19230401 19230430     5.1
19230501 19230531    28.8
19230601 19230630    14.1
19230701 19230731     5.1
19230801 19230831     3.4
19230901 19230930     0.0
19231001 19231031    10.5
19231101 19231130     0.0
19231201 19231231    36.4
19240101 19240131     9.7
19240201 19240229    11.0
19240301 19240331     0.0
19240401 19240430     5.8
19240501 19240531     2.3
19240601 19240630     9.2
19240701 19240731     1.3
19240801 19240831    15.9
19240901 19240930    13.7
19241001 19241031    45.9
19241101 19241130    31.1
19241201 19241231    21.6
19250101 19250131     4.8
19250201 19250228    17.8
19250301 19250331     0.0
19250401 19250430    14.5
19250501 19250531    20.3
19250601 19250630     2.8
19250701 19250731    22.9
19250801 19250831     7.8
19250901 19250930     0.0
19251001 19251031     1.3
19251101 19251130     5.1
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    31.7
19260401 19260430    12.5
19260501 19260531    23.3
19260601 19260630    16.8
19260701 19260731     4.6
19260801 19260831    23.9
19260901 19260930    40.5
19261001 19261031     0.0
19261101 19261130     3.8
19261201 19261231     0.0
19270101 19270131    17.6
19270201 19270228     8.1
19270301 19270331     6.1
19270401 19270430     0.0
19270501 19270531     1.3
19270601 19270630    71.4
19270701 19270731    12.7
19270801 19270831     0.0
19270901 19270930     3.8
19271001 19271031     4.8
19271101 19271130     2.5
19271201 19271231     0.0
19280101 19280131     1.0
19280201 19280229     8.4
19280301 19280331     3.8
19280401 19280430     0.0
19280501 19280531     3.6
19280601 19280630    19.4
19280701 19280731     5.6
19280801 19280831     0.0
19280901 19280930     4.1
19281001 19281031    12.5
19281101 19281130     0.0
19281201 19281231    17.5
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     6.6
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630    10.7
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     4.6
19291001 19291031     0.0
19291101 19291130     3.0
19291201 19291231    62.3
19300101 19300131     0.0
19300201 19300228    49.9
19300301 19300331     3.3
19300401 19300430    18.4
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731    21.7
19300801 19300831    21.4
19300901 19300930     6.4
19301001 19301031    28.1
19301101 19301130    17.3
19301201 19301231    48.9
19310101 19310131     1.5
19310201 19310228     0.0
19310301 19310331    29.2
19310401 19310430    19.8
19310501 19310531     9.9
19310601 19310630    25.1
19310701 19310731     4.6
19310801 19310831     5.8
19310901 19310930     3.3
19311001 19311031     3.0
19311101 19311130     0.0
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    18.0
19320301 19320331     1.8
19320401 19320430     2.5
19320501 19320531    35.3
19320601 19320630     5.1
19320701 19320731     7.6
19320801 19320831    17.0
19320901 19320930    24.4
19321001 19321031    18.0
19321101 19321130     8.1
19321201 19321231     7.1
19330101 19330131     3.0
19330201 19330228     0.0
19330301 19330331    18.5
19330401 19330430     1.3
19330501 19330531    18.0
19330601 19330630     0.0
19330701 19330731     9.7
19330801 19330831    31.5
19330901 19330930     3.3
19331001 19331031     8.6
19331101 19331130    17.8
19331201 19331231     2.0
19340101 19340131     0.0
19340201 19340228    12.7
19340301 19340331     9.5
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     7.4
19340701 19340731    10.2
19340801 19340831     3.3
19340901 19340930     2.5
19341001 19341031    27.6
19341101 19341130    51.3
19341201 19341231     0.0
19350101 19350131    31.3
19350201 19350228     0.0
19350301 19350331    13.2
19350401 19350430     2.0
19350501 19350531     0.5
19350601 19350630     5.4
19350701 19350731     6.9
19350801 19350831    24.9
19350901 19350930    16.2
19351001 19351031     8.8
19351101 19351130     6.1
19351201 19351231     0.0
19360101 19360131    15.2
19360201 19360229     4.3
19360301 19360331     4.8
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     5.7
19360801 19360831    15.0
19360901 19360930     0.0
19361001 19361031    12.7
19361101 19361130     4.3
19361201 19361231     5.6
19370101 19370131    85.6
19370201 19370228    34.0
19370301 19370331     0.0
19370401 19370430     9.7
19370501 19370531     7.1
19370601 19370630     3.8
19370701 19370731     0.0
19370801 19370831    14.5
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130     4.1
19371201 19371231     0.0
19380101 19380131     2.0
19380201 19380228    87.4
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.8
19380601 19380630    15.7
19380701 19380731    10.9
19380801 19380831    19.1
19380901 19380930     0.0
19381001 19381031    49.5
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131    85.3
19390201 19390228    33.0
19390301 19390331    12.4
19390401 19390430     0.0
19390501 19390531    27.2
19390601 19390630    56.4
19390701 19390731     0.0
19390801 19390831     6.4
19390901 19390930     2.5
19391001 19391031     0.0
19391101 19391130    44.7
19391201 19391231     0.0
19400101 19400131     6.6
19400201 19400229     0.0
19400301 19400331     8.4
19400401 19400430     0.0
19400501 19400531     6.9
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     2.3
19400901 19400930     5.0
19401001 19401031     3.8
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    52.8
19410201 19410228     7.9
19410301 19410331    21.9
19410401 19410430     2.8
19410501 19410531     0.0
19410601 19410630    24.2
19410701 19410731    16.3
19410801 19410831     1.5
19410901 19410930     0.0
19411001 19411031    16.3
19411101 19411130     5.3
19411201 19411231     0.0
19420101 19420131     8.7
19420201 19420228     2.5
19420301 19420331     0.0
19420401 19420430     1.0
19420501 19420531    13.7
19420601 19420630    13.5
19420701 19420731     5.3
19420801 19420831     4.1
19420901 19420930     7.1
19421001 19421031     0.0
19421101 19421130     6.9
19421201 19421231     0.0
19430101 19430131     0.0
19430201 19430228    25.9
19430301 19430331     0.0
19430401 19430430     1.3
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     4.6
19430801 19430831     7.9
19430901 19430930     0.0
19431001 19431031     2.1
19431101 19431130     5.4
19431201 19431231     0.0
19440101 19440131     4.3
19440201 19440229    21.1
19440301 19440331     0.0
19440401 19440430     2.8
19440501 19440531     2.3
19440601 19440630     0.0
