PRCP       016055 18940101 20180131 missing_value=99999.9 YARDEA                                    
18940101 18940131     0.0
18940201 18940228     1.3
18940301 18940331     7.4
18940401 18940430    17.0
18940501 18940531    17.0
18940601 18940630    29.6
18940701 18940731    31.7
18940801 18940831    26.7
18940901 18940930    22.3
18941001 18941031    46.3
18941101 18941130     1.3
18941201 18941231    17.5
18950101 18950131    43.7
18950201 18950228     2.8
18950301 18950331    29.8
18950401 18950430    49.0
18950501 18950531     6.4
18950601 18950630    31.0
18950701 18950731    26.8
18950801 18950831    35.8
18950901 18950930    49.5
18951001 18951031     7.8
18951101 18951130     2.3
18951201 18951231     3.3
18960101 18960131    65.1
18960201 18960229    23.2
18960301 18960331     2.3
18960401 18960430     9.1
18960501 18960531    10.4
18960601 18960630    24.1
18960701 18960731    32.0
18960801 18960831     7.9
18960901 18960930    19.6
18961001 18961031     0.0
18961101 18961130     2.0
18961201 18961231    25.9
18970101 18970131     3.0
18970201 18970228    12.4
18970301 18970331    12.5
18970401 18970430     4.5
18970501 18970531     9.9
18970601 18970630    41.4
18970701 18970731    38.9
18970801 18970831    20.4
18970901 18970930    12.9
18971001 18971031     4.6
18971101 18971130     0.3
18971201 18971231     3.3
18980101 18980131     0.0
18980201 18980228     3.8
18980301 18980331     4.3
18980401 18980430    21.6
18980501 18980531    22.4
18980601 18980630    92.7
18980701 18980731    26.4
18980801 18980831    58.9
18980901 18980930     7.6
18981001 18981031    21.3
18981101 18981130     4.8
18981201 18981231     0.0
18990101 18990131     3.0
18990201 18990228    22.1
18990301 18990331     3.8
18990401 18990430    13.6
18990501 18990531    13.8
18990601 18990630    31.2
18990701 18990731     4.9
18990801 18990831    20.7
18990901 18990930    50.6
18991001 18991031     2.6
18991101 18991130    11.4
18991201 18991231     3.3
19000101 19000131    10.7
19000201 19000228     2.5
19000301 19000331    78.0
19000401 19000430    35.0
19000501 19000531    24.7
19000601 19000630    66.9
19000701 19000731    20.2
19000801 19000831    21.4
19000901 19000930    19.9
19001001 19001031     6.3
19001101 19001130     0.8
19001201 19001231     1.1
19010101 19010131     2.5
19010201 19010228   108.2
19010301 19010331     5.6
19010401 19010430    47.4
19010501 19010531     3.3
19010601 19010630    36.9
19010701 19010731    34.3
19010801 19010831    64.2
19010901 19010930    23.1
19011001 19011031    26.5
19011101 19011130     8.2
19011201 19011231    25.9
19020101 19020131    14.8
19020201 19020228    13.3
19020301 19020331     8.9
19020401 19020430     1.3
19020501 19020531     7.2
19020601 19020630    37.5
19020701 19020731     7.7
19020801 19020831    12.8
19020901 19020930    33.9
19021001 19021031    50.8
19021101 19021130    15.3
19021201 19021231     5.7
19030101 19030131    14.5
19030201 19030228     5.9
19030301 19030331    18.6
19030401 19030430    49.3
19030501 19030531    20.3
19030601 19030630    17.9
19030701 19030731    24.3
19030801 19030831    24.0
19030901 19030930    18.6
19031001 19031031    20.7
19031101 19031130    41.0
19031201 19031231    27.2
19040101 19040131     5.1
19040201 19040229    31.5
19040301 19040331    24.9
19040401 19040430    11.1
19040501 19040531     7.9
19040601 19040630    45.2
19040701 19040731    78.9
19040801 19040831    14.5
19040901 19040930     5.8
19041001 19041031    37.1
19041101 19041130     4.6
19041201 19041231     2.1
19050101 19050131    13.2
19050201 19050228     2.1
19050301 19050331     8.2
19050401 19050430    14.8
19050501 19050531    45.4
19050601 19050630    28.2
19050701 19050731    31.8
19050801 19050831    12.8
19050901 19050930    26.1
19051001 19051031    29.6
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     3.8
19060201 19060228     8.7
19060301 19060331     9.4
19060401 19060430     1.3
19060501 19060531    23.3
19060601 19060630    73.2
19060701 19060731    18.9
19060801 19060831    28.2
19060901 19060930    45.0
19061001 19061031    11.5
19061101 19061130    35.9
19061201 19061231    21.9
19070101 19070131     2.0
19070201 19070228     0.0
19070301 19070331     3.8
19070401 19070430    10.5
19070501 19070531    10.9
19070601 19070630    43.4
19070701 19070731    32.3
19070801 19070831    34.8
19070901 19070930    10.1
19071001 19071031    25.9
19071101 19071130    16.7
19071201 19071231    12.9
19080101 19080131    18.8
19080201 19080229     3.9
19080301 19080331    88.9
19080401 19080430    16.3
19080501 19080531    47.5
19080601 19080630    48.9
19080701 19080731    11.4
19080801 19080831    74.3
19080901 19080930    20.5
19081001 19081031    32.5
19081101 19081130     0.0
19081201 19081231     3.3
19090101 19090131     5.6
19090201 19090228     4.6
19090301 19090331    12.5
19090401 19090430    28.3
19090501 19090531    41.0
19090601 19090630    40.9
19090701 19090731    58.3
19090801 19090831    70.1
19090901 19090930     6.4
19091001 19091031    37.5
19091101 19091130     2.3
19091201 19091231     0.0
19100101 19100131    32.3
19100201 19100228    14.7
19100301 19100331    31.8
19100401 19100430     0.0
19100501 19100531    76.4
19100601 19100630    55.6
19100701 19100731    54.5
19100801 19100831    19.3
19100901 19100930    64.2
19101001 19101031    22.2
19101101 19101130    11.7
19101201 19101231    14.7
19110101 19110131     2.3
19110201 19110228    30.8
19110301 19110331     5.3
19110401 19110430     0.0
19110501 19110531    21.6
19110601 19110630    26.3
19110701 19110731    35.1
19110801 19110831    27.7
19110901 19110930    23.7
19111001 19111031     6.2
19111101 19111130     1.3
19111201 19111231    60.5
19120101 19120131     0.5
19120201 19120229    44.5
19120301 19120331    49.0
19120401 19120430     0.0
19120501 19120531     9.7
19120601 19120630    33.6
19120701 19120731    49.8
19120801 19120831    21.3
19120901 19120930    19.8
19121001 19121031    37.8
19121101 19121130    25.1
19121201 19121231    10.7
19130101 19130131     1.8
19130201 19130228    31.6
19130301 19130331    59.2
19130401 19130430     2.6
19130501 19130531    20.4
19130601 19130630     3.0
19130701 19130731    11.4
19130801 19130831    50.4
19130901 19130930    57.2
19131001 19131031    36.7
19131101 19131130    27.1
19131201 19131231    22.6
19140101 19140131     2.3
19140201 19140228    47.0
19140301 19140331    26.2
19140401 19140430     9.2
19140501 19140531     8.4
19140601 19140630    10.5
19140701 19140731     9.4
19140801 19140831     1.1
19140901 19140930     9.9
19141001 19141031     5.9
19141101 19141130    48.3
19141201 19141231     5.3
19150101 19150131    11.7
19150201 19150228     7.2
19150301 19150331     1.3
19150401 19150430    14.6
19150501 19150531    23.4
19150601 19150630    28.6
19150701 19150731    28.4
19150801 19150831    49.3
19150901 19150930    32.4
19151001 19151031     5.7
19151101 19151130     0.0
19151201 19151231    14.0
19160101 19160131     2.6
19160201 19160229     2.8
19160301 19160331     1.8
19160401 19160430     2.1
19160501 19160531    12.6
19160601 19160630    55.0
19160701 19160731    58.3
19160801 19160831    65.6
19160901 19160930    38.7
19161001 19161031    53.2
19161101 19161130    13.5
19161201 19161231     1.8
19170101 19170131    30.4
19170201 19170228     0.0
19170301 19170331    13.7
19170401 19170430     0.0
19170501 19170531    35.3
19170601 19170630    49.8
19170701 19170731    65.5
19170801 19170831    51.3
19170901 19170930    49.8
19171001 19171031    55.6
