PRCP       016083 18910601 20171231 missing_value=99999.9 HAMILTON STATION                          
18910601 18910630    11.1
18910701 18910731     0.0
18910801 18910831     4.4
18910901 18910930     0.0
18911001 18911031     2.7
18911101 18911130     1.4
18911201 18911231     2.7
18920101 18920131     1.9
18920201 18920229     0.5
18920301 18920331     0.0
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     1.1
18920701 18920731     0.9
18920801 18920831     4.6
18920901 18920930    17.4
18921001 18921031    11.3
18921101 18921130     2.0
18921201 18921231    27.6
18930101 18930131     4.6
18930201 18930228     0.0
18930301 18930331     8.3
18930401 18930430     6.5
18930501 18930531    41.8
18930601 18930630     8.2
18930701 18930731     0.0
18930801 18930831     0.5
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130    38.1
18931201 18931231     0.0
18940101 18940131    28.2
18940201 18940228    47.7
18940301 18940331     3.5
18940401 18940430     2.1
18940501 18940531     0.0
18940601 18940630     2.8
18940701 18940731     0.0
18940801 18940831     3.0
18940901 18940930    10.3
18941001 18941031    19.5
18941101 18941130     0.0
18941201 18941231    18.8
18950101 18950131   140.4
18950201 18950228     0.0
18950301 18950331     0.0
18950401 18950430    12.3
18950501 18950531     2.2
18950601 18950630    10.9
18950701 18950731     0.9
18950801 18950831     0.9
18950901 18950930     1.6
18951001 18951031     0.0
18951101 18951130     3.7
18951201 18951231     7.9
18960101 18960131    41.8
18960201 18960229    14.9
18960301 18960331     7.0
18960401 18960430     0.0
18960501 18960531     0.9
18960601 18960630     0.0
18960701 18960731     2.8
18960801 18960831     1.9
18960901 18960930    10.9
18961001 18961031     7.0
18961101 18961130     4.6
18961201 18961231     7.0
18970101 18970131     1.4
18970201 18970228    12.2
18970301 18970331    46.3
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    15.5
18970701 18970731     2.7
18970801 18970831     0.0
18970901 18970930    19.0
18971001 18971031    13.0
18971101 18971130     0.0
18971201 18971231    21.7
18980101 18980131     0.0
18980201 18980228    89.2
18980301 18980331     2.7
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    37.9
18980701 18980731     0.0
18980801 18980831     9.5
18980901 18980930    16.3
18981001 18981031     0.0
18981101 18981130     0.0
18981201 18981231     5.4
18990101 18990131     0.0
18990201 18990228     7.1
18990301 18990331    40.7
18990401 18990430    11.4
18990501 18990531     0.0
18990601 18990630    52.8
18990701 18990731     0.0
18990801 18990831     0.0
18990901 18990930    11.0
18991001 18991031     2.7
18991101 18991130    16.8
18991201 18991231     8.2
19000101 19000131     0.0
19000201 19000228     0.0
19000301 19000331    22.9
19000401 19000430     4.1
19000501 19000531     0.0
19000601 19000630     0.0
19000701 19000731     0.0
19000801 19000831     0.0
19000901 19000930     2.7
19001001 19001031     7.8
19001101 19001130     2.8
19001201 19001231     1.4
19010101 19010131     0.0
19010201 19010228   112.8
19010301 19010331     0.0
19010401 19010430     4.9
19010501 19010531     0.0
19010601 19010630     2.7
19010701 19010731     0.0
19010801 19010831     7.4
19010901 19010930     1.6
19011001 19011031     3.2
19011101 19011130     0.0
19011201 19011231     1.4
19020101 19020131     6.5
19020201 19020228     3.5
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630    13.6
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     1.1
19021101 19021130    21.1
19021201 19021231    25.0
19030101 19030131    12.0
19030201 19030228     0.0
19030301 19030331     5.4
19030401 19030430    48.5
19030501 19030531    10.9
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831    16.2
19030901 19030930     0.9
19031001 19031031     7.4
19031101 19031130    31.7
19031201 19031231    15.7
19040101 19040131     0.0
19040201 19040229    81.6
19040301 19040331     5.4
19040401 19040430     4.6
19040501 19040531    13.9
19040601 19040630     5.4
19040701 19040731    45.6
19040801 19040831     0.0
19040901 19040930    59.9
19041001 19041031    22.0
19041101 19041130     1.4
19041201 19041231     2.1
19050101 19050131     0.0
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430     8.6
19050501 19050531     9.2
19050601 19050630    44.2
19050701 19050731    19.0
19050801 19050831     0.0
19050901 19050930     5.4
19051001 19051031     8.1
19051101 19051130     0.0
