PRCP       017004 19100101 20160630 missing_value=99999.9 ANNA CREEK                                
19100101 19100131     1.3
19100201 19100228     0.5
19100301 19100331   118.4
19100401 19100430     1.3
19100501 19100531    30.9
19100601 19100630    41.6
19100701 19100731    10.3
19100801 19100831    10.5
19100901 19100930    18.1
19101001 19101031     3.2
19101101 19101130     2.3
19101201 19101231     2.1
19110101 19110131     2.0
19110201 19110228     7.9
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    18.5
19110601 19110630     6.3
19110701 19110731    18.0
19110801 19110831     2.9
19110901 19110930     8.9
19111001 19111031     2.9
19111101 19111130     2.7
19111201 19111231    72.1
19120101 19120131     0.0
19120201 19120229    15.5
19120301 19120331     8.0
19120401 19120430     0.8
19120501 19120531     0.3
19120601 19120630    24.6
19120701 19120731     6.3
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     0.8
19121101 19121130    24.3
19121201 19121231     1.3
19130101 19130131     1.3
19130201 19130228    49.6
19130301 19130331    18.7
19130401 19130430     0.0
19130501 19130531     3.7
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     9.7
19131001 19131031    43.4
19131101 19131130    27.4
19131201 19131231     2.5
19140101 19140131    18.9
19140201 19140228     2.7
19140301 19140331     1.5
19140401 19140430     6.2
19140501 19140531     0.0
19140601 19140630     2.7
19140701 19140731     0.8
19140801 19140831     0.0
19140901 19140930     2.1
19141001 19141031     9.2
19141101 19141130    28.8
19141201 19141231    49.1
19150101 19150131    16.9
19150201 19150228     1.0
19150301 19150331     0.0
19150401 19150430     7.7
19150501 19150531     6.0
19150601 19150630     3.5
19150701 19150731     1.3
19150801 19150831     5.7
19150901 19150930    15.2
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231     2.3
19160101 19160131     0.0
19160201 19160229     1.0
19160301 19160331     5.4
19160401 19160430     1.3
19160501 19160531     3.6
19160601 19160630    23.3
19160701 19160731    30.4
19160801 19160831     5.3
19160901 19160930    14.9
19161001 19161031    54.6
19161101 19161130    25.2
19161201 19161231     7.9
19170101 19170131    59.7
19170201 19170228    16.2
19170301 19170331     7.3
19170401 19170430     0.0
19170501 19170531     0.0
