PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
18850801 18850831     0.8
18850901 18850930     6.0
18851001 18851031     4.6
18851101 18851130     1.8
18851201 18851231     4.0
18860101 18860131     4.6
18860201 18860228     0.0
18860301 18860331     0.0
18860401 18860430     0.0
18860501 18860531     6.6
18860601 18860630    16.5
18860701 18860731     9.3
18860801 18860831    75.9
18860901 18860930     2.8
18861001 18861031    10.4
18861101 18861130     0.0
18861201 18861231    79.3
18870101 18870131     0.0
18870201 18870228     2.5
18870301 18870331    10.0
18870401 18870430    32.0
18870501 18870531    10.9
18870601 18870630     3.6
18870701 18870731    17.1
18870801 18870831    26.4
18870901 18870930     0.0
18871001 18871031     8.6
18871101 18871130    11.2
18871201 18871231    43.6
18880101 18880131     0.8
18880201 18880229     0.0
18880301 18880331     0.0
18880401 18880430     0.0
18880501 18880531    20.8
18880601 18880630     0.8
18880701 18880731     4.6
18880801 18880831     1.3
18880901 18880930     1.3
18881001 18881031     2.5
18881101 18881130    12.7
18881201 18881231    15.0
18890101 18890131    60.5
18890201 18890228     0.0
18890301 18890331     0.0
18890401 18890430    43.9
18890501 18890531    72.8
18890601 18890630    14.3
18890701 18890731     0.0
18890801 18890831     4.1
18890901 18890930     5.1
18891001 18891031     6.8
18891101 18891130    19.3
18891201 18891231     0.8
18900101 18900131    24.3
18900201 18900228    37.6
18900301 18900331     1.8
18900401 18900430    25.4
18900501 18900531    17.0
18900601 18900630     6.4
18900701 18900731    15.1
18900801 18900831     1.0
18900901 18900930     0.0
18901001 18901031     2.5
18901101 18901130     5.6
18901201 18901231     0.0
18910101 18910131    24.6
18910201 18910228     1.5
18910301 18910331    24.4
18910401 18910430    49.7
18910501 18910531    15.5
18910601 18910630     7.9
18910701 18910731     1.3
18910801 18910831     6.9
18910901 18910930     3.0
18911001 18911031     5.3
18911101 18911130     0.0
18911201 18911231     5.4
18920101 18920131    11.9
18920201 18920229     3.3
18920301 18920331     0.0
18920401 18920430     0.0
18920501 18920531     7.9
18920601 18920630     0.5
18920701 18920731     0.0
18920801 18920831     8.9
18920901 18920930    18.0
18921001 18921031    39.8
18921101 18921130    24.6
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     0.0
18930401 18930430    32.8
18930501 18930531    72.0
18930601 18930630    22.6
18930701 18930731     0.0
18930801 18930831     0.0
18930901 18930930     0.5
18931001 18931031     5.1
18931101 18931130    42.2
18931201 18931231     7.6
18940101 18940131     0.0
18940201 18940228    32.0
18940301 18940331     1.3
18940401 18940430    12.2
18940501 18940531     1.3
18940601 18940630    18.0
18940701 18940731     0.3
18940801 18940831    13.7
18940901 18940930    22.1
18941001 18941031    25.2
18941101 18941130     1.0
18941201 18941231    70.6
18950101 18950131    75.2
18950201 18950228     0.0
18950301 18950331     0.0
18950401 18950430    23.4
18950501 18950531     9.6
18950601 18950630    10.4
18950701 18950731     0.0
18950801 18950831     2.5
18950901 18950930     5.6
18951001 18951031     0.0
18951101 18951130    13.2
18951201 18951231    16.8
18960101 18960131     6.9
18960201 18960229    65.1
18960301 18960331     7.1
18960401 18960430     0.5
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731    18.0
18960801 18960831     0.5
18960901 18960930     6.9
18961001 18961031     0.5
18961101 18961130    16.0
18961201 18961231     2.8
18970101 18970131    11.4
18970201 18970228    16.7
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    25.9
18970701 18970731     4.5
18970801 18970831     7.9
18970901 18970930    24.6
18971001 18971031     1.3
18971101 18971130     0.0
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    39.6
18980301 18980331     0.0
18980401 18980430     0.0
18980501 18980531     1.8
18980601 18980630    75.2
18980701 18980731     0.0
18980801 18980831    17.3
18980901 18980930     3.8
18981001 18981031     0.0
18981101 18981130     1.8
18981201 18981231     0.0
18990101 18990131    25.4
18990201 18990228    12.2
18990301 18990331    41.9
18990401 18990430     1.0
18990501 18990531     0.0
18990601 18990630    68.9
18990701 18990731     0.0
18990801 18990831     2.8
18990901 18990930    26.4
18991001 18991031     5.6
18991101 18991130     4.6
18991201 18991231     0.8
19000101 19000131     7.9
19000201 19000228     0.0
19000301 19000331    49.0
19000401 19000430     1.8
19000501 19000531     0.5
19000601 19000630    13.6
19000701 19000731     3.8
19000801 19000831     6.3
19000901 19000930     2.8
19001001 19001031     0.0
19001101 19001130     2.5
19001201 19001231     0.0
19010101 19010131     0.0
19010201 19010228    15.5
19010301 19010331     0.3
19010401 19010430    10.2
19010501 19010531     0.0
19010601 19010630     7.4
19010701 19010731     0.0
19010801 19010831    13.2
19010901 19010930    21.8
19011001 19011031     0.8
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228     6.3
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     3.0
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     8.6
19021001 19021031     1.0
19021101 19021130    15.2
19021201 19021231    21.8
19030101 19030131    11.4
19030201 19030228     0.0
19030301 19030331     3.3
19030401 19030430    53.3
19030501 19030531    15.2
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     6.6
19030901 19030930    19.1
19031001 19031031    20.6
19031101 19031130    22.5
19031201 19031231    35.9
19040101 19040131     0.0
19040201 19040229    23.8
19040301 19040331    19.3
19040401 19040430     2.3
19040501 19040531    10.5
19040601 19040630    14.0
19040701 19040731    47.3
19040801 19040831     3.9
19040901 19040930    83.7
19041001 19041031    31.5
19041101 19041130     4.8
19041201 19041231    14.8
19050101 19050131    24.4
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430     1.8
19050501 19050531     2.8
19050601 19050630    34.8
19050701 19050731    50.8
19050801 19050831     5.3
19050901 19050930     6.9
19051001 19051031     3.3
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228    48.6
19060301 19060331    42.0
19060401 19060430     0.0
19060501 19060531    27.5
19060601 19060630    30.6
19060701 19060731    16.0
19060801 19060831    14.7
19060901 19060930    30.7
19061001 19061031     8.2
19061101 19061130     9.7
19061201 19061231     7.4
19070101 19070131    18.8
19070201 19070228     1.3
19070301 19070331     1.5
19070401 19070430     2.0
19070501 19070531    12.5
19070601 19070630    86.1
19070701 19070731     5.4
19070801 19070831    13.0
19070901 19070930     1.0
19071001 19071031     0.8
19071101 19071130     4.9
19071201 19071231     8.4
19080101 19080131     1.3
19080201 19080229    12.7
19080301 19080331    47.2
19080401 19080430    13.7
19080501 19080531     4.8
19080601 19080630     3.4
19080701 19080731     4.5
19080801 19080831    21.4
19080901 19080930    20.3
19081001 19081031    19.9
19081101 19081130     1.8
19081201 19081231    13.7
19090101 19090131     0.0
19090201 19090228     0.0
19090301 19090331     4.3
19090401 19090430     4.1
19090501 19090531    53.6
19090601 19090630    29.0
19090701 19090731     4.3
19090801 19090831     8.4
19090901 19090930     0.3
19091001 19091031    20.8
19091101 19091130     3.3
19091201 19091231     0.0
19100101 19100131     6.9
19100201 19100228     0.5
19100301 19100331    83.3
19100401 19100430     1.6
19100501 19100531    31.2
19100601 19100630    69.1
19100701 19100731     3.7
19100801 19100831    11.8
19100901 19100930    12.1
19101001 19101031     2.6
19101101 19101130     5.8
19101201 19101231     2.1
19110101 19110131    11.9
19110201 19110228     2.8
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    21.3
19110601 19110630     5.6
19110701 19110731    11.3
19110801 19110831     9.2
19110901 19110930     0.8
19111001 19111031     0.0
19111101 19111130    24.5
19111201 19111231    90.8
19120101 19120131     0.0
19120201 19120229     3.0
19120301 19120331    17.3
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    47.8
19120701 19120731     4.1
19120801 19120831     1.3
19120901 19120930     0.0
19121001 19121031     2.8
19121101 19121130    44.1
19121201 19121231     6.1
19130101 19130131     1.3
19130201 19130228    12.9
19130301 19130331    36.1
19130401 19130430     0.0
19130501 19130531     7.1
19130601 19130630     0.0
19130701 19130731     1.1
19130801 19130831     0.0
19130901 19130930     4.4
19131001 19131031    57.4
19131101 19131130    25.6
19131201 19131231    11.2
19140101 19140131    15.4
19140201 19140228    19.8
19140301 19140331    55.7
19140401 19140430    17.3
19140501 19140531     1.1
19140601 19140630     4.6
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     1.5
19141001 19141031     4.0
19141101 19141130    43.1
19141201 19141231    51.3
19150101 19150131     2.3
19150201 19150228     1.3
19150301 19150331     0.0
19150401 19150430     7.2
19150501 19150531    23.3
19150601 19150630     9.7
19150701 19150731     6.9
19150801 19150831    14.7
