PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19070801 19070831    52.5
19070901 19070930    11.9
19071001 19071031    33.6
19071101 19071130    37.2
19071201 19071231    18.6
19080101 19080131    11.7
19080201 19080229    15.8
19080301 19080331    20.3
19080401 19080430    69.1
19080501 19080531    39.6
19080601 19080630    53.1
19080701 19080731     9.4
19080801 19080831    50.6
19080901 19080930    49.1
19081001 19081031    57.7
19081101 19081130     0.0
19081201 19081231    13.2
19090101 19090131     0.0
19090201 19090228     3.3
19090301 19090331    10.2
19090401 19090430    30.9
19090501 19090531    33.8
19090601 19090630    45.8
19090701 19090731    45.3
19090801 19090831   101.8
19090901 19090930    18.5
19091001 19091031    32.4
19091101 19091130    18.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331    80.8
19100401 19100430    11.5
19100501 19100531    57.3
19100601 19100630    69.2
19100701 19100731    86.8
19100801 19100831    16.7
19100901 19100930    41.7
19101001 19101031    32.6
19101101 19101130    24.1
19101201 19101231     0.0
19110101 19110131     7.6
19110201 19110228    42.9
19110301 19110331     0.0
19110401 19110430     4.3
19110501 19110531    48.8
19110601 19110630    47.6
19110701 19110731    38.3
19110801 19110831    31.9
19110901 19110930    52.5
19111001 19111031    31.2
19111101 19111130    20.3
19111201 19111231    25.7
19120101 19120131     0.0
19120201 19120229    32.3
19120301 19120331    45.0
19120401 19120430     3.6
19120501 19120531     2.5
19120601 19120630    52.3
19120701 19120731    38.1
19120801 19120831    17.6
19120901 19120930    44.5
19121001 19121031    41.1
19121101 19121130    45.7
19121201 19121231     8.9
19130101 19130131     0.0
19130201 19130228     7.9
19130301 19130331    23.4
19130401 19130430    10.9
19130501 19130531    34.3
19130601 19130630     3.6
19130701 19130731    19.5
19130801 19130831    29.8
19130901 19130930    47.6
19131001 19131031    37.1
19131101 19131130     9.1
19131201 19131231    26.1
19140101 19140131     2.8
19140201 19140228     0.0
19140301 19140331    49.8
19140401 19140430    26.2
19140501 19140531    23.0
19140601 19140630    17.0
19140701 19140731    12.1
19140801 19140831     3.6
19140901 19140930    17.8
19141001 19141031    19.1
19141101 19141130    27.9
19141201 19141231    20.3
19150101 19150131     5.1
19150201 19150228     0.0
19150301 19150331    35.8
19150401 19150430    51.8
19150501 19150531    47.1
19150601 19150630    44.2
19150701 19150731    36.4
19150801 19150831    70.7
19150901 19150930    25.2
19151001 19151031     3.1
19151101 19151130     1.3
19151201 19151231     6.1
19160101 19160131     1.3
19160201 19160229     7.6
19160301 19160331     9.7
19160401 19160430    14.3
19160501 19160531    30.9
19160601 19160630    65.4
19160701 19160731    80.9
19160801 19160831    37.6
19160901 19160930    76.2
19161001 19161031    35.3
19161101 19161130    32.3
19161201 19161231     6.7
19170101 19170131    17.8
19170201 19170228    37.9
19170301 19170331    39.4
19170401 19170430     8.2
19170501 19170531    41.1
19170601 19170630    61.5
19170701 19170731    46.9
19170801 19170831    40.1
19170901 19170930    76.1
19171001 19171031    21.5
19171101 19171130    13.2
19171201 19171231    16.3
19180101 19180131     2.5
19180201 19180228     6.6
19180301 19180331     4.6
19180401 19180430    19.8
19180501 19180531    24.1
19180601 19180630    17.7
19180701 19180731    35.3
19180801 19180831    50.4
19180901 19180930    11.0
19181001 19181031    33.6
19181101 19181130     6.1
19181201 19181231     6.8
19190101 19190131    11.0
19190201 19190228    54.0
19190301 19190331     2.0
19190401 19190430    10.2
19190501 19190531    32.5
19190601 19190630    22.6
19190701 19190731    15.0
19190801 19190831    38.4
19190901 19190930    40.1
