PRCP       018002 18980901 20161231 missing_value=99999.9 PENNALUMBA                                
18980901 18980930     1.0
18981001 18981031    29.0
18981101 18981130     0.0
18981201 18981231     2.5
18990101 18990131     9.9
18990201 18990228    22.9
18990301 18990331     7.2
18990401 18990430     8.1
18990501 18990531    45.5
18990601 18990630    43.6
18990701 18990731    19.6
18990801 18990831    42.0
18990901 18990930    41.2
18991001 18991031     7.8
18991101 18991130    13.9
18991201 18991231     2.8
19000101 19000131     2.8
19000201 19000228    17.8
19000301 19000331    61.0
19000401 19000430    55.2
19000501 19000531    72.9
19000601 19000630    56.1
19000701 19000731    53.2
19000801 19000831    47.1
19000901 19000930    21.3
19001001 19001031     6.7
19001101 19001130     2.3
19001201 19001231     0.8
19010101 19010131     0.0
19010201 19010228    65.8
19010301 19010331     4.1
19010401 19010430    30.1
19010501 19010531    35.2
19010601 19010630    39.9
19010701 19010731    42.9
19010801 19010831    49.3
19010901 19010930    10.7
19011001 19011031    27.4
19011101 19011130    21.1
19011201 19011231    43.0
19020101 19020131    22.4
19020201 19020228     0.8
19020301 19020331     4.6
19020401 19020430     2.1
19020501 19020531    14.5
19020601 19020630    54.9
19020701 19020731    34.7
19020801 19020831    15.1
19020901 19020930    21.0
19021001 19021031    31.2
19021101 19021130    96.0
19021201 19021231    69.4
19030101 19030131    24.3
19030201 19030228     3.9
19030301 19030331    31.0
19030401 19030430   104.5
19030501 19030531    67.1
19030601 19030630    32.2
19030701 19030731    48.5
19030801 19030831    18.6
19030901 19030930    13.0
19031001 19031031    12.5
19031101 19031130    12.7
19031201 19031231    21.9
19040101 19040131     0.0
19040201 19040229    43.0
19040301 19040331     8.6
19040401 19040430    17.3
19040501 19040531    21.1
19040601 19040630    78.2
19040701 19040731    70.1
19040801 19040831    15.3
19040901 19040930     1.3
19041001 19041031    23.4
19041101 19041130     3.6
19041201 19041231    21.1
19050101 19050131    11.5
19050201 19050228     0.3
19050301 19050331     5.3
19050401 19050430    27.5
19050501 19050531    53.7
19050601 19050630    36.8
19050701 19050731    27.6
19050801 19050831    28.4
19050901 19050930    17.1
19051001 19051031    11.9
