PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
19100101 19100131     1.5
19100201 19100228    12.1
19100301 19100331    21.4
19100401 19100430     0.0
19100501 19100531    90.5
19100601 19100630    83.0
19100701 19100731    34.7
19100801 19100831    11.2
19100901 19100930    64.0
19101001 19101031     7.5
19101101 19101130     0.0
19101201 19101231     0.0
19110101 19110131     3.0
19110201 19110228    16.6
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    36.5
19110601 19110630    20.9
19110701 19110731    13.1
19110801 19110831    15.4
19110901 19110930    12.9
19111001 19111031     4.1
19111101 19111130     0.8
19111201 19111231    19.8
19120101 19120131     0.0
19120201 19120229    23.3
19120301 19120331    33.4
19120401 19120430     0.0
19120501 19120531     0.8
19120601 19120630    40.3
19120701 19120731    49.9
19120801 19120831    24.9
19120901 19120930    16.7
19121001 19121031    69.9
19121101 19121130    14.9
19121201 19121231     2.0
19130101 19130131     3.5
19130201 19130228    23.9
19130301 19130331     8.9
19130401 19130430     2.4
19130501 19130531    24.1
19130601 19130630     4.3
19130701 19130731    13.4
19130801 19130831    27.1
19130901 19130930    40.3
19131001 19131031    41.4
19131101 19131130    28.3
19131201 19131231    17.7
19140101 19140131     8.8
19140201 19140228     5.6
19140301 19140331    14.1
19140401 19140430    18.6
19140501 19140531    13.9
19140601 19140630     7.7
19140701 19140731     2.8
19140801 19140831     2.8
19140901 19140930    12.1
19141001 19141031     5.8
19141101 19141130    22.7
19141201 19141231    13.1
19150101 19150131    10.4
19150201 19150228     1.3
19150301 19150331     0.0
19150401 19150430    33.4
19150501 19150531    32.8
19150601 19150630    21.0
19150701 19150731    26.5
19150801 19150831    28.1
19150901 19150930    29.1
19151001 19151031    13.4
19151101 19151130     0.0
19151201 19151231    23.6
19160101 19160131     5.1
19160201 19160229     0.0
19160301 19160331     2.6
19160401 19160430     0.0
19160501 19160531    15.6
19160601 19160630    54.9
19160701 19160731   105.4
19160801 19160831    41.1
19160901 19160930    22.4
19161001 19161031    70.9
19161101 19161130    18.7
19161201 19161231    10.6
19170101 19170131    28.8
19170201 19170228    17.7
19170301 19170331    11.4
19170401 19170430     0.0
19170501 19170531    25.0
19170601 19170630    38.2
19170701 19170731    49.1
19170801 19170831    25.8
19170901 19170930    43.7
19171001 19171031    41.3
19171101 19171130    18.0
19171201 19171231    14.2
19180101 19180131     0.0
19180201 19180228     0.0
19180301 19180331    17.9
19180401 19180430    14.9
19180501 19180531    23.9
19180601 19180630    30.3
19180701 19180731    16.9
19180801 19180831    49.2
19180901 19180930     0.0
19181001 19181031    18.2
19181101 19181130     0.0
19181201 19181231     6.9
19190101 19190131     5.1
19190201 19190228    30.0
