PRCP       018033 19081001 20171231 missing_value=99999.9 GOODE                                     
19081001 19081031    15.1
19081101 19081130    23.3
19081201 19081231    10.4
19090101 19090131    10.2
19090201 19090228     6.3
19090301 19090331     5.8
19090401 19090430    37.9
19090501 19090531    51.7
19090601 19090630    33.0
19090701 19090731    49.2
19090801 19090831    90.0
19090901 19090930    17.8
19091001 19091031    45.2
19091101 19091130    25.3
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     0.5
19100301 19100331    20.3
19100401 19100430     0.0
19100501 19100531   111.9
19100601 19100630     9.7
19100701 19100731    60.9
19100801 19100831    17.1
19100901 19100930    33.1
19101001 19101031    29.2
19101101 19101130     4.6
19101201 19101231    13.8
19110101 19110131     0.0
19110201 19110228    39.6
19110301 19110331     0.0
19110401 19110430     2.5
19110501 19110531    60.2
19110601 19110630    38.1
19110701 19110731    34.0
19110801 19110831    50.5
19110901 19110930    36.0
19111001 19111031    15.2
19111101 19111130     1.8
19111201 19111231    22.4
19120101 19120131     0.0
19120201 19120229    34.5
19120301 19120331    42.7
19120401 19120430     0.0
19120501 19120531    12.7
19120601 19120630    75.1
19120701 19120731    34.6
19120801 19120831    37.4
19120901 19120930    15.2
19121001 19121031    32.3
19121101 19121130    12.5
19121201 19121231     1.5
19130101 19130131     2.1
19130201 19130228    77.0
19130301 19130331    22.6
19130401 19130430    11.6
19130501 19130531    20.6
19130601 19130630     2.3
19130701 19130731    11.4
19130801 19130831    34.2
19130901 19130930    47.5
19131001 19131031    34.5
19131101 19131130    15.2
19131201 19131231    35.3
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331    24.9
19140401 19140430     6.6
19140501 19140531     4.8
19140601 19140630    14.0
19140701 19140731    29.6
19140801 19140831     5.9
19140901 19140930    12.7
19141001 19141031     7.1
19141101 19141130    35.9
19141201 19141231     3.8
19150101 19150131    15.0
19150201 19150228    28.4
19150301 19150331     3.4
19150401 19150430    14.2
19150501 19150531    36.7
19150601 19150630    34.8
19150701 19150731    41.8
19150801 19150831    45.1
19150901 19150930    21.4
19151001 19151031     7.1
19151101 19151130     0.0
19151201 19151231    11.9
19160101 19160131     5.6
19160201 19160229     3.0
19160301 19160331     5.1
19160401 19160430     7.3
19160501 19160531    35.3
19160601 19160630    90.6
19160701 19160731   121.6
19160801 19160831    53.9
19160901 19160930    68.4
19161001 19161031    28.4
19161101 19161130    21.5
19161201 19161231     0.0
19170101 19170131    33.6
19170201 19170228    17.0
19170301 19170331    20.6
19170401 19170430     7.3
19170501 19170531    36.5
19170601 19170630    47.0
19170701 19170731    50.0
19170801 19170831    38.2
19170901 19170930    75.6
19171001 19171031    14.2
19171101 19171130     5.8
19171201 19171231     8.6
19180101 19180131    19.5
19180201 19180228    25.7
19180301 19180331     0.0
19180401 19180430    17.0
19180501 19180531    35.3
19180601 19180630    46.2
19180701 19180731    17.3
19180801 19180831    41.4
19180901 19180930     1.5
19181001 19181031    33.3
19181101 19181130     5.6
19181201 19181231    14.5
19190101 19190131    14.0
19190201 19190228    35.1
19190301 19190331     0.0
19190401 19190430    39.4
19190501 19190531    20.5
19190601 19190630    19.3
19190701 19190731    23.2
19190801 19190831    17.5
19190901 19190930    24.9
19191001 19191031    20.9
19191101 19191130     2.0
19191201 19191231    54.0
19200101 19200131     4.3
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430    16.2
19200501 19200531    42.4
19200601 19200630    35.6
19200701 19200731    23.6
19200801 19200831    71.9
19200901 19200930    37.9
19201001 19201031    41.2
19201101 19201130    32.3
19201201 19201231    19.6
19210101 19210131    16.3
19210201 19210228    77.9
19210301 19210331    10.9
19210401 19210430     1.8
19210501 19210531    96.1
19210601 19210630    33.2
19210701 19210731    20.5
19210801 19210831    20.4
19210901 19210930    20.8
19211001 19211031    27.0
19211101 19211130    47.0
19211201 19211231     3.3
19220101 19220131    28.3
19220201 19220228     3.3
19220301 19220331     7.9
19220401 19220430    87.1
19220501 19220531    30.2
19220601 19220630    29.1
19220701 19220731    61.4
19220801 19220831    33.5
19220901 19220930    15.6
19221001 19221031    11.2
19221101 19221130     0.0
19221201 19221231    42.7
19230101 19230131    13.2
19230201 19230228     2.5
19230301 19230331     0.0
19230401 19230430     2.6
19230501 19230531    41.6
19230601 19230630    34.0
19230701 19230731    64.6
19230801 19230831    61.7
19230901 19230930    35.8
19231001 19231031    25.4
19231101 19231130     0.5
19231201 19231231    17.5
19240101 19240131    10.7
19240201 19240229    36.9
19240301 19240331    13.9
19240401 19240430     7.9
19240501 19240531    26.0
19240601 19240630    66.5
19240701 19240731     4.4
19240801 19240831    54.1
19240901 19240930    29.0
19241001 19241031    75.7
19241101 19241130    48.9
19241201 19241231    20.3
19250101 19250131     2.5
19250201 19250228    10.2
19250301 19250331     0.8
19250401 19250430    33.1
19250501 19250531    35.7
19250601 19250630    26.2
19250701 19250731    87.4
19250801 19250831    58.6
19250901 19250930    40.0
19251001 19251031    16.2
19251101 19251130    24.7
19251201 19251231     5.6
19260101 19260131     1.0
19260201 19260228     2.8
19260301 19260331    16.2
19260401 19260430    32.6
19260501 19260531    43.7
19260601 19260630    90.2
19260701 19260731    27.6
19260801 19260831    59.1
19260901 19260930    24.9
19261001 19261031    28.4
19261101 19261130     0.8
19261201 19261231    13.6
19270101 19270131     1.0
19270201 19270228     9.9
19270301 19270331    39.0
19270401 19270430     2.8
19270501 19270531    26.2
19270601 19270630    66.6
19270701 19270731    37.6
19270801 19270831    23.4
19270901 19270930    15.8
19271001 19271031     8.2
19271101 19271130    14.0
19271201 19271231    11.0
19280101 19280131    13.5
19280201 19280229    27.4
19280301 19280331     1.0
19280401 19280430     2.8
19280501 19280531    17.9
19280601 19280630    38.3
19280701 19280731    23.8
19280801 19280831     8.6
19280901 19280930    15.6
19281001 19281031    24.1
19281101 19281130     1.3
19281201 19281231     2.5
19290101 19290131     3.6
19290201 19290228     1.3
