PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
18770101 18770131    12.7
18770201 18770228    30.5
18770301 18770331    94.5
18770401 18770430    42.2
18770501 18770531   153.9
18770601 18770630    59.9
18770701 18770731    25.1
18770801 18770831    25.4
18770901 18770930    35.6
18771001 18771031    20.3
18771101 18771130     0.0
18771201 18771231     0.0
18780101 18780131     0.0
18780201 18780228    49.5
18780301 18780331    10.2
18780401 18780430    24.1
18780501 18780531    29.2
18780601 18780630    68.1
18780701 18780731    86.4
18780801 18780831    27.9
18780901 18780930    22.4
18781001 18781031    33.0
18781101 18781130    15.2
18781201 18781231    16.5
18790101 18790131     0.0
18790201 18790228     0.0
18790301 18790331    13.2
18790401 18790430    39.1
18790501 18790531    51.1
18790601 18790630    76.7
18790701 18790731    57.9
18790801 18790831    89.4
18790901 18790930    67.3
18791001 18791031    31.5
18791101 18791130    24.1
18791201 18791231    36.8
18800101 18800131     8.9
18800201 18800229     0.0
18800301 18800331    26.7
18800401 18800430    45.7
18800501 18800531    21.6
18800601 18800630    63.0
18800701 18800731    99.1
18800801 18800831    70.6
18800901 18800930    13.2
18801001 18801031    29.7
18801101 18801130     0.0
18801201 18801231     7.6
18810101 18810131    12.7
18810201 18810228     0.0
18810301 18810331     0.0
18810401 18810430    11.7
18810501 18810531    44.2
18810601 18810630   100.3
18810701 18810731    40.6
18810801 18810831    39.9
18810901 18810930    21.6
18811001 18811031    11.4
18811101 18811130     0.0
18811201 18811231     6.4
18820101 18820131    19.1
18820201 18820228     0.0
18820301 18820331     4.8
18820401 18820430    66.8
18820501 18820531    63.5
18820601 18820630    46.5
18820701 18820731    80.8
18820801 18820831    67.6
18820901 18820930    14.5
18821001 18821031    15.0
18821101 18821130    44.5
18821201 18821231     6.4
18830101 18830131     1.5
18830201 18830228     7.9
18830301 18830331     7.6
18830401 18830430    55.1
18830501 18830531   111.0
18830601 18830630   100.3
18830701 18830731    63.0
18830801 18830831    79.2
18830901 18830930    38.1
18831001 18831031    12.2
18831101 18831130    21.3
18831201 18831231     4.6
18840101 18840131     8.7
18840201 18840229     1.5
18840301 18840331     4.0
18840401 18840430     4.0
18840501 18840531    33.5
18840601 18840630   103.6
18840701 18840731    38.3
18840801 18840831    21.7
18840901 18840930    51.9
18841001 18841031    15.0
18841101 18841130     6.7
18841201 18841231     8.6
18850101 18850131     1.3
18850201 18850228    46.7
18850301 18850331    28.6
18850401 18850430    47.8
18850501 18850531    36.8
18850601 18850630   120.6
18850701 18850731    41.8
18850801 18850831    55.9
18850901 18850930    13.6
18851001 18851031    18.6
18851101 18851130     0.0
18851201 18851231     5.1
18860101 18860131     8.6
18860201 18860228     0.8
18860301 18860331     0.5
18860401 18860430    39.1
18860501 18860531    36.8
18860601 18860630    10.7
18860701 18860731    60.7
18860801 18860831   102.4
18860901 18860930    18.7
18861001 18861031    66.6
18861101 18861130     5.8
18861201 18861231     5.3
18870101 18870131     4.1
18870201 18870228     6.1
18870301 18870331     1.1
18870401 18870430    21.1
18870501 18870531    89.1
18870601 18870630    92.7
18870701 18870731    60.9
18870801 18870831    31.7
18870901 18870930    44.4
18871001 18871031    36.4
18871101 18871130    39.9
