PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
19070101 19070131     3.3
19070201 19070228     0.0
19070301 19070331     4.3
19070401 19070430    25.3
19070501 19070531    17.1
19070601 19070630    51.8
19070701 19070731    29.3
19070801 19070831    50.1
19070901 19070930    18.3
19071001 19071031    33.5
19071101 19071130    38.8
19071201 19071231    10.4
19080101 19080131    15.3
19080201 19080229     1.8
19080301 19080331    62.9
19080401 19080430    31.5
19080501 19080531    53.3
19080601 19080630    51.8
19080701 19080731    11.9
19080801 19080831    59.6
19080901 19080930    26.8
19081001 19081031    46.8
19081101 19081130     4.3
19081201 19081231     6.9
19090101 19090131     1.0
19090201 19090228    11.7
19090301 19090331    12.7
19090401 19090430    39.4
19090501 19090531    40.2
19090601 19090630    54.4
19090701 19090731    68.2
19090801 19090831    96.9
19090901 19090930    12.0
19091001 19091031    42.5
19091101 19091130     8.4
19091201 19091231     1.5
19100101 19100131     1.8
19100201 19100228     0.0
19100301 19100331    18.1
19100401 19100430     6.9
19100501 19100531   107.9
19100601 19100630    39.4
19100701 19100731    68.4
19100801 19100831    15.6
19100901 19100930    64.8
19101001 19101031    29.9
19101101 19101130    28.1
19101201 19101231     8.9
19110101 19110131     0.0
19110201 19110228    51.8
19110301 19110331     4.8
19110401 19110430     1.5
19110501 19110531    39.9
19110601 19110630    48.1
19110701 19110731    44.7
19110801 19110831    38.2
19110901 19110930    40.1
19111001 19111031    17.5
19111101 19111130    23.9
19111201 19111231    19.8
19120101 19120131     0.0
19120201 19120229    65.7
19120301 19120331    35.0
19120401 19120430     2.0
19120501 19120531     5.5
19120601 19120630    65.9
19120701 19120731    52.8
19120801 19120831    34.4
19120901 19120930    42.1
19121001 19121031    32.1
19121101 19121130    37.8
19121201 19121231     8.4
19130101 19130131     0.0
19130201 19130228    18.1
19130301 19130331     8.1
19130401 19130430     5.3
19130501 19130531    29.8
19130601 19130630     8.6
19130701 19130731    27.8
19130801 19130831    60.7
19130901 19130930    61.3
19131001 19131031    41.7
19131101 19131130     0.0
19131201 19131231    21.3
19140101 19140131     4.6
19140201 19140228     3.0
19140301 19140331    30.3
19140401 19140430    24.7
19140501 19140531    29.9
19140601 19140630    23.7
19140701 19140731    30.0
19140801 19140831    10.5
19140901 19140930    11.7
19141001 19141031     7.9
19141101 19141130    27.4
19141201 19141231    14.0
19150101 19150131     9.5
19150201 19150228     0.0
19150301 19150331     2.6
19150401 19150430    46.0
19150501 19150531    43.2
19150601 19150630    71.1
19150701 19150731    53.9
19150801 19150831   117.0
19150901 19150930    64.4
19151001 19151031     8.9
19151101 19151130     3.4
19151201 19151231    23.1
19160101 19160131     0.0
19160201 19160229     0.0
19160301 19160331    17.8
19160401 19160430     3.5
19160501 19160531    22.1
19160601 19160630   104.3
19160701 19160731    92.9
19160801 19160831    71.7
19160901 19160930    63.3
19161001 19161031    57.5
19161101 19161130    25.7
19161201 19161231     0.0
19170101 19170131    39.7
19170201 19170228    10.0
19170301 19170331    26.4
19170401 19170430     8.2
19170501 19170531    91.7
19170601 19170630    48.5
19170701 19170731    88.2
19170801 19170831    70.3
19170901 19170930    82.8
19171001 19171031    24.0
19171101 19171130    24.4
19171201 19171231    12.4
19180101 19180131     2.5
19180201 19180228     0.5
19180301 19180331    11.7
19180401 19180430    20.3
19180501 19180531    36.8
19180601 19180630    46.9
19180701 19180731    30.8
19180801 19180831    80.7
19180901 19180930     1.8
19181001 19181031    52.0
19181101 19181130     0.8
19181201 19181231    16.2
19190101 19190131    10.4
19190201 19190228    74.9
19190301 19190331     0.0
19190401 19190430    17.7
19190501 19190531    28.7
19190601 19190630    15.3
19190701 19190731    18.9
19190801 19190831    23.3
19190901 19190930    27.8
19191001 19191031    22.1
19191101 19191130     0.0
19191201 19191231    27.4
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331     8.6
19200401 19200430    11.2
19200501 19200531    68.6
19200601 19200630    79.9
19200701 19200731    35.1
19200801 19200831    69.9
19200901 19200930    65.9
19201001 19201031    33.0
19201101 19201130    13.5
19201201 19201231    24.9
19210101 19210131    40.3
19210201 19210228    33.0
19210301 19210331    85.4
19210401 19210430    29.4
19210501 19210531   109.9
19210601 19210630    45.5
19210701 19210731    30.0
19210801 19210831    21.3
19210901 19210930    31.8
19211001 19211031    30.5
19211101 19211130    16.3
19211201 19211231     3.3
19220101 19220131    22.6
