PRCP       018058 19101001 20170930 missing_value=99999.9 MULLAQUANA                                
19101001 19101031     3.0
19101101 19101130    26.7
19101201 19101231     7.2
19110101 19110131    10.9
19110201 19110228    31.5
19110301 19110331    10.9
19110401 19110430     0.0
19110501 19110531    60.5
19110601 19110630    11.9
19110701 19110731    26.7
19110801 19110831    31.5
19110901 19110930    32.3
19111001 19111031     9.7
19111101 19111130     2.0
19111201 19111231    20.1
19120101 19120131     0.3
19120201 19120229    15.0
19120301 19120331    42.2
19120401 19120430     0.5
19120501 19120531     3.8
19120601 19120630    49.1
19120701 19120731    36.7
19120801 19120831    12.5
19120901 19120930    12.3
19121001 19121031    19.3
19121101 19121130    43.4
19121201 19121231     5.1
19130101 19130131     0.0
19130201 19130228     8.6
19130301 19130331    12.0
19130401 19130430     4.0
19130501 19130531    21.3
19130601 19130630     0.0
19130701 19130731     6.6
19130801 19130831    17.6
19130901 19130930    42.5
19131001 19131031    25.4
19131101 19131130    13.0
19131201 19131231     0.0
19140101 19140131     3.3
19140201 19140228     6.4
19140301 19140331     8.9
19140401 19140430    11.9
19140501 19140531     9.7
19140601 19140630    16.0
19140701 19140731     4.9
19140801 19140831     0.5
19140901 19140930    23.1
19141001 19141031    12.5
19141101 19141130    66.8
19141201 19141231    24.1
19150101 19150131     8.4
19150201 19150228     0.6
19150301 19150331     0.8
19150401 19150430    23.5
19150501 19150531    30.1
19150601 19150630    14.2
19150701 19150731    19.1
19150801 19150831    36.9
19150901 19150930    29.4
19151001 19151031    16.1
19151101 19151130     0.5
19151201 19151231    20.0
19160101 19160131     2.3
19160201 19160229     0.0
19160301 19160331    12.2
19160401 19160430     1.8
19160501 19160531    11.8
19160601 19160630    45.3
19160701 19160731    85.9
19160801 19160831    41.2
19160901 19160930    37.1
19161001 19161031    37.3
19161101 19161130    20.5
19161201 19161231    22.2
19170101 19170131    45.0
19170201 19170228    18.3
19170301 19170331    13.7
19170401 19170430     0.3
19170501 19170531    18.7
19170601 19170630    25.1
19170701 19170731    37.3
19170801 19170831    21.4
19170901 19170930    49.2
19171001 19171031    55.1
19171101 19171130    56.2
19171201 19171231    24.0
19180101 19180131     0.0
19180201 19180228    17.8
19180301 19180331    11.4
19180401 19180430    12.3
19180501 19180531    31.7
19180601 19180630     9.1
19180701 19180731    12.4
19180801 19180831    35.4
19180901 19180930    16.5
19181001 19181031    16.0
19181101 19181130     0.5
19181201 19181231     5.3
19190101 19190131     0.0
19190201 19190228    60.7
19190301 19190331     7.8
19190401 19190430    25.4
19190501 19190531    29.1
19190601 19190630     6.7
19190701 19190731     9.6
19190801 19190831    15.3
19190901 19190930    34.0
19191001 19191031    19.6
19191101 19191130    10.2
19191201 19191231    27.8
19200101 19200131     5.6
19200201 19200229     0.0
19200301 19200331    10.6
19200401 19200430    13.5
19200501 19200531    10.1
19200601 19200630    58.7
19200701 19200731    20.2
19200801 19200831    27.6
19200901 19200930    46.1
19201001 19201031    39.4
19201101 19201130    61.8
19201201 19201231    33.9
19210101 19210131    45.2
19210201 19210228    99.4
19210301 19210331    45.1
19210401 19210430    18.3
19210501 19210531    48.5
19210601 19210630    68.1
19210701 19210731     9.2
19210801 19210831     8.9
19210901 19210930     8.9
19211001 19211031    12.7
19211101 19211130    15.0
19211201 19211231     2.5
19220101 19220131     6.3
19220201 19220228     8.7
19220301 19220331     4.8
19220401 19220430    18.9
19220501 19220531    14.7
19220601 19220630    10.8
19220701 19220731    25.0
19220801 19220831     6.1
19220901 19220930    14.2
19221001 19221031    15.6
19221101 19221130     0.0
19221201 19221231    29.7
19230101 19230131     6.9
19230201 19230228     2.0
19230301 19230331     0.0
19230401 19230430     1.8
19230501 19230531    33.8
19230601 19230630    45.0
19230701 19230731    22.9
19230801 19230831    15.5
19230901 19230930    18.9
19231001 19231031    28.8
19231101 19231130     0.0
19231201 19231231    32.2
19240101 19240131    35.6
19240201 19240229    12.8
19240301 19240331    14.2
19240401 19240430     6.2
19240501 19240531    11.6
19240601 19240630    13.4
19240701 19240731     0.0
19240801 19240831    26.7
19240901 19240930    38.8
19241001 19241031    34.4
19241101 19241130    27.9
19241201 19241231    15.2
19250101 19250131    27.9
19250201 19250228    12.5
19250301 19250331     0.0
19250401 19250430    28.3
19250501 19250531    62.3
19250601 19250630     4.0
19250701 19250731    30.5
19250801 19250831    23.2
19250901 19250930    14.7
19251001 19251031     7.2
19251101 19251130    27.0
19251201 19251231     5.6
19260101 19260131     0.0
19260201 19260228     6.1
19260301 19260331    37.9
19260401 19260430    10.5
19260501 19260531    41.9
19260601 19260630    27.8
19260701 19260731    22.9
19260801 19260831    29.3
19260901 19260930    81.9
19261001 19261031     5.8
19261101 19261130     0.0
19261201 19261231     5.6
19270101 19270131     5.6
19270201 19270228     2.5
19270301 19270331    14.8
19270401 19270430     2.3
19270501 19270531    11.2
19270601 19270630    20.4
19270701 19270731     6.1
19270801 19270831    10.3
19270901 19270930    16.1
19271001 19271031     7.6
19271101 19271130    43.9
19271201 19271231     3.6
19280101 19280131    40.5
19280201 19280229    68.2
19280301 19280331    31.5
19280401 19280430     1.8
19280501 19280531    20.5
19280601 19280630    15.8
19280701 19280731    14.8
19280801 19280831     7.1
19280901 19280930    10.8
19281001 19281031     0.0
19281101 19281130     0.0
19281201 19281231     3.8
19290101 19290131     0.0
19290201 19290228     7.9
19290301 19290331     1.5
19290401 19290430     4.1
19290501 19290531    12.0
19290601 19290630     9.2
19290701 19290731     4.3
19290801 19290831    17.1
19290901 19290930    23.4
19291001 19291031     0.8
19291101 19291130    13.7
19291201 19291231    41.2
19300101 19300131     0.0
19300201 19300228    24.9
19300301 19300331     0.0
19300401 19300430    17.5
19300501 19300531     2.8
19300601 19300630    19.7
19300701 19300731    47.8
19300801 19300831    33.7
19300901 19300930     4.4
19301001 19301031    45.2
19301101 19301130    13.5
19301201 19301231    54.6
19310101 19310131     0.0
19310201 19310228     0.5
19310301 19310331    19.8
19310401 19310430    26.9
19310501 19310531    25.7
19310601 19310630    32.7
19310701 19310731    14.5
19310801 19310831    23.7
19310901 19310930    12.9
19311001 19311031    11.0
19311101 19311130     7.7
19311201 19311231     3.0
19320101 19320131     0.0
19320201 19320229    52.1
19320301 19320331     2.8
19320401 19320430    31.9
19320501 19320531    29.9
19320601 19320630    15.0
19320701 19320731    20.0
19320801 19320831    31.4
19320901 19320930    22.8
19321001 19321031     9.4
19321101 19321130     1.8
19321201 19321231     3.8
19330101 19330131     7.6
19330201 19330228     0.0
19330301 19330331    37.6
19330401 19330430    10.4
19330501 19330531    18.0
19330601 19330630    16.4
19330701 19330731    23.3
19330801 19330831    44.5
19330901 19330930    19.4
19331001 19331031     1.5
19331101 19331130    12.9
19331201 19331231     3.6
19340101 19340131     6.6
19340201 19340228    28.3
19340301 19340331    21.6
19340401 19340430     4.8
19340501 19340531    12.5
19340601 19340630    20.9
19340701 19340731    11.9
19340801 19340831    23.1
19340901 19340930    18.0
19341001 19341031    28.7
19341101 19341130    36.9
19341201 19341231     0.0
19350101 19350131    33.2
19350201 19350228     0.0
19350301 19350331    23.2
19350401 19350430    50.5
19350501 19350531     5.4
19350601 19350630    15.1
19350701 19350731     4.6
19350801 19350831     9.9
19350901 19350930    34.0
19351001 19351031    40.1
19351101 19351130     7.1
19351201 19351231    17.3
19360101 19360131    26.4
19360201 19360229    27.9
19360301 19360331     4.8
19360401 19360430    11.7
19360501 19360531     3.8
19360601 19360630    20.3
19360701 19360731    25.5
19360801 19360831     7.1
19360901 19360930     3.8
19361001 19361031    22.6
19361101 19361130    11.9
19361201 19361231     7.2
19370101 19370131    47.0
19370201 19370228    10.2
19370301 19370331     0.5
19370401 19370430     1.3
19370501 19370531    15.0
19370601 19370630    27.7
19370701 19370731    10.6
19370801 19370831    52.1
19370901 19370930     9.7
19371001 19371031    41.2
19371101 19371130    35.1
19371201 19371231    14.1
19380101 19380131     5.7
19380201 19380228    78.4
19380301 19380331     1.8
19380401 19380430     5.1
19380501 19380531     2.8
19380601 19380630    13.6
19380701 19380731    28.0
19380801 19380831    26.9
19380901 19380930     6.4
19381001 19381031    73.7
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131    19.5
19390201 19390228    29.9
19390301 19390331    10.4
19390401 19390430    17.8
19390501 19390531    14.3
19390601 19390630    25.8
19390701 19390731    12.7
19390801 19390831    25.4
19390901 19390930     5.1
19391001 19391031     3.6
19391101 19391130    67.3
19391201 19391231     0.0
19400101 19400131    13.9
19400201 19400229     1.0
19400301 19400331    15.5
19400401 19400430    12.1
19400501 19400531     5.3
19400601 19400630     3.6
19400701 19400731    11.4
19400801 19400831     5.7
19400901 19400930    13.4
19401001 19401031     2.3
19401101 19401130     7.1
19401201 19401231     7.1
19410101 19410131    61.2
19410201 19410228     1.0
19410301 19410331    37.5
19410401 19410430     5.6
19410501 19410531     6.9
19410601 19410630     9.6
19410701 19410731    23.6
19410801 19410831     8.0
19410901 19410930    24.7
