PRCP       018063 19070101 20180131 missing_value=99999.9 PENONG                                    
19070101 19070131     0.0
19070201 19070228     0.0
19070301 19070331     0.0
19070401 19070430     9.9
19070501 19070531    41.7
19070601 19070630    55.6
19070701 19070731    32.1
19070801 19070831    49.0
19070901 19070930     9.9
19071001 19071031     6.1
19071101 19071130    52.7
19071201 19071231     5.6
19080101 19080131    14.8
19080201 19080229     1.3
19080301 19080331     7.6
19080401 19080430     7.2
19080501 19080531    52.6
19080601 19080630   108.4
19080701 19080731    28.9
19080801 19080831    28.2
19080901 19080930    46.7
19081001 19081031    24.4
19081101 19081130     0.0
19081201 19081231     5.8
19090101 19090131     1.3
19090201 19090228     0.0
19090301 19090331     0.0
19090401 19090430    33.6
19090501 19090531    27.0
19090601 19090630    25.6
19090701 19090731    60.3
19090801 19090831    99.8
19090901 19090930     3.3
19091001 19091031    37.6
19091101 19091130    12.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331    16.0
19100401 19100430     0.0
19100501 19100531    49.3
19100601 19100630    21.9
19100701 19100731    58.8
19100801 19100831     8.1
19100901 19100930    32.3
19101001 19101031    53.5
19101101 19101130    16.8
19101201 19101231     0.0
19110101 19110131     0.0
19110201 19110228    22.9
19110301 19110331     2.5
19110401 19110430     4.1
19110501 19110531    57.1
19110601 19110630    58.4
19110701 19110731    30.7
19110801 19110831    78.6
19110901 19110930    36.8
19111001 19111031    10.1
19111101 19111130     0.0
19111201 19111231     1.5
19120101 19120131     0.0
19120201 19120229    15.5
19120301 19120331    40.6
19120401 19120430     7.2
19120501 19120531    26.4
19120601 19120630    67.7
19120701 19120731    28.6
19120801 19120831    26.3
19120901 19120930    14.3
19121001 19121031    36.6
19121101 19121130    26.1
19121201 19121231     4.1
19130101 19130131     0.5
19130201 19130228   174.0
19130301 19130331    19.9
19130401 19130430     4.1
19130501 19130531    31.0
19130601 19130630     9.2
19130701 19130731    13.9
19130801 19130831    33.0
19130901 19130930    25.8
19131001 19131031    36.9
19131101 19131130     5.3
19131201 19131231    35.3
19140101 19140131     2.0
19140201 19140228     0.0
19140301 19140331    39.1
19140401 19140430    13.9
19140501 19140531    11.0
19140601 19140630    13.2
19140701 19140731    23.0
19140801 19140831     9.0
19140901 19140930    21.7
19141001 19141031    20.6
19141101 19141130    23.8
19141201 19141231     5.8
19150101 19150131     6.8
19150201 19150228    34.5
19150301 19150331     5.3
19150401 19150430    22.8
19150501 19150531    55.4
19150601 19150630    46.4
19150701 19150731    34.2
19150801 19150831    87.0
19150901 19150930    21.9
19151001 19151031     5.1
19151101 19151130     1.3
19151201 19151231     7.9
19160101 19160131    14.4
19160201 19160229     0.0
19160301 19160331     1.3
19160401 19160430     7.0
19160501 19160531    43.3
19160601 19160630    89.8
19160701 19160731   163.4
19160801 19160831    47.6
19160901 19160930    60.3
19161001 19161031    25.9
19161101 19161130    34.0
19161201 19161231     3.8
19170101 19170131    25.0
19170201 19170228    13.8
19170301 19170331    23.9
19170401 19170430    14.0
19170501 19170531    79.6
19170601 19170630    55.8
19170701 19170731    54.4
19170801 19170831    50.6
19170901 19170930    68.2
19171001 19171031    17.5
19171101 19171130    25.4
19171201 19171231    25.8
19180101 19180131     0.5
19180201 19180228     0.0
19180301 19180331    10.7
19180401 19180430    14.3
19180501 19180531    43.7
19180601 19180630    38.1
19180701 19180731    26.6
19180801 19180831    53.3
19180901 19180930     1.3
19181001 19181031    35.9
19181101 19181130     6.7
19181201 19181231    16.8
19190101 19190131    20.8
19190201 19190228    50.9
19190301 19190331     3.1
19190401 19190430    14.3
19190501 19190531    24.1
19190601 19190630    21.7
19190701 19190731    26.2
19190801 19190831    18.6
19190901 19190930    29.9
19191001 19191031    17.5
19191101 19191130     0.8
19191201 19191231    38.9
19200101 19200131     1.8
19200201 19200229     0.0
19200301 19200331     7.1
19200401 19200430    15.1
19200501 19200531    37.1
19200601 19200630    78.2
19200701 19200731    30.1
19200801 19200831    58.2
19200901 19200930    49.3
19201001 19201031    22.6
19201101 19201130    45.3
19201201 19201231     4.6
19210101 19210131     1.3
19210201 19210228    53.2
19210301 19210331     7.6
19210401 19210430    32.5
19210501 19210531   122.4
19210601 19210630   107.6
19210701 19210731    20.3
19210801 19210831    31.3
19210901 19210930    18.6
19211001 19211031    23.8
19211101 19211130    28.5
19211201 19211231     9.7
19220101 19220131    40.2
19220201 19220228     0.0
19220301 19220331     6.6
19220401 19220430    56.9
19220501 19220531    37.4
19220601 19220630    40.2
19220701 19220731    66.1
19220801 19220831    25.7
19220901 19220930    13.2
19221001 19221031     3.0
19221101 19221130     1.3
19221201 19221231    49.3
19230101 19230131     1.3
19230201 19230228     1.0
19230301 19230331     3.6
19230401 19230430     1.3
19230501 19230531    45.0
19230601 19230630    56.5
19230701 19230731    73.3
19230801 19230831    54.7
19230901 19230930    54.1
19231001 19231031    21.2
19231101 19231130     0.0
19231201 19231231    61.2
19240101 19240131     5.1
19240201 19240229    61.9
19240301 19240331    22.1
19240401 19240430     5.6
19240501 19240531    37.3
19240601 19240630    56.1
19240701 19240731     2.1
19240801 19240831    44.0
19240901 19240930    22.9
19241001 19241031    50.5
19241101 19241130     8.2
19241201 19241231    11.4
19250101 19250131     2.3
19250201 19250228     3.0
19250301 19250331     4.8
19250401 19250430    29.2
19250501 19250531    38.4
19250601 19250630    40.8
19250701 19250731    56.0
19250801 19250831    31.7
19250901 19250930    27.3
19251001 19251031    12.8
19251101 19251130     7.9
19251201 19251231     3.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331     5.2
19260401 19260430    11.4
19260501 19260531    42.9
19260601 19260630    30.7
19260701 19260731    14.7
19260801 19260831    39.0
19260901 19260930     8.4
19261001 19261031     2.3
19261101 19261130     0.3
19261201 19261231    12.5
19270101 19270131     1.5
19270201 19270228     6.3
19270301 19270331    30.0
19270401 19270430     2.4
19270501 19270531    20.9
19270601 19270630    56.3
19270701 19270731    49.1
19270801 19270831    39.5
19270901 19270930    10.0
19271001 19271031     6.1
19271101 19271130    11.5
19271201 19271231     8.4
19280101 19280131    14.0
19280201 19280229    14.0
19280301 19280331     1.0
19280401 19280430     1.3
19280501 19280531    20.4
19280601 19280630    42.5
19280701 19280731    33.8
19280801 19280831    12.1
19280901 19280930    11.6
19281001 19281031    28.3
19281101 19281130     0.0
19281201 19281231     2.3
19290101 19290131     2.8
19290201 19290228     0.3
19290301 19290331     9.6
