PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
18820101 18820131    25.4
18820201 18820228     0.0
18820301 18820331     2.0
18820401 18820430    69.3
18820501 18820531    50.0
18820601 18820630    38.9
18820701 18820731    57.4
18820801 18820831    71.6
18820901 18820930     7.6
18821001 18821031    13.2
18821101 18821130    26.2
18821201 18821231     2.5
18830101 18830131     1.3
18830201 18830228     5.6
18830301 18830331     6.6
18830401 18830430    51.6
18830501 18830531    82.8
18830601 18830630    87.6
18830701 18830731    50.3
18830801 18830831    69.1
18830901 18830930    45.2
18831001 18831031     7.6
18831101 18831130    21.1
18831201 18831231    10.2
18840101 18840131    25.6
18840201 18840229     0.0
18840301 18840331     4.4
18840401 18840430    27.7
18840501 18840531    67.7
18840601 18840630   108.9
18840701 18840731    23.6
18840801 18840831    11.7
18840901 18840930    47.3
18841001 18841031    12.5
18841101 18841130     5.2
18841201 18841231     3.5
18850101 18850131     3.1
18850201 18850228    45.5
18850301 18850331    33.5
18850401 18850430    45.0
18850501 18850531    45.9
18850601 18850630    99.6
18850701 18850731    38.4
18850801 18850831    41.9
18850901 18850930    24.4
18851001 18851031    18.2
18851101 18851130     1.1
18851201 18851231     1.6
18860101 18860131    16.8
18860201 18860228     0.5
18860301 18860331     1.1
18860401 18860430    30.8
18860501 18860531    23.4
18860601 18860630    14.5
18860701 18860731    62.5
18860801 18860831    98.1
18860901 18860930    15.5
18861001 18861031    45.2
18861101 18861130     3.6
18861201 18861231     2.6
18870101 18870131     3.3
18870201 18870228     7.2
18870301 18870331     0.8
18870401 18870430    26.9
18870501 18870531    74.7
18870601 18870630    90.7
18870701 18870731    53.1
18870801 18870831    47.1
18870901 18870930    32.5
18871001 18871031    41.2
18871101 18871130    34.3
18871201 18871231     9.1
18880101 18880131    15.0
18880201 18880229    10.7
18880301 18880331     5.0
18880401 18880430     1.7
18880501 18880531    37.8
18880601 18880630   117.9
18880701 18880731    77.7
18880801 18880831    38.2
18880901 18880930    19.6
18881001 18881031     4.9
18881101 18881130    19.4
18881201 18881231     5.0
18890101 18890131    22.4
18890201 18890228     0.8
18890301 18890331    28.8
18890401 18890430    24.2
18890501 18890531    80.5
18890601 18890630   152.4
18890701 18890731    70.0
18890801 18890831    75.5
18890901 18890930    43.0
18891001 18891031    33.5
18891101 18891130    20.9
18891201 18891231    18.4
18900101 18900131     1.5
18900201 18900228    19.3
18900301 18900331     0.0
18900401 18900430    19.0
18900501 18900531    26.4
18900601 18900630   161.2
18900701 18900731   155.7
18900801 18900831    66.3
18900901 18900930    19.1
18901001 18901031    41.7
18901101 18901130    18.7
18901201 18901231    10.2
18910101 18910131     7.1
18910201 18910228     0.0
18910301 18910331     2.0
18910401 18910430     2.8
18910501 18910531    63.0
