PRCP       018073 19100101 20070630 missing_value=99999.9 PUNTABIE                                  
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331     6.3
19100401 19100430     0.7
19100501 19100531   105.9
19100601 19100630    18.4
19100701 19100731    83.3
19100801 19100831    17.5
19100901 19100930    30.9
19101001 19101031    23.8
19101101 19101130    16.6
19101201 19101231     6.3
19110101 19110131     0.0
19110201 19110228    24.4
19110301 19110331     2.1
19110401 19110430     2.7
19110501 19110531    42.3
19110601 19110630    45.3
19110701 19110731    34.4
19110801 19110831    44.5
19110901 19110930    43.3
19111001 19111031    11.5
19111101 19111130     3.1
19111201 19111231    37.7
19120101 19120131     0.0
19120201 19120229    28.0
19120301 19120331    16.9
19120401 19120430     1.2
19120501 19120531     7.5
19120601 19120630    61.3
19120701 19120731    34.1
19120801 19120831    28.0
19120901 19120930    40.1
19121001 19121031     9.8
19121101 19121130    25.7
19121201 19121231    11.5
19130101 19130131     4.2
19130201 19130228    79.4
19130301 19130331    19.0
19130401 19130430     8.8
19130501 19130531    31.2
19130601 19130630     6.1
19130701 19130731    18.9
19130801 19130831    38.1
19130901 19130930    50.6
19131001 19131031    43.7
19131101 19131130     6.0
19131201 19131231    16.9
19140101 19140131     2.1
19140201 19140228     0.0
19140301 19140331    25.5
19140401 19140430    29.0
19140501 19140531    23.2
19140601 19140630    21.5
19140701 19140731    22.6
19140801 19140831     9.5
19140901 19140930     9.4
19141001 19141031    10.1
19141101 19141130    24.5
19141201 19141231     8.0
19150101 19150131     5.0
19150201 19150228     8.7
19150301 19150331     1.5
19150401 19150430    13.8
19150501 19150531    40.5
19150601 19150630    39.8
19150701 19150731    49.6
19150801 19150831    58.3
19150901 19150930    16.3
19151001 19151031     9.4
19151101 19151130     0.0
19151201 19151231     5.6
19160101 19160131     2.7
19160201 19160229     0.0
19160301 19160331     5.3
19160401 19160430     9.4
19160501 19160531    29.7
19160601 19160630    82.5
19160701 19160731   106.4
19160801 19160831    64.4
19160901 19160930    62.2
19161001 19161031    28.2
19161101 19161130    20.0
19161201 19161231     4.4
19170101 19170131    36.1
19170201 19170228     4.9
19170301 19170331    17.1
19170401 19170430     4.6
19170501 19170531    78.1
19170601 19170630    66.4
19170701 19170731    58.7
19170801 19170831    58.4
19170901 19170930    63.7
19171001 19171031    33.3
19171101 19171130    17.9
19171201 19171231    10.0
19180101 19180131     3.8
19180201 19180228     2.5
19180301 19180331    14.2
19180401 19180430    15.8
19180501 19180531    34.2
19180601 19180630    52.9
19180701 19180731    25.1
19180801 19180831    51.0
19180901 19180930     1.3
19181001 19181031    31.3
19181101 19181130     0.3
19181201 19181231    15.5
19190101 19190131    15.5
19190201 19190228    25.5
19190301 19190331     0.8
19190401 19190430    24.4
19190501 19190531    23.7
19190601 19190630    17.3
19190701 19190731    31.0
19190801 19190831    23.0
19190901 19190930    32.7
19191001 19191031    20.4
19191101 19191130     3.3
19191201 19191231    51.6
19200101 19200131    12.7
19200201 19200229     0.0
19200301 19200331     3.3
19200401 19200430    13.2
19200501 19200531    40.6
19200601 19200630    60.3
19200701 19200731    30.6
19200801 19200831    62.2
19200901 19200930    57.7
19201001 19201031    33.8
19201101 19201130    37.1
19201201 19201231    13.9
19210101 19210131    22.4
19210201 19210228    61.5
19210301 19210331    25.8
19210401 19210430     4.1
19210501 19210531    65.6
19210601 19210630    34.8
19210701 19210731    23.6
19210801 19210831    24.5
19210901 19210930    28.8
19211001 19211031    30.2
19211101 19211130    39.1
19211201 19211231     0.0
19220101 19220131    26.2
19220201 19220228     0.0
19220301 19220331     4.6
19220401 19220430    46.5
19220501 19220531    23.1
19220601 19220630    26.8
19220701 19220731    41.5
19220801 19220831    28.0
19220901 19220930    17.4
19221001 19221031     4.1
19221101 19221130     0.0
19221201 19221231    26.7
19230101 19230131     1.8
19230201 19230228     0.0
19230301 19230331     0.8
19230401 19230430     1.8
19230501 19230531    52.7
19230601 19230630    61.4
19230701 19230731   101.8
19230801 19230831    36.6
19230901 19230930    40.7
19231001 19231031     9.4
19231101 19231130     1.8
19231201 19231231    60.2
19240101 19240131     6.9
19240201 19240229    21.8
19240301 19240331     7.3
19240401 19240430     0.0
19240501 19240531    20.2
19240601 19240630    53.8
19240701 19240731     0.5
19240801 19240831    52.7
19240901 19240930    29.8
19241001 19241031    68.5
19241101 19241130     3.3
19241201 19241231    11.2
19250101 19250131     5.6
19250201 19250228    23.7
19250301 19250331     0.0
19250401 19250430    18.2
19250501 19250531    35.1
19250601 19250630    27.9
19250701 19250731    72.1
19250801 19250831    46.0
19250901 19250930    43.0
19251001 19251031    16.5
19251101 19251130    16.3
19251201 19251231     4.6
19260101 19260131     0.0
19260201 19260228     1.3
19260301 19260331    15.2
19260401 19260430    31.3
19260501 19260531    46.4
19260601 19260630    89.9
19260701 19260731    23.4
19260801 19260831    63.1
19260901 19260930    27.7
19261001 19261031    14.1
19261101 19261130     0.0
19261201 19261231    13.5
19270101 19270131     0.0
19270201 19270228     1.3
19270301 19270331     7.3
19270401 19270430     3.8
19270501 19270531    29.0
19270601 19270630    80.6
19270701 19270731    42.6
19270801 19270831    29.4
19270901 19270930    10.1
19271001 19271031     0.3
19271101 19271130     8.4
19271201 19271231     7.6
19280101 19280131     6.6
19280201 19280229    32.1
19280301 19280331     0.5
19280401 19280430     2.5
19280501 19280531    19.1
19280601 19280630    36.7
19280701 19280731    40.1
19280801 19280831     9.1
19280901 19280930    11.9
19281001 19281031    39.9
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     2.0
19290201 19290228     0.0
19290301 19290331     2.8
19290401 19290430     5.1
19290501 19290531    19.2
19290601 19290630    29.0
19290701 19290731    32.1
19290801 19290831    36.6
19290901 19290930    45.7
19291001 19291031    36.4
19291101 19291130     5.1
19291201 19291231     5.6
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331     0.0
19300401 19300430    32.3
19300501 19300531    25.1
19300601 19300630     3.3
19300701 19300731    56.6
19300801 19300831    25.2
19300901 19300930    14.5
19301001 19301031    12.1
19301101 19301130    13.7
19301201 19301231     6.8
19310101 19310131     0.0
19310201 19310228     2.3
19310301 19310331    52.6
19310401 19310430    38.9
19310501 19310531    62.8
19310601 19310630    72.7
19310701 19310731    51.3
19310801 19310831    25.2
19310901 19310930    26.9
19311001 19311031    13.2
19311101 19311130    13.7
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    60.3
19320301 19320331     1.3
19320401 19320430    41.3
19320501 19320531    26.2
19320601 19320630    49.1
19320701 19320731    20.7
19320801 19320831    68.4
19320901 19320930    21.4
19321001 19321031    11.9
19321101 19321130     6.6
19321201 19321231     0.0
19330101 19330131    10.1
19330201 19330228     0.0
19330301 19330331    15.3
19330401 19330430    12.2
19330501 19330531    44.9
19330601 19330630    17.4
19330701 19330731    68.7
19330801 19330831    52.4
19330901 19330930    18.6
19331001 19331031    10.1
19331101 19331130    37.1
19331201 19331231     0.0
19340101 19340131     0.0
19340201 19340228    14.0
19340301 19340331     8.8
19340401 19340430    18.5
19340501 19340531     2.5
19340601 19340630    27.6
19340701 19340731    18.8
19340801 19340831    67.7
19340901 19340930    13.6
19341001 19341031    10.4
19341101 19341130    18.5
19341201 19341231     0.0
19350101 19350131    13.5
19350201 19350228     0.0
19350301 19350331    70.1
19350401 19350430    13.4
19350501 19350531    24.9
19350601 19350630    25.5
19350701 19350731    20.9
19350801 19350831    47.4
19350901 19350930    54.4
19351001 19351031    51.2
19351101 19351130     8.3
19351201 19351231     5.3
19360101 19360131     0.0
19360201 19360229    14.8
19360301 19360331     0.0
19360401 19360430     9.4
19360501 19360531     9.2
19360601 19360630    27.7
19360701 19360731    37.1
19360801 19360831    27.4
19360901 19360930     0.0
19361001 19361031    42.2
19361101 19361130    11.0
19361201 19361231    20.6
19370101 19370131     6.3
19370201 19370228    68.6
19370301 19370331     7.1
19370401 19370430     4.6
19370501 19370531    34.0
19370601 19370630    34.0
19370701 19370731    24.1
19370801 19370831    50.5
19370901 19370930    24.4
19371001 19371031    20.9
19371101 19371130    40.7
19371201 19371231     5.4
19380101 19380131     0.0
19380201 19380228   138.6
19380301 19380331     0.0
19380401 19380430    39.1
19380501 19380531    24.2
19380601 19380630    47.9
19380701 19380731    55.7
19380801 19380831    36.2
19380901 19380930     1.3
19381001 19381031     0.0
19381101 19381130     0.0
19381201 19381231     9.9
19390101 19390131     8.1
19390201 19390228     0.0
19390301 19390331    58.4
19390401 19390430     6.1
19390501 19390531    19.5
19390601 19390630    61.2
19390701 19390731    39.4
19390801 19390831    72.4
19390901 19390930     1.0
19391001 19391031     2.5
19391101 19391130    32.8
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229    32.7
19400301 19400331     0.0
19400401 19400430     2.5
19400501 19400531    14.8
19400601 19400630     3.8
19400701 19400731    23.8
19400801 19400831     0.5
19400901 19400930     9.6
19401001 19401031     5.3
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    26.4
19410201 19410228     2.5
19410301 19410331    37.4
19410401 19410430    54.6
19410501 19410531     5.1
19410601 19410630    13.3
19410701 19410731    48.2
19410801 19410831    29.8
19410901 19410930    54.3
19411001 19411031     8.6
19411101 19411130    21.3
19411201 19411231     0.0
19420101 19420131    24.6
19420201 19420228     0.0
19420301 19420331    21.1
19420401 19420430     6.1
19420501 19420531    17.0
19420601 19420630    82.6
19420701 19420731    33.0
19420801 19420831    45.5
19420901 19420930    37.3
19421001 19421031    14.0
19421101 19421130    40.6
19421201 19421231     6.6
19430101 19430131     0.0
19430201 19430228    37.6
19430301 19430331     0.0
19430401 19430430    17.3
19430501 19430531    12.7
19430601 19430630    30.8
19430701 19430731    29.5
19430801 19430831    38.0
19430901 19430930    20.8
19431001 19431031    54.4
19431101 19431130     0.0
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     1.8
19440301 19440331     0.0
19440401 19440430    41.1
19440501 19440531    38.1
19440601 19440630    17.3
