PRCP       018106 18880101 20180131 missing_value=99999.9 NULLARBOR ROADHOUSE                       
18880101 18880131    41.7
18880201 18880229     1.8
18880301 18880331     2.8
18880401 18880430     2.8
18880501 18880531     7.4
18880601 18880630    34.0
18880701 18880731    24.1
18880801 18880831    23.6
18880901 18880930    23.6
18881001 18881031     5.6
18881101 18881130     2.5
18881201 18881231     4.8
18890101 18890131     8.1
18890201 18890228     0.0
18890301 18890331   150.1
18890401 18890430    27.9
18890501 18890531   122.7
18890601 18890630   105.7
18890701 18890731    13.0
18890801 18890831    10.9
18890901 18890930    34.8
18891001 18891031     6.4
18891101 18891130     1.5
18891201 18891231     0.0
18900101 18900131     0.0
18900201 18900228     2.3
18900301 18900331     0.0
18900401 18900430    20.6
18900501 18900531    60.7
18900601 18900630    73.9
18900701 18900731    55.6
18900801 18900831     8.9
18900901 18900930    19.8
18901001 18901031    34.5
18901101 18901130     6.1
18901201 18901231     0.0
18910101 18910131     0.0
18910201 18910228     0.0
18910301 18910331     0.5
18910401 18910430    21.1
18910501 18910531    18.5
18910601 18910630    46.0
18910701 18910731    32.0
18910801 18910831    11.2
18910901 18910930    11.2
18911001 18911031    10.7
18911101 18911130     2.5
18911201 18911231     2.5
18920101 18920131     0.3
18920201 18920229     0.0
18920301 18920331    65.3
18920401 18920430    10.9
18920501 18920531    16.3
18920601 18920630    24.4
18920701 18920731    55.1
18920801 18920831    36.3
18920901 18920930    47.8
18921001 18921031    37.6
18921101 18921130    17.3
18921201 18921231    11.4
18930101 18930131     6.9
18930201 18930228     0.0
18930301 18930331     7.1
18930401 18930430    13.2
18930501 18930531    85.3
18930601 18930630    47.5
18930701 18930731    13.2
18930801 18930831    20.1
18930901 18930930     4.6
18931001 18931031     2.5
18931101 18931130    77.2
18931201 18931231    23.9
18940101 18940131     0.5
18940201 18940228     0.0
18940301 18940331    23.9
18940401 18940430     8.6
18940501 18940531    37.6
18940601 18940630    10.9
18940701 18940731    32.3
18940801 18940831    18.3
18940901 18940930     7.4
18941001 18941031     9.7
18941101 18941130     0.0
18941201 18941231     8.9
18950101 18950131    35.1
18950201 18950228     0.0
18950301 18950331     0.0
18950401 18950430    39.9
18950501 18950531    12.4
18950601 18950630    13.2
18950701 18950731    18.0
18950801 18950831    13.2
18950901 18950930    13.7
18951001 18951031     0.0
18951101 18951130     2.8
18951201 18951231     0.0
18960101 18960131    38.4
18960201 18960229     6.4
18960301 18960331     8.6
18960401 18960430     5.6
18960501 18960531    37.6
18960601 18960630    22.6
18960701 18960731    50.3
18960801 18960831    37.6
18960901 18960930     2.5
18961001 18961031     4.3
18961101 18961130     2.0
18961201 18961231    11.4
18970101 18970131     1.3
18970201 18970228    12.2
18970301 18970331    34.5
18970401 18970430     4.1
18970501 18970531    16.8
18970601 18970630    80.3
18970701 18970731    14.0
18970801 18970831    12.7
18970901 18970930    11.7
18971001 18971031     5.6
18971101 18971130     0.0
18971201 18971231    18.5
18980101 18980131     0.0
18980201 18980228     7.9
18980301 18980331     1.8
18980401 18980430    13.2
18980501 18980531    20.8
18980601 18980630    66.0
18980701 18980731    11.2
18980801 18980831    14.7
18980901 18980930     0.0
18981001 18981031    32.5
18981101 18981130     3.3
18981201 18981231     0.0
18990101 18990131     2.8
18990201 18990228    16.8
18990301 18990331     6.9
18990401 18990430     5.8
18990501 18990531    29.0
18990601 18990630    14.5
18990701 18990731    11.7
18990801 18990831    51.6
18990901 18990930    23.4
18991001 18991031     4.1
18991101 18991130    14.2
18991201 18991231     8.1
19000101 19000131     0.0
19000201 19000228     2.0
19000301 19000331    79.5
19000401 19000430    58.2
19000501 19000531    61.7
19000601 19000630    62.5
19000701 19000731    35.8
19000801 19000831    26.2
19000901 19000930    15.5
19001001 19001031     2.5
19001101 19001130     0.0
19001201 19001231     0.0
19010101 19010131     0.0
19010201 19010228    32.5
19010301 19010331     5.8
19010401 19010430    25.7
19010501 19010531    24.1
19010601 19010630    12.2
19010701 19010731    28.2
19010801 19010831    33.5
19010901 19010930     5.3
19011001 19011031    27.9
19011101 19011130    34.3
19011201 19011231    45.5
19020101 19020131    53.3
19020201 19020228    10.7
19020301 19020331     2.5
19020401 19020430     3.3
19020501 19020531     3.8
19020601 19020630    29.7
19020701 19020731     7.6
19020801 19020831    21.8
19020901 19020930    18.3
19021001 19021031    16.0
19021101 19021130    62.7
19021201 19021231    66.5
19030101 19030131    29.0
19030201 19030228     2.5
19030301 19030331    24.1
19030401 19030430    54.9
19030501 19030531    16.3
19030601 19030630    15.2
19030701 19030731     6.4
19030801 19030831    10.9
19030901 19030930     6.4
19031001 19031031     0.0
19031101 19031130     0.0
19031201 19031231    31.8
19040101 19040131     0.0
19040201 19040229    48.8
19040301 19040331     6.4
19040401 19040430     8.9
19040501 19040531    47.0
19040601 19040630    49.3
19040701 19040731    65.3
19040801 19040831    11.2
19040901 19040930     5.1
19041001 19041031    23.4
19041101 19041130     2.3
19041201 19041231     7.6
19050101 19050131    17.8
19050201 19050228     5.1
19050301 19050331     2.5
19050401 19050430    10.2
19050501 19050531    14.0
19050601 19050630    12.7
19050701 19050731     3.3
19050801 19050831     0.0
19050901 19050930    12.2
19051001 19051031     6.4
19051101 19051130     0.0
19051201 19051231     7.6
19060101 19060131    10.7
19060201 19060228     0.0
19060301 19060331     0.0
19060401 19060430     0.0
19060501 19060531     9.9
19060601 19060630    12.7
19060701 19060731    23.4
19060801 19060831    69.1
19060901 19060930    36.1
19061001 19061031     6.4
19061101 19061130    25.7
19061201 19061231    11.4
19070101 19070131     8.6
19070201 19070228     0.0
19070301 19070331     2.0
19070401 19070430    16.0
19070501 19070531    20.3
19070601 19070630    39.4
19070701 19070731    12.4
19070801 19070831    20.1
19070901 19070930    20.3
19071001 19071031     7.6
19071101 19071130    29.0
19071201 19071231     0.3
19080101 19080131    11.4
19080201 19080229    44.7
19080301 19080331    20.6
19080401 19080430    12.2
19080501 19080531    37.1
19080601 19080630    51.1
19080701 19080731    19.8
19080801 19080831    26.9
19080901 19080930    30.7
19081001 19081031    31.2
19081101 19081130     5.3
19081201 19081231     4.3
19090101 19090131    10.2
19090201 19090228     7.9
19090301 19090331     9.9
19090401 19090430    18.0
19090501 19090531    73.7
19090601 19090630    47.0
19090701 19090731    11.2
19090801 19090831    73.9
19090901 19090930     6.4
19091001 19091031    30.2
19091101 19091130    33.5
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     1.5
19100301 19100331     9.7
19100401 19100430     1.3
19100501 19100531    46.5
19100601 19100630    20.8
19100701 19100731    38.6
19100801 19100831    14.0
19100901 19100930    34.8
19101001 19101031    30.0
19101101 19101130    52.1
19101201 19101231     2.5
19110101 19110131     1.3
19110201 19110228    11.7
19110301 19110331     1.8
19110401 19110430    18.3
19110501 19110531    32.3
19110601 19110630    46.2
19110701 19110731    21.3
19110801 19110831    66.0
19110901 19110930     8.1
19111001 19111031    18.0
19111101 19111130     0.5
19111201 19111231    14.7
19120101 19120131     0.0
19120201 19120229    11.2
19120301 19120331    56.9
19120401 19120430     7.6
19120501 19120531    23.6
19120601 19120630    24.9
19120701 19120731    48.3
19120801 19120831    10.9
19120901 19120930     2.8
19121001 19121031     7.6
19121101 19121130    21.8
19121201 19121231     2.5
19130101 19130131     4.3
19130201 19130228    25.9
19130301 19130331    23.9
19130401 19130430     1.3
19130501 19130531    18.3
19130601 19130630    10.7
19130701 19130731    19.8
19130801 19130831    17.8
19130901 19130930     7.1
19131001 19131031    34.0
19131101 19131130     1.5
19131201 19131231     2.8
19140101 19140131     1.8
19140201 19140228     0.0
19140301 19140331    20.3
19140401 19140430    11.4
19140501 19140531     2.5
19140601 19140630    11.7
19140701 19140731    20.8
19140801 19140831    10.4
19140901 19140930    14.2
19141001 19141031    13.2
19141101 19141130    50.5
19141201 19141231     9.9
19150101 19150131     5.6
19150201 19150228    22.1
19150301 19150331     3.0
19150401 19150430    11.2
19150501 19150531    27.7
19150601 19150630    18.5
19150701 19150731    11.9
19150801 19150831    48.5
19150901 19150930    10.7
19151001 19151031     0.8
19151101 19151130     0.0
19151201 19151231     2.5
19160101 19160131    18.3
19160201 19160229     1.3
19160301 19160331    12.4
19160401 19160430     4.8
19160501 19160531    45.7
19160601 19160630    39.4
19160701 19160731    78.2
19160801 19160831    20.8
19160901 19160930    19.8
19161001 19161031    32.5
19161101 19161130    10.2
