PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19100101 19100131     1.6
19100201 19100228    62.7
19100301 19100331    64.8
19100401 19100430     7.9
19100501 19100531    50.0
19100601 19100630    76.3
19100701 19100731    32.9
19100801 19100831    40.7
19100901 19100930    42.2
19101001 19101031    16.2
19101101 19101130     8.8
19101201 19101231     9.0
19110101 19110131    18.1
19110201 19110228     2.4
19110301 19110331     6.4
19110401 19110430     0.0
19110501 19110531    34.4
19110601 19110630    12.5
19110701 19110731    39.6
19110801 19110831    26.3
19110901 19110930    32.2
19111001 19111031     7.4
19111101 19111130     1.4
19111201 19111231    71.1
19120101 19120131     0.0
19120201 19120229     9.5
19120301 19120331    30.3
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    29.1
19120701 19120731    28.1
19120801 19120831    41.7
19120901 19120930     4.7
19121001 19121031    99.0
19121101 19121130    48.8
19121201 19121231    11.9
19130101 19130131     0.0
19130201 19130228    13.5
19130301 19130331    46.8
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     4.8
19130701 19130731     2.6
19130801 19130831    33.8
19130901 19130930    24.1
19131001 19131031    48.1
19131101 19131130    26.5
19131201 19131231    26.9
19140101 19140131    10.0
19140201 19140228     0.8
19140301 19140331     3.4
19140401 19140430    10.6
19140501 19140531     6.2
19140601 19140630     9.6
19140701 19140731     5.9
19140801 19140831     0.8
19140901 19140930     7.5
19141001 19141031    16.7
19141101 19141130    64.3
19141201 19141231    22.9
19150101 19150131    13.4
19150201 19150228     0.5
19150301 19150331     0.0
19150401 19150430     7.7
19150501 19150531    33.5
19150601 19150630    47.8
19150701 19150731    27.1
19150801 19150831    29.8
19150901 19150930    44.3
19151001 19151031     9.6
19151101 19151130     0.0
19151201 19151231     8.8
19160101 19160131     0.0
19160201 19160229     0.0
19160301 19160331     1.4
19160401 19160430     0.0
19160501 19160531    18.9
19160601 19160630    53.7
19160701 19160731   100.3
19160801 19160831    44.7
19160901 19160930    46.2
19161001 19161031    32.6
19161101 19161130    33.6
19161201 19161231    37.8
19170101 19170131    69.6
19170201 19170228    58.1
19170301 19170331    14.2
19170401 19170430     0.0
19170501 19170531    24.4
19170601 19170630    66.6
19170701 19170731    78.0
19170801 19170831    46.6
19170901 19170930    37.8
19171001 19171031    31.7
19171101 19171130     4.8
19171201 19171231     1.8
19180101 19180131    15.2
19180201 19180228     0.0
19180301 19180331    25.4
19180401 19180430    19.3
19180501 19180531    88.7
19180601 19180630    48.8
19180701 19180731    26.7
19180801 19180831    61.4
19180901 19180930     1.5
19181001 19181031     7.1
19181101 19181130     0.0
19181201 19181231     0.5
19190101 19190131     2.0
19190201 19190228    40.7
19190301 19190331     1.0
19190401 19190430    13.4
19190501 19190531    38.1
19190601 19190630     9.5
19190701 19190731     1.3
19190801 19190831     1.8
19190901 19190930    11.7
19191001 19191031    17.5
19191101 19191130    34.1
19191201 19191231   170.2
19200101 19200131    34.6
19200201 19200229     4.1
19200301 19200331     4.6
19200401 19200430    71.1
19200501 19200531    17.2
19200601 19200630    86.1
19200701 19200731    12.4
19200801 19200831    68.8
19200901 19200930    73.9
19201001 19201031    43.6
19201101 19201130   136.8
19201201 19201231    10.9
19210101 19210131    50.0
19210201 19210228    41.2
19210301 19210331   125.9
19210401 19210430    50.6
19210501 19210531    81.5
19210601 19210630    42.4
19210701 19210731    14.1
19210801 19210831    45.7
19210901 19210930    15.7
19211001 19211031    27.2
19211101 19211130     0.0
19211201 19211231     5.5
19220101 19220131    16.5
19220201 19220228     5.1
19220301 19220331     0.0
19220401 19220430    11.2
19220501 19220531   131.8
