PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19110501 19110531    26.4
19110601 19110630     6.4
19110701 19110731    16.0
19110801 19110831    12.2
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231    57.4
19120101 19120131     0.0
19120201 19120229     1.8
19120301 19120331    39.4
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    77.5
19120701 19120731    14.9
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    60.7
19121101 19121130    46.7
19121201 19121231    36.8
19130101 19130131     0.0
19130201 19130228    16.3
19130301 19130331    28.2
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     1.3
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     3.0
19131001 19131031    43.3
19131101 19131130    12.7
19131201 19131231    18.0
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331    22.4
19140401 19140430    17.0
19140501 19140531     1.5
19140601 19140630    13.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    37.3
19141101 19141130    17.5
19141201 19141231    23.2
19150101 19150131     0.5
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430     0.0
19150501 19150531    24.9
19150601 19150630     6.8
19150701 19150731    11.2
19150801 19150831     2.8
19150901 19150930    17.8
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131     2.0
19160201 19160229     0.0
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531     3.8
19160601 19160630    20.1
19160701 19160731    54.2
19160801 19160831     0.0
19160901 19160930    24.1
19161001 19161031    18.0
19161101 19161130     3.8
19161201 19161231     9.1
19170101 19170131    67.4
19170201 19170228    50.5
19170301 19170331     5.3
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630    20.6
19170701 19170731    20.3
19170801 19170831     4.1
19170901 19170930     5.1
19171001 19171031     8.9
19171101 19171130    12.4
19171201 19171231     4.6
19180101 19180131    29.5
19180201 19180228     0.0
19180301 19180331    18.3
19180401 19180430    56.6
19180501 19180531    48.7
19180601 19180630     5.1
19180701 19180731     0.0
19180801 19180831    16.3
19180901 19180930     0.0
19181001 19181031     3.6
19181101 19181130     3.6
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228    49.7
19190301 19190331     0.0
19190401 19190430     3.6
19190501 19190531    29.3
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031    10.2
19191101 19191130     6.1
19191201 19191231    30.2
19200101 19200131    14.5
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430    19.1
19200501 19200531     3.8
19200601 19200630    35.6
19200701 19200731     0.0
19200801 19200831    32.3
19200901 19200930    48.8
19201001 19201031    10.4
19201101 19201130   145.6
19201201 19201231     0.0
19210101 19210131    33.8
19210201 19210228   130.8
19210301 19210331    26.4
19210401 19210430    12.2
19210501 19210531    49.8
19210601 19210630    19.8
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930    12.7
19211001 19211031     5.3
19211101 19211130     2.5
19211201 19211231     6.4
19220101 19220131     5.3
19220201 19220228     0.0
19220301 19220331     0.0
19220401 19220430    16.3
19220501 19220531    11.9
19220601 19220630     2.5
19220701 19220731     4.1
19220801 19220831     0.0
19220901 19220930     5.1
19221001 19221031     3.8
19221101 19221130     0.0
19221201 19221231    10.2
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     7.6
19230401 19230430     5.6
19230501 19230531    26.7
19230601 19230630    47.2
19230701 19230731     0.0
19230801 19230831     8.9
19230901 19230930     0.0
19231001 19231031     4.8
19231101 19231130     0.0
19231201 19231231    51.8
19240101 19240131    20.3
19240201 19240229     5.1
19240301 19240331     0.0
19240401 19240430     2.0
19240501 19240531     2.0
19240601 19240630     5.1
19240701 19240731    22.9
19240801 19240831    19.8
19240901 19240930    23.6
19241001 19241031    18.3
19241101 19241130    43.1
19241201 19241231    20.3
19250101 19250131    31.5
19250201 19250228    22.9
19250301 19250331     0.0
19250401 19250430     0.0
19250501 19250531    21.3
19250601 19250630     0.0
19250701 19250731    23.1
19250801 19250831     5.1
19250901 19250930     6.4
19251001 19251031     1.3
19251101 19251130     7.9
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    47.2
19260401 19260430     2.5
19260501 19260531    13.7
19260601 19260630    10.7
19260701 19260731     5.4
19260801 19260831    23.6
19260901 19260930    50.8
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231    15.3
19270101 19270131     9.7
19270201 19270228     3.8
19270301 19270331     0.0
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    27.4
19270701 19270731     0.0
19270801 19270831     3.0
19270901 19270930     0.0
19271001 19271031     5.1
19271101 19271130    29.7
19271201 19271231     0.0
19280101 19280131     0.0
19280201 19280229    38.1
19280301 19280331     7.6
19280401 19280430     0.0
19280501 19280531    22.4
19280601 19280630    35.0
19280701 19280731     0.0
19280801 19280831     1.3
19280901 19280930    11.4
19281001 19281031     5.3
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     6.1
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    15.2
19291201 19291231    69.3
19300101 19300131     0.0
19300201 19300228    86.6
19300301 19300331     0.0
19300401 19300430     0.0
19300501 19300531     6.6
19300601 19300630     0.0
19300701 19300731    20.5
19300801 19300831     4.3
19300901 19300930    16.8
19301001 19301031    15.0
19301101 19301130    13.7
19301201 19301231    50.5
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    63.0
19310401 19310430     3.8
