PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19011201 19011231     6.9
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331     0.8
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     5.3
19020701 19020731     0.0
19020801 19020831    18.0
19020901 19020930     3.3
19021001 19021031     8.4
19021101 19021130     2.8
19021201 19021231    35.0
19030101 19030131     0.0
19030201 19030228     3.0
19030301 19030331    25.4
19030401 19030430    12.7
19030501 19030531    12.2
19030601 19030630    19.3
19030701 19030731     2.3
19030801 19030831    16.0
19030901 19030930    43.7
19031001 19031031    13.7
19031101 19031130    56.0
19031201 19031231     0.5
19040101 19040131     9.6
19040201 19040229   102.2
19040301 19040331     2.8
19040401 19040430     1.8
19040501 19040531     3.8
19040601 19040630     9.4
19040701 19040731    17.7
19040801 19040831     5.1
19040901 19040930     2.5
19041001 19041031    31.0
19041101 19041130     0.0
19041201 19041231    15.0
19050101 19050131    41.4
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430    11.7
19050501 19050531    11.0
19050601 19050630     9.4
19050701 19050731     8.3
19050801 19050831     3.3
19050901 19050930     4.0
19051001 19051031     6.7
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228    10.7
19060301 19060331    18.8
19060401 19060430     0.0
19060501 19060531    16.5
19060601 19060630    50.5
19060701 19060731     2.8
19060801 19060831    15.0
19060901 19060930    36.8
19061001 19061031     0.8
19061101 19061130    26.9
19061201 19061231     9.9
19070101 19070131     0.0
19070201 19070228     0.0
19070301 19070331     3.0
19070401 19070430    23.2
19070501 19070531    40.1
19070601 19070630    78.4
19070701 19070731    10.9
19070801 19070831     8.6
19070901 19070930     4.1
19071001 19071031     6.1
19071101 19071130     4.1
19071201 19071231    35.6
19080101 19080131    12.4
19080201 19080229     6.8
19080301 19080331     0.0
19080401 19080430     0.0
19080501 19080531    14.8
19080601 19080630    10.4
19080701 19080731     0.3
19080801 19080831    29.7
19080901 19080930    66.1
19081001 19081031    43.7
19081101 19081130    14.0
19081201 19081231     8.1
19090101 19090131     4.0
19090201 19090228     2.8
19090301 19090331     5.1
19090401 19090430     8.4
19090501 19090531    41.3
19090601 19090630    38.9
19090701 19090731     6.9
19090801 19090831    29.5
19090901 19090930    11.8
19091001 19091031     4.1
19091101 19091130    18.8
19091201 19091231     0.0
19100101 19100131    16.5
19100201 19100228     0.0
19100301 19100331    91.9
19100401 19100430     0.0
19100501 19100531    55.4
19100601 19100630    28.3
19100701 19100731    13.2
19100801 19100831    22.3
19100901 19100930    34.3
19101001 19101031    13.5
19101101 19101130    19.0
19101201 19101231     2.5
19110101 19110131    39.1
19110201 19110228    21.1
19110301 19110331    37.3
19110401 19110430     0.0
19110501 19110531    57.1
19110601 19110630     6.8
19110701 19110731    25.5
19110801 19110831    12.2
19110901 19110930     5.7
19111001 19111031    12.2
19111101 19111130     3.0
19111201 19111231    36.3
19120101 19120131     0.0
19120201 19120229     4.0
19120301 19120331    12.2
19120401 19120430     0.0
19120501 19120531     2.5
19120601 19120630    54.0
19120701 19120731    18.5
19120801 19120831    31.8
19120901 19120930     5.8
19121001 19121031    29.6
19121101 19121130    57.9
19121201 19121231    10.9
19130101 19130131     3.3
19130201 19130228     3.1
19130301 19130331    81.3
19130401 19130430     7.1
19130501 19130531     8.9
19130601 19130630     0.0
19130701 19130731     2.9
19130801 19130831     6.8
19130901 19130930    36.0
19131001 19131031    54.4
19131101 19131130    14.0
19131201 19131231    39.6
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331    28.0
19140401 19140430    10.4
19140501 19140531    14.2
19140601 19140630     1.0
19140701 19140731     2.3
19140801 19140831     0.5
19140901 19140930     5.1
19141001 19141031    40.6
19141101 19141130    23.1
19141201 19141231    28.3
19150101 19150131     9.2
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430     8.6
19150501 19150531    21.0
19150601 19150630     7.8
19150701 19150731    12.7
19150801 19150831    15.0
19150901 19150930    18.0
19151001 19151031     5.6
19151101 19151130     0.0
19151201 19151231     3.6
19160101 19160131     6.9
19160201 19160229     0.0
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531     8.4
19160601 19160630    24.1
19160701 19160731    31.5
19160801 19160831    29.8
19160901 19160930    45.7
19161001 19161031    13.0
19161101 19161130    10.9
19161201 19161231    11.7
19170101 19170131   103.6
19170201 19170228    56.1
19170301 19170331     4.9
19170401 19170430     0.0
19170501 19170531    13.2
19170601 19170630    50.6
19170701 19170731    36.8
19170801 19170831    15.2
19170901 19170930    32.3
19171001 19171031    24.1
19171101 19171130    30.2
19171201 19171231    23.7
19180101 19180131    12.2
