PRCP       020053 19100101 20171231 missing_value=99999.9 TEPCO                                     
19100101 19100131    27.9
19100201 19100228     0.0
19100301 19100331    34.2
19100401 19100430     0.0
19100501 19100531    18.6
19100601 19100630    73.5
19100701 19100731     7.2
19100801 19100831     9.9
19100901 19100930    14.4
19101001 19101031     1.9
19101101 19101130    11.2
19101201 19101231     2.8
19110101 19110131    14.6
19110201 19110228    54.0
19110301 19110331    36.3
19110401 19110430     0.0
19110501 19110531    49.4
19110601 19110630    14.1
19110701 19110731    28.0
19110801 19110831     7.4
19110901 19110930     7.6
19111001 19111031    42.9
19111101 19111130    17.1
19111201 19111231    43.9
19120101 19120131     0.0
19120201 19120229    16.2
19120301 19120331    14.3
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    76.1
19120701 19120731    14.3
19120801 19120831    11.9
19120901 19120930     4.0
19121001 19121031    12.4
19121101 19121130    51.0
19121201 19121231     7.9
19130101 19130131     0.0
19130201 19130228    11.7
19130301 19130331    32.7
19130401 19130430     0.0
19130501 19130531     5.0
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.9
19130901 19130930    15.2
19131001 19131031    35.8
19131101 19131130     4.8
19131201 19131231    15.0
19140101 19140131    30.0
19140201 19140228     0.0
19140301 19140331    17.4
19140401 19140430    13.3
19140501 19140531     6.7
19140601 19140630     2.3
19140701 19140731     1.4
19140801 19140831     0.5
19140901 19140930     2.6
19141001 19141031    12.3
19141101 19141130    23.4
19141201 19141231    54.8
19150101 19150131     0.5
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430     2.6
19150501 19150531    28.2
19150601 19150630     4.3
19150701 19150731    11.7
19150801 19150831     8.3
19150901 19150930    36.7
19151001 19151031    10.3
19151101 19151130     0.0
19151201 19151231     1.9
19160101 19160131     0.9
19160201 19160229     0.0
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531    10.5
19160601 19160630    23.2
19160701 19160731    77.4
19160801 19160831    12.9
19160901 19160930    49.3
19161001 19161031    23.1
19161101 19161130    11.7
19161201 19161231    14.1
19170101 19170131    60.5
19170201 19170228    79.9
19170301 19170331     5.5
19170401 19170430     0.0
19170501 19170531     8.6
19170601 19170630    15.7
19170701 19170731    33.3
19170801 19170831    46.8
19170901 19170930    12.1
19171001 19171031    28.3
19171101 19171130    59.9
19171201 19171231     2.4
19180101 19180131    10.8
19180201 19180228     0.0
19180301 19180331    23.1
19180401 19180430    23.1
19180501 19180531    95.4
19180601 19180630    13.1
19180701 19180731     7.4
19180801 19180831    29.2
19180901 19180930     6.0
19181001 19181031    10.5
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     3.8
19190201 19190228    46.3
19190301 19190331     0.8
19190401 19190430    23.9
19190501 19190531    79.3
19190601 19190630     0.3
19190701 19190731     0.0
19190801 19190831     3.4
19190901 19190930     6.9
19191001 19191031     2.3
