PRCP       021073 19100101 20160331 missing_value=99999.9 CLOVERLEA                                 
19100101 19100131     4.2
19100201 19100228     0.0
19100301 19100331   105.3
19100401 19100430    13.9
19100501 19100531   118.7
19100601 19100630    89.8
19100701 19100731    99.0
19100801 19100831    45.3
19100901 19100930   124.4
19101001 19101031    71.8
19101101 19101130    26.7
19101201 19101231    15.9
19110101 19110131     1.9
19110201 19110228    49.5
19110301 19110331    42.8
19110401 19110430     3.2
19110501 19110531    66.8
19110601 19110630    72.6
19110701 19110731    41.1
19110801 19110831    36.3
19110901 19110930    68.9
19111001 19111031    13.3
19111101 19111130     0.0
19111201 19111231    78.9
19120101 19120131     0.0
19120201 19120229    16.2
19120301 19120331    23.1
19120401 19120430     2.3
19120501 19120531    14.3
19120601 19120630   101.2
19120701 19120731   107.6
19120801 19120831    52.3
19120901 19120930    54.0
19121001 19121031    28.0
19121101 19121130    59.1
19121201 19121231    17.5
19130101 19130131     1.7
19130201 19130228    15.9
19130301 19130331    68.3
19130401 19130430     0.6
19130501 19130531    16.2
19130601 19130630    21.2
19130701 19130731    38.1
19130801 19130831    78.0
19130901 19130930   121.1
19131001 19131031    57.8
19131101 19131130    27.4
19131201 19131231    18.8
19140101 19140131     1.7
19140201 19140228     7.2
19140301 19140331    20.5
19140401 19140430    22.1
19140501 19140531    44.4
19140601 19140630    22.8
19140701 19140731    36.2
19140801 19140831     4.6
19140901 19140930    19.8
19141001 19141031     4.2
19141101 19141130    33.5
19141201 19141231    30.6
19150101 19150131     9.8
19150201 19150228     0.0
19150301 19150331     4.6
19150401 19150430    49.8
19150501 19150531    87.0
19150601 19150630    73.9
19150701 19150731    57.8
19150801 19150831    66.5
19150901 19150930    99.9
19151001 19151031    41.1
19151101 19151130     2.6
19151201 19151231    27.9
19160101 19160131    22.4
19160201 19160229     2.9
19160301 19160331    14.2
19160401 19160430    23.0
19160501 19160531    52.1
19160601 19160630   167.0
19160701 19160731    77.9
19160801 19160831   172.0
19160901 19160930    64.8
19161001 19161031    73.4
19161101 19161130    65.6
19161201 19161231    40.3
19170101 19170131    37.0
19170201 19170228    35.6
19170301 19170331    60.6
19170401 19170430     3.6
19170501 19170531   104.6
19170601 19170630    86.1
19170701 19170731   116.6
19170801 19170831   113.4
19170901 19170930   110.4
19171001 19171031   106.8
19171101 19171130    29.0
19171201 19171231    65.6
19180101 19180131    34.5
19180201 19180228     9.1
19180301 19180331    21.7
19180401 19180430    52.6
19180501 19180531    65.5
19180601 19180630    59.1
19180701 19180731    40.9
19180801 19180831    83.8
19180901 19180930     5.1
19181001 19181031    52.6
19181101 19181130     3.6
19181201 19181231     5.2
19190101 19190131     7.2
19190201 19190228    57.7
19190301 19190331     7.4
19190401 19190430    16.9
19190501 19190531    81.6
19190601 19190630    48.6
19190701 19190731    37.3
19190801 19190831    48.6
19190901 19190930    51.0
19191001 19191031    35.7
19191101 19191130    11.4
19191201 19191231    90.3
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331    19.8
19200401 19200430    24.9
19200501 19200531    38.9
19200601 19200630   162.3
19200701 19200731    65.1
19200801 19200831    92.1
19200901 19200930    70.1
19201001 19201031    74.2
19201101 19201130   122.8
19201201 19201231    53.0
19210101 19210131    73.8
19210201 19210228    57.4
19210301 19210331    27.6
19210401 19210430     1.9
19210501 19210531   100.8
19210601 19210630    67.8
19210701 19210731    63.6
19210801 19210831    69.6
19210901 19210930    48.7
19211001 19211031    37.0
19211101 19211130    46.4
19211201 19211231    15.3
19220101 19220131    22.8
19220201 19220228     1.7
19220301 19220331     5.9
19220401 19220430    25.3
19220501 19220531   127.0
19220601 19220630    39.0
19220701 19220731   102.3
19220801 19220831    67.0
19220901 19220930    48.0
19221001 19221031    24.4
19221101 19221130     3.2
19221201 19221231    90.8
19230101 19230131    21.1
19230201 19230228     6.8
19230301 19230331     0.0
19230401 19230430     6.5
19230501 19230531    99.9
19230601 19230630    84.7
19230701 19230731   100.1
19230801 19230831    55.1
19230901 19230930    76.5
19231001 19231031    57.2
19231101 19231130     3.6
19231201 19231231    90.3
19240101 19240131    42.0
19240201 19240229    39.5
19240301 19240331    15.6
19240401 19240430    61.0
19240501 19240531    53.0
19240601 19240630    83.6
19240701 19240731    13.6
19240801 19240831   100.5
19240901 19240930    57.8
19241001 19241031    49.8
19241101 19241130    31.7
19241201 19241231    31.2
19250101 19250131    42.2
19250201 19250228    70.7
19250301 19250331     8.1
19250401 19250430    53.8
19250501 19250531    61.8
19250601 19250630    23.7
19250701 19250731    62.5
19250801 19250831    47.3
19250901 19250930    89.4
19251001 19251031    27.6
19251101 19251130    16.5
19251201 19251231     0.0
19260101 19260131     4.2
19260201 19260228    20.2
19260301 19260331    15.3
19260401 19260430    16.1
19260501 19260531   119.6
19260601 19260630    47.1
19260701 19260731    37.7
19260801 19260831    91.6
19260901 19260930   105.0
19261001 19261031    43.0
19261101 19261130     4.2
19261201 19261231     7.8
19270101 19270131    16.2
19270201 19270228    13.7
19270301 19270331    21.7
19270401 19270430     9.5
19270501 19270531    24.7
19270601 19270630    26.0
19270701 19270731    51.7
19270801 19270831    64.3
19270901 19270930    38.4
19271001 19271031    10.6
19271101 19271130    37.3
19271201 19271231    14.2
19280101 19280131     7.8
19280201 19280229    53.0
19280301 19280331    18.2
19280401 19280430     9.7
19280501 19280531    44.4
19280601 19280630    72.9
19280701 19280731    54.2
19280801 19280831    13.0
19280901 19280930    46.6
19281001 19281031    34.3
19281101 19281130     1.7
19281201 19281231     4.0
19290101 19290131     1.9
19290201 19290228     7.8
19290301 19290331     2.9
19290401 19290430     3.6
19290501 19290531    36.3
19290601 19290630    39.3
19290701 19290731    27.8
19290801 19290831    45.8
19290901 19290930    45.3
19291001 19291031     6.1
19291101 19291130    34.5
19291201 19291231   105.0
19300101 19300131     0.0
19300201 19300228    28.3
19300301 19300331     0.6
19300401 19300430    29.7
19300501 19300531    43.5
19300601 19300630    16.9
19300701 19300731    61.6
19300801 19300831    76.1
19300901 19300930    27.9
19301001 19301031    87.6
19301101 19301130    10.7
19301201 19301231    10.7
19310101 19310131    18.2
19310201 19310228     2.6
19310301 19310331    27.6
19310401 19310430    44.5
19310501 19310531    85.2
19310601 19310630   103.2
19310701 19310731    60.4
19310801 19310831    68.3
19310901 19310930    55.0
19311001 19311031    15.0
19311101 19311130    28.9
19311201 19311231     3.6
19320101 19320131     0.0
19320201 19320229    76.0
19320301 19320331    29.5
19320401 19320430    75.6
19320501 19320531    46.7
19320601 19320630   105.3
19320701 19320731    72.4
19320801 19320831    81.6
19320901 19320930    61.1
19321001 19321031    58.6
19321101 19321130     1.3
19321201 19321231     4.5
19330101 19330131    23.8
19330201 19330228     0.0
