PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
18791001 18791031    11.4
18791101 18791130    25.7
18791201 18791231    22.1
18800101 18800131     5.1
18800201 18800229    31.8
18800301 18800331    61.5
18800401 18800430    70.9
18800501 18800531    46.5
18800601 18800630    42.2
18800701 18800731    61.0
18800801 18800831    70.1
18800901 18800930    68.1
18801001 18801031    59.9
18801101 18801130    18.5
18801201 18801231     0.0
18810101 18810131    68.3
18810201 18810228     1.3
18810301 18810331     0.3
18810401 18810430    14.7
18810501 18810531    41.1
18810601 18810630   143.0
18810701 18810731    44.7
18810801 18810831    82.6
18810901 18810930    30.2
18811001 18811031    15.5
18811101 18811130     4.8
18811201 18811231     4.3
18820101 18820131     3.6
18820201 18820228     0.0
18820301 18820331     5.8
18820401 18820430    47.5
18820501 18820531    55.6
18820601 18820630    57.2
18820701 18820731    53.8
18820801 18820831    71.9
18820901 18820930    19.3
18821001 18821031    35.6
18821101 18821130    58.2
18821201 18821231     1.5
18830101 18830131     7.6
18830201 18830228     5.6
18830301 18830331    21.8
18830401 18830430    50.5
18830501 18830531   134.6
18830601 18830630    80.8
18830701 18830731    48.0
18830801 18830831    54.4
18830901 18830930    21.8
18831001 18831031    29.5
18831101 18831130    36.6
18831201 18831231     8.4
18840101 18840131     7.6
18840201 18840229     0.0
18840301 18840331     5.6
18840401 18840430    40.8
18840501 18840531   129.5
18840601 18840630    84.4
18840701 18840731    12.8
18840801 18840831    23.8
18840901 18840930    24.9
18841001 18841031    15.0
18841101 18841130     6.6
18841201 18841231    30.9
18850101 18850131     7.1
18850201 18850228    36.6
18850301 18850331    10.4
18850401 18850430    43.0
18850501 18850531    29.9
18850601 18850630    57.5
18850701 18850731    37.1
18850801 18850831    52.4
18850901 18850930    36.0
18851001 18851031    21.9
18851101 18851130     1.0
18851201 18851231    11.0
18860101 18860131     8.6
18860201 18860228     0.5
18860301 18860331     1.5
18860401 18860430    27.7
18860501 18860531    30.3
18860601 18860630     8.7
18860701 18860731    63.7
18860801 18860831    97.9
18860901 18860930    17.6
18861001 18861031    53.9
18861101 18861130    18.0
18861201 18861231     0.6
18870101 18870131     9.9
18870201 18870228     4.6
18870301 18870331    17.5
18870401 18870430    28.7
18870501 18870531    58.3
18870601 18870630    97.0
18870701 18870731    58.3
18870801 18870831    27.7
18870901 18870930    56.0
18871001 18871031    38.7
18871101 18871130    39.5
18871201 18871231    27.5
18880101 18880131    11.4
18880201 18880229     0.8
18880301 18880331     6.1
18880401 18880430     3.8
18880501 18880531    58.4
18880601 18880630    81.0
18880701 18880731    82.9
18880801 18880831    33.3
18880901 18880930    13.0
18881001 18881031     3.6
18881101 18881130    11.7
18881201 18881231     3.8
18890101 18890131    40.7
18890201 18890228     3.6
18890301 18890331    37.4
18890401 18890430    98.9
18890501 18890531    73.9
18890601 18890630    75.3
18890701 18890731    31.2
18890801 18890831   103.9
18890901 18890930    30.7
18891001 18891031    53.0
18891101 18891130    30.4
18891201 18891231     7.6
18900101 18900131    34.0
18900201 18900228    11.1
18900301 18900331    20.4
18900401 18900430    30.2
18900501 18900531    53.1
18900601 18900630   156.1
18900701 18900731   173.9
18900801 18900831   116.8
18900901 18900930    69.7
18901001 18901031    61.0
18901101 18901130    32.1
18901201 18901231     0.3
18910101 18910131     8.4
18910201 18910228     2.8
18910301 18910331    14.2
18910401 18910430    24.1
18910501 18910531    18.8
18910601 18910630    19.3
18910701 18910731    70.8
18910801 18910831    36.4
18910901 18910930    52.8
18911001 18911031    46.6
18911101 18911130    32.0
18911201 18911231    26.0
18920101 18920131    26.2
18920201 18920229     6.1
18920301 18920331    26.7
18920401 18920430    17.5
18920501 18920531    26.5
18920601 18920630    49.7
18920701 18920731    61.1
18920801 18920831    84.8
18920901 18920930    78.0
18921001 18921031    72.9
18921101 18921130    17.7
18921201 18921231    30.2
18930101 18930131     6.1
18930201 18930228     0.3
18930301 18930331     3.3
18930401 18930430    35.7
18930501 18930531   169.4
18930601 18930630    77.2
18930701 18930731    51.6
18930801 18930831    72.2
18930901 18930930    86.4
18931001 18931031    29.4
18931101 18931130    35.4
18931201 18931231     9.1
18940101 18940131     8.7
18940201 18940228     0.5
18940301 18940331    35.0
18940401 18940430    39.7
18940501 18940531    44.3
18940601 18940630    76.2
18940701 18940731    62.6
18940801 18940831    56.5
18940901 18940930    21.7
18941001 18941031    73.0
18941101 18941130     1.3
18941201 18941231    26.9
18950101 18950131    11.7
18950201 18950228     2.3
18950301 18950331    47.6
18950401 18950430   103.9
18950501 18950531    17.3
18950601 18950630    52.4
18950701 18950731    79.7
18950801 18950831    65.2
18950901 18950930    30.5
18951001 18951031    18.5
18951101 18951130     4.6
18951201 18951231     0.3
18960101 18960131    41.5
18960201 18960229    22.2
18960301 18960331     8.3
18960401 18960430    72.2
18960501 18960531    50.3
18960601 18960630    60.6
18960701 18960731    37.5
18960801 18960831    47.9
18960901 18960930    11.0
18961001 18961031     9.6
18961101 18961130     0.8
18961201 18961231    39.9
18970101 18970131     1.3
18970201 18970228     5.9
18970301 18970331     9.0
18970401 18970430    13.9
18970501 18970531    30.1
18970601 18970630    41.0
18970701 18970731    48.7
18970801 18970831    76.2
18970901 18970930    39.7
18971001 18971031    12.1
18971101 18971130     6.1
18971201 18971231     0.5
18980101 18980131     0.0
18980201 18980228     5.9
18980301 18980331     6.6
