PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
18640101 18640131    44.5
18640201 18640229     2.0
18640301 18640331     0.0
18640401 18640430    29.5
18640501 18640531    46.2
18640601 18640630    65.0
18640701 18640731    26.9
18640801 18640831    61.7
18640901 18640930    15.0
18641001 18641031    16.5
18641101 18641130     1.5
18641201 18641231     0.8
18650101 18650131     0.0
18650201 18650228     0.3
18650301 18650331    17.0
18650401 18650430    13.0
18650501 18650531    37.8
18650601 18650630    15.2
18650701 18650731    50.5
18650801 18650831    21.6
18650901 18650930    29.7
18651001 18651031     7.4
18651101 18651130     4.3
18651201 18651231     7.1
18660101 18660131     4.6
18660201 18660228     9.9
18660301 18660331    16.5
18660401 18660430     7.1
18660501 18660531   113.8
18660601 18660630    35.8
18660701 18660731    30.7
18660801 18660831    30.0
18660901 18660930    18.3
18661001 18661031    58.2
18661101 18661130    10.9
18661201 18661231     0.0
18670101 18670131     0.0
18670201 18670228    35.1
18670301 18670331     5.6
18670401 18670430    40.6
18670501 18670531    55.1
18670601 18670630    41.9
18670701 18670731    62.7
18670801 18670831    15.7
18670901 18670930    66.5
18671001 18671031    20.8
18671101 18671130    12.2
18671201 18671231     2.3
18680101 18680131    22.9
18680201 18680229     0.5
18680301 18680331    31.0
18680401 18680430    29.7
18680501 18680531    32.8
18680601 18680630    62.5
18680701 18680731    26.4
18680801 18680831    21.6
18680901 18680930    30.7
18681001 18681031    29.5
18681101 18681130    24.9
18681201 18681231     4.8
18690101 18690131     6.6
18690201 18690228    21.8
18690301 18690331    67.6
18690401 18690430    15.2
18690501 18690531    34.8
18690601 18690630    40.9
18690701 18690731    17.5
18690801 18690831    26.7
18690901 18690930    14.2
18691001 18691031    20.6
18691101 18691130    37.1
18691201 18691231     8.4
18700101 18700131    43.9
18700201 18700228     0.0
18700301 18700331     0.0
18700401 18700430    28.2
18700501 18700531    48.3
18700601 18700630    69.1
18700701 18700731    60.5
18700801 18700831    59.2
18700901 18700930    26.2
18701001 18701031    40.6
18701101 18701130    23.1
18701201 18701231    23.6
18710101 18710131    19.1
18710201 18710228     8.9
18710301 18710331    18.3
18710401 18710430    13.0
18710501 18710531    63.5
18710601 18710630    58.2
18710701 18710731    32.8
18710801 18710831    19.1
18710901 18710930    20.1
18711001 18711031    34.3
18711101 18711130    44.5
18711201 18711231     7.6
18720101 18720131    31.5
18720201 18720229    10.2
18720301 18720331    23.4
18720401 18720430    14.0
18720501 18720531    77.7
18720601 18720630    35.1
18720701 18720731    69.9
18720801 18720831    25.1
18720901 18720930    19.8
18721001 18721031    34.3
18721101 18721130    88.1
18721201 18721231     8.1
18730101 18730131    19.8
18730201 18730228     7.1
18730301 18730331    10.4
18730401 18730430    26.7
18730501 18730531    63.0
18730601 18730630    56.6
18730701 18730731    15.2
18730801 18730831    42.7
18730901 18730930    18.8
18731001 18731031    16.8
18731101 18731130     3.6
