PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
18731101 18731130    13.2
18731201 18731231     3.4
18740101 18740131    16.5
18740201 18740228     1.8
18740301 18740331    17.3
18740401 18740430     7.5
18740501 18740531    77.5
18740601 18740630    71.6
18740701 18740731   113.7
18740801 18740831    74.7
18740901 18740930    82.3
18741001 18741031    13.6
18741101 18741130     8.0
18741201 18741231    25.3
18750101 18750131    11.0
18750201 18750228    14.7
18750301 18750331    27.4
18750401 18750430    88.5
18750501 18750531   100.6
18750601 18750630   202.5
18750701 18750731    65.2
18750801 18750831    80.4
18750901 18750930    32.0
18751001 18751031    15.1
18751101 18751130    13.4
18751201 18751231    64.2
18760101 18760131     4.8
18760201 18760229    18.0
18760301 18760331    27.5
18760401 18760430    57.6
18760501 18760531    41.8
18760601 18760630    79.2
18760701 18760731    98.4
18760801 18760831    34.7
18760901 18760930    20.2
18761001 18761031    28.5
18761101 18761130    14.5
18761201 18761231     4.6
18770101 18770131     2.0
18770201 18770228    25.5
18770301 18770331   122.9
18770401 18770430    22.0
18770501 18770531   130.5
18770601 18770630    43.7
18770701 18770731    38.2
18770801 18770831    46.5
18770901 18770930    41.3
18771001 18771031    11.1
18771101 18771130     1.1
18771201 18771231     4.6
18780101 18780131     0.0
18780201 18780228    10.2
18780301 18780331    16.2
18780401 18780430    25.6
18780501 18780531    51.1
18780601 18780630   113.7
18780701 18780731   119.1
18780801 18780831    66.6
18780901 18780930    50.3
18781001 18781031    15.0
18781101 18781130    19.3
18781201 18781231     3.7
18790101 18790131     5.1
18790201 18790228     9.7
18790301 18790331    42.8
18790401 18790430    57.9
18790501 18790531    99.5
18790601 18790630    76.7
18790701 18790731   103.9
18790801 18790831   115.3
18790901 18790930    85.9
18791001 18791031    42.3
18791101 18791130    22.4
18791201 18791231    25.2
18800101 18800131     6.1
18800201 18800229     9.4
18800301 18800331    42.7
18800401 18800430    74.0
18800501 18800531   104.9
18800601 18800630   140.7
18800701 18800731    93.1
18800801 18800831    98.2
18800901 18800930    74.7
18801001 18801031    42.6
18801101 18801130    24.3
18801201 18801231     2.1
18810101 18810131    42.7
18810201 18810228    11.4
18810301 18810331     5.7
18810401 18810430    25.0
18810501 18810531    87.8
18810601 18810630   166.2
18810701 18810731    87.8
18810801 18810831    57.2
18810901 18810930    35.9
18811001 18811031    24.8
18811101 18811130    13.0
18811201 18811231    16.6
18820101 18820131    28.9
18820201 18820228     0.5
18820301 18820331     8.3
18820401 18820430    52.6
18820501 18820531   112.3
18820601 18820630    79.7
18820701 18820731   101.4
18820801 18820831   100.8
18820901 18820930    33.1
18821001 18821031    67.2
18821101 18821130    34.2
18821201 18821231     8.8
18830101 18830131     5.1
18830201 18830228    22.4
18830301 18830331    31.2
18830401 18830430    74.7
18830501 18830531   117.5
18830601 18830630   127.1
18830701 18830731    60.6
18830801 18830831    89.3
18830901 18830930    47.3
18831001 18831031    48.0
18831101 18831130    22.4
18831201 18831231    25.9
18840101 18840131    34.9
18840201 18840229     3.6
18840301 18840331    10.8
18840401 18840430    75.4
18840501 18840531    59.5
18840601 18840630   158.8
18840701 18840731    52.8
18840801 18840831    49.1
18840901 18840930    72.0
18841001 18841031    29.8
18841101 18841130    13.0
