PRCP       022815 19100101 20161031 missing_value=99999.9 PIONEER BEND                              
19100101 19100131     5.5
19100201 19100228     0.8
19100301 19100331    75.1
19100401 19100430    25.8
19100501 19100531   126.1
19100601 19100630   114.9
19100701 19100731   233.7
19100801 19100831    72.5
19100901 19100930    71.0
19101001 19101031    64.4
19101101 19101130    93.5
19101201 19101231    36.0
19110101 19110131     4.8
19110201 19110228    46.2
19110301 19110331    10.3
19110401 19110430    22.5
19110501 19110531    99.3
19110601 19110630   107.2
19110701 19110731    99.7
19110801 19110831    66.5
19110901 19110930    53.3
19111001 19111031    47.7
19111101 19111130     4.9
19111201 19111231    39.2
19120101 19120131     2.1
19120201 19120229    17.4
19120301 19120331    60.2
19120401 19120430    29.6
19120501 19120531    22.6
19120601 19120630    89.0
19120701 19120731   127.5
19120801 19120831    50.9
19120901 19120930    96.4
19121001 19121031    15.7
19121101 19121130    42.3
19121201 19121231    46.2
19130101 19130131    32.0
19130201 19130228    31.9
19130301 19130331    29.2
19130401 19130430    14.8
19130501 19130531    36.2
19130601 19130630    40.6
19130701 19130731    64.4
19130801 19130831    82.5
19130901 19130930    55.9
19131001 19131031    18.6
19131101 19131130    37.2
19131201 19131231    29.3
19140101 19140131     6.6
19140201 19140228     2.3
19140301 19140331    20.4
19140401 19140430   108.2
19140501 19140531    88.9
19140601 19140630    40.5
19140701 19140731    56.0
19140801 19140831    13.1
19140901 19140930    22.3
19141001 19141031    15.6
19141101 19141130    21.7
19141201 19141231    28.3
19150101 19150131     8.1
19150201 19150228     4.6
19150301 19150331    19.0
19150401 19150430    36.7
19150501 19150531    55.2
19150601 19150630   127.7
19150701 19150731   132.7
19150801 19150831   109.4
19150901 19150930   119.5
19151001 19151031    17.4
19151101 19151130    13.0
19151201 19151231     0.0
19160101 19160131     6.4
19160201 19160229     5.1
19160301 19160331    12.0
19160401 19160430    55.5
19160501 19160531    66.7
19160601 19160630   217.6
19160701 19160731   141.2
19160801 19160831    87.0
19160901 19160930    22.0
19161001 19161031    48.0
19161101 19161130    58.5
19161201 19161231    29.8
19170101 19170131     7.9
19170201 19170228    38.5
19170301 19170331    29.3
19170401 19170430    18.0
19170501 19170531   102.5
19170601 19170630   114.0
19170701 19170731   140.2
19170801 19170831   112.8
19170901 19170930   101.3
19171001 19171031    84.0
19171101 19171130    17.4
19171201 19171231    34.6
19180101 19180131     3.1
19180201 19180228     0.0
19180301 19180331    17.0
19180401 19180430    16.4
19180501 19180531    81.3
19180601 19180630   118.3
19180701 19180731    98.6
19180801 19180831   147.3
19180901 19180930    30.7
19181001 19181031    44.1
19181101 19181130     8.2
19181201 19181231    29.4
19190101 19190131    18.6
19190201 19190228    22.4
19190301 19190331     4.9
19190401 19190430    12.3
19190501 19190531    79.6
19190601 19190630    67.7
19190701 19190731    91.2
19190801 19190831    51.4
19190901 19190930    73.8
19191001 19191031    52.3
19191101 19191130     3.9
19191201 19191231    25.1
19200101 19200131     0.0
19200201 19200229     3.7
19200301 19200331    12.6
19200401 19200430    20.0
19200501 19200531    85.9
19200601 19200630   275.2
19200701 19200731   152.4
19200801 19200831   121.2
19200901 19200930    48.3
19201001 19201031    39.6
19201101 19201130    62.4
19201201 19201231    23.4
19210101 19210131     6.9
19210201 19210228     0.8
19210301 19210331    15.6
19210401 19210430    26.6
19210501 19210531   123.2
19210601 19210630   128.3
19210701 19210731   101.3
19210801 19210831   142.8
19210901 19210930   112.3
19211001 19211031    52.9
19211101 19211130    31.3
19211201 19211231    10.8
19220101 19220131    24.2
19220201 19220228     2.5
19220301 19220331    16.9
19220401 19220430    56.7
19220501 19220531    86.8
19220601 19220630    90.9
19220701 19220731   122.0
19220801 19220831   105.3
19220901 19220930    28.9
19221001 19221031    50.5
19221101 19221130     2.8
19221201 19221231    28.5
19230101 19230131    12.7
19230201 19230228     5.1
19230301 19230331     0.8
19230401 19230430     1.5
19230501 19230531   167.2
19230601 19230630   125.0
19230701 19230731   109.5
19230801 19230831    92.2
19230901 19230930    70.9
19231001 19231031    49.0
19231101 19231130     6.5
19231201 19231231    69.5
19240101 19240131    10.9
19240201 19240229    36.7
19240301 19240331    24.5
19240401 19240430    34.0
19240501 19240531    88.6
19240601 19240630    99.8
19240701 19240731    37.0
19240801 19240831    49.4
19240901 19240930    81.4
19241001 19241031    60.7
19241101 19241130    29.1
19241201 19241231     4.1
19250101 19250131     7.2
19250201 19250228    20.9
19250301 19250331     4.3
19250401 19250430    64.6
19250501 19250531   119.2
19250601 19250630    46.8
19250701 19250731   101.1
19250801 19250831    44.8
19250901 19250930    77.7
19251001 19251031     9.5
19251101 19251130    20.8
19251201 19251231     0.8
19260101 19260131     1.5
19260201 19260228     7.6
19260301 19260331    15.3
19260401 19260430    55.2
19260501 19260531   115.8
19260601 19260630    73.4
19260701 19260731    90.2
19260801 19260831   103.0
19260901 19260930    45.1
19261001 19261031    48.9
19261101 19261130     9.7
19261201 19261231    22.6
19270101 19270131     8.7
19270201 19270228    72.5
19270301 19270331    31.2
19270401 19270430    11.4
19270501 19270531    55.6
19270601 19270630    58.0
19270701 19270731   122.6
19270801 19270831    90.9
19270901 19270930    22.5
19271001 19271031     9.6
19271101 19271130    29.9
19271201 19271231    40.9
19280101 19280131    23.0
19280201 19280229    53.9
19280301 19280331     9.4
19280401 19280430    35.7
19280501 19280531    31.9
19280601 19280630    93.1
19280701 19280731   103.6
19280801 19280831    24.5
19280901 19280930    36.9
19281001 19281031    74.5
19281101 19281130    10.7
19281201 19281231     8.7
19290101 19290131    19.7
19290201 19290228     0.6
19290301 19290331     9.2
19290401 19290430    23.8
19290501 19290531    38.4
19290601 19290630   138.4
19290701 19290731    87.4
19290801 19290831    75.8
19290901 19290930    36.4
19291001 19291031    69.8
19291101 19291130    28.1
19291201 19291231    19.6
19300101 19300131     0.0
19300201 19300228    76.1
19300301 19300331     7.2
19300401 19300430    35.0
19300501 19300531    36.7
19300601 19300630    26.1
19300701 19300731   162.9
19300801 19300831   185.1
19300901 19300930    92.0
19301001 19301031    20.0
19301101 19301130    15.3
19301201 19301231     3.1
19310101 19310131     8.0
19310201 19310228     6.4
19310301 19310331    27.6
19310401 19310430    20.2
19310501 19310531   100.3
19310601 19310630   205.3
19310701 19310731   120.5
19310801 19310831    75.9
19310901 19310930    71.6
19311001 19311031    22.4
19311101 19311130    59.4
19311201 19311231     5.0
19320101 19320131     0.8
19320201 19320229    66.1
19320301 19320331    52.9
19320401 19320430   106.9
19320501 19320531    35.6
19320601 19320630   107.0
19320701 19320731    99.6
19320801 19320831   108.6
19320901 19320930    50.8
19321001 19321031    50.3
19321101 19321130     7.0
19321201 19321231     5.7
19330101 19330131    27.7
19330201 19330228     1.6
19330301 19330331    11.9
19330401 19330430    33.8
19330501 19330531   109.4
19330601 19330630    73.7
19330701 19330731    94.6
19330801 19330831    76.6
19330901 19330930    70.8
19331001 19331031    31.1
19331101 19331130    19.4
19331201 19331231    20.4
19340101 19340131     8.6
19340201 19340228     2.8
19340301 19340331    19.2
19340401 19340430    54.5
19340501 19340531    12.5
19340601 19340630    71.4
19340701 19340731    87.0
19340801 19340831   127.1
19340901 19340930   100.6
19341001 19341031    61.6
19341101 19341130    45.7
19341201 19341231     7.7
19350101 19350131     9.5
19350201 19350228     5.7
19350301 19350331    50.9
19350401 19350430    52.2
19350501 19350531    73.4
19350601 19350630    84.8
19350701 19350731   105.7
19350801 19350831    69.1
19350901 19350930    53.3
19351001 19351031    71.9
19351101 19351130    23.6
19351201 19351231    17.3
19360101 19360131    17.3
19360201 19360229     0.0
19360301 19360331    10.1
19360401 19360430    20.3
19360501 19360531    78.4
19360601 19360630    54.9
19360701 19360731    97.3
19360801 19360831   102.4
19360901 19360930    31.2
19361001 19361031    63.9
19361101 19361130    16.4
19361201 19361231    15.2
19370101 19370131    27.3
19370201 19370228    11.4
19370301 19370331     7.1
19370401 19370430    39.3
19370501 19370531    94.9
19370601 19370630    55.0
19370701 19370731    86.6
19370801 19370831    98.2
19370901 19370930    67.8
19371001 19371031    30.6
19371101 19371130    50.8
19371201 19371231    47.6
19380101 19380131     4.4
19380201 19380228    75.1
19380301 19380331     6.1
19380401 19380430    70.6
19380501 19380531    57.9
19380601 19380630   128.9
19380701 19380731    84.4
19380801 19380831   130.0
19380901 19380930    36.0
19381001 19381031     6.4
19381101 19381130     7.4
19381201 19381231    14.7
19390101 19390131    49.8
19390201 19390228    49.0
19390301 19390331    29.9
19390401 19390430    38.3
19390501 19390531    69.1
19390601 19390630   119.6
19390701 19390731    72.3
19390801 19390831   151.3
19390901 19390930    12.3
19391001 19391031    61.4
19391101 19391130    42.2
19391201 19391231     3.8
19400101 19400131    32.3
19400201 19400229     3.8
19400301 19400331    12.4
19400401 19400430    51.1
19400501 19400531    53.0
19400601 19400630    52.0
19400701 19400731   144.1
19400801 19400831    47.5
19400901 19400930    25.6
19401001 19401031    22.2
19401101 19401130    53.7
19401201 19401231     8.6
19410101 19410131    64.2
19410201 19410228     9.6
19410301 19410331    46.5
19410401 19410430    37.6
19410501 19410531    25.6
19410601 19410630    59.0
19410701 19410731   108.8
19410801 19410831    47.5
19410901 19410930    69.8
19411001 19411031    23.9
19411101 19411130    10.9
19411201 19411231     3.8
19420101 19420131    23.9
19420201 19420228    39.6
19420301 19420331    11.5
19420401 19420430    15.7
19420501 19420531   135.9
19420601 19420630   159.6
19420701 19420731   112.4
19420801 19420831   126.4
19420901 19420930   126.4
19421001 19421031    11.6
19421101 19421130    35.2
19421201 19421231     6.8
19430101 19430131     9.9
19430201 19430228    46.5
19430301 19430331    17.5
