PRCP       023721 18630101 20171231 missing_value=99999.9 HAPPY VALLEY RESERVOIR E&WS               
18630101 18630131    21.3
18630201 18630228    14.0
18630301 18630331    46.5
18630401 18630430    12.4
18630501 18630531   182.1
18630601 18630630    72.4
18630701 18630731   113.8
18630801 18630831   103.9
18630901 18630930    54.4
18631001 18631031   101.1
18631101 18631130    18.5
18631201 18631231    18.0
18640101 18640131    43.4
18640201 18640229     8.1
18640301 18640331     0.0
18640401 18640430    47.2
18640501 18640531   115.6
18640601 18640630    68.8
18640701 18640731    97.0
18640801 18640831   113.8
18640901 18640930    35.3
18641001 18641031    36.6
18641101 18641130     2.8
18641201 18641231     7.6
18650101 18650131     0.5
18650201 18650228     5.8
18650301 18650331    33.8
18650401 18650430    14.0
18650501 18650531    61.0
18650601 18650630    50.5
18650701 18650731   148.1
18650801 18650831    39.9
18650901 18650930    57.4
18651001 18651031    16.0
18651101 18651130     8.6
18651201 18651231     9.1
18660101 18660131    17.5
18660201 18660228     9.1
18660301 18660331    18.8
18660401 18660430    10.7
18660501 18660531   145.0
18660601 18660630    73.7
18660701 18660731    97.8
18660801 18660831    67.1
18660901 18660930    63.8
18661001 18661031    79.8
18661101 18661130    21.3
18661201 18661231     1.8
18670101 18670131     8.6
18670201 18670228    25.7
18670301 18670331    20.3
18670401 18670430    37.3
18670501 18670531    84.6
18670601 18670630    45.0
18670701 18670731    90.4
18670801 18670831    32.3
18670901 18670930    96.3
18671001 18671031   106.9
18671101 18671130    16.0
18671201 18671231    14.7
18680101 18680131    39.9
18680201 18680229     0.0
18680301 18680331    33.5
18680401 18680430    63.5
18680501 18680531    33.5
18680601 18680630   130.0
18680701 18680731    67.3
18680801 18680831    52.1
18680901 18680930    73.4
18681001 18681031    36.3
18681101 18681130    25.9
18681201 18681231     9.1
18690101 18690131    20.1
18690201 18690228    16.8
18690301 18690331    40.4
18690401 18690430    32.0
18690501 18690531    66.5
18690601 18690630    91.4
18690701 18690731    38.1
18690801 18690831    32.3
18690901 18690930    31.0
18691001 18691031    34.8
18691101 18691130    47.8
18691201 18691231     7.4
18700101 18700131    73.7
18700201 18700228     0.0
18700301 18700331     0.0
18700401 18700430    21.6
18700501 18700531    59.7
18700601 18700630   106.7
18700701 18700731    99.1
18700801 18700831   147.6
18700901 18700930    65.0
18701001 18701031    97.5
18701101 18701130    32.3
18701201 18701231    17.3
18710101 18710131    53.6
18710201 18710228    22.6
18710301 18710331    26.4
18710401 18710430     7.6
18710501 18710531    63.0
18710601 18710630    73.7
18710701 18710731    95.8
18710801 18710831    56.6
18710901 18710930    65.8
18711001 18711031    55.4
18711101 18711130    69.1
18711201 18711231    43.2
18720101 18720131    38.4
18720201 18720229    18.3
18720301 18720331    19.3
18720401 18720430    15.5
18720501 18720531    88.9
18720601 18720630   116.8
18720701 18720731   127.0
18720801 18720831    73.7
18720901 18720930    74.4
18721001 18721031    34.3
18721101 18721130    52.8
18721201 18721231     6.6
18730101 18730131    16.3
18730201 18730228    45.7
18730301 18730331    31.8
18730401 18730430    72.4
18730501 18730531    84.3
18730601 18730630    72.1
18730701 18730731    64.3
18730801 18730831    96.5
18730901 18730930    59.4
18731001 18731031    41.7
18731101 18731130    14.0
18731201 18731231    12.7
18740101 18740131     8.1
18740201 18740228     0.5
18740301 18740331    20.3
18740401 18740430    32.8
18740501 18740531    87.9
18740601 18740630    60.5
18740701 18740731    68.1
18740801 18740831   103.9
18740901 18740930    88.6
18741001 18741031    26.9
18741101 18741130    14.2
18741201 18741231    15.0
18750101 18750131    10.9
18750201 18750228    67.8
18750301 18750331     5.8
18750401 18750430    93.2
18750501 18750531   177.3
18750601 18750630   136.9
18750701 18750731    49.8
18750801 18750831   104.1
18750901 18750930    24.1
18751001 18751031    89.4
18751101 18751130    21.6
18751201 18751231   140.7
18760101 18760131     2.8
18760201 18760229    15.0
18760301 18760331    21.3
18760401 18760430    64.8
18760501 18760531    37.1
18760601 18760630    32.8
18760701 18760731    79.0
18760801 18760831    43.7
18760901 18760930    36.3
18761001 18761031    49.5
18761101 18761130    37.8
18761201 18761231    25.4
18770101 18770131     9.4
18770201 18770228    63.5
18770301 18770331   149.1
18770401 18770430    40.1
18770501 18770531   122.9
18770601 18770630    43.2
18770701 18770731    33.3
18770801 18770831    68.8
18770901 18770930   101.9
18771001 18771031    64.0
18771101 18771130    13.7
18771201 18771231    14.2
18780101 18780131 99999.9
18780201 18780228 99999.9
18780301 18780331 99999.9
18780401 18780430 99999.9
18780501 18780531 99999.9
18780601 18780630 99999.9
18780701 18780731 99999.9
18780801 18780831 99999.9
18780901 18780930 99999.9
18781001 18781031 99999.9
18781101 18781130 99999.9
18781201 18781231 99999.9
18790101 18790131 99999.9
18790201 18790228 99999.9
18790301 18790331 99999.9
18790401 18790430 99999.9
18790501 18790531 99999.9
18790601 18790630 99999.9
18790701 18790731 99999.9
18790801 18790831 99999.9
18790901 18790930 99999.9
18791001 18791031 99999.9
18791101 18791130 99999.9
18791201 18791231 99999.9
18800101 18800131 99999.9
18800201 18800229 99999.9
18800301 18800331 99999.9
18800401 18800430 99999.9
18800501 18800531 99999.9
18800601 18800630 99999.9
18800701 18800731 99999.9
18800801 18800831 99999.9
18800901 18800930 99999.9
18801001 18801031 99999.9
18801101 18801130 99999.9
18801201 18801231 99999.9
18810101 18810131 99999.9
18810201 18810228 99999.9
18810301 18810331 99999.9
18810401 18810430 99999.9
18810501 18810531 99999.9
18810601 18810630 99999.9
18810701 18810731 99999.9
18810801 18810831 99999.9
18810901 18810930 99999.9
18811001 18811031 99999.9
18811101 18811130 99999.9
18811201 18811231 99999.9
18820101 18820131 99999.9
18820201 18820228 99999.9
18820301 18820331 99999.9
18820401 18820430 99999.9
18820501 18820531 99999.9
18820601 18820630 99999.9
18820701 18820731 99999.9
18820801 18820831 99999.9
18820901 18820930 99999.9
18821001 18821031 99999.9
18821101 18821130 99999.9
18821201 18821231 99999.9
18830101 18830131 99999.9
18830201 18830228 99999.9
18830301 18830331 99999.9
18830401 18830430 99999.9
18830501 18830531 99999.9
18830601 18830630 99999.9
18830701 18830731 99999.9
18830801 18830831 99999.9
18830901 18830930 99999.9
18831001 18831031 99999.9
18831101 18831130 99999.9
18831201 18831231 99999.9
18840101 18840131 99999.9
18840201 18840229 99999.9
18840301 18840331 99999.9
18840401 18840430 99999.9
18840501 18840531 99999.9
18840601 18840630 99999.9
18840701 18840731 99999.9
18840801 18840831 99999.9
18840901 18840930 99999.9
18841001 18841031 99999.9
18841101 18841130 99999.9
18841201 18841231 99999.9
18850101 18850131 99999.9
18850201 18850228 99999.9
18850301 18850331 99999.9
18850401 18850430 99999.9
18850501 18850531 99999.9
18850601 18850630 99999.9
18850701 18850731 99999.9
18850801 18850831 99999.9
18850901 18850930 99999.9
18851001 18851031 99999.9
18851101 18851130 99999.9
18851201 18851231 99999.9
18860101 18860131 99999.9
18860201 18860228 99999.9
18860301 18860331 99999.9
