PRCP       024501 18900901 20180131 missing_value=99999.9 AUSTRALIA PLAINS                          
18900901 18900930    20.9
18901001 18901031    21.4
18901101 18901130    39.9
18901201 18901231     2.8
18910101 18910131     7.6
18910201 18910228     0.0
18910301 18910331    12.7
18910401 18910430    19.6
18910501 18910531    17.8
18910601 18910630    22.9
18910701 18910731     9.4
18910801 18910831    12.2
18910901 18910930    13.5
18911001 18911031    29.6
18911101 18911130    12.7
18911201 18911231    13.2
18920101 18920131    35.6
18920201 18920229    62.2
18920301 18920331     0.0
18920401 18920430     0.0
18920501 18920531    17.3
18920601 18920630    10.7
18920701 18920731    21.9
18920801 18920831    41.3
18920901 18920930    52.8
18921001 18921031   114.0
18921101 18921130    20.6
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     0.0
18930401 18930430    44.5
18930501 18930531   115.6
18930601 18930630    47.2
18930701 18930731    23.6
18930801 18930831    33.0
18930901 18930930    43.9
18931001 18931031    28.7
18931101 18931130    16.5
18931201 18931231     0.0
18940101 18940131     0.0
18940201 18940228     0.0
18940301 18940331   100.4
18940401 18940430    12.2
18940501 18940531    12.0
18940601 18940630    32.8
18940701 18940731    39.4
18940801 18940831    48.8
18940901 18940930    19.3
18941001 18941031    70.6
18941101 18941130     0.0
18941201 18941231    70.4
18950101 18950131    29.2
18950201 18950228     0.0
18950301 18950331     7.6
18950401 18950430    45.0
18950501 18950531     0.0
18950601 18950630    21.6
18950701 18950731    25.2
18950801 18950831    29.2
18950901 18950930    11.2
18951001 18951031     0.0
18951101 18951130     0.0
18951201 18951231    28.5
18960101 18960131    21.6
18960201 18960229     0.0
18960301 18960331    12.7
18960401 18960430    16.5
18960501 18960531    11.9
18960601 18960630    31.8
18960701 18960731    11.5
18960801 18960831    17.2
18960901 18960930     2.5
18961001 18961031     0.0
18961101 18961130     0.0
18961201 18961231    23.1
18970101 18970131     0.0
18970201 18970228    50.8
18970301 18970331     0.0
18970401 18970430     3.0
18970501 18970531    11.5
18970601 18970630    32.8
18970701 18970731    14.5
18970801 18970831    60.9
18970901 18970930    22.8
18971001 18971031     6.1
18971101 18971130     7.4
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    15.0
18980301 18980331     0.0
18980401 18980430    20.3
18980501 18980531    29.8
18980601 18980630    96.2
18980701 18980731    30.0
18980801 18980831    55.8
18980901 18980930     6.1
18981001 18981031    25.7
18981101 18981130    11.9
18981201 18981231     0.0
18990101 18990131     0.0
18990201 18990228    20.6
18990301 18990331    14.5
18990401 18990430     6.9
18990501 18990531    17.5
18990601 18990630    48.2
18990701 18990731    10.9
18990801 18990831    14.5
18990901 18990930    53.8
18991001 18991031     8.1
18991101 18991130     5.3
18991201 18991231     4.1
19000101 19000131     0.0
19000201 19000228     0.0
19000301 19000331    38.0
19000401 19000430    35.5
19000501 19000531    30.3
19000601 19000630    50.9
19000701 19000731    12.7
19000801 19000831    57.6
19000901 19000930    13.7
19001001 19001031     6.9
19001101 19001130     6.6
19001201 19001231    40.6
19010101 19010131     9.4
19010201 19010228     0.0
19010301 19010331     0.0
19010401 19010430     8.9
19010501 19010531     2.5
19010601 19010630    46.6
19010701 19010731    25.4
19010801 19010831    17.0
19010901 19010930    15.5
19011001 19011031    29.7
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228    11.4
19020301 19020331    10.2
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630    38.1
19020701 19020731    10.9
19020801 19020831    24.9
19020901 19020930     9.7
19021001 19021031    25.7
19021101 19021130    18.3
19021201 19021231    70.6
19030101 19030131     0.0
19030201 19030228     6.6
19030301 19030331    10.2
19030401 19030430    52.9
19030501 19030531    31.5
19030601 19030630    46.7
19030701 19030731    17.2
19030801 19030831    36.0
19030901 19030930    56.1
19031001 19031031     7.1
19031101 19031130    88.0
19031201 19031231    46.6
19040101 19040131    20.8
19040201 19040229    18.5
19040301 19040331     0.0
19040401 19040430    12.7
19040501 19040531    21.6
19040601 19040630    31.0
19040701 19040731    22.2
19040801 19040831    17.5
19040901 19040930     5.1
19041001 19041031    26.4
19041101 19041130     0.0
19041201 19041231    11.7
19050101 19050131    10.2
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430    58.1
19050501 19050531    63.8
19050601 19050630    33.5
19050701 19050731    33.3
19050801 19050831    15.2
19050901 19050930    31.7
19051001 19051031    65.8
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228    10.2
19060301 19060331    30.5
19060401 19060430     0.0
19060501 19060531    30.0
19060601 19060630    58.0
19060701 19060731    15.7
19060801 19060831    36.5
19060901 19060930    81.2
19061001 19061031    18.0
19061101 19061130    49.8
19061201 19061231    24.1
19070101 19070131    36.8
19070201 19070228     0.0
19070301 19070331     0.0
19070401 19070430    18.5
19070501 19070531    24.3
19070601 19070630    64.5
19070701 19070731    46.0
19070801 19070831    22.3
19070901 19070930     4.3
19071001 19071031    20.9
19071101 19071130    37.4
19071201 19071231     7.9
19080101 19080131    16.0
19080201 19080229     6.6
19080301 19080331    34.0
19080401 19080430     0.0
19080501 19080531    44.0
19080601 19080630    20.3
19080701 19080731    11.0
19080801 19080831    38.9
19080901 19080930    62.4
19081001 19081031    40.9
19081101 19081130    11.4
19081201 19081231    42.1
19090101 19090131     7.4
19090201 19090228     0.0
19090301 19090331    10.4
19090401 19090430     7.4
19090501 19090531    33.0
19090601 19090630    45.0
19090701 19090731    47.7
19090801 19090831    80.5
19090901 19090930     8.6
19091001 19091031     8.4
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     5.3
19100201 19100228     0.0
19100301 19100331    91.5
19100401 19100430     0.0
19100501 19100531    58.5
19100601 19100630    51.8
19100701 19100731    52.0
19100801 19100831    24.8
19100901 19100930    47.3
19101001 19101031    38.6
19101101 19101130    14.7
19101201 19101231    12.7
19110101 19110131     0.0
19110201 19110228    21.3
19110301 19110331     7.6
19110401 19110430     0.0
19110501 19110531    45.0
19110601 19110630    20.7
19110701 19110731    43.5
19110801 19110831    13.5
19110901 19110930    16.1
19111001 19111031     7.4
19111101 19111130     5.1
19111201 19111231    21.8
19120101 19120131     0.0
