PRCP       024511 18801101 20180131 missing_value=99999.9 EUDUNDA                                   
18801101 18801130    10.9
18801201 18801231     6.4
18810101 18810131    56.1
18810201 18810228     3.8
18810301 18810331    13.2
18810401 18810430    14.5
18810501 18810531    31.0
18810601 18810630    51.3
18810701 18810731     9.4
18810801 18810831    42.7
18810901 18810930     2.8
18811001 18811031    30.0
18811101 18811130    11.7
18811201 18811231     6.9
18820101 18820131     1.3
18820201 18820228     0.0
18820301 18820331     4.1
18820401 18820430    25.4
18820501 18820531    29.2
18820601 18820630    31.8
18820701 18820731    61.5
18820801 18820831    50.3
18820901 18820930     7.1
18821001 18821031     8.1
18821101 18821130    21.3
18821201 18821231     2.5
18830101 18830131     0.5
18830201 18830228     6.9
18830301 18830331     9.1
18830401 18830430    19.6
18830501 18830531   119.4
18830601 18830630    69.6
18830701 18830731    69.6
18830801 18830831    56.4
18830901 18830930    39.1
18831001 18831031    30.5
18831101 18831130    25.9
18831201 18831231    11.7
18840101 18840131    43.0
18840201 18840229     0.0
18840301 18840331    41.9
18840401 18840430    19.4
18840501 18840531    81.3
18840601 18840630    59.2
18840701 18840731    12.4
18840801 18840831    30.3
18840901 18840930    69.6
18841001 18841031    26.4
18841101 18841130    16.3
18841201 18841231    41.1
18850101 18850131     7.6
18850201 18850228    26.8
18850301 18850331    21.3
18850401 18850430    17.8
18850501 18850531    24.0
18850601 18850630    44.8
18850701 18850731    29.3
18850801 18850831    46.4
18850901 18850930    27.4
18851001 18851031    25.6
18851101 18851130     0.0
18851201 18851231    66.8
18860101 18860131    19.4
18860201 18860228     0.5
18860301 18860331     0.0
18860401 18860430    22.9
18860501 18860531    24.9
18860601 18860630    10.8
18860701 18860731    86.8
18860801 18860831   100.7
18860901 18860930    39.4
18861001 18861031    45.0
18861101 18861130    20.8
18861201 18861231    25.2
18870101 18870131     4.6
18870201 18870228    30.0
18870301 18870331     8.7
18870401 18870430    49.5
18870501 18870531    28.9
18870601 18870630   122.8
18870701 18870731    53.6
18870801 18870831    53.9
18870901 18870930    56.6
18871001 18871031    48.6
18871101 18871130    42.0
18871201 18871231    24.9
18880101 18880131    19.6
18880201 18880229     0.0
18880301 18880331     4.1
18880401 18880430    22.0
18880501 18880531    37.0
18880601 18880630    58.9
18880701 18880731    73.2
18880801 18880831    29.4
18880901 18880930    51.9
18881001 18881031     3.5
18881101 18881130     5.3
18881201 18881231     8.6
18890101 18890131    32.3
18890201 18890228     4.8
18890301 18890331     9.6
18890401 18890430   210.4
18890501 18890531    65.8
18890601 18890630    90.8
18890701 18890731    15.3
18890801 18890831    89.5
18890901 18890930    70.2
18891001 18891031    69.1
18891101 18891130    28.2
18891201 18891231     1.3
18900101 18900131   105.3
18900201 18900228    71.6
18900301 18900331    43.6
18900401 18900430    49.8
18900501 18900531    61.8
18900601 18900630    89.4
18900701 18900731   111.7
18900801 18900831    81.2
18900901 18900930    48.1
18901001 18901031    44.4
18901101 18901130    62.4
18901201 18901231     6.1
18910101 18910131     8.6
18910201 18910228     2.0
18910301 18910331    15.5
18910401 18910430    29.8
18910501 18910531     6.1
18910601 18910630    41.4
18910701 18910731    40.5
18910801 18910831    32.7
18910901 18910930    26.7
18911001 18911031    41.7
18911101 18911130    46.5
18911201 18911231    28.0
18920101 18920131    26.4
18920201 18920229    19.8
18920301 18920331    10.6
18920401 18920430    15.3
18920501 18920531    31.8
18920601 18920630    47.2
18920701 18920731    35.4
18920801 18920831    72.5
18920901 18920930    59.2
18921001 18921031   114.4
18921101 18921130    21.9
18921201 18921231    19.8
18930101 18930131     2.5
18930201 18930228     0.0
18930301 18930331     4.3
18930401 18930430    78.5
18930501 18930531   120.2
18930601 18930630    90.3
18930701 18930731    36.7
18930801 18930831    54.1
18930901 18930930    75.9
18931001 18931031    40.3
18931101 18931130    28.2
18931201 18931231    11.6
18940101 18940131     9.9
18940201 18940228     2.3
18940301 18940331    29.3
18940401 18940430    21.6
18940501 18940531    27.8
18940601 18940630    55.8
18940701 18940731    75.9
18940801 18940831    76.1
18940901 18940930    39.7
18941001 18941031    91.1
18941101 18941130     0.5
18941201 18941231    79.7
18950101 18950131    27.2
18950201 18950228     1.9
18950301 18950331    12.6
18950401 18950430    79.0
18950501 18950531     8.7
18950601 18950630    38.7
18950701 18950731    73.7
18950801 18950831    50.3
18950901 18950930    27.8
18951001 18951031     5.2
18951101 18951130    12.5
18951201 18951231    21.6
18960101 18960131    44.9
18960201 18960229     3.7
18960301 18960331    17.6
18960401 18960430    54.1
18960501 18960531    63.4
18960601 18960630    39.5
18960701 18960731    17.3
18960801 18960831    39.0
18960901 18960930    18.4
18961001 18961031     2.6
18961101 18961130     2.8
18961201 18961231    27.9
18970101 18970131     2.5
18970201 18970228    29.5
18970301 18970331    11.5
18970401 18970430    10.9
18970501 18970531    30.1
18970601 18970630    51.1
18970701 18970731    31.3
18970801 18970831    81.3
18970901 18970930    52.0
18971001 18971031    20.6
18971101 18971130    22.7
18971201 18971231     1.0
18980101 18980131     0.0
18980201 18980228    23.9
18980301 18980331     3.3
18980401 18980430    45.9
18980501 18980531    52.5
18980601 18980630    98.7
18980701 18980731    62.7
18980801 18980831    75.1
18980901 18980930    26.1
18981001 18981031    49.0
18981101 18981130    22.7
18981201 18981231     8.1
18990101 18990131    19.2
18990201 18990228    23.5
18990301 18990331     9.8
18990401 18990430    23.4
18990501 18990531    34.9
18990601 18990630    73.1
18990701 18990731    17.6
18990801 18990831    25.2
18990901 18990930    57.3
18991001 18991031    16.9
18991101 18991130    20.1
18991201 18991231    10.5
19000101 19000131    13.6
19000201 19000228     4.3
19000301 19000331    42.3
19000401 19000430    76.9
19000501 19000531    48.1
19000601 19000630   106.4
19000701 19000731    25.4
19000801 19000831    99.7
19000901 19000930    37.5
19001001 19001031    16.6
19001101 19001130    14.3
19001201 19001231    31.0
19010101 19010131    10.7
19010201 19010228     1.6
19010301 19010331    10.7
19010401 19010430    30.1
19010501 19010531     9.9
19010601 19010630    66.8
19010701 19010731    53.1
19010801 19010831    20.9
19010901 19010930    48.0
19011001 19011031    49.4
19011101 19011130     6.3
19011201 19011231    11.7
19020101 19020131     9.4
19020201 19020228    15.8
19020301 19020331    27.0
19020401 19020430     8.6
19020501 19020531    11.1
19020601 19020630    54.1
19020701 19020731    33.2
19020801 19020831    42.5
19020901 19020930    21.3
19021001 19021031    41.9
19021101 19021130    12.6
19021201 19021231    69.6
19030101 19030131    15.0
19030201 19030228    16.3
19030301 19030331    12.4
19030401 19030430    77.4
19030501 19030531    44.1
19030601 19030630    68.5
19030701 19030731    36.4
19030801 19030831    49.7
19030901 19030930    72.9
19031001 19031031    18.6
19031101 19031130   123.9
19031201 19031231    45.7
19040101 19040131    36.4
19040201 19040229    31.8
19040301 19040331    10.2
19040401 19040430    18.6
19040501 19040531    18.6
19040601 19040630    49.9
19040701 19040731    35.3
19040801 19040831    35.1
19040901 19040930    13.8
19041001 19041031    38.5
19041101 19041130    10.6
19041201 19041231    10.7
19050101 19050131    29.2
19050201 19050228     3.9
19050301 19050331     2.5
19050401 19050430    54.2
19050501 19050531    72.4
19050601 19050630    52.1
19050701 19050731    67.0
19050801 19050831    29.3
19050901 19050930    46.1
19051001 19051031    83.0
19051101 19051130     1.6
19051201 19051231     0.8
19060101 19060131     0.0
19060201 19060228     6.4
19060301 19060331    37.1
19060401 19060430     9.2
19060501 19060531    34.7
19060601 19060630    82.8
19060701 19060731    32.1
19060801 19060831    63.6
19060901 19060930    78.1
19061001 19061031    40.8
19061101 19061130    74.6
19061201 19061231    20.6
19070101 19070131     1.0
19070201 19070228     5.1
19070301 19070331    10.4
19070401 19070430    55.3
19070501 19070531    35.3
19070601 19070630    88.3
19070701 19070731    73.1
19070801 19070831    55.8
19070901 19070930    14.3
19071001 19071031    29.8
19071101 19071130    59.4
19071201 19071231    22.9
19080101 19080131    17.5
19080201 19080229     4.8
19080301 19080331    44.6
19080401 19080430     6.3
19080501 19080531    56.5
19080601 19080630    51.3
19080701 19080731    26.7
19080801 19080831    62.5
19080901 19080930   114.4
19081001 19081031    69.1
19081101 19081130    25.0
19081201 19081231     6.9
19090101 19090131    15.8
19090201 19090228     7.9
19090301 19090331    10.1
19090401 19090430    27.9
19090501 19090531    66.9
19090601 19090630    66.7
19090701 19090731    96.9
19090801 19090831   131.2
19090901 19090930    32.8
19091001 19091031    33.9
19091101 19091130    24.2
19091201 19091231     6.1
19100101 19100131    53.1
19100201 19100228    13.5
19100301 19100331   142.2
19100401 19100430     0.3
19100501 19100531    67.0
19100601 19100630    98.9
19100701 19100731   103.2
19100801 19100831    40.2
19100901 19100930    77.8
19101001 19101031    54.4
19101101 19101130    26.2
19101201 19101231    31.1
19110101 19110131    12.9
19110201 19110228    53.1
19110301 19110331    20.4
19110401 19110430    10.5
19110501 19110531    54.2
19110601 19110630    51.1
19110701 19110731    65.5
19110801 19110831    25.0
19110901 19110930    43.6
19111001 19111031    11.6
19111101 19111130     8.4
19111201 19111231    35.3
19120101 19120131     2.3
19120201 19120229    15.8
19120301 19120331    36.1
19120401 19120430    10.8
19120501 19120531     4.0
19120601 19120630    77.2
19120701 19120731    46.2
19120801 19120831    55.2
19120901 19120930    90.3
19121001 19121031    19.2
19121101 19121130    35.2
19121201 19121231    30.3
19130101 19130131     5.8
19130201 19130228    34.1
19130301 19130331   116.5
19130401 19130430     6.7
19130501 19130531    15.1
19130601 19130630     4.4
19130701 19130731    17.6
19130801 19130831    50.0
19130901 19130930    94.9
19131001 19131031    51.1
19131101 19131130    27.2
19131201 19131231    14.0
19140101 19140131     7.9
19140201 19140228    16.5
19140301 19140331    17.1
19140401 19140430    34.6
19140501 19140531    27.2
19140601 19140630    12.4
19140701 19140731    17.1
19140801 19140831     4.0
