PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
18890801 18890831    44.2
18890901 18890930    39.3
18891001 18891031    69.7
18891101 18891130    41.3
18891201 18891231     4.8
18900101 18900131    25.6
18900201 18900228    11.2
18900301 18900331    10.0
18900401 18900430    34.3
18900501 18900531    40.8
18900601 18900630    68.8
18900701 18900731   117.6
18900801 18900831    50.7
18900901 18900930    45.2
18901001 18901031    70.2
18901101 18901130    66.1
18901201 18901231     5.1
18910101 18910131     5.9
18910201 18910228     5.8
18910301 18910331    10.9
18910401 18910430    29.2
18910501 18910531     8.3
18910601 18910630    25.5
18910701 18910731    56.1
18910801 18910831    29.6
18910901 18910930    21.5
18911001 18911031    54.5
18911101 18911130    42.2
18911201 18911231    23.1
18920101 18920131    25.7
18920201 18920229     2.6
18920301 18920331    18.0
18920401 18920430    33.6
18920501 18920531    27.4
18920601 18920630    20.1
18920701 18920731    62.0
18920801 18920831    43.7
18920901 18920930    41.6
18921001 18921031    88.8
18921101 18921130    17.7
18921201 18921231    17.3
18930101 18930131     7.9
18930201 18930228     0.0
18930301 18930331     9.9
18930401 18930430    97.3
18930501 18930531    97.2
18930601 18930630    44.4
18930701 18930731    32.2
18930801 18930831    31.8
18930901 18930930   103.5
18931001 18931031    34.7
18931101 18931130    32.5
18931201 18931231    11.4
18940101 18940131     9.9
18940201 18940228     3.6
18940301 18940331    42.7
18940401 18940430    57.6
18940501 18940531    21.5
18940601 18940630    64.3
18940701 18940731    76.5
18940801 18940831    54.5
18940901 18940930    21.5
18941001 18941031    53.3
18941101 18941130     1.3
18941201 18941231    95.6
18950101 18950131    22.3
18950201 18950228     1.3
18950301 18950331    75.2
18950401 18950430    71.7
18950501 18950531    15.3
18950601 18950630    42.4
18950701 18950731    99.1
18950801 18950831    66.1
18950901 18950930    22.0
18951001 18951031     8.4
18951101 18951130     3.6
18951201 18951231    14.7
18960101 18960131     7.8
18960201 18960229    14.5
18960301 18960331    11.4
18960401 18960430    42.6
18960501 18960531    27.1
18960601 18960630    54.4
18960701 18960731    31.5
18960801 18960831    32.5
18960901 18960930    19.4
18961001 18961031     3.0
18961101 18961130     7.1
18961201 18961231    33.5
18970101 18970131    14.7
18970201 18970228    16.4
18970301 18970331    25.9
18970401 18970430    27.1
18970501 18970531    31.5
18970601 18970630    41.7
18970701 18970731    32.8
18970801 18970831    79.9
18970901 18970930    49.9
18971001 18971031    12.6
18971101 18971130     5.3
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    66.5
18980301 18980331     2.5
18980401 18980430    54.6
18980501 18980531    38.7
18980601 18980630    78.6
18980701 18980731    44.5
18980801 18980831    31.7
18980901 18980930    16.2
18981001 18981031    28.2
18981101 18981130    12.2
18981201 18981231     9.0
18990101 18990131    17.3
18990201 18990228    16.9
18990301 18990331    18.3
18990401 18990430    15.0
18990501 18990531    42.0
18990601 18990630    59.3
18990701 18990731    15.3
18990801 18990831    29.6
18990901 18990930    50.4
18991001 18991031    22.0
18991101 18991130    54.9
18991201 18991231     7.2
19000101 19000131     7.4
19000201 19000228     1.8
19000301 19000331    41.4
19000401 19000430    46.3
19000501 19000531    60.7
19000601 19000630    38.5
19000701 19000731    17.0
19000801 19000831    63.0
19000901 19000930    56.6
19001001 19001031    15.9
19001101 19001130    14.2
19001201 19001231     3.7
19010101 19010131    12.5
19010201 19010228     1.3
19010301 19010331     7.9
19010401 19010430    44.5
19010501 19010531    24.4
19010601 19010630   107.5
19010701 19010731    57.5
19010801 19010831    26.8
19010901 19010930    30.6
19011001 19011031    28.2
19011101 19011130    16.5
19011201 19011231    10.7
19020101 19020131     3.6
19020201 19020228     5.1
19020301 19020331    32.2
19020401 19020430     6.1
19020501 19020531    20.9
19020601 19020630    46.2
19020701 19020731    26.5
19020801 19020831    31.8
19020901 19020930    38.3
19021001 19021031    26.3
19021101 19021130     6.7
19021201 19021231    47.0
19030101 19030131    16.6
19030201 19030228    23.7
19030301 19030331    20.1
19030401 19030430    50.6
19030501 19030531    26.6
19030601 19030630    48.4
19030701 19030731    37.1
19030801 19030831    45.8
19030901 19030930    56.4
19031001 19031031    14.6
19031101 19031130    65.2
19031201 19031231    10.0
19040101 19040131    41.2
19040201 19040229     9.6
19040301 19040331    12.0
19040401 19040430    22.9
19040501 19040531    52.1
19040601 19040630    53.1
19040701 19040731    23.8
19040801 19040831    32.0
19040901 19040930    11.1
19041001 19041031    29.2
19041101 19041130    12.9
19041201 19041231     0.0
19050101 19050131    34.6
19050201 19050228     1.0
19050301 19050331     5.6
19050401 19050430    64.2
19050501 19050531    55.2
19050601 19050630    42.5
19050701 19050731    36.0
19050801 19050831    19.0
19050901 19050930    39.6
19051001 19051031    48.7
19051101 19051130     3.1
19051201 19051231     1.3
19060101 19060131     0.8
19060201 19060228     0.8
19060301 19060331    59.0
19060401 19060430     2.6
19060501 19060531    14.5
19060601 19060630    72.2
19060701 19060731    50.6
19060801 19060831    69.9
19060901 19060930    81.4
19061001 19061031    38.2
19061101 19061130    73.7
19061201 19061231    31.3
19070101 19070131     0.0
19070201 19070228     8.2
19070301 19070331    14.5
19070401 19070430    25.6
19070501 19070531    56.1
19070601 19070630    48.3
19070701 19070731    24.6
19070801 19070831    43.9
19070901 19070930    10.4
19071001 19071031    28.2
19071101 19071130    36.2
19071201 19071231    20.3
19080101 19080131     3.6
19080201 19080229     4.3
19080301 19080331    43.3
19080401 19080430    24.9
19080501 19080531    44.0
19080601 19080630    52.3
19080701 19080731    27.8
19080801 19080831    25.6
19080901 19080930    68.4
19081001 19081031    71.6
19081101 19081130     5.9
19081201 19081231     2.5
19090101 19090131    18.0
19090201 19090228     0.5
19090301 19090331    19.9
19090401 19090430    43.0
19090501 19090531    75.8
19090601 19090630    33.3
19090701 19090731    75.8
19090801 19090831   114.9
19090901 19090930    44.8
19091001 19091031    33.3
19091101 19091130    33.6
19091201 19091231     8.9
19100101 19100131     5.6
19100201 19100228     0.0
19100301 19100331   108.3
19100401 19100430     5.4
19100501 19100531    60.3
19100601 19100630    38.6
19100701 19100731    76.7
19100801 19100831    36.5
19100901 19100930    46.8
19101001 19101031    54.0
19101101 19101130    42.2
19101201 19101231    21.4
19110101 19110131     5.3
19110201 19110228    33.0
19110301 19110331    16.7
19110401 19110430     5.5
19110501 19110531    72.1
19110601 19110630    38.5
19110701 19110731    30.6
19110801 19110831    11.8
19110901 19110930    55.7
19111001 19111031    20.3
19111101 19111130     9.7
19111201 19111231    27.7
19120101 19120131     2.5
19120201 19120229    17.1
19120301 19120331    10.7
19120401 19120430     6.9
19120501 19120531    11.3
19120601 19120630    49.1
19120701 19120731    32.3
19120801 19120831    31.7
19120901 19120930    45.1
19121001 19121031    12.7
19121101 19121130    22.6
19121201 19121231    30.8
19130101 19130131     3.1
19130201 19130228    22.1
19130301 19130331    69.6
19130401 19130430     9.4
19130501 19130531    21.7
19130601 19130630     9.2
19130701 19130731    17.7
19130801 19130831    32.9
19130901 19130930    45.7
19131001 19131031    49.3
19131101 19131130    15.6
19131201 19131231    28.7
19140101 19140131     5.3
19140201 19140228    40.2
19140301 19140331    26.7
19140401 19140430    28.4
19140501 19140531    19.4
19140601 19140630    16.1
19140701 19140731    17.9
19140801 19140831     7.5
19140901 19140930    12.5
19141001 19141031     3.7
19141101 19141130    45.7
19141201 19141231    10.4
19150101 19150131     4.6
19150201 19150228     0.0
19150301 19150331     1.4
19150401 19150430    24.3
19150501 19150531    34.1
19150601 19150630    56.4
19150701 19150731    33.0
19150801 19150831    47.1
19150901 19150930    36.0
19151001 19151031     9.0
19151101 19151130     1.3
19151201 19151231     1.1
19160101 19160131    10.0
19160201 19160229     2.7
19160301 19160331     7.9
19160401 19160430    33.8
19160501 19160531    12.5
19160601 19160630    79.1
19160701 19160731    42.7
19160801 19160831    48.3
19160901 19160930    48.6
19161001 19161031    41.3
19161101 19161130    57.9
19161201 19161231    17.5
19170101 19170131     9.7
19170201 19170228    33.8
19170301 19170331    28.7
19170401 19170430    24.2
19170501 19170531    62.7
19170601 19170630    35.6
19170701 19170731    35.2
19170801 19170831    36.2
19170901 19170930    56.6
19171001 19171031    36.5
19171101 19171130    24.2
19171201 19171231    23.7
19180101 19180131     1.5
19180201 19180228     4.3
19180301 19180331    14.0
19180401 19180430    15.5
19180501 19180531    27.1
19180601 19180630    13.0
19180701 19180731    39.8
19180801 19180831    23.7
19180901 19180930    20.4
19181001 19181031    38.7
19181101 19181130     5.4
19181201 19181231    12.3
19190101 19190131     5.1
19190201 19190228    70.4
