PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
18851101 18851130     2.4
18851201 18851231    16.8
18860101 18860131    34.9
18860201 18860228     4.1
18860301 18860331     0.0
18860401 18860430    14.0
18860501 18860531    10.5
18860601 18860630     7.4
18860701 18860731    60.1
18860801 18860831    46.1
18860901 18860930    15.6
18861001 18861031    17.6
18861101 18861130    12.0
18861201 18861231     9.7
18870101 18870131     2.3
18870201 18870228    19.3
18870301 18870331     6.6
18870401 18870430    30.6
18870501 18870531    31.5
18870601 18870630    55.8
18870701 18870731    24.2
18870801 18870831    20.7
18870901 18870930    31.5
18871001 18871031    41.2
18871101 18871130    51.3
18871201 18871231    66.2
18880101 18880131     8.1
18880201 18880229     1.3
18880301 18880331     6.4
18880401 18880430     1.5
18880501 18880531    53.5
18880601 18880630    30.3
18880701 18880731    34.0
18880801 18880831    51.6
18880901 18880930    50.1
18881001 18881031     2.4
18881101 18881130     9.4
18881201 18881231    16.8
18890101 18890131    68.8
18890201 18890228    11.7
18890301 18890331     6.1
18890401 18890430   189.4
18890501 18890531    42.3
18890601 18890630    47.4
18890701 18890731    21.9
18890801 18890831    34.8
18890901 18890930    22.8
18891001 18891031    49.1
18891101 18891130    20.3
18891201 18891231    10.2
18900101 18900131    64.0
18900201 18900228    28.4
18900301 18900331     6.9
18900401 18900430    18.4
18900501 18900531    30.2
18900601 18900630    53.7
18900701 18900731   103.4
18900801 18900831    42.1
18900901 18900930    28.1
18901001 18901031    47.8
18901101 18901130    52.9
18901201 18901231     1.5
18910101 18910131     3.6
18910201 18910228     7.6
18910301 18910331    11.2
18910401 18910430    19.0
18910501 18910531     6.4
18910601 18910630    10.7
18910701 18910731    32.1
18910801 18910831    22.4
18910901 18910930    22.6
18911001 18911031    47.3
18911101 18911130    29.0
18911201 18911231    15.7
18920101 18920131    16.8
18920201 18920229     3.0
18920301 18920331     5.6
18920401 18920430    23.3
18920501 18920531    21.3
18920601 18920630    24.0
18920701 18920731    46.9
18920801 18920831    23.3
18920901 18920930    38.3
18921001 18921031    84.2
18921101 18921130    19.6
18921201 18921231     8.4
18930101 18930131     5.0
18930201 18930228     0.0
18930301 18930331    12.0
18930401 18930430    68.3
18930501 18930531   113.4
18930601 18930630    49.7
18930701 18930731    23.1
18930801 18930831    23.9
18930901 18930930    93.0
18931001 18931031    35.8
18931101 18931130    41.6
18931201 18931231    15.0
18940101 18940131     5.6
18940201 18940228     4.9
18940301 18940331   109.0
18940401 18940430    43.1
18940501 18940531    24.0
18940601 18940630    38.8
18940701 18940731    34.7
18940801 18940831    58.8
18940901 18940930    20.4
18941001 18941031    62.6
18941101 18941130     0.0
18941201 18941231    61.2
18950101 18950131    22.4
18950201 18950228     1.1
18950301 18950331    50.8
18950401 18950430    50.4
18950501 18950531     7.9
18950601 18950630    24.2
18950701 18950731    73.1
18950801 18950831    45.5
18950901 18950930     6.8
18951001 18951031     6.7
18951101 18951130     8.3
18951201 18951231    14.3
18960101 18960131    20.3
18960201 18960229     6.9
18960301 18960331    11.0
18960401 18960430    21.6
18960501 18960531    27.8
18960601 18960630    59.2
18960701 18960731    26.7
18960801 18960831    20.2
18960901 18960930    25.5
18961001 18961031    10.9
18961101 18961130    14.8
18961201 18961231    31.0
18970101 18970131     5.4
18970201 18970228    24.1
18970301 18970331    16.8
18970401 18970430     9.2
18970501 18970531    34.0
18970601 18970630    49.9
18970701 18970731    21.8
18970801 18970831    75.6
18970901 18970930    40.0
18971001 18971031     3.6
18971101 18971130     8.2
18971201 18971231     1.3
18980101 18980131     0.3
18980201 18980228    17.8
18980301 18980331     2.5
18980401 18980430    59.6
18980501 18980531    39.0
18980601 18980630    79.8
18980701 18980731    39.7
18980801 18980831    32.6
18980901 18980930    11.1
18981001 18981031    26.7
18981101 18981130    20.4
18981201 18981231     3.8
18990101 18990131    20.7
18990201 18990228    19.3
18990301 18990331    29.7
18990401 18990430    25.2
18990501 18990531    33.5
18990601 18990630    65.9
18990701 18990731    13.5
18990801 18990831    28.7
18990901 18990930    63.1
18991001 18991031    20.1
18991101 18991130    31.3
18991201 18991231     7.4
19000101 19000131     9.0
19000201 19000228     1.8
19000301 19000331    40.8
19000401 19000430    42.6
19000501 19000531    49.8
19000601 19000630    39.1
19000701 19000731    12.5
19000801 19000831    56.7
19000901 19000930    56.9
19001001 19001031    17.2
19001101 19001130    21.6
