PRCP       024535 18980801 20161231 missing_value=99999.9 SWAN REACH                                
18980801 18980831    33.6
18980901 18980930    11.9
18981001 18981031    16.5
18981101 18981130     6.4
18981201 18981231    23.2
18990101 18990131     4.5
18990201 18990228    33.5
18990301 18990331    14.3
18990401 18990430    22.4
18990501 18990531    19.0
18990601 18990630    43.3
18990701 18990731     9.8
18990801 18990831    17.3
18990901 18990930    63.2
18991001 18991031     7.7
18991101 18991130    12.0
18991201 18991231    12.2
19000101 19000131     5.8
19000201 19000228     4.1
19000301 19000331    38.7
19000401 19000430    33.6
19000501 19000531    24.0
19000601 19000630    39.2
19000701 19000731     7.2
19000801 19000831    37.3
19000901 19000930    32.4
19001001 19001031     8.7
19001101 19001130    20.1
19001201 19001231    17.5
19010101 19010131    10.4
19010201 19010228     0.6
19010301 19010331     0.0
19010401 19010430     5.3
19010501 19010531     1.8
19010601 19010630    34.1
19010701 19010731    38.3
19010801 19010831     4.8
19010901 19010930    12.8
19011001 19011031    22.8
19011101 19011130     5.8
19011201 19011231     9.2
19020101 19020131     3.5
19020201 19020228    11.2
19020301 19020331    21.1
19020401 19020430     2.3
19020501 19020531     3.9
19020601 19020630    45.6
19020701 19020731    13.6
19020801 19020831    10.3
19020901 19020930    15.7
19021001 19021031    30.6
19021101 19021130     5.3
19021201 19021231    47.6
19030101 19030131    11.2
19030201 19030228    12.0
19030301 19030331    40.2
19030401 19030430    51.5
19030501 19030531    26.7
19030601 19030630    37.4
19030701 19030731    13.9
19030801 19030831    32.0
19030901 19030930    40.8
19031001 19031031    33.0
19031101 19031130    48.5
19031201 19031231    34.0
19040101 19040131    14.3
19040201 19040229    13.8
19040301 19040331     7.7
19040401 19040430    18.3
19040501 19040531    25.3
19040601 19040630    40.7
19040701 19040731    32.9
19040801 19040831    17.1
19040901 19040930     1.8
19041001 19041031    38.0
19041101 19041130     5.3
19041201 19041231     2.0
19050101 19050131    25.9
19050201 19050228    10.7
19050301 19050331     2.0
19050401 19050430    57.5
19050501 19050531    71.3
19050601 19050630    19.8
19050701 19050731    24.2
19050801 19050831    10.1
19050901 19050930    14.0
19051001 19051031    42.7
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228     4.6
19060301 19060331    33.6
19060401 19060430     0.5
19060501 19060531    25.3
19060601 19060630    50.6
19060701 19060731    15.9
19060801 19060831    41.5
19060901 19060930    78.8
19061001 19061031    16.3
19061101 19061130    61.4
19061201 19061231    29.8
19070101 19070131     0.0
19070201 19070228     3.6
19070301 19070331     4.5
19070401 19070430    19.6
19070501 19070531    19.8
19070601 19070630    55.0
19070701 19070731    50.0
19070801 19070831    26.1
19070901 19070930     4.5
19071001 19071031    16.2
19071101 19071130    43.2
19071201 19071231     7.6
19080101 19080131    11.2
19080201 19080229     8.2
19080301 19080331    23.6
19080401 19080430     1.8
19080501 19080531    54.8
19080601 19080630    29.8
19080701 19080731    18.3
19080801 19080831    35.4
19080901 19080930    56.3
19081001 19081031    61.2
19081101 19081130    12.5
19081201 19081231     6.4
19090101 19090131     9.7
19090201 19090228     3.8
19090301 19090331     5.4
19090401 19090430     9.4
19090501 19090531    37.4
19090601 19090630    35.6
19090701 19090731    22.6
19090801 19090831    88.1
19090901 19090930    21.3
19091001 19091031    14.0
19091101 19091130    27.8
19091201 19091231     4.0
19100101 19100131    22.1
19100201 19100228     3.8
19100301 19100331    96.8
19100401 19100430     0.0
19100501 19100531    55.6
19100601 19100630    45.1
19100701 19100731    47.8
19100801 19100831    28.5
19100901 19100930    64.6
19101001 19101031    18.6
19101101 19101130    15.8
19101201 19101231    18.1
19110101 19110131     8.9
19110201 19110228    46.2
19110301 19110331    12.2
19110401 19110430     0.0
19110501 19110531    31.2
19110601 19110630    21.4
19110701 19110731    26.2
19110801 19110831    10.9
19110901 19110930    38.3
19111001 19111031     3.8
19111101 19111130     0.0
19111201 19111231    30.7
19120101 19120131     0.0
19120201 19120229    12.1
19120301 19120331    19.3
19120401 19120430     5.1
19120501 19120531     1.6
19120601 19120630    60.9
19120701 19120731    32.2
19120801 19120831    53.0
19120901 19120930    24.3
19121001 19121031     5.6
19121101 19121130    28.5
19121201 19121231    13.7
19130101 19130131     3.0
19130201 19130228    44.7
19130301 19130331    57.2
19130401 19130430     1.6
19130501 19130531    14.2
19130601 19130630     1.3
19130701 19130731    11.1
19130801 19130831    13.0
19130901 19130930    47.3
19131001 19131031    24.5
19131101 19131130    20.3
19131201 19131231    15.2
19140101 19140131    15.0
19140201 19140228    18.8
19140301 19140331    17.3
19140401 19140430    12.5
19140501 19140531    23.8
19140601 19140630    11.7
19140701 19140731     8.7
19140801 19140831     1.1
19140901 19140930     8.4
19141001 19141031     0.8
19141101 19141130    44.9
19141201 19141231    14.7
19150101 19150131    14.4
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    16.5
19150501 19150531    45.2
19150601 19150630    48.1
19150701 19150731    12.7
19150801 19150831    40.3
19150901 19150930    35.8
19151001 19151031    18.8
19151101 19151130     3.0
19151201 19151231     9.9
19160101 19160131     8.2
19160201 19160229     1.3
19160301 19160331    13.2
19160401 19160430     5.8
19160501 19160531    14.4
19160601 19160630    53.6
19160701 19160731    56.7
19160801 19160831    63.4
19160901 19160930    59.9
19161001 19161031    51.1
19161101 19161130    28.5
19161201 19161231    44.2
19170101 19170131    11.1
19170201 19170228    36.3
19170301 19170331    11.0
19170401 19170430     2.5
19170501 19170531    28.8
19170601 19170630    33.0
19170701 19170731    27.2
19170801 19170831    33.4
19170901 19170930    35.5
19171001 19171031    74.6
19171101 19171130    12.0
19171201 19171231    31.7
19180101 19180131     0.0
19180201 19180228    30.7
19180301 19180331    11.9
19180401 19180430    23.6
19180501 19180531    34.0
19180601 19180630     8.2
19180701 19180731    28.0
19180801 19180831    34.9
19180901 19180930     7.1
19181001 19181031    24.4
19181101 19181130     0.0
19181201 19181231     3.5
19190101 19190131     5.8
19190201 19190228    88.2
19190301 19190331     2.0
19190401 19190430     0.5
19190501 19190531    21.1
19190601 19190630     4.6
19190701 19190731     7.2
19190801 19190831    10.8
19190901 19190930    27.3
19191001 19191031    19.3
19191101 19191130    13.5
19191201 19191231    35.3
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331     9.9
19200401 19200430    10.2
19200501 19200531    14.8
19200601 19200630    50.6
19200701 19200731    18.0
19200801 19200831    45.8
19200901 19200930    54.9
19201001 19201031    58.4
19201101 19201130    32.7
19201201 19201231    29.7
19210101 19210131    25.4
19210201 19210228    71.3
19210301 19210331    98.3
19210401 19210430     0.0
19210501 19210531    71.7
19210601 19210630    28.5
19210701 19210731    20.0
19210801 19210831    28.5
19210901 19210930    39.7
19211001 19211031    20.5
19211101 19211130    27.4
19211201 19211231     1.0
19220101 19220131     7.6
19220201 19220228     1.1
19220301 19220331     2.5
19220401 19220430    20.5
19220501 19220531    80.1
19220601 19220630    27.7
19220701 19220731    30.5
19220801 19220831    18.6
19220901 19220930    16.5
19221001 19221031    28.5
19221101 19221130     0.0
19221201 19221231    30.9
19230101 19230131     2.3
19230201 19230228     1.5
19230301 19230331     0.0
19230401 19230430     0.8
19230501 19230531    46.8
19230601 19230630    62.8
19230701 19230731    28.6
19230801 19230831    33.6
19230901 19230930    50.5
19231001 19231031    13.2
19231101 19231130     0.0
19231201 19231231    32.3
19240101 19240131    17.8
19240201 19240229    22.3
19240301 19240331    26.9
19240401 19240430     0.0
19240501 19240531    34.6
19240601 19240630    30.8
19240701 19240731     5.6
19240801 19240831    19.4
19240901 19240930    62.3
19241001 19241031    45.7
19241101 19241130    44.2
19241201 19241231    14.2
19250101 19250131    13.7
19250201 19250228    46.8
19250301 19250331    13.2
19250401 19250430    21.1
19250501 19250531    48.6
19250601 19250630     6.1
19250701 19250731    26.9
19250801 19250831    11.2
19250901 19250930    47.3
19251001 19251031     4.3
19251101 19251130     9.9
19251201 19251231     0.8
19260101 19260131     0.0
19260201 19260228     1.8
19260301 19260331     1.5
19260401 19260430    17.3
19260501 19260531    52.9
19260601 19260630    21.0
19260701 19260731    18.3
19260801 19260831    40.9
19260901 19260930    56.2
19261001 19261031     9.2
19261101 19261130     0.0
19261201 19261231     4.6
19270101 19270131    19.6
19270201 19270228     7.1
19270301 19270331     5.6
19270401 19270430     0.0
