PRCP       025004 19100101 20171231 missing_value=99999.9 GALGA                                     
19100101 19100131    17.1
19100201 19100228     3.1
19100301 19100331   106.1
19100401 19100430     3.7
19100501 19100531    56.9
19100601 19100630    57.9
19100701 19100731    41.4
19100801 19100831    16.5
19100901 19100930    77.3
19101001 19101031    26.2
19101101 19101130    12.8
19101201 19101231     8.8
19110101 19110131    19.7
19110201 19110228   119.9
19110301 19110331    22.7
19110401 19110430     0.0
19110501 19110531    25.2
19110601 19110630    13.5
19110701 19110731    23.9
19110801 19110831    22.3
19110901 19110930    47.0
19111001 19111031     6.0
19111101 19111130    10.1
19111201 19111231    37.7
19120101 19120131     0.0
19120201 19120229     3.7
19120301 19120331    13.3
19120401 19120430     3.4
19120501 19120531     0.8
19120601 19120630   101.0
19120701 19120731    21.6
19120801 19120831    45.8
19120901 19120930    31.4
19121001 19121031     9.1
19121101 19121130    42.5
19121201 19121231    16.5
19130101 19130131     0.0
19130201 19130228    40.0
19130301 19130331    83.6
19130401 19130430     3.9
19130501 19130531    30.1
19130601 19130630     0.0
19130701 19130731    15.7
19130801 19130831    17.2
19130901 19130930    67.3
19131001 19131031    30.6
19131101 19131130    11.4
19131201 19131231    16.8
19140101 19140131     6.2
19140201 19140228    20.4
19140301 19140331    11.9
19140401 19140430    14.8
19140501 19140531     5.7
19140601 19140630     5.7
19140701 19140731     6.5
19140801 19140831     1.0
19140901 19140930     3.1
19141001 19141031     0.3
19141101 19141130    27.8
19141201 19141231    20.4
19150101 19150131    13.2
19150201 19150228     1.5
19150301 19150331     0.0
19150401 19150430    11.4
19150501 19150531    33.9
19150601 19150630    39.4
19150701 19150731    11.7
19150801 19150831    29.3
19150901 19150930    44.2
19151001 19151031    17.4
19151101 19151130     3.9
19151201 19151231     1.8
19160101 19160131     6.2
19160201 19160229     0.0
19160301 19160331     8.6
19160401 19160430     6.2
19160501 19160531    21.0
19160601 19160630    39.7
19160701 19160731    59.2
19160801 19160831    78.7
19160901 19160930    61.0
19161001 19161031    41.1
19161101 19161130    35.3
19161201 19161231    30.4
19170101 19170131    10.9
19170201 19170228    34.0
19170301 19170331    16.3
19170401 19170430     7.9
19170501 19170531    19.9
19170601 19170630    21.5
19170701 19170731    29.9
19170801 19170831    38.9
19170901 19170930    42.1
19171001 19171031    64.8
19171101 19171130    38.6
19171201 19171231    32.0
19180101 19180131     3.8
19180201 19180228     4.6
19180301 19180331    12.8
19180401 19180430    27.4
19180501 19180531    29.9
19180601 19180630    17.2
19180701 19180731    35.0
19180801 19180831    51.9
19180901 19180930     5.6
19181001 19181031    22.6
19181101 19181130     1.0
19181201 19181231     0.3
19190101 19190131     3.7
19190201 19190228   140.1
19190301 19190331     5.9
19190401 19190430     3.6
19190501 19190531    44.4
19190601 19190630    10.2
19190701 19190731     9.8
19190801 19190831    12.8
19190901 19190930    19.0
19191001 19191031    10.7
19191101 19191130    15.5
19191201 19191231    49.6
19200101 19200131     5.8
19200201 19200229     1.0
19200301 19200331     6.0
19200401 19200430     7.9
19200501 19200531    11.6
19200601 19200630    64.7
19200701 19200731    19.5
19200801 19200831    58.1
19200901 19200930    72.5
19201001 19201031    88.2
19201101 19201130    38.2
19201201 19201231    34.7
19210101 19210131    44.1
19210201 19210228    40.9
19210301 19210331    22.1
19210401 19210430     1.6
19210501 19210531    53.4
19210601 19210630    18.7
19210701 19210731    23.9
19210801 19210831    30.5
19210901 19210930    45.1
19211001 19211031    11.1
19211101 19211130    26.6
19211201 19211231     8.8
19220101 19220131    18.7
19220201 19220228     4.2
19220301 19220331     0.8
19220401 19220430    16.6
19220501 19220531    61.2
19220601 19220630    29.1
19220701 19220731    17.9
19220801 19220831    19.5
19220901 19220930    21.7
19221001 19221031    14.8
19221101 19221130     2.7
19221201 19221231    22.7
19230101 19230131     1.3
19230201 19230228     1.5
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    35.6
19230601 19230630    69.2
19230701 19230731    58.6
19230801 19230831    34.4
19230901 19230930    51.4
19231001 19231031    14.2
19231101 19231130     2.6
19231201 19231231    29.4
19240101 19240131    37.9
19240201 19240229    34.7
19240301 19240331    16.0
19240401 19240430     5.4
19240501 19240531    19.8
19240601 19240630    35.2
19240701 19240731     4.1
19240801 19240831    23.6
19240901 19240930    49.7
19241001 19241031    58.1
19241101 19241130    22.0
19241201 19241231    28.8
19250101 19250131    18.5
19250201 19250228    22.8
19250301 19250331    13.0
19250401 19250430     6.2
19250501 19250531    58.0
19250601 19250630    13.2
19250701 19250731    28.4
19250801 19250831    16.4
19250901 19250930    44.2
19251001 19251031     2.3
19251101 19251130    10.6
19251201 19251231     1.8
19260101 19260131     1.3
19260201 19260228     4.2
