PRCP       025015 19060801 20171130 missing_value=99999.9 PINNAROO                                  
19060801 19060831    48.5
19060901 19060930    62.5
19061001 19061031    25.8
19061101 19061130    16.1
19061201 19061231    23.3
19070101 19070131     0.0
19070201 19070228    16.5
19070301 19070331     2.3
19070401 19070430    75.0
19070501 19070531    59.2
19070601 19070630    34.6
19070701 19070731    27.0
19070801 19070831    51.4
19070901 19070930    18.8
19071001 19071031    21.3
19071101 19071130    33.9
19071201 19071231    29.0
19080101 19080131     9.2
19080201 19080229    17.0
19080301 19080331    14.0
19080401 19080430     0.0
19080501 19080531    70.0
19080601 19080630    39.3
19080701 19080731    34.2
19080801 19080831    41.7
19080901 19080930    87.5
19081001 19081031    80.0
19081101 19081130    10.2
19081201 19081231    13.7
19090101 19090131    16.9
19090201 19090228     4.1
19090301 19090331    14.8
19090401 19090430    35.1
19090501 19090531    70.4
19090601 19090630    61.6
19090701 19090731    45.5
19090801 19090831   107.8
19090901 19090930    30.9
19091001 19091031    21.5
19091101 19091130    29.0
19091201 19091231     4.0
19100101 19100131    15.0
19100201 19100228     8.9
19100301 19100331   156.9
19100401 19100430     1.0
19100501 19100531    71.3
19100601 19100630    46.1
19100701 19100731    39.4
19100801 19100831    37.6
19100901 19100930    80.7
19101001 19101031    28.8
19101101 19101130    53.6
19101201 19101231    15.3
19110101 19110131     7.1
19110201 19110228   119.1
19110301 19110331    23.5
19110401 19110430     2.8
19110501 19110531    39.1
19110601 19110630    29.5
19110701 19110731    33.3
19110801 19110831    22.7
19110901 19110930    45.1
19111001 19111031     6.8
19111101 19111130     0.8
19111201 19111231    48.6
19120101 19120131     0.0
19120201 19120229     2.3
19120301 19120331     7.4
19120401 19120430     3.3
19120501 19120531     6.0
19120601 19120630   112.7
19120701 19120731    35.0
19120801 19120831    54.5
19120901 19120930    45.3
19121001 19121031    18.2
19121101 19121130    56.6
19121201 19121231    32.7
19130101 19130131     0.5
19130201 19130228    44.2
19130301 19130331    48.3
19130401 19130430    26.7
19130501 19130531    20.7
19130601 19130630     1.8
19130701 19130731    24.6
19130801 19130831    23.8
19130901 19130930    61.7
19131001 19131031    53.2
19131101 19131130    22.9
19131201 19131231    14.5
19140101 19140131     6.3
19140201 19140228     3.3
19140301 19140331    16.2
19140401 19140430    28.8
19140501 19140531    15.6
19140601 19140630    12.9
19140701 19140731    25.9
19140801 19140831     4.1
19140901 19140930     5.7
19141001 19141031     0.0
19141101 19141130    29.6
19141201 19141231    25.4
19150101 19150131    19.1
19150201 19150228     7.4
19150301 19150331     0.8
19150401 19150430    18.4
19150501 19150531    50.1
19150601 19150630    52.6
19150701 19150731    25.2
19150801 19150831    51.3
19150901 19150930    67.0
19151001 19151031    24.1
19151101 19151130     6.1
19151201 19151231    12.4
19160101 19160131    13.6
19160201 19160229     4.3
19160301 19160331     5.8
19160401 19160430    17.8
19160501 19160531    16.6
19160601 19160630    81.7
19160701 19160731    62.9
19160801 19160831    89.3
19160901 19160930    74.1
19161001 19161031    56.9
19161101 19161130    88.7
19161201 19161231    25.6
19170101 19170131    16.7
19170201 19170228    24.4
19170301 19170331    13.5
19170401 19170430     8.1
19170501 19170531    82.4
19170601 19170630    39.3
19170701 19170731    51.7
19170801 19170831    78.3
19170901 19170930    56.9
19171001 19171031    55.6
19171101 19171130    72.4
19171201 19171231    23.3
19180101 19180131     8.2
19180201 19180228    33.3
19180301 19180331    14.4
19180401 19180430    43.0
19180501 19180531    51.9
19180601 19180630    43.8
19180701 19180731    20.4
19180801 19180831    48.9
19180901 19180930     5.9
19181001 19181031    35.4
19181101 19181130     2.8
19181201 19181231     0.0
19190101 19190131     3.6
19190201 19190228    95.5
19190301 19190331     4.8
19190401 19190430     3.3
19190501 19190531    45.8
19190601 19190630    15.3
19190701 19190731    17.5
19190801 19190831    23.3
19190901 19190930    28.2
19191001 19191031    12.2
19191101 19191130    11.0
19191201 19191231    39.9
19200101 19200131     3.3
19200201 19200229     2.0
19200301 19200331     7.9
19200401 19200430     2.0
19200501 19200531    20.3
19200601 19200630    64.7
19200701 19200731    30.5
19200801 19200831    84.2
19200901 19200930    85.0
19201001 19201031    47.5
19201101 19201130    18.3
19201201 19201231    36.5
19210101 19210131    34.3
19210201 19210228    73.1
19210301 19210331   119.6
19210401 19210430     8.6
19210501 19210531    74.4
19210601 19210630    36.7
19210701 19210731    31.0
19210801 19210831    35.0
19210901 19210930    42.1
19211001 19211031    25.1
19211101 19211130    29.7
19211201 19211231     8.7
19220101 19220131    14.1
19220201 19220228     0.0
19220301 19220331     0.8
19220401 19220430    18.5
19220501 19220531    79.7
19220601 19220630    40.6
19220701 19220731    41.9
19220801 19220831    23.2
19220901 19220930    37.1
19221001 19221031    36.1
19221101 19221130     3.1
19221201 19221231    35.9
19230101 19230131     4.8
19230201 19230228     0.5
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    67.3
19230601 19230630    96.3
19230701 19230731    98.0
19230801 19230831    42.2
19230901 19230930    68.1
19231001 19231031    28.3
19231101 19231130     7.1
19231201 19231231    27.3
19240101 19240131    12.8
19240201 19240229    32.7
19240301 19240331    30.2
19240401 19240430    17.3
19240501 19240531    30.5
19240601 19240630    59.4
19240701 19240731    12.0
19240801 19240831    54.2
19240901 19240930    54.3
19241001 19241031    55.5
19241101 19241130    68.0
19241201 19241231     3.5
19250101 19250131    25.4
19250201 19250228    29.3
19250301 19250331    30.2
19250401 19250430     7.1
19250501 19250531    67.4
19250601 19250630    23.6
19250701 19250731    31.0
19250801 19250831    30.9
19250901 19250930    69.4
19251001 19251031     7.1
19251101 19251130    11.4
19251201 19251231     2.3
19260101 19260131     0.0
19260201 19260228     4.8
19260301 19260331     3.6
19260401 19260430    83.1
19260501 19260531    63.2
19260601 19260630    19.7
19260701 19260731    30.7
19260801 19260831    43.5
19260901 19260930    41.4
19261001 19261031    24.6
19261101 19261130     3.7
19261201 19261231     9.2
19270101 19270131     2.8
19270201 19270228     6.6
19270301 19270331    15.0
19270401 19270430     0.0
19270501 19270531    23.1
19270601 19270630    13.8
19270701 19270731    42.1
19270801 19270831    31.3
19270901 19270930    23.2
19271001 19271031     9.0
19271101 19271130    13.2
19271201 19271231    21.4
19280101 19280131    29.5
19280201 19280229    55.0
19280301 19280331    28.7
19280401 19280430    16.9
19280501 19280531    19.9
19280601 19280630    52.8
19280701 19280731    28.4
19280801 19280831     8.1
19280901 19280930    19.9
19281001 19281031    49.9
19281101 19281130     1.5
19281201 19281231     8.4
19290101 19290131     8.2
19290201 19290228     5.9
19290301 19290331     5.6
19290401 19290430     6.3
19290501 19290531    27.8
19290601 19290630    30.5
19290701 19290731    19.1
19290801 19290831    21.0
19290901 19290930    30.8
19291001 19291031     9.3
19291101 19291130    19.2
19291201 19291231    54.7
19300101 19300131     0.5
19300201 19300228    19.6
19300301 19300331     3.3
19300401 19300430    18.3
19300501 19300531    20.6
19300601 19300630     5.8
19300701 19300731    34.7
19300801 19300831    58.4
19300901 19300930    24.3
19301001 19301031    76.2
19301101 19301130    20.8
19301201 19301231    45.9
19310101 19310131     8.6
19310201 19310228     3.8
19310301 19310331    21.8
19310401 19310430    39.1
19310501 19310531    37.8
19310601 19310630    73.8
19310701 19310731    25.0
19310801 19310831    40.4
19310901 19310930    42.6
19311001 19311031    11.3
19311101 19311130    11.5
19311201 19311231     0.8
19320101 19320131     3.0
19320201 19320229    69.3
19320301 19320331    25.6
19320401 19320430    39.4
19320501 19320531    31.8
19320601 19320630    67.1
19320701 19320731    44.2
19320801 19320831    54.6
19320901 19320930    15.6
19321001 19321031    19.6
19321101 19321130     3.3
19321201 19321231    17.1
19330101 19330131    31.3
19330201 19330228     0.8
19330301 19330331    11.3
19330401 19330430    14.2
19330501 19330531    55.3
19330601 19330630    10.4
19330701 19330731    12.5
19330801 19330831    41.0
19330901 19330930    38.3
19331001 19331031     9.7
19331101 19331130    23.9
19331201 19331231    29.7
19340101 19340131    14.5
19340201 19340228     4.0
19340301 19340331     8.4
19340401 19340430    36.1
19340501 19340531     0.5
19340601 19340630    10.6
19340701 19340731    22.5
19340801 19340831    26.2
19340901 19340930    29.4
19341001 19341031    97.9
19341101 19341130    58.5
19341201 19341231     8.7
19350101 19350131    14.3
19350201 19350228     2.3
19350301 19350331    14.5
19350401 19350430    16.3
19350501 19350531    19.6
19350601 19350630    24.2
19350701 19350731    29.3
19350801 19350831    27.1
19350901 19350930    34.1
19351001 19351031    34.1
19351101 19351130    15.3
19351201 19351231     9.2
19360101 19360131    81.1
19360201 19360229     6.6
19360301 19360331    16.6
19360401 19360430    16.8
19360501 19360531    29.1
19360601 19360630    20.9
19360701 19360731    71.6
19360801 19360831    16.4
19360901 19360930     6.6
19361001 19361031    26.7
19361101 19361130     6.2
19361201 19361231    22.8
19370101 19370131    35.1
19370201 19370228     3.6
19370301 19370331    21.0
19370401 19370430     2.8
19370501 19370531    10.8
19370601 19370630    32.9
19370701 19370731    24.5
19370801 19370831    46.8
19370901 19370930    23.0
19371001 19371031    50.0
19371101 19371130    23.4
19371201 19371231    45.6
19380101 19380131    22.3
19380201 19380228    27.8
19380301 19380331     0.3
19380401 19380430    51.0
19380501 19380531     0.8
19380601 19380630    26.9
19380701 19380731    47.1
19380801 19380831    19.7
19380901 19380930     4.4
19381001 19381031     0.6
19381101 19381130    11.2
19381201 19381231     0.3
19390101 19390131     5.4
19390201 19390228    32.9
19390301 19390331     1.8
19390401 19390430    21.6
19390501 19390531    43.1
19390601 19390630    28.8
19390701 19390731    16.8
19390801 19390831    39.7
19390901 19390930     7.2
19391001 19391031     8.6
19391101 19391130    44.2
19391201 19391231     1.5
19400101 19400131    15.6
19400201 19400229     2.3
19400301 19400331     6.4
19400401 19400430    51.1
19400501 19400531     8.5
19400601 19400630     4.4
19400701 19400731    20.9
19400801 19400831     9.2
19400901 19400930    29.7
19401001 19401031    18.8
19401101 19401130    16.8
19401201 19401231    24.4
19410101 19410131    96.5
19410201 19410228     3.1
19410301 19410331    47.0
19410401 19410430    16.5
19410501 19410531     7.1
19410601 19410630    42.5
19410701 19410731    56.7
19410801 19410831    21.4
19410901 19410930    53.6
19411001 19411031    39.7
19411101 19411130    25.1
19411201 19411231    13.3
19420101 19420131    25.7
19420201 19420228    22.4
19420301 19420331     1.0
19420401 19420430    25.5
19420501 19420531    49.6
19420601 19420630    39.8
19420701 19420731    46.3
19420801 19420831    51.3
19420901 19420930    43.1
19421001 19421031    21.1
19421101 19421130    44.4
19421201 19421231     9.9
19430101 19430131     8.9
19430201 19430228    25.8
19430301 19430331     0.0
19430401 19430430    30.0
19430501 19430531    11.3
19430601 19430630    31.0
19430701 19430731    22.5
19430801 19430831    39.2
19430901 19430930    23.0
19431001 19431031    46.0
19431101 19431130    18.8
19431201 19431231    29.5
19440101 19440131     1.3
19440201 19440229     8.7
19440301 19440331    12.8
19440401 19440430    17.8
19440501 19440531    41.4
19440601 19440630     3.0
19440701 19440731    24.4
19440801 19440831     2.8
19440901 19440930     8.0
19441001 19441031    25.0
19441101 19441130    23.7
19441201 19441231    28.1
19450101 19450131     3.6
19450201 19450228    21.9
19450301 19450331     0.8
19450401 19450430     1.3
19450501 19450531    20.7
19450601 19450630    42.6
19450701 19450731    21.2
19450801 19450831    29.2
19450901 19450930    35.3
19451001 19451031    56.8
19451101 19451130    45.7
19451201 19451231    31.5
19460101 19460131    26.2
19460201 19460228   116.1
19460301 19460331    41.8
19460401 19460430    12.0
19460501 19460531    19.9
19460601 19460630    33.2
19460701 19460731    32.3
19460801 19460831    29.8
19460901 19460930    16.0
19461001 19461031    11.2
19461101 19461130    27.8
19461201 19461231    43.0
19470101 19470131     0.0
19470201 19470228    53.0
19470301 19470331    58.7
19470401 19470430    12.0
19470501 19470531     7.1
19470601 19470630    23.0
19470701 19470731    46.2
19470801 19470831    32.5
19470901 19470930    46.1
19471001 19471031    52.1
19471101 19471130    23.9
19471201 19471231    33.0
19480101 19480131     0.6
19480201 19480229     9.7
19480301 19480331     2.5
19480401 19480430    68.2
19480501 19480531    23.9
19480601 19480630    55.2
19480701 19480731    19.0
19480801 19480831    22.0
19480901 19480930     4.8
19481001 19481031    75.2
19481101 19481130    46.8
19481201 19481231    25.2
19490101 19490131     5.4
19490201 19490228    40.1
19490301 19490331     4.1
19490401 19490430     1.5
19490501 19490531    40.3
19490601 19490630     6.8
19490701 19490731    16.0
19490801 19490831     8.2
19490901 19490930    21.6
