PRCP       025018 19080801 20171130 missing_value=99999.9 SCHELLS WELL                              
19080801 19080831    35.6
19080901 19080930    83.1
19081001 19081031    78.2
19081101 19081130    11.2
19081201 19081231    11.9
19090101 19090131    15.5
19090201 19090228     6.9
19090301 19090331    11.9
19090401 19090430     3.6
19090501 19090531    93.5
19090601 19090630    76.2
19090701 19090731    49.0
19090801 19090831   105.2
19090901 19090930    47.5
19091001 19091031    12.7
19091101 19091130    25.4
19091201 19091231     0.0
19100101 19100131    10.7
19100201 19100228     8.9
19100301 19100331    68.6
19100401 19100430     0.0
19100501 19100531    56.6
19100601 19100630    51.6
19100701 19100731    72.9
19100801 19100831    18.3
19100901 19100930    64.0
19101001 19101031    30.2
19101101 19101130    19.3
19101201 19101231    12.2
19110101 19110131    45.7
19110201 19110228    76.2
19110301 19110331    30.0
19110401 19110430     1.8
19110501 19110531    28.7
19110601 19110630    22.9
19110701 19110731    23.9
19110801 19110831    21.3
19110901 19110930    62.0
19111001 19111031    10.4
19111101 19111130    20.3
19111201 19111231    38.4
19120101 19120131     0.0
19120201 19120229     6.1
19120301 19120331    11.4
19120401 19120430     3.3
19120501 19120531     0.0
19120601 19120630   105.4
19120701 19120731    27.9
19120801 19120831    35.1
19120901 19120930    52.8
19121001 19121031    11.9
19121101 19121130    56.6
19121201 19121231    21.3
19130101 19130131     3.0
19130201 19130228    41.9
19130301 19130331    72.4
19130401 19130430     9.9
19130501 19130531    32.3
19130601 19130630     0.0
19130701 19130731    15.5
19130801 19130831     0.0
19130901 19130930    90.7
19131001 19131031    38.6
19131101 19131130    14.5
19131201 19131231    17.3
19140101 19140131     5.3
19140201 19140228    10.4
19140301 19140331    28.3
19140401 19140430    18.6
19140501 19140531     7.2
19140601 19140630     7.2
19140701 19140731     8.2
19140801 19140831     1.3
19140901 19140930     3.8
19141001 19141031     0.4
19141101 19141130    34.8
19141201 19141231    25.6
19150101 19150131    12.7
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    18.3
19150501 19150531    37.7
19150601 19150630    63.2
19150701 19150731    24.4
19150801 19150831    33.6
19150901 19150930    74.9
19151001 19151031    25.1
19151101 19151130     4.6
19151201 19151231    24.1
19160101 19160131    16.8
19160201 19160229     3.3
19160301 19160331    14.8
19160401 19160430    16.6
19160501 19160531    12.6
19160601 19160630    56.9
19160701 19160731    61.7
19160801 19160831    89.3
19160901 19160930    57.1
19161001 19161031    40.5
19161101 19161130    52.2
19161201 19161231    41.3
19170101 19170131    11.4
19170201 19170228    38.8
19170301 19170331    18.6
19170401 19170430    13.7
19170501 19170531    38.2
19170601 19170630    27.7
19170701 19170731    35.6
19170801 19170831    58.3
19170901 19170930    60.0
19171001 19171031    64.5
19171101 19171130    47.0
19171201 19171231    21.1
19180101 19180131     3.1
19180201 19180228     8.9
19180301 19180331    14.3
19180401 19180430    29.8
19180501 19180531    44.1
19180601 19180630    26.6
19180701 19180731    41.5
19180801 19180831    59.2
19180901 19180930    10.0
19181001 19181031    33.6
19181101 19181130     1.8
19181201 19181231     2.6
19190101 19190131     4.3
19190201 19190228   104.2
19190301 19190331     4.3
19190401 19190430     2.8
19190501 19190531    43.0
