PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19010101 19010131    36.6
19010201 19010228     2.8
19010301 19010331    32.5
19010401 19010430    64.9
19010501 19010531    41.6
19010601 19010630   148.0
19010701 19010731    73.0
19010801 19010831    63.8
19010901 19010930    72.8
19011001 19011031    30.6
19011101 19011130    16.3
19011201 19011231    30.3
19020101 19020131     6.1
19020201 19020228    22.0
19020301 19020331    29.9
19020401 19020430     6.6
19020501 19020531    25.7
19020601 19020630   103.4
19020701 19020731    65.0
19020801 19020831    69.8
19020901 19020930    37.6
19021001 19021031    36.3
19021101 19021130    16.9
19021201 19021231    83.3
19030101 19030131    25.2
19030201 19030228    43.0
19030301 19030331    57.7
19030401 19030430    85.9
19030501 19030531    36.3
19030601 19030630   138.1
19030701 19030731    80.5
19030801 19030831    70.8
19030901 19030930    57.4
19031001 19031031    35.2
19031101 19031130    36.2
19031201 19031231    18.3
19040101 19040131    45.5
19040201 19040229    16.7
19040301 19040331     6.6
19040401 19040430    36.6
19040501 19040531    83.6
19040601 19040630    64.3
19040701 19040731    94.8
19040801 19040831    58.8
19040901 19040930    40.4
19041001 19041031    51.4
19041101 19041130    20.0
19041201 19041231     1.2
19050101 19050131    10.6
19050201 19050228    16.1
19050301 19050331     3.3
19050401 19050430    45.9
19050501 19050531    46.6
19050601 19050630   106.1
19050701 19050731   146.5
19050801 19050831    86.3
19050901 19050930    53.7
19051001 19051031    73.8
19051101 19051130    19.9
19051201 19051231     4.0
19060101 19060131     4.9
19060201 19060228     1.7
19060301 19060331    70.2
19060401 19060430    28.1
19060501 19060531    98.0
19060601 19060630   133.3
19060701 19060731   166.0
19060801 19060831    68.2
19060901 19060930    76.3
19061001 19061031    44.2
19061101 19061130    30.3
19061201 19061231     4.3
19070101 19070131     5.5
19070201 19070228     2.3
19070301 19070331    11.3
19070401 19070430    78.8
19070501 19070531    49.5
19070601 19070630    50.1
19070701 19070731    69.6
19070801 19070831    92.3
19070901 19070930    21.3
19071001 19071031    48.7
19071101 19071130    39.1
19071201 19071231    22.0
19080101 19080131     1.4
19080201 19080229    28.0
19080301 19080331    33.3
19080401 19080430    12.0
19080501 19080531    87.5
19080601 19080630   137.4
19080701 19080731    55.8
19080801 19080831    60.9
19080901 19080930    59.7
19081001 19081031    59.6
19081101 19081130    15.8
19081201 19081231    14.9
19090101 19090131    16.5
19090201 19090228    10.7
19090301 19090331    27.2
19090401 19090430    89.8
19090501 19090531   132.4
19090601 19090630   124.5
19090701 19090731   102.6
19090801 19090831    97.3
19090901 19090930    58.9
19091001 19091031    56.1
19091101 19091130    32.1
19091201 19091231    24.6
19100101 19100131     0.9
19100201 19100228     3.1
19100301 19100331    88.7
19100401 19100430    25.2
19100501 19100531   146.5
19100601 19100630   107.1
19100701 19100731   135.6
19100801 19100831    65.4
