PRCP       026025 18630101 20171231 missing_value=99999.9 PENOLA POST OFFICE                        
18630101 18630131    38.6
18630201 18630228    14.5
18630301 18630331    58.4
18630401 18630430    21.6
18630501 18630531   206.0
18630601 18630630    66.0
18630701 18630731   137.9
18630801 18630831   119.4
18630901 18630930   128.8
18631001 18631031   116.6
18631101 18631130    46.7
18631201 18631231    85.6
18640101 18640131    20.3
18640201 18640229    27.4
18640301 18640331    13.5
18640401 18640430    77.0
18640501 18640531    42.9
18640601 18640630    55.1
18640701 18640731   107.2
18640801 18640831   108.5
18640901 18640930    61.7
18641001 18641031    49.5
18641101 18641130    13.5
18641201 18641231    24.9
18650101 18650131     1.8
18650201 18650228    19.6
18650301 18650331    55.9
18650401 18650430    18.3
18650501 18650531   132.6
18650601 18650630    75.7
18650701 18650731   113.8
18650801 18650831   115.8
18650901 18650930    65.0
18651001 18651031    20.6
18651101 18651130     9.7
18651201 18651231    32.8
18660101 18660131    41.1
18660201 18660228    11.4
18660301 18660331    24.9
18660401 18660430    58.9
18660501 18660531   114.8
18660601 18660630    90.4
18660701 18660731    67.1
18660801 18660831   107.7
18660901 18660930    68.8
18661001 18661031    75.7
18661101 18661130    21.6
18661201 18661231     4.3
18670101 18670131    10.4
18670201 18670228    36.1
18670301 18670331    39.9
18670401 18670430    61.5
18670501 18670531    39.1
18670601 18670630    62.5
18670701 18670731   109.7
18670801 18670831    71.1
18670901 18670930   148.3
18671001 18671031   128.8
18671101 18671130    28.4
18671201 18671231    22.9
18680101 18680131    35.8
18680201 18680229     7.1
18680301 18680331    36.8
18680401 18680430    75.7
18680501 18680531    35.3
18680601 18680630   113.8
18680701 18680731   101.9
18680801 18680831   105.2
18680901 18680930    92.5
18681001 18681031    44.2
18681101 18681130    25.1
18681201 18681231    18.3
18690101 18690131    24.6
18690201 18690228    15.2
18690301 18690331    23.1
18690401 18690430    47.0
18690501 18690531    82.0
18690601 18690630    71.9
18690701 18690731    65.3
18690801 18690831    69.9
18690901 18690930    52.6
18691001 18691031    68.6
18691101 18691130    94.0
18691201 18691231    22.9
18700101 18700131   131.3
18700201 18700228     0.0
18700301 18700331    32.0
18700401 18700430    61.5
18700501 18700531    29.5
18700601 18700630   175.5
18700701 18700731    54.9
18700801 18700831   157.5
18700901 18700930   120.9
18701001 18701031   119.6
18701101 18701130    73.7
18701201 18701231    23.6
18710101 18710131     3.0
18710201 18710228    29.7
18710301 18710331    10.2
18710401 18710430    27.7
18710501 18710531    66.3
18710601 18710630   100.1
18710701 18710731   135.6
18710801 18710831    84.1
18710901 18710930    64.8
18711001 18711031    18.8
18711101 18711130    71.9
18711201 18711231    33.8
18720101 18720131    69.3
18720201 18720229     2.0
18720301 18720331    49.5
18720401 18720430    29.7
18720501 18720531    71.9
18720601 18720630   104.1
18720701 18720731   102.4
18720801 18720831    99.8
18720901 18720930    42.9
18721001 18721031    56.9
18721101 18721130    91.9
18721201 18721231    28.2
18730101 18730131     8.1
18730201 18730228    43.9
18730301 18730331    48.8
18730401 18730430    71.6
18730501 18730531    85.9
18730601 18730630    37.8
18730701 18730731    54.4
18730801 18730831    86.1
18730901 18730930   124.2
18731001 18731031    31.8
18731101 18731130    64.8
18731201 18731231    10.9
18740101 18740131    30.0
18740201 18740228    17.0
18740301 18740331    52.3
18740401 18740430    40.1
18740501 18740531    85.1
18740601 18740630    66.5
18740701 18740731    67.8
18740801 18740831   109.0
18740901 18740930    83.8
18741001 18741031    36.6
18741101 18741130    24.9
18741201 18741231    34.0
18750101 18750131    11.7
18750201 18750228    30.2
18750301 18750331     6.1
18750401 18750430    38.9
18750501 18750531    84.8
18750601 18750630   124.7
18750701 18750731    53.8
18750801 18750831   122.7
18750901 18750930    33.3
18751001 18751031    47.0
18751101 18751130   126.0
18751201 18751231   178.6
18760101 18760131    27.7
18760201 18760229    17.3
18760301 18760331    57.7
18760401 18760430    58.7
18760501 18760531    81.3
18760601 18760630    90.4
18760701 18760731    53.8
18760801 18760831    59.7
18760901 18760930    55.1
18761001 18761031    72.1
18761101 18761130    38.1
18761201 18761231    19.1
18770101 18770131    11.2
18770201 18770228    37.6
18770301 18770331    19.6
18770401 18770430    16.5
18770501 18770531   125.5
18770601 18770630    49.8
18770701 18770731    23.1
18770801 18770831    58.9
18770901 18770930    54.4
18771001 18771031    33.8
18771101 18771130    30.2
18771201 18771231    17.0
18780101 18780131     0.0
18780201 18780228    25.9
18780301 18780331    42.7
18780401 18780430    70.1
18780501 18780531    34.0
18780601 18780630    99.3
18780701 18780731    50.8
18780801 18780831    83.3
18780901 18780930    61.7
18781001 18781031    48.3
18781101 18781130    30.2
18781201 18781231    22.4
18790101 18790131     4.6
18790201 18790228    16.8
18790301 18790331    10.2
18790401 18790430    57.7
18790501 18790531    69.3
18790601 18790630    64.3
18790701 18790731    71.6
18790801 18790831    88.1
18790901 18790930    65.8
18791001 18791031    68.3
18791101 18791130    51.8
18791201 18791231    31.8
18800101 18800131    10.2
18800201 18800229    18.0
18800301 18800331    83.3
18800401 18800430    88.4
18800501 18800531    98.6
18800601 18800630    73.4
18800701 18800731    62.0
18800801 18800831    92.2
18800901 18800930    50.3
18801001 18801031    67.1
18801101 18801130    18.5
18801201 18801231    10.2
18810101 18810131    57.4
18810201 18810228    19.6
18810301 18810331     4.8
18810401 18810430    59.2
18810501 18810531   109.0
18810601 18810630   126.5
18810701 18810731    41.4
18810801 18810831    39.9
18810901 18810930    58.4
18811001 18811031    38.1
18811101 18811130    37.8
18811201 18811231    19.8
18820101 18820131    11.4
18820201 18820228     0.3
18820301 18820331    16.8
18820401 18820430    51.8
18820501 18820531    83.6
18820601 18820630    58.9
18820701 18820731   124.5
18820801 18820831    79.5
18820901 18820930    57.7
18821001 18821031    54.1
18821101 18821130    15.0
18821201 18821231    20.6
18830101 18830131     8.9
18830201 18830228    58.9
18830301 18830331    44.7
18830401 18830430    29.2
18830501 18830531    79.2
18830601 18830630   152.7
18830701 18830731    57.4
18830801 18830831   104.1
18830901 18830930    66.8
18831001 18831031   105.7
18831101 18831130    38.1
18831201 18831231    21.1
18840101 18840131    68.6
18840201 18840229     7.9
18840301 18840331    24.7
18840401 18840430    43.1
18840501 18840531    67.3
18840601 18840630   149.4
18840701 18840731    52.6
18840801 18840831    98.3
18840901 18840930    75.7
18841001 18841031    42.9
18841101 18841130    29.0
18841201 18841231    62.3
18850101 18850131    46.0
18850201 18850228    56.0
18850301 18850331    24.4
18850401 18850430    31.0
18850501 18850531    67.1
18850601 18850630   151.6
18850701 18850731    75.7
18850801 18850831   112.1
18850901 18850930    42.6
18851001 18851031    23.5
18851101 18851130     9.8
