PRCP       026026 19010101 20180131 missing_value=99999.9 ROBE                                      
19010101 19010131    39.6
19010201 19010228     3.0
19010301 19010331    35.2
19010401 19010430    70.3
19010501 19010531    45.1
19010601 19010630   160.5
19010701 19010731    79.2
19010801 19010831    69.1
19010901 19010930    78.9
19011001 19011031    33.2
19011101 19011130    17.7
19011201 19011231    32.8
19020101 19020131     6.6
19020201 19020228    23.8
19020301 19020331    32.4
19020401 19020430     7.1
19020501 19020531    27.9
19020601 19020630   112.1
19020701 19020731    70.4
19020801 19020831    75.7
19020901 19020930    40.7
19021001 19021031    39.3
19021101 19021130    18.3
19021201 19021231    90.3
19030101 19030131    27.4
19030201 19030228    46.6
19030301 19030331    62.6
19030401 19030430    93.2
19030501 19030531    39.3
19030601 19030630   149.7
19030701 19030731    87.2
19030801 19030831    76.8
19030901 19030930    62.3
19031001 19031031    38.1
19031101 19031130    39.2
19031201 19031231    19.8
19040101 19040131    49.3
19040201 19040229    18.1
19040301 19040331     7.1
19040401 19040430    39.6
19040501 19040531    90.6
19040601 19040630    69.7
19040701 19040731   102.8
19040801 19040831    63.8
19040901 19040930    43.8
19041001 19041031    55.7
19041101 19041130    21.7
19041201 19041231     1.3
19050101 19050131    11.5
19050201 19050228    17.4
19050301 19050331     3.6
19050401 19050430    49.8
19050501 19050531    50.5
19050601 19050630   115.0
19050701 19050731   158.8
19050801 19050831    93.6
19050901 19050930    58.2
19051001 19051031    80.0
19051101 19051130    21.5
19051201 19051231     4.3
19060101 19060131     5.3
19060201 19060228     1.8
19060301 19060331    76.2
19060401 19060430    30.5
19060501 19060531   106.2
19060601 19060630   144.5
19060701 19060731   180.0
19060801 19060831    73.9
19060901 19060930    82.7
19061001 19061031    47.9
19061101 19061130    32.9
19061201 19061231     4.6
19070101 19070131     5.9
19070201 19070228     2.5
19070301 19070331    12.3
19070401 19070430    85.4
19070501 19070531    53.6
19070601 19070630    54.3
19070701 19070731    75.5
19070801 19070831   100.1
19070901 19070930    23.1
19071001 19071031    52.8
19071101 19071130    42.4
19071201 19071231    23.8
19080101 19080131     1.5
19080201 19080229    30.4
19080301 19080331    36.1
19080401 19080430    13.0
19080501 19080531    94.9
19080601 19080630   149.0
19080701 19080731    60.5
19080801 19080831    66.0
19080901 19080930    64.7
19081001 19081031    64.6
19081101 19081130    17.1
19081201 19081231    16.2
19090101 19090131    17.9
19090201 19090228    11.6
19090301 19090331    29.5
19090401 19090430    97.4
19090501 19090531   143.6
19090601 19090630   135.0
19090701 19090731   111.3
19090801 19090831   105.5
19090901 19090930    63.9
19091001 19091031    60.8
19091101 19091130    34.8
19091201 19091231    26.7
19100101 19100131     1.0
19100201 19100228     3.3
19100301 19100331    96.2
19100401 19100430    27.4
19100501 19100531   158.8
19100601 19100630   116.1
19100701 19100731   147.0
19100801 19100831    70.9
19100901 19100930   121.2
19101001 19101031    71.0
19101101 19101130    49.6
19101201 19101231    57.1
19110101 19110131     0.5
19110201 19110228   103.8
19110301 19110331    32.4
19110401 19110430    32.9
19110501 19110531    80.4
19110601 19110630   144.1
19110701 19110731    90.7
19110801 19110831    29.2
19110901 19110930    39.1
19111001 19111031    25.7
19111101 19111130     3.0
19111201 19111231    61.7
19120101 19120131     2.1
19120201 19120229    20.9
19120301 19120331    23.0
19120401 19120430    47.1
19120501 19120531    27.9
19120601 19120630    70.5
19120701 19120731    97.7
19120801 19120831    75.7
19120901 19120930   120.0
19121001 19121031    37.5
19121101 19121130    57.1
19121201 19121231    50.2
19130101 19130131    14.0
19130201 19130228    15.8
19130301 19130331    58.4
19130401 19130430    31.9
19130501 19130531    22.0
19130601 19130630    31.6
19130701 19130731    76.9
19130801 19130831   100.5
19130901 19130930    40.1
19131001 19131031    35.3
19131101 19131130    40.5
19131201 19131231    53.7
19140101 19140131     9.8
19140201 19140228    47.0
19140301 19140331    50.6
19140401 19140430    78.8
19140501 19140531    70.5
19140601 19140630    45.8
19140701 19140731    69.7
19140801 19140831    11.0
19140901 19140930    14.2
19141001 19141031    20.0
19141101 19141130    41.4
19141201 19141231    32.8
19150101 19150131    16.6
19150201 19150228     1.5
19150301 19150331     7.9
19150401 19150430    34.0
19150501 19150531    43.2
19150601 19150630   190.7
19150701 19150731   108.5
19150801 19150831   117.1
19150901 19150930   137.4
19151001 19151031    30.8
19151101 19151130    18.1
19151201 19151231     1.3
19160101 19160131    23.7
19160201 19160229    24.3
19160301 19160331     5.1
19160401 19160430    47.7
19160501 19160531    42.0
19160601 19160630   200.9
19160701 19160731    95.9
19160801 19160831    95.3
19160901 19160930    38.8
19161001 19161031    49.2
19161101 19161130    65.1
19161201 19161231    30.0
19170101 19170131    15.8
19170201 19170228    42.7
19170301 19170331    22.9
19170401 19170430    35.3
19170501 19170531   131.2
19170601 19170630    57.9
19170701 19170731   162.8
19170801 19170831    65.6
19170901 19170930   102.9
19171001 19171031    71.8
19171101 19171130    15.0
19171201 19171231    22.0
19180101 19180131     5.0
19180201 19180228     5.9
19180301 19180331    14.2
19180401 19180430     6.4
19180501 19180531   105.0
19180601 19180630   144.4
19180701 19180731    86.6
19180801 19180831    65.3
19180901 19180930    26.6
19181001 19181031    79.3
19181101 19181130    14.3
19181201 19181231    32.5
19190101 19190131     8.7
19190201 19190228    68.0
19190301 19190331    27.1
19190401 19190430     1.8
19190501 19190531    54.9
19190601 19190630    45.0
19190701 19190731    70.4
19190801 19190831    59.4
19190901 19190930    75.1
19191001 19191031    34.1
19191101 19191130     8.5
19191201 19191231    24.4
19200101 19200131     3.3
19200201 19200229     5.3
19200301 19200331    13.0
19200401 19200430    16.9
19200501 19200531    74.9
19200601 19200630   152.4
19200701 19200731   132.5
19200801 19200831    87.4
19200901 19200930    48.8
19201001 19201031    23.5
19201101 19201130    42.7
19201201 19201231     6.8
19210101 19210131    30.7
19210201 19210228     9.8
19210301 19210331    12.8
19210401 19210430    17.1
19210501 19210531    53.7
19210601 19210630    83.2
19210701 19210731    83.4
19210801 19210831    71.5
19210901 19210930    85.0
19211001 19211031    37.3
19211101 19211130    84.0
19211201 19211231    28.4
19220101 19220131    35.7
19220201 19220228     2.3
19220301 19220331    14.8
19220401 19220430    38.4
19220501 19220531   153.8
19220601 19220630    94.1
19220701 19220731    96.7
19220801 19220831   104.0
19220901 19220930    92.5
19221001 19221031    39.8
19221101 19221130     4.8
19221201 19221231    37.5
19230101 19230131     9.2
19230201 19230228     2.5
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531   118.7
19230601 19230630   177.4
19230701 19230731   112.7
19230801 19230831    56.0
19230901 19230930    57.3
19231001 19231031    36.8
19231101 19231130    15.5
19231201 19231231    47.4
19240101 19240131    29.1
19240201 19240229    57.3
19240301 19240331    67.0
19240401 19240430    42.4
19240501 19240531    50.3
19240601 19240630    78.3
19240701 19240731    30.3
19240801 19240831    70.1
19240901 19240930    78.1
19241001 19241031    49.1
19241101 19241130    53.4
19241201 19241231    10.3
19250101 19250131    12.6
19250201 19250228    23.6
19250301 19250331     2.8
19250401 19250430    62.1
19250501 19250531   203.1
19250601 19250630    64.9
19250701 19250731    97.1
19250801 19250831    48.9
19250901 19250930   118.3
19251001 19251031    19.0
19251101 19251130    23.7
19251201 19251231     2.5
19260101 19260131     0.0
19260201 19260228    19.9
19260301 19260331     1.5
19260401 19260430   121.4
19260501 19260531   112.0
19260601 19260630    55.3
19260701 19260731    94.4
19260801 19260831   103.9
19260901 19260930    32.6
19261001 19261031    74.2
19261101 19261130    29.2
19261201 19261231    36.3
19270101 19270131    18.4
19270201 19270228    33.3
19270301 19270331    23.7
19270401 19270430     0.0
19270501 19270531   128.0
19270601 19270630    52.2
19270701 19270731   105.7
19270801 19270831   112.4
19270901 19270930    16.4
19271001 19271031    20.3
19271101 19271130    50.8
19271201 19271231    44.3
19280101 19280131    10.2
19280201 19280229    28.9
19280301 19280331    32.6
19280401 19280430    29.7
19280501 19280531    77.8
19280601 19280630   149.8
19280701 19280731   105.8
19280801 19280831    53.6
19280901 19280930    78.4
19281001 19281031    90.9
19281101 19281130    15.8
19281201 19281231    10.8
19290101 19290131    33.5
19290201 19290228     8.8
19290301 19290331     3.3
19290401 19290430    31.4
19290501 19290531    65.3
19290601 19290630   102.7
19290701 19290731   131.3
19290801 19290831    77.8
19290901 19290930    77.8
19291001 19291031    35.0
19291101 19291130    12.2
19291201 19291231    59.1
19300101 19300131     0.0
19300201 19300228   100.7
19300301 19300331     2.3
19300401 19300430    35.9
19300501 19300531    19.9
19300601 19300630    31.1
19300701 19300731   104.0
19300801 19300831   135.6
19300901 19300930    74.6
19301001 19301031    63.1
19301101 19301130    18.4
19301201 19301231    13.6
19310101 19310131    31.5
19310201 19310228     5.1
19310301 19310331    27.1
19310401 19310430    38.7
19310501 19310531   105.4
19310601 19310630   136.7
19310701 19310731   124.8
19310801 19310831    90.9
19310901 19310930    53.3
19311001 19311031     3.9
19311101 19311130     6.9
19311201 19311231     2.3
19320101 19320131     0.0
19320201 19320229    90.3
19320301 19320331    32.7
19320401 19320430    68.9
19320501 19320531    17.7
19320601 19320630   147.8
19320701 19320731    94.1
19320801 19320831    87.9
19320901 19320930    60.9
19321001 19321031    65.7
19321101 19321130    25.4
19321201 19321231     7.9
19330101 19330131    51.4
19330201 19330228     0.0
19330301 19330331    21.9
19330401 19330430    26.0
19330501 19330531   127.6
19330601 19330630    43.2
19330701 19330731    34.2
19330801 19330831    93.5
19330901 19330930    97.6
19331001 19331031    29.7
19331101 19331130    33.4
19331201 19331231    12.8
19340101 19340131     9.3
19340201 19340228     1.5
19340301 19340331     3.3
19340401 19340430    78.9
19340501 19340531    41.6
19340601 19340630    14.7
19340701 19340731    45.7
19340801 19340831   109.6
19340901 19340930    85.1
19341001 19341031   104.6
19341101 19341130    67.8
19341201 19341231     9.5
19350101 19350131    17.7
19350201 19350228     0.0
19350301 19350331    55.8
