PRCP       028004 18891201 20180131 missing_value=99999.9 PALMERVILLE                               
18891201 18891231   275.2
18900101 18900131   311.1
18900201 18900228   265.9
18900301 18900331   254.3
18900401 18900430    12.7
18900501 18900531    82.0
18900601 18900630     0.3
18900701 18900731    14.5
18900801 18900831     0.0
18900901 18900930    22.3
18901001 18901031    43.0
18901101 18901130   104.2
18901201 18901231    40.1
18910101 18910131   309.6
18910201 18910228   314.2
18910301 18910331   171.4
18910401 18910430    48.5
18910501 18910531     6.9
18910601 18910630     8.1
18910701 18910731     0.0
18910801 18910831     2.5
18910901 18910930     0.0
18911001 18911031    46.3
18911101 18911130    34.8
18911201 18911231   139.9
18920101 18920131   149.1
18920201 18920229    50.3
18920301 18920331   248.3
18920401 18920430    11.3
18920501 18920531     9.4
18920601 18920630     0.5
18920701 18920731    21.8
18920801 18920831     0.0
18920901 18920930    19.6
18921001 18921031    43.6
18921101 18921130    49.3
18921201 18921231   285.4
18930101 18930131   159.9
18930201 18930228   160.7
18930301 18930331   139.7
18930401 18930430     5.3
18930501 18930531     6.4
18930601 18930630     0.0
18930701 18930731     0.0
18930801 18930831    14.3
18930901 18930930     0.0
18931001 18931031    28.7
18931101 18931130    61.7
18931201 18931231   126.7
18940101 18940131   346.1
18940201 18940228   334.5
18940301 18940331    61.6
18940401 18940430   119.9
18940501 18940531    31.0
18940601 18940630    22.4
18940701 18940731     8.7
18940801 18940831     6.4
18940901 18940930     9.5
18941001 18941031    56.1
18941101 18941130   150.6
18941201 18941231   320.0
18950101 18950131   388.7
18950201 18950228   226.2
18950301 18950331    33.6
18950401 18950430    44.7
18950501 18950531     0.0
18950601 18950630    12.2
18950701 18950731     0.5
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031     4.0
18951101 18951130     6.9
18951201 18951231   210.2
18960101 18960131   415.1
18960201 18960229   384.6
18960301 18960331   145.3
18960401 18960430    27.8
18960501 18960531     5.9
18960601 18960630     0.3
18960701 18960731     7.7
18960801 18960831     7.7
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130     4.1
18961201 18961231   127.0
18970101 18970131   191.9
18970201 18970228   347.7
18970301 18970331   125.7
18970401 18970430     0.3
18970501 18970531    20.8
18970601 18970630    13.6
18970701 18970731     6.9
18970801 18970831     0.8
18970901 18970930    31.3
18971001 18971031    20.5
18971101 18971130    10.6
18971201 18971231   346.2
18980101 18980131   383.1
18980201 18980228   239.9
18980301 18980331   424.6
18980401 18980430    36.1
18980501 18980531     0.0
18980601 18980630    30.0
18980701 18980731     3.6
18980801 18980831     7.9
18980901 18980930    12.5
18981001 18981031     4.3
18981101 18981130     4.3
18981201 18981231   121.9
18990101 18990131   266.3
18990201 18990228    84.7
18990301 18990331   345.0
18990401 18990430   184.1
18990501 18990531     1.3
18990601 18990630     0.0
18990701 18990731     4.6
18990801 18990831    17.7
