PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
18861201 18861231   449.3
18870101 18870131   115.3
18870201 18870228   130.6
18870301 18870331   163.6
18870401 18870430    34.8
18870501 18870531     7.7
18870601 18870630     5.1
18870701 18870731     0.5
18870801 18870831     0.0
18870901 18870930     0.0
18871001 18871031    43.3
18871101 18871130   118.9
18871201 18871231   231.0
18880101 18880131   145.8
18880201 18880229   187.4
18880301 18880331    50.8
18880401 18880430     0.0
18880501 18880531     0.0
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930     7.1
18881001 18881031     0.0
18881101 18881130    17.8
18881201 18881231    20.6
18890101 18890131   186.5
18890201 18890228    75.7
18890301 18890331    12.2
18890401 18890430    92.2
18890501 18890531     0.0
18890601 18890630     0.0
18890701 18890731     0.0
18890801 18890831     0.0
18890901 18890930     0.0
18891001 18891031     0.0
18891101 18891130   117.7
18891201 18891231   441.3
18900101 18900131   458.1
18900201 18900228   127.0
18900301 18900331    70.3
18900401 18900430   210.7
18900501 18900531    31.1
18900601 18900630     0.0
18900701 18900731     0.0
18900801 18900831     0.0
18900901 18900930     0.0
18901001 18901031     0.0
18901101 18901130    33.5
18901201 18901231     7.9
18910101 18910131  1015.3
18910201 18910228   444.3
18910301 18910331    64.5
18910401 18910430    26.0
18910501 18910531     0.6
18910601 18910630    56.5
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031     3.8
18911101 18911130    16.5
18911201 18911231    53.1
18920101 18920131   107.1
18920201 18920229    64.8
18920301 18920331    94.2
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     0.0
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     0.0
18921001 18921031    15.0
18921101 18921130    33.5
18921201 18921231    11.5
18930101 18930131     8.1
18930201 18930228    78.4
18930301 18930331    60.0
18930401 18930430     0.0
18930501 18930531     4.6
18930601 18930630     0.0
18930701 18930731     3.0
18930801 18930831    11.5
18930901 18930930     0.0
18931001 18931031     2.0
18931101 18931130     6.9
18931201 18931231   113.4
18940101 18940131   553.6
18940201 18940228   622.3
18940301 18940331   550.3
18940401 18940430     8.9
18940501 18940531     0.0
18940601 18940630    41.4
18940701 18940731     0.0
18940801 18940831     1.5
18940901 18940930     0.0
18941001 18941031    12.7
18941101 18941130    37.4
18941201 18941231   102.4
18950101 18950131   206.7
18950201 18950228   263.7
18950301 18950331    12.4
18950401 18950430     0.0
18950501 18950531     0.0
18950601 18950630     0.0
18950701 18950731     4.8
18950801 18950831     0.0
