PRCP       029032 19090101 20171231 missing_value=99999.9 LORRAINE                                  
19090101 19090131    69.1
19090201 19090228    46.0
19090301 19090331   127.1
19090401 19090430     6.6
19090501 19090531     9.7
19090601 19090630    17.5
19090701 19090731     0.0
19090801 19090831     6.6
19090901 19090930     0.0
19091001 19091031    44.2
19091101 19091130    59.1
19091201 19091231   280.7
19100101 19100131   135.9
19100201 19100228   171.7
19100301 19100331    78.4
19100401 19100430    26.7
19100501 19100531     0.5
19100601 19100630     4.3
19100701 19100731     0.0
19100801 19100831     0.0
19100901 19100930     6.8
19101001 19101031     0.0
19101101 19101130    42.0
19101201 19101231    80.1
19110101 19110131   272.1
19110201 19110228    94.0
19110301 19110331   112.8
19110401 19110430    77.1
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     1.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     0.5
19111101 19111130   105.4
19111201 19111231    11.6
19120101 19120131    96.7
19120201 19120229   134.5
19120301 19120331   238.9
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    12.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    23.9
19121101 19121130    22.5
19121201 19121231    90.8
19130101 19130131    68.4
19130201 19130228   145.1
19130301 19130331   122.0
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630    30.2
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031    14.0
19131101 19131130     2.3
19131201 19131231    95.0
19140101 19140131   168.0
19140201 19140228    45.8
19140301 19140331   172.5
19140401 19140430    15.5
19140501 19140531     5.6
19140601 19140630    14.7
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     2.0
19141101 19141130    45.3
19141201 19141231    23.4
19150101 19150131   155.9
19150201 19150228    30.1
19150301 19150331    43.5
19150401 19150430     0.0
19150501 19150531     2.8
19150601 19150630     0.0
19150701 19150731     2.5
19150801 19150831     0.0
19150901 19150930     6.3
19151001 19151031     0.0
19151101 19151130    32.0
19151201 19151231   116.8
19160101 19160131   221.7
19160201 19160229   231.4
19160301 19160331    65.9
19160401 19160430     0.0
19160501 19160531    15.0
19160601 19160630     0.0
19160701 19160731     8.9
19160801 19160831     0.0
19160901 19160930     4.8
19161001 19161031    44.8
19161101 19161130    75.7
19161201 19161231   237.4
19170101 19170131   115.6
19170201 19170228   124.2
19170301 19170331    91.0
19170401 19170430     0.0
19170501 19170531    43.4
19170601 19170630     1.3
19170701 19170731     0.0
19170801 19170831     8.4
19170901 19170930     1.5
19171001 19171031     5.3
19171101 19171130   118.9
19171201 19171231    44.3
19180101 19180131   326.2
19180201 19180228    66.3
19180301 19180331     1.3
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130    56.4
19181201 19181231    26.1
19190101 19190131   298.4
19190201 19190228    93.1
19190301 19190331    15.3
19190401 19190430    11.2
19190501 19190531     3.3
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     3.6
19191101 19191130     0.0
19191201 19191231    33.8
19200101 19200131   278.7
19200201 19200229   155.9
19200301 19200331    41.6
19200401 19200430    92.3
19200501 19200531    24.9
19200601 19200630    28.2
19200701 19200731    21.4
19200801 19200831     0.0
19200901 19200930     0.0
19201001 19201031     0.0
19201101 19201130    57.4
19201201 19201231    81.3
19210101 19210131   133.1
19210201 19210228    75.6
19210301 19210331    67.4
19210401 19210430   210.8
19210501 19210531     0.0
19210601 19210630    13.7
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     0.0
19211001 19211031    58.9
19211101 19211130    20.6
19211201 19211231    69.2
19220101 19220131    38.4
19220201 19220228   250.1
19220301 19220331    25.2
19220401 19220430     0.5
19220501 19220531     1.0
19220601 19220630     2.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     3.6
19221101 19221130    43.2
19221201 19221231   111.3
19230101 19230131    40.4
19230201 19230228    12.9
19230301 19230331    96.7
19230401 19230430    12.2
19230501 19230531    39.2
19230601 19230630    40.1
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    25.9
19231101 19231130     7.2
19231201 19231231   131.2
19240101 19240131   341.1
19240201 19240229   144.3
19240301 19240331    63.5
19240401 19240430   165.3
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     5.1
19240801 19240831    31.7
19240901 19240930     9.1
19241001 19241031    18.3
19241101 19241130    48.1
19241201 19241231    84.1
19250101 19250131   229.7
19250201 19250228   139.6
19250301 19250331   156.0
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     1.8
19251101 19251130   111.0
19251201 19251231    17.2
19260101 19260131    58.7
19260201 19260228    18.8
19260301 19260331    23.8
19260401 19260430     0.0
19260501 19260531     6.6
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130    68.3
19261201 19261231    70.1
19270101 19270131   151.6
19270201 19270228   119.6
19270301 19270331     5.5
19270401 19270430     8.1
19270501 19270531     0.0
19270601 19270630    10.9
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.3
19271001 19271031     4.1
19271101 19271130     1.0
19271201 19271231    16.8
19280101 19280131    72.9
19280201 19280229    45.0
19280301 19280331   246.6
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     2.8
19281101 19281130     4.3
19281201 19281231    81.5
19290101 19290131   438.6
19290201 19290228    48.6
19290301 19290331    42.9
19290401 19290430     5.6
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    14.0
19291201 19291231    52.8
19300101 19300131   192.5
19300201 19300228   172.1
19300301 19300331    35.1
19300401 19300430     0.0
19300501 19300531     7.9
19300601 19300630     2.5
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031   100.8
19301101 19301130    27.4
19301201 19301231    93.3
19310101 19310131    84.1
19310201 19310228     6.4
19310301 19310331    51.6
19310401 19310430     6.7
19310501 19310531     1.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     0.8
19311101 19311130    23.1
19311201 19311231    48.2
19320101 19320131    48.0
19320201 19320229    13.7
19320301 19320331    77.6
19320401 19320430    13.5
19320501 19320531    16.7
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     3.3
19321101 19321130    31.5
19321201 19321231    72.7
19330101 19330131    73.2
19330201 19330228   244.8
19330301 19330331    37.4
19330401 19330430     1.5
19330501 19330531    11.9
19330601 19330630    55.2
19330701 19330731     1.6
19330801 19330831     1.5
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130    62.4
19331201 19331231   180.2
19340101 19340131    92.0
19340201 19340228    67.2
19340301 19340331     4.5
19340401 19340430    16.1
19340501 19340531     0.0
19340601 19340630     5.1
19340701 19340731     9.4
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     6.1
19341101 19341130     3.3
19341201 19341231     0.0
19350101 19350131   109.3
19350201 19350228    60.1
19350301 19350331    31.2
19350401 19350430     0.0
19350501 19350531     1.3
19350601 19350630   147.4
19350701 19350731     0.0
19350801 19350831     1.0
19350901 19350930     2.0
19351001 19351031    13.2
19351101 19351130     7.6
19351201 19351231     7.9
19360101 19360131    97.5
19360201 19360229   179.2
19360301 19360331   169.6
19360401 19360430     2.8
19360501 19360531    49.0
19360601 19360630     2.3
19360701 19360731     3.8
19360801 19360831     0.0
19360901 19360930    17.6
19361001 19361031    16.8
19361101 19361130    13.4
19361201 19361231    84.7
19370101 19370131   122.8
19370201 19370228    61.3
19370301 19370331    88.0
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    11.9
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     8.4
19371101 19371130    22.1
19371201 19371231    67.0
19380101 19380131   114.6
19380201 19380228   145.2
19380301 19380331     1.3
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731    19.8
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    83.5
19381201 19381231     0.0
19390101 19390131   122.7
19390201 19390228   177.2
19390301 19390331   112.7
19390401 19390430     1.3
19390501 19390531     0.0
19390601 19390630     8.4
19390701 19390731     0.0
19390801 19390831     3.3
19390901 19390930     5.1
19391001 19391031    44.7
19391101 19391130    33.0
19391201 19391231    59.0
19400101 19400131    59.9
19400201 19400229   359.6
19400301 19400331    53.9
19400401 19400430    37.6
19400501 19400531     0.0
19400601 19400630     0.8
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     8.4
19401201 19401231   133.8
19410101 19410131   146.4
19410201 19410228    63.2
19410301 19410331   158.9
19410401 19410430    24.4
19410501 19410531    24.1
19410601 19410630    70.6
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130   104.7
19411201 19411231     8.9
19420101 19420131    43.6
19420201 19420228    97.8
19420301 19420331    11.2
19420401 19420430    26.2
19420501 19420531    28.4
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     1.3
19421001 19421031    22.1
19421101 19421130     0.0
19421201 19421231    92.9
19430101 19430131    11.4
19430201 19430228   258.9
19430301 19430331     0.0
19430401 19430430    11.7
19430501 19430531   102.1
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031    48.5
19431101 19431130    26.1
19431201 19431231   165.3
19440101 19440131    22.0
19440201 19440229   267.3
19440301 19440331    21.1
19440401 19440430     7.1
19440501 19440531    18.3
19440601 19440630    48.0
19440701 19440731    42.9
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130    84.8
19441201 19441231   119.8
19450101 19450131    64.8
19450201 19450228   131.1
19450301 19450331   118.3
19450401 19450430     0.0
19450501 19450531    14.8
19450601 19450630     0.0
19450701 19450731    15.2
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130    12.5
19451201 19451231    99.1
19460101 19460131    63.7
19460201 19460228   130.7
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031    16.5
19461101 19461130    55.8
19461201 19461231    58.8
19470101 19470131   164.8
19470201 19470228   184.5
19470301 19470331   203.5
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     1.8
19470701 19470731     0.0
19470801 19470831    15.5
19470901 19470930    36.2
19471001 19471031    62.9
19471101 19471130    92.4
19471201 19471231    81.5
19480101 19480131    91.0
19480201 19480229    18.5
19480301 19480331   112.9
19480401 19480430    11.7
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    31.3
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     1.5
19481101 19481130    13.2
19481201 19481231   128.5
19490101 19490131    17.7
19490201 19490228   131.2
19490301 19490331   198.3
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     1.3
19491001 19491031    17.3
19491101 19491130   180.8
19491201 19491231   114.9
19500101 19500131   135.3
19500201 19500228   153.5
19500301 19500331   337.8
19500401 19500430    43.0
19500501 19500531     0.0
19500601 19500630    40.9
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     4.3
19501001 19501031    34.7
19501101 19501130    51.3
19501201 19501231   120.0
19510101 19510131   182.6
19510201 19510228    95.3
19510301 19510331    16.8
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     6.6
19510701 19510731     0.0
19510801 19510831     1.5
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130    47.2
19511201 19511231    61.2
19520101 19520131    92.9
19520201 19520229     8.4
19520301 19520331    46.7
19520401 19520430    34.0
19520501 19520531     2.5
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.5
19520901 19520930     0.0
19521001 19521031    28.3
19521101 19521130    97.6
19521201 19521231    67.1
19530101 19530131   350.5
19530201 19530228   271.1
19530301 19530331     9.7
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     2.0
19530901 19530930     0.0
19531001 19531031    21.0
19531101 19531130     8.1
19531201 19531231     9.4
19540101 19540131   100.1
19540201 19540228   184.2
19540301 19540331   155.7
19540401 19540430     4.6
19540501 19540531     0.0
19540601 19540630     0.5
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     2.3
19541001 19541031    95.0
19541101 19541130    41.1
19541201 19541231    59.4
19550101 19550131    92.1
19550201 19550228   207.3
19550301 19550331    13.2
19550401 19550430     6.4
19550501 19550531   174.3
19550601 19550630     5.3
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    47.1
19551101 19551130     0.0
19551201 19551231    20.8
19560101 19560131   106.7
19560201 19560229   196.3
19560301 19560331   152.2
19560401 19560430     4.1
19560501 19560531    23.4
19560601 19560630     0.8
19560701 19560731    29.5
19560801 19560831     9.4
19560901 19560930     7.6
19561001 19561031    31.0
19561101 19561130    42.7
19561201 19561231   332.8
19570101 19570131   268.2
19570201 19570228   118.9
19570301 19570331   241.2
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     2.5
19570701 19570731    13.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    38.6
19571101 19571130    73.4
19571201 19571231    10.9
19580101 19580131   404.6
19580201 19580228    35.3
19580301 19580331    97.8
19580401 19580430    38.6
19580501 19580531     0.0
19580601 19580630     7.6
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    20.5
19581201 19581231    93.2
19590101 19590131   140.4
19590201 19590228    34.0
19590301 19590331   157.3
19590401 19590430     0.0
19590501 19590531    20.3
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    31.3
19591201 19591231    38.1
19600101 19600131   118.4
19600201 19600229    57.9
19600301 19600331    45.1
19600401 19600430     0.0
19600501 19600531    84.3
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130    23.1
19601201 19601231    87.2
19610101 19610131    32.6
19610201 19610228    66.5
19610301 19610331     5.8
19610401 19610430     0.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    16.5
19611101 19611130    72.7
19611201 19611231   132.1
19620101 19620131    25.6
19620201 19620228   123.7
19620301 19620331    36.6
19620401 19620430    21.1
19620501 19620531     0.0
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130    38.1
19621201 19621231    66.8
19630101 19630131    76.2
19630201 19630228   136.4
19630301 19630331    29.7
19630401 19630430    64.2
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    15.7
19631101 19631130    19.9
19631201 19631231    18.8
19640101 19640131   168.1
19640201 19640229   214.4
19640301 19640331     1.0
19640401 19640430     7.1
19640501 19640531     9.4
19640601 19640630     4.3
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031    24.2
19641101 19641130    13.8
19641201 19641231   147.2
19650101 19650131    14.8
19650201 19650228    41.2
19650301 19650331   165.4
19650401 19650430     0.0
19650501 19650531     1.8
19650601 19650630    33.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    37.2
19651201 19651231   130.6
19660101 19660131   204.0
19660201 19660228    53.1
19660301 19660331     0.5
19660401 19660430     0.0
19660501 19660531     0.0
19660601 19660630     2.5
19660701 19660731     0.0
19660801 19660831    14.5
19660901 19660930     8.9
19661001 19661031    17.8
19661101 19661130    83.3
19661201 19661231    17.3
19670101 19670131    57.7
19670201 19670228   199.0
19670301 19670331    97.6
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630    22.9
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130    61.0
19671201 19671231    80.8
19680101 19680131   336.5
19680201 19680229   211.5
19680301 19680331    29.4
19680401 19680430    75.2
19680501 19680531   136.4
19680601 19680630     0.0
19680701 19680731    33.1
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231    53.8
19690101 19690131   103.6
19690201 19690228    24.6
19690301 19690331    30.2
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     0.0
19690701 19690731     1.5
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    44.2
19691101 19691130     0.0
19691201 19691231   108.6
19700101 19700131    31.7
19700201 19700228    69.2
19700301 19700331    90.2
19700401 19700430     0.0
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     5.1
19701001 19701031     0.0
19701101 19701130    43.7
19701201 19701231    35.5
19710101 19710131   134.3
19710201 19710228   113.7
19710301 19710331   446.5
19710401 19710430   146.6
19710501 19710531     0.0
19710601 19710630     3.8
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130    30.2
19711201 19711231     2.5
19720101 19720131     0.0
19720201 19720229   211.5
19720301 19720331    30.7
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    44.0
19721201 19721231    49.5
19730101 19730131   178.9
19730201 19730228   314.2
19730301 19730331   180.1
19730401 19730430    14.5
19730501 19730531    11.4
19730601 19730630     1.5
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930    76.2
19731001 19731031    15.3
19731101 19731130   194.5
19731201 19731231   107.7
19740101 19740131   967.6
19740201 19740228   243.4
19740301 19740331   190.6
19740401 19740430     1.4
19740501 19740531    18.2
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     9.1
19740901 19740930     0.0
19741001 19741031     7.4
19741101 19741130    18.4
19741201 19741231   218.9
19750101 19750131    53.2
19750201 19750228   153.2
19750301 19750331    68.1
19750401 19750430     6.8
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     4.0
19751001 19751031   127.3
19751101 19751130    19.3
19751201 19751231   166.3
19760101 19760131   343.8
19760201 19760229   185.4
19760301 19760331    70.8
19760401 19760430     1.9
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031     5.1
19761101 19761130     9.2
19761201 19761231   232.3
19770101 19770131   242.2
19770201 19770228   321.6
19770301 19770331    33.1
19770401 19770430    44.3
19770501 19770531     1.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031    12.2
19771101 19771130    15.6
19771201 19771231   123.7
19780101 19780131    59.4
19780201 19780228    35.1
19780301 19780331    75.8
19780401 19780430     0.0
19780501 19780531     1.8
19780601 19780630     5.4
19780701 19780731    38.2
19780801 19780831     0.0
19780901 19780930    63.5
19781001 19781031    10.8
19781101 19781130    22.5
19781201 19781231    96.8
19790101 19790131   344.3
19790201 19790228   281.0
19790301 19790331   162.2
19790401 19790430     0.0
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    37.8
19791101 19791130    14.5
19791201 19791231     8.0
19800101 19800131   236.0
19800201 19800229   117.9
19800301 19800331    21.8
19800401 19800430    20.4
19800501 19800531    15.0
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.4
19800901 19800930     0.0
19801001 19801031    10.2
19801101 19801130     4.8
19801201 19801231   146.8
19810101 19810131   441.0
19810201 19810228   330.0
19810301 19810331    20.2
19810401 19810430     0.0
19810501 19810531    82.6
19810601 19810630    12.4
19810701 19810731     5.2
19810801 19810831     0.0
19810901 19810930     1.8
19811001 19811031    10.0
19811101 19811130    62.0
19811201 19811231    83.6
19820101 19820131   201.5
19820201 19820228    28.1
19820301 19820331   123.8
19820401 19820430     2.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     1.0
19820901 19820930    25.4
19821001 19821031     0.0
19821101 19821130   110.8
19821201 19821231   153.8
19830101 19830131    43.4
19830201 19830228     6.4
19830301 19830331   124.3
19830401 19830430    99.4
19830501 19830531    27.4
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031    18.0
19831101 19831130    98.0
19831201 19831231    71.4
19840101 19840131   150.7
19840201 19840229   153.9
19840301 19840331    59.8
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     9.0
19840801 19840831     0.0
19840901 19840930     7.8
19841001 19841031    17.2
19841101 19841130    27.8
19841201 19841231    56.2
19850101 19850131     1.2
19850201 19850228    92.3
19850301 19850331    22.4
19850401 19850430     3.6
19850501 19850531     4.3
19850601 19850630    69.0
19850701 19850731     7.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    42.2
19851101 19851130   105.3
19851201 19851231    32.1
19860101 19860131   124.6
19860201 19860228     8.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531     9.4
19860601 19860630     0.0
19860701 19860731    32.2
19860801 19860831     0.0
19860901 19860930     3.8
19861001 19861031   102.7
19861101 19861130    17.4
19861201 19861231    79.8
19870101 19870131    73.2
19870201 19870228   303.2
19870301 19870331     5.2
19870401 19870430     5.0
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031    12.2
19871101 19871130    79.5
19871201 19871231    82.6
19880101 19880131     2.6
19880201 19880229    25.2
19880301 19880331    27.6
