PRCP       029048 19211201 20170131 missing_value=99999.9 VANROOK STATION                           
19211201 19211231   116.0
19220101 19220131   302.4
19220201 19220228   291.9
19220301 19220331   157.7
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     6.9
19220701 19220731     1.3
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    20.3
19221101 19221130    15.2
19221201 19221231   139.8
19230101 19230131    96.4
19230201 19230228    16.8
19230301 19230331    81.0
19230401 19230430     0.0
19230501 19230531     0.0
19230601 19230630    14.7
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    13.3
19231101 19231130     0.0
19231201 19231231   139.2
19240101 19240131   132.1
19240201 19240229   220.4
19240301 19240331   125.1
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831    92.2
19240901 19240930     0.0
19241001 19241031     7.9
19241101 19241130   117.9
19241201 19241231    91.7
19250101 19250131   220.7
19250201 19250228   395.6
19250301 19250331   281.5
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630    12.7
19250701 19250731     2.5
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130    82.5
19251201 19251231    66.1
19260101 19260131   167.0
19260201 19260228    58.4
19260301 19260331    86.1
19260401 19260430     2.5
19260501 19260531     0.0
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130    13.7
19261201 19261231   164.8
19270101 19270131   176.9
19270201 19270228    90.1
19270301 19270331   152.0
19270401 19270430   106.7
19270501 19270531     0.0
19270601 19270630    34.8
19270701 19270731    18.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130   207.0
19271201 19271231   187.0
19280101 19280131    81.2
19280201 19280229   419.4
19280301 19280331   379.8
19280401 19280430    38.9
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    57.5
19281201 19281231    66.2
19290101 19290131   477.5
19290201 19290228    97.0
19290301 19290331   136.0
19290401 19290430    84.1
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    82.6
19291201 19291231   112.8
19300101 19300131   513.0
19300201 19300228   243.4
19300301 19300331    56.9
19300401 19300430     0.0
19300501 19300531     7.9
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     7.6
19300901 19300930     0.0
19301001 19301031    63.4
19301101 19301130    47.2
19301201 19301231   106.4
19310101 19310131   146.4
19310201 19310228    86.1
19310301 19310331    30.4
19310401 19310430    29.5
19310501 19310531     2.5
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     3.8
19311001 19311031    40.4
19311101 19311130    72.7
19311201 19311231   149.8
19320101 19320131    99.3
19320201 19320229    91.2
19320301 19320331   348.1
19320401 19320430    10.1
19320501 19320531     6.5
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    21.1
19321101 19321130     2.0
19321201 19321231   287.8
19330101 19330131    56.4
19330201 19330228   262.6
19330301 19330331   204.1
19330401 19330430    42.7
19330501 19330531     0.0
19330601 19330630     0.0
19330701 19330731     0.0
19330801 19330831     9.7
19330901 19330930    15.0
19331001 19331031     0.0
19331101 19331130    69.4
19331201 19331231   125.6
19340101 19340131   218.0
19340201 19340228   303.0
19340301 19340331   341.1
19340401 19340430    56.4
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231     0.0
19350101 19350131   125.0
19350201 19350228    74.7
19350301 19350331   133.6
19350401 19350430     0.0
19350501 19350531     5.6
19350601 19350630   165.1
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231   195.8
19360101 19360131   124.8
19360201 19360229   222.7
19360301 19360331   234.7
19360401 19360430    35.6
19360501 19360531     0.0
19360601 19360630    21.6
19360701 19360731    48.3
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    36.1
19361201 19361231   183.4
19370101 19370131   207.5
19370201 19370228   154.9
19370301 19370331   195.6
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     7.9
19371101 19371130    54.1
19371201 19371231    93.0
19380101 19380131   326.5
19380201 19380228   418.6
19380301 19380331    23.6
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    17.3
19380701 19380731    19.6
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    83.0
19381201 19381231    12.5
19390101 19390131   217.5
19390201 19390228   441.7
19390301 19390331   268.7
19390401 19390430    24.1
19390501 19390531     0.0
19390601 19390630    76.4
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    19.8
19391101 19391130    26.7
19391201 19391231   161.8
19400101 19400131   565.3
19400201 19400229   345.2
19400301 19400331   466.6
19400401 19400430    45.5
19400501 19400531     9.6
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    84.4
19401201 19401231    49.0
19410101 19410131   228.6
19410201 19410228   245.4
19410301 19410331   487.1
19410401 19410430    28.1
19410501 19410531     5.8
19410601 19410630    15.0
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    34.8
19411201 19411231     4.8
19420101 19420131    50.2
19420201 19420228   583.5
19420301 19420331     0.0
19420401 19420430     0.0
19420501 19420531     0.0
19420601 19420630     1.8
19420701 19420731     7.6
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231   250.6
19430101 19430131   112.0
19430201 19430228   437.8
19430301 19430331    64.4
19430401 19430430    30.5
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    38.1
19431201 19431231    22.9
19440101 19440131   171.5
19440201 19440229   200.9
19440301 19440331    48.3
19440401 19440430    12.2
19440501 19440531     0.0
19440601 19440630    30.7
19440701 19440731    83.8
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    14.7
19441101 19441130    55.9
19441201 19441231   156.6
19450101 19450131   287.2
19450201 19450228   275.1
19450301 19450331   320.5
19450401 19450430     4.6
19450501 19450531    19.6
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130    30.5
19451201 19451231   194.0
19460101 19460131   268.2
19460201 19460228   240.3
19460301 19460331    62.7
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     3.8
19461101 19461130    24.2
19461201 19461231   106.4
19470101 19470131   162.5
19470201 19470228   166.5
19470301 19470331   264.8
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     3.8
19470701 19470731     0.0
19470801 19470831    62.2
19470901 19470930    44.1
19471001 19471031     0.0
19471101 19471130     3.5
19471201 19471231   133.1
19480101 19480131   137.4
19480201 19480229   116.3
19480301 19480331   183.6
19480401 19480430     0.8
19480501 19480531     0.0
19480601 19480630     3.8
19480701 19480731     5.3
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    44.0
19481201 19481231    92.8
19490101 19490131   301.1
19490201 19490228   372.7
19490301 19490331   134.6
19490401 19490430    22.9
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130     8.1
19491201 19491231    71.1
19500101 19500131   290.5
19500201 19500228   447.9
19500301 19500331   230.1
19500401 19500430   125.3
19500501 19500531     0.0
19500601 19500630    17.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    29.2
19501101 19501130   234.3
19501201 19501231   231.5
19510101 19510131   527.3
19510201 19510228   152.8
19510301 19510331    92.6
19510401 19510430     0.5
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130    98.0
19511201 19511231     8.9
19520101 19520131   308.6
19520201 19520229    71.5
19520301 19520331    24.6
19520401 19520430     6.9
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130    53.9
19521201 19521231   114.5
19530101 19530131   266.0
19530201 19530228   122.8
19530301 19530331    60.5
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    33.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    49.8
19531201 19531231    69.1
19540101 19540131   397.8
19540201 19540228   397.8
19540301 19540331   167.1
19540401 19540430   122.9
19540501 19540531     3.8
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031   103.9
19541101 19541130    22.9
19541201 19541231   102.9
19550101 19550131   192.0
19550201 19550228   465.4
19550301 19550331   338.8
19550401 19550430    27.9
19550501 19550531     6.9
19550601 19550630    13.7
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031   181.1
19551101 19551130    37.4
19551201 19551231     0.0
19560101 19560131   283.5
19560201 19560229   273.9
19560301 19560331   297.1
19560401 19560430    50.3
19560501 19560531   119.4
19560601 19560630    35.6
19560701 19560731     0.0
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031    35.4
19561101 19561130    64.1
19561201 19561231   342.7
19570101 19570131   378.6
19570201 19570228   189.8
19570301 19570331   278.9
19570401 19570430     7.4
19570501 19570531     0.5
19570601 19570630     0.0
19570701 19570731     3.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130   121.5
19571201 19571231    57.3
19580101 19580131   229.1
19580201 19580228   212.4
19580301 19580331    77.8
19580401 19580430    85.1
19580501 19580531     2.5
19580601 19580630     8.9
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     1.3
19581001 19581031     0.0
19581101 19581130    33.5
19581201 19581231    76.7
19590101 19590131   678.7
19590201 19590228    28.0
19590301 19590331    55.2
19590401 19590430    73.9
19590501 19590531     4.6
19590601 19590630     0.0
19590701 19590731    10.7
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231   404.9
19600101 19600131   131.8
19600201 19600229   302.1
19600301 19600331    71.7
19600401 19600430    10.2
19600501 19600531     0.0
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031    18.5
19601101 19601130    48.0
19601201 19601231   118.3
19610101 19610131    99.1
19610201 19610228    96.7
19610301 19610331     0.0
19610401 19610430    20.3
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    90.1
19611201 19611231   120.0
19620101 19620131   603.1
19620201 19620228   263.3
19620301 19620331    39.6
19620401 19620430     0.0
19620501 19620531     0.0
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930    30.7
19621001 19621031    12.0
19621101 19621130    50.5
19621201 19621231   122.9
19630101 19630131   341.9
19630201 19630228   320.9
19630301 19630331   293.1
19630401 19630430    81.1
19630501 19630531     0.8
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130    19.6
19631201 19631231    73.2
19640101 19640131   258.1
19640201 19640229   283.0
19640301 19640331   285.5
19640401 19640430    24.4
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031    20.6
19641101 19641130    85.7
19641201 19641231   438.6
19650101 19650131   161.5
19650201 19650228    62.5
19650301 19650331   124.0
19650401 19650430    33.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    12.2
19651201 19651231   138.7
19660101 19660131   107.1
19660201 19660228   238.5
19660301 19660331    42.2
19660401 19660430     0.0
19660501 19660531    11.4
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130    46.4
19661201 19661231    63.5
19670101 19670131   110.3
19670201 19670228   548.8
19670301 19670331   190.1
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     2.5
19670701 19670731     1.3
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     2.5
19671101 19671130    54.5
19671201 19671231    35.8
19680101 19680131   238.9
19680201 19680229   180.5
