PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
19100101 19100131   478.1
19100201 19100228   788.1
19100301 19100331   472.8
19100401 19100430   377.8
19100501 19100531    81.8
19100601 19100630   175.2
19100701 19100731     0.0
19100801 19100831    58.0
19100901 19100930    32.8
19101001 19101031    37.4
19101101 19101130   131.2
19101201 19101231   418.0
19110101 19110131   917.1
19110201 19110228   653.7
19110301 19110331  1296.5
19110401 19110430   870.2
19110501 19110531    26.5
19110601 19110630    22.4
19110701 19110731    45.6
19110801 19110831     3.4
19110901 19110930     0.0
19111001 19111031     9.4
19111101 19111130     8.2
19111201 19111231    13.6
19120101 19120131    77.5
19120201 19120229   487.5
19120301 19120331   257.8
19120401 19120430    76.4
19120501 19120531    79.4
19120601 19120630   238.0
19120701 19120731    14.8
19120801 19120831    28.4
19120901 19120930    18.1
19121001 19121031    34.1
19121101 19121130    43.1
19121201 19121231    10.9
19130101 19130131  1118.9
19130201 19130228   282.7
19130301 19130331   450.6
19130401 19130430   234.0
19130501 19130531    48.8
19130601 19130630    12.8
19130701 19130731     1.6
19130801 19130831     2.0
19130901 19130930     0.0
19131001 19131031    37.4
19131101 19131130     2.5
19131201 19131231   519.8
19140101 19140131   627.8
19140201 19140228   320.2
19140301 19140331   329.7
19140401 19140430   269.0
19140501 19140531    91.6
19140601 19140630    62.6
19140701 19140731     5.7
19140801 19140831    70.6
19140901 19140930    62.9
19141001 19141031    98.0
19141101 19141130    57.6
19141201 19141231    96.3
19150101 19150131   104.8
19150201 19150228   120.1
19150301 19150331    57.0
19150401 19150430    40.9
19150501 19150531    46.1
19150601 19150630    28.8
19150701 19150731    29.7
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     9.0
19151101 19151130    26.4
19151201 19151231   238.5
19160101 19160131   680.9
19160201 19160229   200.5
19160301 19160331    65.1
19160401 19160430   184.4
19160501 19160531    54.2
19160601 19160630    16.6
19160701 19160731    71.3
19160801 19160831    31.7
19160901 19160930    69.9
19161001 19161031    90.0
19161101 19161130    97.7
19161201 19161231   546.3
19170101 19170131   177.6
19170201 19170228   221.2
19170301 19170331   262.7
19170401 19170430   190.9
19170501 19170531    45.9
19170601 19170630     2.1
19170701 19170731     0.0
19170801 19170831    67.0
19170901 19170930    42.1
19171001 19171031    85.3
19171101 19171130   225.0
19171201 19171231   249.4
19180101 19180131   597.0
19180201 19180228   344.2
19180301 19180331   246.3
19180401 19180430   180.4
19180501 19180531    58.3
19180601 19180630     4.8
19180701 19180731    36.4
19180801 19180831    35.5
19180901 19180930    13.5
19181001 19181031     3.1
19181101 19181130    50.8
19181201 19181231   117.1
19190101 19190131   247.8
19190201 19190228   209.6
19190301 19190331   150.7
19190401 19190430   352.6
19190501 19190531   104.6
19190601 19190630    28.3
19190701 19190731    29.3
19190801 19190831    11.3
19190901 19190930    42.2
19191001 19191031     0.3
19191101 19191130    37.4
19191201 19191231    22.6
19200101 19200131   357.6
19200201 19200229   373.4
19200301 19200331   168.9
19200401 19200430   606.0
19200501 19200531   176.7
19200601 19200630    33.9
19200701 19200731   208.7
19200801 19200831    13.2
19200901 19200930    13.9
19201001 19201031    94.4
19201101 19201130   182.5
19201201 19201231   194.9
19210101 19210131   358.0
19210201 19210228   350.7
19210301 19210331   903.0
19210401 19210430   515.8
19210501 19210531   153.6
19210601 19210630   179.2
19210701 19210731    40.9
19210801 19210831    25.8
19210901 19210930    51.1
19211001 19211031   127.3
19211101 19211130    62.4
19211201 19211231   395.6
19220101 19220131    70.2
19220201 19220228   615.3
19220301 19220331   271.8
19220401 19220430   155.7
19220501 19220531    56.4
19220601 19220630    36.4
19220701 19220731    70.4
19220801 19220831     8.7
19220901 19220930     8.7
19221001 19221031    23.7
19221101 19221130     3.9
19221201 19221231    48.2
19230101 19230131   144.9
19230201 19230228   211.9
19230301 19230331   444.2
19230401 19230430    91.9
19230501 19230531    19.8
19230601 19230630    30.4
19230701 19230731    15.0
19230801 19230831    21.8
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130    18.6
19231201 19231231   153.5
19240101 19240131   243.1
19240201 19240229   184.5
19240301 19240331   481.3
19240401 19240430   307.4
19240501 19240531    79.6
19240601 19240630    49.4
19240701 19240731    38.1
19240801 19240831    40.5
19240901 19240930    26.1
19241001 19241031    12.6
19241101 19241130   154.5
19241201 19241231   321.5
19250101 19250131   223.7
19250201 19250228   333.6
19250301 19250331   670.4
19250401 19250430   184.3
19250501 19250531     0.0
19250601 19250630    68.3
19250701 19250731     6.6
19250801 19250831    21.9
19250901 19250930    19.0
19251001 19251031     4.2
19251101 19251130   100.2
19251201 19251231    61.6
19260101 19260131   535.8
19260201 19260228    81.4
19260301 19260331   203.1
19260401 19260430   221.9
19260501 19260531    19.2
19260601 19260630    12.6
19260701 19260731     9.7
19260801 19260831    26.8
19260901 19260930    97.7
19261001 19261031     0.0
19261101 19261130    40.7
19261201 19261231   102.3
19270101 19270131   331.9
19270201 19270228   688.2
19270301 19270331   123.2
19270401 19270430   262.3
19270501 19270531    15.0
19270601 19270630    60.0
19270701 19270731    37.6
19270801 19270831     0.0
19270901 19270930    17.6
19271001 19271031    39.8
19271101 19271130     3.9
19271201 19271231   117.3
19280101 19280131   122.1
19280201 19280229   590.3
19280301 19280331   370.4
19280401 19280430    36.1
19280501 19280531    25.8
19280601 19280630    14.2
19280701 19280731    23.3
19280801 19280831    16.4
19280901 19280930     3.4
19281001 19281031     1.3
19281101 19281130   229.4
19281201 19281231    14.4
19290101 19290131   673.7
19290201 19290228   820.7
19290301 19290331   354.3
19290401 19290430    79.5
19290501 19290531    40.5
19290601 19290630    43.9
19290701 19290731     5.6
19290801 19290831     7.4
