PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19080101 19080131   608.3
19080201 19080229   244.1
19080301 19080331   587.0
19080401 19080430   159.0
19080501 19080531    60.5
19080601 19080630    13.7
19080701 19080731    88.9
19080801 19080831    35.3
19080901 19080930    23.6
19081001 19081031    43.2
19081101 19081130    40.6
19081201 19081231    70.9
19090101 19090131   621.5
19090201 19090228   209.0
19090301 19090331   666.5
19090401 19090430    50.0
19090501 19090531    34.0
19090601 19090630   107.2
19090701 19090731    31.2
19090801 19090831    60.5
19090901 19090930     5.8
19091001 19091031   140.5
19091101 19091130   402.8
19091201 19091231   711.7
19100101 19100131   810.3
19100201 19100228   646.2
19100301 19100331   509.0
19100401 19100430   155.7
19100501 19100531    78.2
19100601 19100630    90.7
19100701 19100731     2.0
19100801 19100831    49.0
19100901 19100930    34.0
19101001 19101031    78.5
19101101 19101130   174.5
19101201 19101231   554.5
19110101 19110131   732.3
19110201 19110228   516.9
19110301 19110331  1068.3
19110401 19110430  1637.8
19110501 19110531    28.2
19110601 19110630     8.3
19110701 19110731    25.5
19110801 19110831     6.9
19110901 19110930     1.3
19111001 19111031    10.9
19111101 19111130    31.8
19111201 19111231    78.4
19120101 19120131   111.9
19120201 19120229   475.6
19120301 19120331   377.6
19120401 19120430   128.4
19120501 19120531    65.6
19120601 19120630   220.6
19120701 19120731    47.4
19120801 19120831    48.7
19120901 19120930    35.4
19121001 19121031   147.4
19121101 19121130   127.5
19121201 19121231    51.6
19130101 19130131   580.7
19130201 19130228   607.8
19130301 19130331   625.4
19130401 19130430   152.7
19130501 19130531    85.9
19130601 19130630    16.3
19130701 19130731    13.3
19130801 19130831     5.8
19130901 19130930    17.2
19131001 19131031    69.3
19131101 19131130     1.5
19131201 19131231   545.5
19140101 19140131   950.2
19140201 19140228   434.7
19140301 19140331   755.1
19140401 19140430   277.6
19140501 19140531    95.2
19140601 19140630    77.5
19140701 19140731    19.4
19140801 19140831    60.3
19140901 19140930    43.4
19141001 19141031    81.6
19141101 19141130    76.8
19141201 19141231   135.7
19150101 19150131   145.8
19150201 19150228   102.0
19150301 19150331   118.4
19150401 19150430    44.0
19150501 19150531    17.9
19150601 19150630    13.8
19150701 19150731    73.1
19150801 19150831    11.8
19150901 19150930     3.3
19151001 19151031    15.2
19151101 19151130    46.7
19151201 19151231   306.1
19160101 19160131   450.2
19160201 19160229   151.8
19160301 19160331   138.3
19160401 19160430   162.8
19160501 19160531    84.0
19160601 19160630    49.9
19160701 19160731    68.8
19160801 19160831    53.0
19160901 19160930    77.4
19161001 19161031   219.5
19161101 19161130    67.7
19161201 19161231   686.7
19170101 19170131   152.8
19170201 19170228   456.2
19170301 19170331   485.6
19170401 19170430   224.6
19170501 19170531    91.9
19170601 19170630    20.5
19170701 19170731     1.1
19170801 19170831    30.3
19170901 19170930    33.7
19171001 19171031   148.7
19171101 19171130   309.6
19171201 19171231   360.4
19180101 19180131   381.5
19180201 19180228   379.5
19180301 19180331   266.5
19180401 19180430   173.0
19180501 19180531    29.6
19180601 19180630     6.0
19180701 19180731    30.6
19180801 19180831    37.3
19180901 19180930     7.7
19181001 19181031    10.9
19181101 19181130   138.7
19181201 19181231   266.0
19190101 19190131   228.0
19190201 19190228   300.7
19190301 19190331   169.5
19190401 19190430   393.4
19190501 19190531    96.6
19190601 19190630    35.0
19190701 19190731    30.5
19190801 19190831    21.1
19190901 19190930    46.3
19191001 19191031     1.8
19191101 19191130    64.4
19191201 19191231    60.5
19200101 19200131   436.4
19200201 19200229   453.6
19200301 19200331   220.8
19200401 19200430   576.3
19200501 19200531   353.6
19200601 19200630    73.0
19200701 19200731    81.6
19200801 19200831    42.5
19200901 19200930    43.8
19201001 19201031    56.8
19201101 19201130   101.6
19201201 19201231   248.4
19210101 19210131   322.7
19210201 19210228   359.8
19210301 19210331   712.7
19210401 19210430   296.3
19210501 19210531   127.8
19210601 19210630   124.5
19210701 19210731    29.6
19210801 19210831    21.0
19210901 19210930    61.9
19211001 19211031   116.7
19211101 19211130    23.0
19211201 19211231   547.6
19220101 19220131   210.5
19220201 19220228   610.5
19220301 19220331   484.4
19220401 19220430   140.8
19220501 19220531   102.2
19220601 19220630    32.6
19220701 19220731    67.7
19220801 19220831    21.3
19220901 19220930    13.5
19221001 19221031     0.0
19221101 19221130    28.9
19221201 19221231    41.7
19230101 19230131   296.2
19230201 19230228   170.3
19230301 19230331   501.3
19230401 19230430   115.6
19230501 19230531    12.2
19230601 19230630    65.7
19230701 19230731     5.7
19230801 19230831    32.1
19230901 19230930     1.3
19231001 19231031     3.1
19231101 19231130    15.7
19231201 19231231   161.8
19240101 19240131   162.9
19240201 19240229   274.1
19240301 19240331   358.9
19240401 19240430   286.6
19240501 19240531    70.4
19240601 19240630    57.3
19240701 19240731    33.2
19240801 19240831   144.9
19240901 19240930    60.9
19241001 19241031     4.3
19241101 19241130   127.1
19241201 19241231   381.6
19250101 19250131   340.4
19250201 19250228   381.7
19250301 19250331   799.9
19250401 19250430   234.5
19250501 19250531     1.8
19250601 19250630    77.0
19250701 19250731     6.6
19250801 19250831    10.9
19250901 19250930    23.4
19251001 19251031    41.4
19251101 19251130    68.9
19251201 19251231   132.6
19260101 19260131   405.9
19260201 19260228    63.3
19260301 19260331   175.0
19260401 19260430    77.8
19260501 19260531    43.4
19260601 19260630    22.7
19260701 19260731     5.4
19260801 19260831    16.8
19260901 19260930   128.0
19261001 19261031     2.6
19261101 19261130    70.9
19261201 19261231   269.8
19270101 19270131   321.1
19270201 19270228   704.5
19270301 19270331   217.4
19270401 19270430   171.7
19270501 19270531    29.2
19270601 19270630    77.2
19270701 19270731    27.5
19270801 19270831     5.9
19270901 19270930    14.9
19271001 19271031    93.2
19271101 19271130    13.7
19271201 19271231   238.8
19280101 19280131   234.6
19280201 19280229   934.3
