PRCP       032018 19100101 20151231 missing_value=99999.9 GLENEAGLE                                 
19100101 19100131   288.0
19100201 19100228   164.0
19100301 19100331   482.9
19100401 19100430    68.6
19100501 19100531     1.0
19100601 19100630     0.0
19100701 19100731     0.0
19100801 19100831     7.2
19100901 19100930     6.9
19101001 19101031    30.6
19101101 19101130   115.3
19101201 19101231   179.4
19110101 19110131   266.2
19110201 19110228   165.3
19110301 19110331   225.4
19110401 19110430   157.8
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     1.9
19111201 19111231    79.9
19120101 19120131    36.8
19120201 19120229    35.6
19120301 19120331   136.0
19120401 19120430    12.8
19120501 19120531     9.0
19120601 19120630    39.1
19120701 19120731     0.5
19120801 19120831     5.3
19120901 19120930     5.0
19121001 19121031    60.2
19121101 19121130    29.8
19121201 19121231    20.5
19130101 19130131   360.9
19130201 19130228   308.2
19130301 19130331    90.2
19130401 19130430    85.2
19130501 19130531    17.6
19130601 19130630     5.7
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     2.6
19131101 19131130     3.5
19131201 19131231   113.7
19140101 19140131    51.1
19140201 19140228    47.4
19140301 19140331   216.6
19140401 19140430     0.0
19140501 19140531    14.1
19140601 19140630    37.7
19140701 19140731     1.6
19140801 19140831     0.5
19140901 19140930     2.4
19141001 19141031     0.8
19141101 19141130     4.0
19141201 19141231   135.5
19150101 19150131    65.0
19150201 19150228    46.1
19150301 19150331     7.5
19150401 19150430     9.1
19150501 19150531     6.9
19150601 19150630     3.7
19150701 19150731     1.4
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.8
19151101 19151130    27.1
19151201 19151231    91.6
19160101 19160131    55.6
19160201 19160229    92.6
19160301 19160331    25.8
19160401 19160430    34.9
19160501 19160531     6.5
19160601 19160630     5.3
19160701 19160731    18.7
19160801 19160831     6.1
19160901 19160930     1.6
19161001 19161031     4.3
19161101 19161130    85.8
19161201 19161231   296.0
19170101 19170131   179.4
19170201 19170228   191.4
19170301 19170331   178.8
19170401 19170430     6.1
19170501 19170531    66.9
19170601 19170630     0.0
19170701 19170731     1.0
19170801 19170831     5.9
19170901 19170930    17.3
19171001 19171031    25.9
19171101 19171130    58.5
19171201 19171231   161.7
19180101 19180131   390.4
19180201 19180228   182.2
19180301 19180331    95.4
19180401 19180430    21.6
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731    16.8
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     1.0
19181101 19181130    86.0
19181201 19181231    79.4
19190101 19190131    75.5
19190201 19190228    33.5
19190301 19190331   101.2
19190401 19190430    21.9
19190501 19190531    33.9
19190601 19190630     3.5
19190701 19190731     5.6
19190801 19190831     4.0
19190901 19190930     5.3
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231    16.2
19200101 19200131   310.7
19200201 19200229    93.0
19200301 19200331    23.7
19200401 19200430    63.6
19200501 19200531    95.6
19200601 19200630    33.2
19200701 19200731     5.4
19200801 19200831     4.7
19200901 19200930     0.5
19201001 19201031    11.0
19201101 19201130    11.3
19201201 19201231   174.1
19210101 19210131    78.0
19210201 19210228    39.4
19210301 19210331   177.0
19210401 19210430    66.5
19210501 19210531    63.3
19210601 19210630    42.9
19210701 19210731     6.9
19210801 19210831     0.0
19210901 19210930     8.8
19211001 19211031    66.3
19211101 19211130     5.3
19211201 19211231   245.1
19220101 19220131    50.6
19220201 19220228   333.4
19220301 19220331    31.5
19220401 19220430     0.0
19220501 19220531     7.4
19220601 19220630    12.3
19220701 19220731    14.1
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    18.9
19221101 19221130    21.6
19221201 19221231   116.1
19230101 19230131    78.2
19230201 19230228     0.0
19230301 19230331    27.9
19230401 19230430    16.8
19230501 19230531     6.9
19230601 19230630     6.2
19230701 19230731     0.3
19230801 19230831    11.4
19230901 19230930     0.0
19231001 19231031    10.4
19231101 19231130     4.0
19231201 19231231    44.1
19240101 19240131    55.3
19240201 19240229   196.1
19240301 19240331   108.6
19240401 19240430    40.5
19240501 19240531     7.5
19240601 19240630     2.6
19240701 19240731     1.6
19240801 19240831    36.2
19240901 19240930     3.1
19241001 19241031    79.9
19241101 19241130    58.1
19241201 19241231   121.3
19250101 19250131   228.4
19250201 19250228   146.5
19250301 19250331    69.9
19250401 19250430     5.2
19250501 19250531     0.0
19250601 19250630    20.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130    16.8
19251201 19251231    99.5
19260101 19260131   128.9
19260201 19260228     9.5
19260301 19260331    36.5
19260401 19260430     3.7
19260501 19260531    39.9
19260601 19260630    11.2
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    33.4
19261001 19261031     5.0
19261101 19261130     2.1
19261201 19261231   109.2
19270101 19270131   331.7
19270201 19270228   266.8
19270301 19270331    71.8
19270401 19270430    45.9
19270501 19270531     0.0
19270601 19270630    79.3
19270701 19270731    48.2
19270801 19270831     1.4
19270901 19270930    24.2
19271001 19271031     8.0
19271101 19271130    23.2
19271201 19271231    57.2
19280101 19280131    79.6
19280201 19280229   112.6
19280301 19280331    92.5
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731    16.8
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    33.2
19281101 19281130    74.9
19281201 19281231   181.8
19290101 19290131   199.1
19290201 19290228   196.8
19290301 19290331    90.1
19290401 19290430     2.1
19290501 19290531     2.1
19290601 19290630     2.6
19290701 19290731     1.0
19290801 19290831     0.0
19290901 19290930     1.4
19291001 19291031    13.8
19291101 19291130    99.6
19291201 19291231    45.3
19300101 19300131   468.7
19300201 19300228   192.5
19300301 19300331    16.8
19300401 19300430     5.3
19300501 19300531   108.2
19300601 19300630     0.0
19300701 19300731     8.3
19300801 19300831     0.0
19300901 19300930     2.9
19301001 19301031    75.0
19301101 19301130    30.2
19301201 19301231    40.7
19310101 19310131    37.8
19310201 19310228    63.7
19310301 19310331    25.9
19310401 19310430    25.6
19310501 19310531    13.0
19310601 19310630     0.0
19310701 19310731     2.9
19310801 19310831     0.8
19310901 19310930    39.2
19311001 19311031     5.6
19311101 19311130    65.8
19311201 19311231    63.9
19320101 19320131   181.3
19320201 19320229    86.3
19320301 19320331    52.6
19320401 19320430    21.0
19320501 19320531    55.1
19320601 19320630    10.6
19320701 19320731     9.1
19320801 19320831     5.6
19320901 19320930     0.0
19321001 19321031    23.9
19321101 19321130     0.8
19321201 19321231   152.1
19330101 19330131   138.4
19330201 19330228   344.6
19330301 19330331     8.8
19330401 19330430    52.6
19330501 19330531    28.3
19330601 19330630    30.9
19330701 19330731    34.8
19330801 19330831    37.7
19330901 19330930    16.3
19331001 19331031     6.6
19331101 19331130   118.9
19331201 19331231    93.2
19340101 19340131   362.1
19340201 19340228    99.0
19340301 19340331   177.0
19340401 19340430    36.8
19340501 19340531    55.6
19340601 19340630    77.0
19340701 19340731    14.0
19340801 19340831    29.5
19340901 19340930    24.1
19341001 19341031    14.7
19341101 19341130   134.5
19341201 19341231    18.3
19350101 19350131    83.0
19350201 19350228    93.7
19350301 19350331   155.3
19350401 19350430    15.8
19350501 19350531    67.0
19350601 19350630    30.0
19350701 19350731     2.0
19350801 19350831    27.7
19350901 19350930     0.0
19351001 19351031    87.8
19351101 19351130    31.8
19351201 19351231    36.1
19360101 19360131   136.6
19360201 19360229   174.5
19360301 19360331   167.0
19360401 19360430    59.6
19360501 19360531    15.5
19360601 19360630   108.9
