PRCP       032032 18900501 20180131 missing_value=99999.9 MACKNADE SUGAR MILL                       
18900501 18900531   224.0
18900601 18900630    53.1
18900701 18900731    23.1
18900801 18900831    62.5
18900901 18900930     0.0
18901001 18901031     5.6
18901101 18901130   124.2
18901201 18901231    83.6
18910101 18910131   561.6
18910201 18910228   804.9
18910301 18910331   824.7
18910401 18910430   641.4
18910501 18910531   386.8
18910601 18910630    70.9
18910701 18910731     1.8
18910801 18910831    38.9
18910901 18910930    32.5
18911001 18911031    68.3
18911101 18911130    34.5
18911201 18911231    40.6
18920101 18920131   746.6
18920201 18920229   117.9
18920301 18920331   285.0
18920401 18920430    82.8
18920501 18920531   323.6
18920601 18920630    67.9
18920701 18920731    37.3
18920801 18920831     1.5
18920901 18920930    83.4
18921001 18921031    50.4
18921101 18921130    39.4
18921201 18921231    34.3
18930101 18930131   103.4
18930201 18930228   317.2
18930301 18930331   740.9
18930401 18930430    56.2
18930501 18930531    56.4
18930601 18930630    14.7
18930701 18930731    94.5
18930801 18930831   168.0
18930901 18930930    16.8
18931001 18931031    37.2
18931101 18931130   146.4
18931201 18931231   187.1
18940101 18940131   984.1
18940201 18940228   515.7
18940301 18940331   535.4
18940401 18940430  1344.3
18940501 18940531    85.0
18940601 18940630   243.1
18940701 18940731    60.7
18940801 18940831    36.1
18940901 18940930    41.8
18941001 18941031    66.2
18941101 18941130   619.9
18941201 18941231   248.7
18950101 18950131    97.6
18950201 18950228   890.5
18950301 18950331   222.0
18950401 18950430   162.8
18950501 18950531    69.1
18950601 18950630    27.2
18950701 18950731    23.9
18950801 18950831    23.9
18950901 18950930     7.1
18951001 18951031    17.3
18951101 18951130    16.5
18951201 18951231    42.2
18960101 18960131   879.6
18960201 18960229   630.9
18960301 18960331   999.5
18960401 18960430   200.2
18960501 18960531    67.6
18960601 18960630    13.0
18960701 18960731    26.4
18960801 18960831    70.1
18960901 18960930    16.5
18961001 18961031     2.5
18961101 18961130    27.4
18961201 18961231    41.4
18970101 18970131   252.2
18970201 18970228   483.1
18970301 18970331   208.5
18970401 18970430    53.3
18970501 18970531   101.9
18970601 18970630   134.6
18970701 18970731     3.8
18970801 18970831    29.2
18970901 18970930    27.7
18971001 18971031    64.5
18971101 18971130   209.8
18971201 18971231   298.7
18980101 18980131   460.0
18980201 18980228   503.5
18980301 18980331   148.7
18980401 18980430    77.3
18980501 18980531     4.9
18980601 18980630    24.6
18980701 18980731    33.8
18980801 18980831    30.3
18980901 18980930    49.9
18981001 18981031    16.5
18981101 18981130     1.5
18981201 18981231    30.1
18990101 18990131   312.8
18990201 18990228   797.1
18990301 18990331   604.5
18990401 18990430   168.2
18990501 18990531    32.8
18990601 18990630     7.6
18990701 18990731    56.6
18990801 18990831    34.4
18990901 18990930    21.1
18991001 18991031     5.8
18991101 18991130     6.3
18991201 18991231    12.1
19000101 19000131   915.9
19000201 19000228    34.9
19000301 19000331   123.8
19000401 19000430   150.7
19000501 19000531   129.1
19000601 19000630    15.5
19000701 19000731    13.2
19000801 19000831     6.9
19000901 19000930    10.3
19001001 19001031    27.0
19001101 19001130    74.1
19001201 19001231   126.6
19010101 19010131  1180.0
19010201 19010228   793.1
19010301 19010331   467.0
19010401 19010430   233.4
19010501 19010531   231.8
19010601 19010630    44.7
19010701 19010731    41.9
19010801 19010831   115.6
19010901 19010930    37.7
19011001 19011031    74.3
19011101 19011130   100.8
19011201 19011231    10.6
19020101 19020131    51.9
19020201 19020228   440.4
19020301 19020331    76.5
19020401 19020430   104.9
19020501 19020531    14.3
19020601 19020630    36.4
19020701 19020731    12.2
19020801 19020831    23.3
19020901 19020930     0.0
19021001 19021031     4.6
19021101 19021130     2.9
19021201 19021231    67.9
19030101 19030131   381.4
19030201 19030228   238.1
19030301 19030331  1372.0
19030401 19030430   243.7
19030501 19030531   147.7
19030601 19030630    75.4
19030701 19030731    50.3
19030801 19030831   111.6
19030901 19030930    28.8
19031001 19031031    35.3
19031101 19031130   184.1
19031201 19031231   848.6
19040101 19040131   282.0
19040201 19040229   287.8
19040301 19040331   522.0
19040401 19040430   279.4
19040501 19040531    53.6
19040601 19040630     4.3
19040701 19040731     3.0
19040801 19040831     4.3
19040901 19040930    74.9
19041001 19041031    56.4
19041101 19041130    21.6
19041201 19041231    76.5
19050101 19050131   380.2
19050201 19050228    45.0
19050301 19050331   103.9
19050401 19050430   483.1
19050501 19050531    96.3
19050601 19050630    37.6
19050701 19050731    73.9
19050801 19050831    29.7
19050901 19050930     0.0
19051001 19051031    21.1
19051101 19051130    39.9
19051201 19051231    17.5
19060101 19060131   576.6
19060201 19060228   728.0
19060301 19060331   465.1
19060401 19060430   253.2
19060501 19060531   117.3
19060601 19060630    95.3
19060701 19060731    29.0
19060801 19060831    40.1
19060901 19060930    62.5
19061001 19061031    87.1
19061101 19061130   203.7
19061201 19061231   560.3
19070101 19070131   338.1
19070201 19070228   668.5
19070301 19070331    71.1
19070401 19070430    66.8
19070501 19070531   302.0
19070601 19070630   182.9
19070701 19070731    12.4
19070801 19070831     8.4
19070901 19070930    40.4
19071001 19071031    18.3
19071101 19071130    42.4
19071201 19071231   453.4
19080101 19080131   516.4
19080201 19080229   265.6
19080301 19080331   492.5
19080401 19080430   185.3
19080501 19080531    72.3
19080601 19080630    30.7
19080701 19080731   127.8
19080801 19080831    50.2
19080901 19080930    19.5
19081001 19081031    86.8
19081101 19081130     4.8
19081201 19081231     9.4
19090101 19090131   420.4
19090201 19090228   126.0
19090301 19090331   566.7
19090401 19090430    62.4
19090501 19090531    83.8
19090601 19090630    61.5
19090701 19090731    90.2
19090801 19090831    82.0
19090901 19090930     6.1
19091001 19091031   116.5
19091101 19091130   148.0
19091201 19091231   343.2
19100101 19100131   482.5
19100201 19100228   549.7
19100301 19100331   244.8
19100401 19100430   199.7
19100501 19100531    69.0
19100601 19100630   106.2
19100701 19100731     1.0
19100801 19100831    32.0
19100901 19100930   175.9
19101001 19101031    74.7
19101101 19101130   124.3
19101201 19101231   255.5
19110101 19110131   669.2
19110201 19110228   597.3
19110301 19110331   247.9
19110401 19110430   534.4
19110501 19110531    32.3
19110601 19110630     4.1
19110701 19110731    13.5
19110801 19110831     1.5
19110901 19110930     3.6
19111001 19111031     0.0
19111101 19111130    73.1
19111201 19111231   124.7
19120101 19120131    14.7
19120201 19120229   534.8
19120301 19120331   559.0
19120401 19120430   425.4
19120501 19120531    81.5
19120601 19120630   204.1
19120701 19120731    70.1
19120801 19120831    16.6
19120901 19120930     2.0
19121001 19121031     5.1
19121101 19121130    60.4
19121201 19121231    46.9
19130101 19130131   644.5
19130201 19130228   373.1
19130301 19130331   743.7
19130401 19130430   125.5
19130501 19130531   119.0
19130601 19130630    30.2
19130701 19130731     8.6
19130801 19130831     5.6
19130901 19130930     0.0
19131001 19131031    58.5
19131101 19131130     0.0
19131201 19131231   245.0
19140101 19140131   368.0
19140201 19140228   345.5
19140301 19140331  1148.4
19140401 19140430   235.9
19140501 19140531   203.8
19140601 19140630   285.5
19140701 19140731    16.3
19140801 19140831    32.3
19140901 19140930     7.7
19141001 19141031    95.7
19141101 19141130    21.3
19141201 19141231    37.4
19150101 19150131   518.7
19150201 19150228   164.7
19150301 19150331   623.2
19150401 19150430    86.4
19150501 19150531    38.7
19150601 19150630    24.1
19150701 19150731    28.4
19150801 19150831    14.0
19150901 19150930     6.1
19151001 19151031    51.0
19151101 19151130    23.8
19151201 19151231   174.9
19160101 19160131   462.5
19160201 19160229   326.1
19160301 19160331   312.2
19160401 19160430    62.2
19160501 19160531    68.5
19160601 19160630    47.8
19160701 19160731   178.4
19160801 19160831    39.6
19160901 19160930    12.2
19161001 19161031    18.5
19161101 19161130   146.7
19161201 19161231   687.8
19170101 19170131   279.8
19170201 19170228   627.4
19170301 19170331   337.5
19170401 19170430   335.1
19170501 19170531   131.5
19170601 19170630    16.9
19170701 19170731     4.8
19170801 19170831    48.0
19170901 19170930    27.8
19171001 19171031    52.4
19171101 19171130   314.7
19171201 19171231   545.3
19180101 19180131   484.2
19180201 19180228   481.0
19180301 19180331   417.4
19180401 19180430   208.1
19180501 19180531    33.2
19180601 19180630    10.7
19180701 19180731    30.2
19180801 19180831   161.8
19180901 19180930     3.0
19181001 19181031     0.0
19181101 19181130   150.9
19181201 19181231   104.5
19190101 19190131   243.4
19190201 19190228   190.0
19190301 19190331   159.2
19190401 19190430   218.6
19190501 19190531    72.1
19190601 19190630     7.4
19190701 19190731     0.0
19190801 19190831     3.3
19190901 19190930    21.0
19191001 19191031     0.0
19191101 19191130    16.8
19191201 19191231    13.7
19200101 19200131   354.0
19200201 19200229   162.6
19200301 19200331   175.6
19200401 19200430   742.5
19200501 19200531   352.1
19200601 19200630    88.0
19200701 19200731   196.8
19200801 19200831    56.4
19200901 19200930   111.6
19201001 19201031    40.2
19201101 19201130    71.6
19201201 19201231   118.7
19210101 19210131   514.0
19210201 19210228   272.8
19210301 19210331   474.3
19210401 19210430    36.2
19210501 19210531    93.7
19210601 19210630    96.6
19210701 19210731    73.7
19210801 19210831    69.6
19210901 19210930   102.2
19211001 19211031   114.8
19211101 19211130     7.1
19211201 19211231   225.1
19220101 19220131    64.8
19220201 19220228   980.5
19220301 19220331   273.6
19220401 19220430    69.2
19220501 19220531    57.2
19220601 19220630    57.4
19220701 19220731    61.4
19220801 19220831    11.9
19220901 19220930    23.4
19221001 19221031    86.1
19221101 19221130    18.3
19221201 19221231   124.2
19230101 19230131   102.4
19230201 19230228   132.7
19230301 19230331   140.4
19230401 19230430   109.4
19230501 19230531    65.0
19230601 19230630    68.3
19230701 19230731     3.0
19230801 19230831    97.1
19230901 19230930     0.5
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    90.5
19240101 19240131   229.7
19240201 19240229   230.5
19240301 19240331   448.0
19240401 19240430   210.8
19240501 19240531    14.5
19240601 19240630    49.8
19240701 19240731     7.3
19240801 19240831    86.8
19240901 19240930    12.6
19241001 19241031    28.7
19241101 19241130    56.5
19241201 19241231   136.3
19250101 19250131   499.7
19250201 19250228   401.1
19250301 19250331   797.7
19250401 19250430   113.8
19250501 19250531     0.5
19250601 19250630    36.3
19250701 19250731    11.4
19250801 19250831    56.3
19250901 19250930    41.2
19251001 19251031     1.6
19251101 19251130    13.2
19251201 19251231    68.5
19260101 19260131    66.7
19260201 19260228   454.8
19260301 19260331   157.4
19260401 19260430    42.0
19260501 19260531     8.5
19260601 19260630    19.6
19260701 19260731    17.1
19260801 19260831    55.4
19260901 19260930   359.9
19261001 19261031     2.0
19261101 19261130    43.5
19261201 19261231   147.1
19270101 19270131   933.8
19270201 19270228  1181.2
19270301 19270331   245.6
19270401 19270430    95.7
19270501 19270531    26.9
19270601 19270630   126.8
19270701 19270731    91.4
19270801 19270831     3.8
19270901 19270930   112.2
19271001 19271031    36.9
19271101 19271130    20.1
19271201 19271231   255.8
19280101 19280131   207.5
19280201 19280229   765.5
19280301 19280331   246.6
19280401 19280430    55.7
19280501 19280531    33.4
19280601 19280630    55.1
19280701 19280731    15.3
19280801 19280831    10.9
19280901 19280930     0.0
19281001 19281031     2.0
19281101 19281130   386.7
19281201 19281231   398.1
19290101 19290131   750.8
19290201 19290228   551.2
19290301 19290331   778.2
19290401 19290430    46.5
19290501 19290531    27.0
19290601 19290630    57.8
19290701 19290731    13.4
19290801 19290831    28.0
19290901 19290930     9.7
19291001 19291031     0.8
19291101 19291130    46.5
19291201 19291231    27.1
19300101 19300131   779.3
19300201 19300228   414.8
19300301 19300331   370.1
19300401 19300430    85.7
19300501 19300531   178.7
19300601 19300630    55.1
19300701 19300731    34.7
19300801 19300831    15.6
19300901 19300930     7.7
19301001 19301031   610.7
19301101 19301130    15.5
19301201 19301231   149.1
19310101 19310131   389.5
19310201 19310228    57.2
19310301 19310331   287.7
19310401 19310430   212.4
19310501 19310531    80.8
19310601 19310630    26.7
19310701 19310731    30.3
19310801 19310831    16.8
19310901 19310930    22.9
19311001 19311031   122.8
19311101 19311130    89.2
19311201 19311231   252.1
19320101 19320131   440.2
19320201 19320229    72.9
19320301 19320331   324.4
19320401 19320430    96.5
19320501 19320531   286.6
19320601 19320630    22.7
19320701 19320731    14.9
19320801 19320831    32.9
19320901 19320930     6.4
19321001 19321031     0.6
19321101 19321130   119.0
19321201 19321231   298.0
19330101 19330131    57.1
19330201 19330228   695.0
19330301 19330331    58.3
19330401 19330430   101.3
19330501 19330531   173.8
19330601 19330630   110.4
19330701 19330731    89.7
19330801 19330831    49.2
19330901 19330930   150.8
19331001 19331031    61.9
19331101 19331130   339.3
19331201 19331231   811.1
19340101 19340131   542.2
19340201 19340228   289.7
19340301 19340331   157.7
19340401 19340430    74.2
19340501 19340531    71.7
19340601 19340630    99.3
19340701 19340731    71.4
