PRCP       032040 18930101 20180131 missing_value=99999.9 TOWNSVILLE AERO                           
18930101 18930131   295.8
18930201 18930228   469.8
18930301 18930331   284.7
18930401 18930430     0.0
18930501 18930531    11.5
18930601 18930630    46.0
18930701 18930731    16.5
18930801 18930831   134.8
18930901 18930930     0.0
18931001 18931031    77.8
18931101 18931130    28.4
18931201 18931231    27.8
18940101 18940131   727.5
18940201 18940228   429.2
18940301 18940331   148.8
18940401 18940430   681.5
18940501 18940531    52.8
18940601 18940630   325.9
18940701 18940731     2.6
18940801 18940831     7.7
18940901 18940930    40.1
18941001 18941031    17.4
18941101 18941130   112.5
18941201 18941231   155.1
18950101 18950131   165.3
18950201 18950228   574.5
18950301 18950331    28.6
18950401 18950430    82.0
18950501 18950531    10.4
18950601 18950630     5.6
18950701 18950731    31.5
18950801 18950831     2.1
18950901 18950930     6.9
18951001 18951031     0.7
18951101 18951130     6.0
18951201 18951231    58.0
18960101 18960131   750.3
18960201 18960229   546.3
18960301 18960331   110.6
18960401 18960430    30.5
18960501 18960531     3.4
18960601 18960630    19.5
18960701 18960731    35.7
18960801 18960831     4.5
18960901 18960930     0.0
18961001 18961031     0.4
18961101 18961130     2.5
18961201 18961231     3.6
18970101 18970131   325.8
18970201 18970228   140.7
18970301 18970331   250.8
18970401 18970430     1.1
18970501 18970531    18.1
18970601 18970630    48.4
18970701 18970731     4.5
18970801 18970831    13.1
18970901 18970930     6.6
18971001 18971031   152.1
18971101 18971130    21.2
18971201 18971231    76.3
18980101 18980131   317.8
18980201 18980228   505.9
18980301 18980331   199.0
18980401 18980430    11.1
18980501 18980531     1.4
18980601 18980630    11.5
18980701 18980731    17.2
18980801 18980831     8.5
18980901 18980930    72.1
18981001 18981031     4.1
18981101 18981130     1.8
18981201 18981231    22.1
18990101 18990131   314.5
18990201 18990228   395.2
18990301 18990331   392.4
18990401 18990430    74.2
18990501 18990531    63.5
18990601 18990630     0.0
18990701 18990731    34.4
18990801 18990831    88.6
18990901 18990930    15.7
18991001 18991031    44.2
18991101 18991130     8.4
18991201 18991231    26.1
19000101 19000131   290.9
19000201 19000228     1.8
19000301 19000331    77.1
19000401 19000430    15.0
19000501 19000531     4.8
19000601 19000630     5.4
19000701 19000731    37.0
19000801 19000831     4.5
19000901 19000930     3.4
19001001 19001031    27.6
19001101 19001130     4.1
19001201 19001231    23.1
19010101 19010131   441.1
19010201 19010228   356.3
19010301 19010331   102.0
19010401 19010430    81.6
19010501 19010531    52.3
19010601 19010630     7.7
19010701 19010731    10.0
19010801 19010831    45.3
19010901 19010930     0.0
19011001 19011031    18.5
19011101 19011130     0.0
19011201 19011231    36.3
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331    20.2
19020401 19020430     3.4
19020501 19020531     0.4
19020601 19020630     0.4
19020701 19020731     0.4
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     1.1
19021101 19021130     0.0
19021201 19021231   160.9
19030101 19030131    82.6
19030201 19030228    90.0
19030301 19030331   908.6
19030401 19030430    76.8
19030501 19030531    57.7
19030601 19030630    45.1
19030701 19030731    10.9
19030801 19030831     4.9
19030901 19030930    38.5
19031001 19031031    36.4
19031101 19031130   133.7
19031201 19031231   439.4
19040101 19040131    85.3
19040201 19040229   165.8
19040301 19040331   115.1
19040401 19040430    42.3
19040501 19040531    24.5
19040601 19040630    11.5
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     7.0
19041001 19041031     0.0
19041101 19041130     0.0
19041201 19041231    25.1
19050101 19050131   366.7
19050201 19050228    62.9
19050301 19050331    17.4
19050401 19050430    85.1
19050501 19050531     0.0
19050601 19050630     0.0
19050701 19050731    43.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     0.0
19051101 19051130    57.6
19051201 19051231    34.9
19060101 19060131   635.7
19060201 19060228   472.4
19060301 19060331   318.4
19060401 19060430    10.2
19060501 19060531    91.5
19060601 19060630    16.1
19060701 19060731     1.8
19060801 19060831    31.5
19060901 19060930    56.3
19061001 19061031     0.0
19061101 19061130    68.7
19061201 19061231   398.0
19070101 19070131   164.5
19070201 19070228   113.1
19070301 19070331   109.6
19070401 19070430     0.0
19070501 19070531   116.1
19070601 19070630   149.6
19070701 19070731     0.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130    90.4
19071201 19071231   370.8
19080101 19080131   459.7
19080201 19080229   212.6
19080301 19080331   333.9
19080401 19080430    20.6
19080501 19080531    81.1
19080601 19080630    14.7
19080701 19080731    38.3
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031    47.5
19081101 19081130     0.0
19081201 19081231    27.9
19090101 19090131   482.3
19090201 19090228    80.9
19090301 19090331   117.5
19090401 19090430    31.1
19090501 19090531    52.8
19090601 19090630    72.5
19090701 19090731    28.7
19090801 19090831     0.0
19090901 19090930    40.1
19091001 19091031    44.7
19091101 19091130    10.4
19091201 19091231   221.4
19100101 19100131   711.3
19100201 19100228   155.4
19100301 19100331   691.8
19100401 19100430    49.9
19100501 19100531    10.2
19100601 19100630    41.8
19100701 19100731    21.3
19100801 19100831     0.0
19100901 19100930   138.5
19101001 19101031     0.0
19101101 19101130   120.9
19101201 19101231   267.4
19110101 19110131   512.2
19110201 19110228   685.6
19110301 19110331   172.8
19110401 19110430   117.6
19110501 19110531     3.4
19110601 19110630     0.7
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031    42.6
19111101 19111130     0.0
19111201 19111231    38.7
19120101 19120131   109.9
19120201 19120229   223.5
19120301 19120331   236.7
19120401 19120430    48.2
19120501 19120531    38.3
19120601 19120630   286.3
19120701 19120731    25.1
19120801 19120831     4.9
19120901 19120930     0.0
19121001 19121031     4.9
19121101 19121130    91.5
