PRCP       033035 18860101 20171130 missing_value=99999.9 KALAMIA ESTATE                            
18860101 18860131    60.2
18860201 18860228   133.9
18860301 18860331   113.0
18860401 18860430   142.2
18860501 18860531    25.7
18860601 18860630   143.3
18860701 18860731    66.5
18860801 18860831    25.9
18860901 18860930    89.2
18861001 18861031    44.5
18861101 18861130   132.6
18861201 18861231   347.2
18870101 18870131   339.9
18870201 18870228   202.9
18870301 18870331   495.0
18870401 18870430    94.7
18870501 18870531    14.2
18870601 18870630    19.1
18870701 18870731     1.8
18870801 18870831    22.9
18870901 18870930     9.9
18871001 18871031     1.8
18871101 18871130    13.2
18871201 18871231   100.6
18880101 18880131    31.2
18880201 18880229   398.5
18880301 18880331    15.5
18880401 18880430    18.0
18880501 18880531     0.0
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    11.7
18881201 18881231   125.5
18890101 18890131    62.2
18890201 18890228   144.8
18890301 18890331   194.6
18890401 18890430   319.8
18890501 18890531    24.4
18890601 18890630    14.0
18890701 18890731    29.5
18890801 18890831     5.1
18890901 18890930   114.0
18891001 18891031     6.6
18891101 18891130   132.3
18891201 18891231   103.9
18900101 18900131   863.1
18900201 18900228   286.5
18900301 18900331   474.7
18900401 18900430    53.1
18900501 18900531    87.4
18900601 18900630    29.5
18900701 18900731    36.8
18900801 18900831    81.0
18900901 18900930   502.4
18901001 18901031     5.1
18901101 18901130    70.4
18901201 18901231    46.7
18910101 18910131   374.4
18910201 18910228   454.9
18910301 18910331   354.1
18910401 18910430   125.0
18910501 18910531    61.2
18910601 18910630   245.1
18910701 18910731     0.0
18910801 18910831    11.4
18910901 18910930     6.1
18911001 18911031    48.3
18911101 18911130     0.0
18911201 18911231    54.6
18920101 18920131   468.9
18920201 18920229    14.5
18920301 18920331    84.6
18920401 18920430    16.5
18920501 18920531    88.4
18920601 18920630    17.8
18920701 18920731     1.0
18920801 18920831     2.3
18920901 18920930    60.5
18921001 18921031    62.7
18921101 18921130     0.0
18921201 18921231   133.6
18930101 18930131    69.6
18930201 18930228   307.6
18930301 18930331   294.9
18930401 18930430     0.0
18930501 18930531    10.4
18930601 18930630    36.6
18930701 18930731     4.3
18930801 18930831   125.0
18930901 18930930     0.0
18931001 18931031    29.7
18931101 18931130    35.8
18931201 18931231    54.1
18940101 18940131   733.8
18940201 18940228   362.2
18940301 18940331   257.6
18940401 18940430   486.7
18940501 18940531    90.7
18940601 18940630   108.7
18940701 18940731    29.7
18940801 18940831     8.1
18940901 18940930    64.8
18941001 18941031     8.4
18941101 18941130   194.3
18941201 18941231    40.9
18950101 18950131   125.0
18950201 18950228   676.9
18950301 18950331    12.4
18950401 18950430   131.1
18950501 18950531     7.1
18950601 18950630    11.4
18950701 18950731     3.6
18950801 18950831     6.6
18950901 18950930     4.3
18951001 18951031     0.0
18951101 18951130    14.2
18951201 18951231   153.9
18960101 18960131  1137.9
18960201 18960229   545.8
18960301 18960331   325.1
18960401 18960430    19.1
18960501 18960531     3.8
18960601 18960630    15.5
18960701 18960731     9.4
18960801 18960831     1.3
18960901 18960930     1.0
18961001 18961031     0.0
18961101 18961130     8.9
18961201 18961231    26.2
18970101 18970131   435.6
18970201 18970228   237.5
18970301 18970331   183.6
18970401 18970430     0.0
18970501 18970531    37.3
18970601 18970630    34.5
18970701 18970731     5.6
18970801 18970831    20.1
18970901 18970930     0.0
18971001 18971031    40.6
18971101 18971130    30.0
18971201 18971231   145.8
18980101 18980131   249.2
18980201 18980228   805.4
18980301 18980331   164.3
18980401 18980430    20.8
18980501 18980531     0.0
18980601 18980630    17.3
18980701 18980731    10.7
18980801 18980831     5.1
18980901 18980930    15.2
18981001 18981031    68.8
18981101 18981130     4.1
18981201 18981231    63.2
18990101 18990131   248.4
18990201 18990228   315.2
18990301 18990331   368.8
18990401 18990430   109.0
18990501 18990531    30.5
18990601 18990630     0.0
18990701 18990731     5.6
18990801 18990831    18.3
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     0.0
18991201 18991231    35.3
19000101 19000131   371.9
19000201 19000228     0.0
19000301 19000331    29.5
19000401 19000430    16.8
19000501 19000531    32.3
19000601 19000630    18.5
19000701 19000731    14.7
19000801 19000831     4.3
19000901 19000930    35.1
19001001 19001031    31.2
19001101 19001130     4.3
19001201 19001231    51.8
19010101 19010131   462.3
19010201 19010228   216.9
19010301 19010331   114.6
19010401 19010430    72.1
19010501 19010531    20.1
19010601 19010630     9.4
19010701 19010731     5.3
19010801 19010831    72.4
19010901 19010930     3.6
19011001 19011031     0.0
19011101 19011130    11.9
19011201 19011231    11.7
19020101 19020131    36.6
19020201 19020228   152.7
19020301 19020331    29.7
19020401 19020430     7.4
19020501 19020531     0.0
19020601 19020630     0.8
19020701 19020731     0.0
19020801 19020831    15.2
19020901 19020930     0.0
19021001 19021031     0.0
19021101 19021130     2.0
19021201 19021231    92.5
19030101 19030131    68.6
19030201 19030228   170.7
19030301 19030331   454.7
19030401 19030430    22.6
19030501 19030531    83.3
19030601 19030630    55.6
19030701 19030731    15.5
19030801 19030831     3.8
19030901 19030930    51.3
19031001 19031031    47.0
19031101 19031130   108.2
19031201 19031231   118.9
19040101 19040131   125.2
19040201 19040229    94.5
19040301 19040331    50.8
19040401 19040430    50.8
19040501 19040531     4.3
19040601 19040630    10.2
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930    18.0
19041001 19041031    48.3
19041101 19041130     0.0
19041201 19041231    56.6
19050101 19050131   444.0
19050201 19050228    10.2
19050301 19050331     7.9
19050401 19050430   135.1
19050501 19050531     8.9
19050601 19050630    12.4
19050701 19050731    23.1
19050801 19050831     0.0
19050901 19050930   163.1
19051001 19051031     3.0
19051101 19051130    35.3
19051201 19051231     5.3
19060101 19060131   154.4
19060201 19060228   412.8
19060301 19060331   104.1
19060401 19060430     3.6
19060501 19060531    65.0
19060601 19060630     8.9
19060701 19060731     0.0
19060801 19060831    13.5
19060901 19060930    84.8
19061001 19061031    21.1
19061101 19061130    60.2
19061201 19061231   276.4
19070101 19070131   101.6
19070201 19070228   148.8
19070301 19070331    87.1
19070401 19070430     1.5
19070501 19070531    40.9
19070601 19070630    43.2
19070701 19070731     0.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130    61.7
19071201 19071231   182.4
19080101 19080131   285.2
19080201 19080229   106.4
19080301 19080331   198.9
19080401 19080430    22.4
19080501 19080531    93.0
19080601 19080630     0.0
19080701 19080731    34.3
19080801 19080831     3.8
19080901 19080930    26.2
19081001 19081031    36.1
19081101 19081130    14.5
19081201 19081231     0.0
19090101 19090131   235.2
19090201 19090228   100.6
19090301 19090331    67.6
19090401 19090430    42.7
19090501 19090531    52.1
19090601 19090630    85.1
19090701 19090731    31.8
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031    18.0
19091101 19091130    38.4
19091201 19091231   509.8
19100101 19100131   571.8
19100201 19100228   239.3
19100301 19100331   578.6
19100401 19100430    59.9
19100501 19100531     2.8
19100601 19100630    34.0
19100701 19100731     0.0
19100801 19100831     0.0
19100901 19100930   129.8
19101001 19101031     0.0
19101101 19101130    94.0
19101201 19101231   131.1
19110101 19110131  1013.5
19110201 19110228   265.7
19110301 19110331   208.0
19110401 19110430    82.8
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     1.3
19110901 19110930     0.0
19111001 19111031    48.8
19111101 19111130     1.3
19111201 19111231    25.7
19120101 19120131    16.0
19120201 19120229    78.7
19120301 19120331   106.4
