PRCP       033060 18930101 20180131 missing_value=99999.9 PLEYSTOWE SUGAR MILL                      
18930101 18930131    36.8
18930201 18930228   407.7
18930301 18930331   179.8
18930401 18930430    25.4
18930501 18930531    63.0
18930601 18930630    92.2
18930701 18930731    29.5
18930801 18930831   156.2
18930901 18930930    12.7
18931001 18931031    12.4
18931101 18931130    17.3
18931201 18931231   181.4
18940101 18940131   360.9
18940201 18940228   170.2
18940301 18940331   680.5
18940401 18940430   489.5
18940501 18940531   122.4
18940601 18940630   137.4
18940701 18940731     4.3
18940801 18940831    10.7
18940901 18940930    63.0
18941001 18941031    48.3
18941101 18941130   282.2
18941201 18941231   205.5
18950101 18950131   360.9
18950201 18950228   843.3
18950301 18950331   119.1
18950401 18950430   176.5
18950501 18950531    74.7
18950601 18950630    10.2
18950701 18950731    17.0
18950801 18950831     9.1
18950901 18950930    18.3
18951001 18951031    16.0
18951101 18951130     6.1
18951201 18951231    32.0
18960101 18960131   898.1
18960201 18960229   552.7
18960301 18960331    95.3
18960401 18960430   107.2
18960501 18960531    25.1
18960601 18960630    72.4
18960701 18960731    20.1
18960801 18960831     5.8
18960901 18960930     3.8
18961001 18961031     0.0
18961101 18961130    69.9
18961201 18961231    46.2
18970101 18970131   185.7
18970201 18970228    57.4
18970301 18970331   175.5
18970401 18970430    44.5
18970501 18970531    14.7
18970601 18970630    56.6
18970701 18970731    31.2
18970801 18970831    30.7
18970901 18970930    28.2
18971001 18971031    44.7
18971101 18971130   143.8
18971201 18971231   354.6
18980101 18980131   348.7
18980201 18980228  1186.7
18980301 18980331   451.1
18980401 18980430    37.1
18980501 18980531    21.8
18980601 18980630     6.4
18980701 18980731     7.6
18980801 18980831    19.6
18980901 18980930    63.8
18981001 18981031     6.4
18981101 18981130     6.4
18981201 18981231    15.0
18990101 18990131   572.0
18990201 18990228   217.2
18990301 18990331   472.2
18990401 18990430   147.3
18990501 18990531    87.9
18990601 18990630     0.0
18990701 18990731    55.9
18990801 18990831    69.3
18990901 18990930    30.7
18991001 18991031    13.2
18991101 18991130    53.3
18991201 18991231   156.0
19000101 19000131   532.1
19000201 19000228    41.9
19000301 19000331   167.4
19000401 19000430    78.7
19000501 19000531    61.0
19000601 19000630    77.7
19000701 19000731    68.1
19000801 19000831    27.4
19000901 19000930    26.2
19001001 19001031     9.7
19001101 19001130     2.0
19001201 19001231   222.5
19010101 19010131   680.5
19010201 19010228   236.5
19010301 19010331   216.8
19010401 19010430   125.4
19010501 19010531    34.0
19010601 19010630     1.3
19010701 19010731    38.1
19010801 19010831   117.7
19010901 19010930   102.6
19011001 19011031    23.1
19011101 19011130    51.1
19011201 19011231     7.3
19020101 19020131    84.1
19020201 19020228   197.8
19020301 19020331   136.0
19020401 19020430   161.9
19020501 19020531     0.0
19020601 19020630    33.1
19020701 19020731     3.2
19020801 19020831     6.0
19020901 19020930     0.0
19021001 19021031    16.7
19021101 19021130    31.0
19021201 19021231   179.7
19030101 19030131   186.2
19030201 19030228   221.7
19030301 19030331   472.8
19030401 19030430   120.0
19030501 19030531   150.1
19030601 19030630    57.5
19030701 19030731    58.3
19030801 19030831    42.8
19030901 19030930    15.9
19031001 19031031    57.1
19031101 19031130   296.5
19031201 19031231   196.3
19040101 19040131   341.5
19040201 19040229   142.1
19040301 19040331   103.2
19040401 19040430   240.8
19040501 19040531    41.6
19040601 19040630    31.3
19040701 19040731     1.7
19040801 19040831     3.4
19040901 19040930   112.8
19041001 19041031   194.7
19041101 19041130     2.4
19041201 19041231    93.9
19050101 19050131   988.9
19050201 19050228    68.4
19050301 19050331    22.5
19050401 19050430   306.7
19050501 19050531    33.4
19050601 19050630    39.7
19050701 19050731    24.6
19050801 19050831    18.6
19050901 19050930    15.9
19051001 19051031    13.9
19051101 19051130   166.3
19051201 19051231    26.4
19060101 19060131   342.6
19060201 19060228   248.4
19060301 19060331  1052.8
19060401 19060430   127.0
19060501 19060531   340.9
19060601 19060630    95.3
19060701 19060731    15.2
19060801 19060831    30.0
19060901 19060930    91.7
19061001 19061031   121.7
19061101 19061130   214.4
19061201 19061231   413.8
19070101 19070131    84.1
19070201 19070228   197.9
19070301 19070331    99.1
19070401 19070430    41.9
19070501 19070531   133.6
19070601 19070630   129.5
19070701 19070731     1.0
19070801 19070831    22.1
19070901 19070930     6.1
19071001 19071031     4.3
19071101 19071130    76.7
19071201 19071231   286.0
19080101 19080131   474.2
19080201 19080229   105.9
19080301 19080331   537.2
19080401 19080430   461.0
19080501 19080531    73.2
19080601 19080630    28.2
19080701 19080731    47.0
19080801 19080831    40.1
19080901 19080930    54.1
19081001 19081031    53.8
19081101 19081130    94.2
19081201 19081231     7.1
19090101 19090131   351.8
19090201 19090228    58.7
19090301 19090331   275.6
19090401 19090430    75.2
19090501 19090531    46.0
19090601 19090630    47.8
19090701 19090731    86.1
19090801 19090831    34.8
19090901 19090930    24.6
19091001 19091031    20.1
19091101 19091130    74.9
19091201 19091231   424.2
19100101 19100131   727.7
19100201 19100228   251.5
19100301 19100331   670.6
19100401 19100430   136.4
19100501 19100531    83.8
19100601 19100630    96.3
19100701 19100731    13.2
19100801 19100831    21.8
19100901 19100930   142.0
19101001 19101031     2.5
19101101 19101130   123.4
19101201 19101231   152.7
19110101 19110131   627.9
19110201 19110228   351.5
19110301 19110331   294.6
19110401 19110430    97.8
19110501 19110531    25.7
19110601 19110630     0.0
19110701 19110731     2.5
19110801 19110831     4.3
19110901 19110930     0.0
19111001 19111031    23.6
19111101 19111130     8.6
19111201 19111231    38.1
19120101 19120131    43.9
19120201 19120229   204.2
19120301 19120331   173.5
19120401 19120430    68.8
19120501 19120531   115.3
19120601 19120630   135.9
19120701 19120731    29.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031   187.7
19121101 19121130   144.0
19121201 19121231    92.7
19130101 19130131   411.0
19130201 19130228   679.2
19130301 19130331   297.8
19130401 19130430   113.9
19130501 19130531   102.9
19130601 19130630   111.0
19130701 19130731    12.0
19130801 19130831     0.0
19130901 19130930     8.1
19131001 19131031     0.3
19131101 19131130     5.9
19131201 19131231   315.7
19140101 19140131   542.6
19140201 19140228   179.6
19140301 19140331   474.4
19140401 19140430   133.2
19140501 19140531    63.1
19140601 19140630   248.8
19140701 19140731     0.8
19140801 19140831     2.1
19140901 19140930    28.0
19141001 19141031   103.4
19141101 19141130    36.9
19141201 19141231   185.2
19150101 19150131    69.8
19150201 19150228   172.2
19150301 19150331    71.7
19150401 19150430    49.9
19150501 19150531    30.5
19150601 19150630    11.9
19150701 19150731    11.4
19150801 19150831    34.1
19150901 19150930     2.8
19151001 19151031    55.0
19151101 19151130   172.2
19151201 19151231   145.4
19160101 19160131   179.1
19160201 19160229   101.7
19160301 19160331    93.1
19160401 19160430   148.8
19160501 19160531    59.7
19160601 19160630    45.1
19160701 19160731   127.0
19160801 19160831    33.2
19160901 19160930    14.5
19161001 19161031    70.1
19161101 19161130   138.5
19161201 19161231   520.9
19170101 19170131   272.1
19170201 19170228   486.6
19170301 19170331   217.7
19170401 19170430   149.5
19170501 19170531    50.8
19170601 19170630    12.0
19170701 19170731     0.0
19170801 19170831   121.2
19170901 19170930    18.3
19171001 19171031    43.7
19171101 19171130   230.0
19171201 19171231   319.8
19180101 19180131  2009.8
19180201 19180228   434.8
19180301 19180331   170.2
19180401 19180430   169.7
19180501 19180531    32.2
19180601 19180630     5.6
19180701 19180731     6.5
19180801 19180831    15.9
19180901 19180930    15.8
19181001 19181031     0.0
19181101 19181130   197.7
19181201 19181231    46.2
19190101 19190131   287.3
19190201 19190228   174.6
19190301 19190331   101.3
19190401 19190430   266.1
19190501 19190531   204.7
19190601 19190630    62.8
19190701 19190731     7.6
19190801 19190831     2.3
19190901 19190930     5.4
19191001 19191031     5.9
19191101 19191130    35.8
19191201 19191231     7.6
19200101 19200131   468.6
19200201 19200229    52.3
19200301 19200331    53.1
19200401 19200430   227.0
19200501 19200531   153.5
19200601 19200630    52.3
19200701 19200731    14.8
19200801 19200831    84.1
19200901 19200930    39.8
19201001 19201031    87.8
19201101 19201130    64.9
19201201 19201231    63.5
19210101 19210131   289.7
19210201 19210228   521.2
19210301 19210331   517.0
19210401 19210430    46.2
19210501 19210531    45.4
19210601 19210630    75.0
19210701 19210731   235.5
19210801 19210831     9.4
19210901 19210930   316.2
19211001 19211031    57.8
19211101 19211130    48.5
19211201 19211231   374.9
19220101 19220131    72.9
19220201 19220228   213.5
19220301 19220331    90.3
19220401 19220430    54.3
19220501 19220531    30.7
19220601 19220630    22.4
19220701 19220731   119.3
19220801 19220831     0.0
19220901 19220930    43.0
19221001 19221031    37.4
19221101 19221130    35.4
19221201 19221231   130.6
19230101 19230131   121.1
19230201 19230228    65.8
19230301 19230331    48.7
19230401 19230430    71.6
19230501 19230531     0.0
19230601 19230630   120.1
19230701 19230731    28.7
19230801 19230831    16.5
19230901 19230930     0.0
19231001 19231031     1.8
19231101 19231130    17.3
19231201 19231231    71.9
19240101 19240131    44.5
19240201 19240229   531.2
19240301 19240331   105.9
19240401 19240430   164.5
19240501 19240531    64.8
19240601 19240630    29.4
19240701 19240731    21.6
19240801 19240831    11.2
19240901 19240930    27.2
19241001 19241031     6.9
