PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
18980101 18980131   261.4
18980201 18980228   296.4
18980301 18980331    87.6
18980401 18980430     8.9
18980501 18980531     0.0
18980601 18980630     5.1
18980701 18980731     0.0
18980801 18980831    11.9
18980901 18980930    22.6
18981001 18981031    20.3
18981101 18981130     1.3
18981201 18981231    72.4
18990101 18990131   270.0
18990201 18990228    87.6
18990301 18990331   122.9
18990401 18990430    49.8
18990501 18990531    93.0
18990601 18990630     1.3
18990701 18990731    18.0
18990801 18990831    72.1
18990901 18990930     0.0
18991001 18991031    16.8
18991101 18991130     6.1
18991201 18991231    11.4
19000101 19000131   216.9
19000201 19000228     0.0
19000301 19000331    53.6
19000401 19000430    45.7
19000501 19000531    16.5
19000601 19000630    21.6
19000701 19000731    44.7
19000801 19000831    23.4
19000901 19000930    16.8
19001001 19001031    66.5
19001101 19001130    30.7
19001201 19001231    22.6
19010101 19010131   382.3
19010201 19010228    68.3
19010301 19010331   101.9
19010401 19010430    29.7
19010501 19010531    19.1
19010601 19010630     1.5
19010701 19010731    12.7
19010801 19010831    52.3
19010901 19010930    11.2
19011001 19011031    77.5
19011101 19011130     6.9
19011201 19011231    64.8
19020101 19020131    66.0
19020201 19020228    28.7
19020301 19020331     0.0
19020401 19020430     6.4
19020501 19020531     0.0
19020601 19020630     0.5
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     0.0
19021101 19021130     0.0
19021201 19021231    80.0
19030101 19030131    63.5
19030201 19030228    93.2
19030301 19030331   240.0
19030401 19030430    81.8
19030501 19030531    17.0
19030601 19030630    13.2
19030701 19030731    20.3
19030801 19030831     2.5
19030901 19030930    11.7
19031001 19031031    29.2
19031101 19031130   135.9
19031201 19031231    82.8
19040101 19040131   194.3
19040201 19040229   108.5
19040301 19040331    92.2
19040401 19040430    58.4
19040501 19040531     8.4
19040601 19040630    13.0
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     9.1
19041001 19041031    45.7
19041101 19041130     6.6
19041201 19041231   101.1
19050101 19050131   286.3
19050201 19050228     3.3
19050301 19050331    40.4
19050401 19050430    98.6
19050501 19050531    10.9
19050601 19050630    31.8
19050701 19050731    11.2
19050801 19050831     0.8
19050901 19050930    11.7
19051001 19051031     0.3
19051101 19051130    67.8
19051201 19051231    23.1
19060101 19060131   267.5
19060201 19060228   181.4
19060301 19060331   143.8
19060401 19060430    20.3
19060501 19060531    44.7
19060601 19060630     9.4
19060701 19060731     0.0
19060801 19060831    20.3
19060901 19060930    69.3
19061001 19061031    30.5
19061101 19061130    13.5
19061201 19061231   231.9
19070101 19070131    29.0
19070201 19070228    39.1
19070301 19070331    81.8
19070401 19070430     2.8
19070501 19070531    42.4
19070601 19070630    89.2
19070701 19070731     0.0
19070801 19070831    12.2
19070901 19070930     0.0
19071001 19071031     9.1
19071101 19071130    55.4
19071201 19071231   145.0
19080101 19080131   113.0
19080201 19080229   202.4
19080301 19080331    68.3
19080401 19080430    24.6
19080501 19080531    49.0
19080601 19080630     4.8
19080701 19080731     9.4
19080801 19080831     9.9
19080901 19080930    26.9
19081001 19081031    20.6
