PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19310101 19310131    33.0
19310201 19310228     7.6
19310301 19310331    17.1
19310401 19310430    10.2
19310501 19310531     8.9
19310601 19310630     0.0
19310701 19310731     2.3
19310801 19310831     0.0
19310901 19310930    45.8
19311001 19311031    24.9
19311101 19311130    60.0
19311201 19311231   106.8
19320101 19320131    66.1
19320201 19320229     0.8
19320301 19320331    37.6
19320401 19320430    16.5
19320501 19320531    23.9
19320601 19320630     3.3
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     7.6
19321101 19321130     0.0
19321201 19321231     0.0
19330101 19330131   304.8
19330201 19330228   144.7
19330301 19330331     0.0
19330401 19330430    26.6
19330501 19330531     6.9
19330601 19330630    71.9
19330701 19330731   187.1
19330801 19330831     6.6
19330901 19330930    14.6
19331001 19331031    41.2
19331101 19331130   179.5
19331201 19331231    84.8
19340101 19340131   116.6
19340201 19340228    67.9
19340301 19340331     1.6
19340401 19340430    15.9
19340501 19340531    45.0
19340601 19340630    27.9
19340701 19340731     7.4
19340801 19340831     0.0
19340901 19340930     5.3
19341001 19341031    55.2
19341101 19341130    53.6
19341201 19341231    17.8
19350101 19350131    39.3
19350201 19350228    36.3
19350301 19350331    18.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    26.4
19350701 19350731    85.6
19350801 19350831     2.0
19350901 19350930    15.0
19351001 19351031    28.8
19351101 19351130    32.0
19351201 19351231    13.7
19360101 19360131   114.2
19360201 19360229   109.5
19360301 19360331   153.8
19360401 19360430     0.0
19360501 19360531     2.8
19360601 19360630    65.4
19360701 19360731    16.8
19360801 19360831     0.0
19360901 19360930    11.1
19361001 19361031     1.3
19361101 19361130     0.0
19361201 19361231   107.9
19370101 19370131    95.7
19370201 19370228   182.1
19370301 19370331    77.7
19370401 19370430     8.2
19370501 19370531     0.0
19370601 19370630    46.2
19370701 19370731    19.8
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    10.0
19371101 19371130    37.3
19371201 19371231     7.3
19380101 19380131    51.8
19380201 19380228   107.5
19380301 19380331    29.7
19380401 19380430     8.9
19380501 19380531    65.0
19380601 19380630    39.1
19380701 19380731    63.6
19380801 19380831    22.8
19380901 19380930     0.0
19381001 19381031    48.6
19381101 19381130   106.2
19381201 19381231     3.6
19390101 19390131   156.2
19390201 19390228     2.8
19390301 19390331    99.3
19390401 19390430    39.9
19390501 19390531     8.6
19390601 19390630    29.7
19390701 19390731    29.7
19390801 19390831    30.0
19390901 19390930     0.0
19391001 19391031    16.3
19391101 19391130    48.8
19391201 19391231   118.8
19400101 19400131    29.8
19400201 19400229   265.2
19400301 19400331   127.9
19400401 19400430    47.5
19400501 19400531     0.5
19400601 19400630     2.8
19400701 19400731     0.0
19400801 19400831    64.3
19400901 19400930    32.1
19401001 19401031     0.0
19401101 19401130    48.6
19401201 19401231    96.5
19410101 19410131   136.5
19410201 19410228    42.6
19410301 19410331   314.5
19410401 19410430   114.3
19410501 19410531    39.1
19410601 19410630    66.1
19410701 19410731     9.1
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     9.1
19411101 19411130    46.3
19411201 19411231    63.3
