PRCP       035070 18850101 20180131 missing_value=99999.9 TAROOM POST OFFICE                        
18850101 18850131   155.4
18850201 18850228    61.5
18850301 18850331     5.1
18850401 18850430     5.8
18850501 18850531     2.5
18850601 18850630    27.9
18850701 18850731     0.3
18850801 18850831     0.0
18850901 18850930     6.6
18851001 18851031    13.5
18851101 18851130    40.1
18851201 18851231   140.7
18860101 18860131    87.6
18860201 18860228    30.5
18860301 18860331    26.4
18860401 18860430    40.4
18860501 18860531   143.8
18860601 18860630   110.7
18860701 18860731    98.3
18860801 18860831    95.5
18860901 18860930    83.6
18861001 18861031    39.1
18861101 18861130    65.8
18861201 18861231   166.4
18870101 18870131   224.3
18870201 18870228    89.7
18870301 18870331   232.5
18870401 18870430    30.0
18870501 18870531    19.5
18870601 18870630     6.2
18870701 18870731    58.2
18870801 18870831    83.3
18870901 18870930    76.4
18871001 18871031    31.0
18871101 18871130    33.0
18871201 18871231    45.2
18880101 18880131   137.7
18880201 18880229   195.8
18880301 18880331     3.8
18880401 18880430     0.0
18880501 18880531     6.3
18880601 18880630     0.8
18880701 18880731     0.0
18880801 18880831    20.1
18880901 18880930     9.9
18881001 18881031     5.8
18881101 18881130    37.9
18881201 18881231    67.1
18890101 18890131    42.3
18890201 18890228    15.5
18890301 18890331    88.2
18890401 18890430   130.2
18890501 18890531   128.2
18890601 18890630    23.4
18890701 18890731   126.4
18890801 18890831    62.2
18890901 18890930    46.7
18891001 18891031    19.0
18891101 18891130   103.3
18891201 18891231   124.7
18900101 18900131    77.2
18900201 18900228   139.8
18900301 18900331   403.1
18900401 18900430   115.6
18900501 18900531    79.5
18900601 18900630    45.2
18900701 18900731    47.9
18900801 18900831    28.5
18900901 18900930    58.7
18901001 18901031    62.4
18901101 18901130    40.0
18901201 18901231   106.7
18910101 18910131   193.6
18910201 18910228     5.1
18910301 18910331    63.9
18910401 18910430    64.0
18910501 18910531     3.8
18910601 18910630    91.6
18910701 18910731    50.8
18910801 18910831    27.9
18910901 18910930     6.1
18911001 18911031    23.1
18911101 18911130    49.7
18911201 18911231   102.2
18920101 18920131    72.6
18920201 18920229     7.4
18920301 18920331   115.6
18920401 18920430    44.3
18920501 18920531    65.8
18920601 18920630    67.4
18920701 18920731    14.5
18920801 18920831    31.7
18920901 18920930    76.5
18921001 18921031   118.3
18921101 18921130   195.8
18921201 18921231    71.3
18930101 18930131    56.3
18930201 18930228   112.2
18930301 18930331    96.3
18930401 18930430    49.4
18930501 18930531    63.8
18930601 18930630   146.1
18930701 18930731    48.7
18930801 18930831    86.0
18930901 18930930    19.3
18931001 18931031    49.8
18931101 18931130    53.1
18931201 18931231    24.6
18940101 18940131   272.9
18940201 18940228    60.2
18940301 18940331    72.9
18940401 18940430    60.9
18940501 18940531    42.3
18940601 18940630    74.0
18940701 18940731     2.3
18940801 18940831    48.0
18940901 18940930    55.4
18941001 18941031   135.0
18941101 18941130    69.9
18941201 18941231    64.3
18950101 18950131   116.9
18950201 18950228     6.4
18950301 18950331     2.8
18950401 18950430    97.8
18950501 18950531    36.6
18950601 18950630     0.0
18950701 18950731    26.2
18950801 18950831     1.3
18950901 18950930     7.9
18951001 18951031    54.7
18951101 18951130   100.0
18951201 18951231    65.1
18960101 18960131   109.3
18960201 18960229   247.3
18960301 18960331    22.1
18960401 18960430    18.3
18960501 18960531    10.9
18960601 18960630     4.3
18960701 18960731    89.8
18960801 18960831    15.5
18960901 18960930    21.4
18961001 18961031     6.9
18961101 18961130    97.3
18961201 18961231    41.7
18970101 18970131   132.7
18970201 18970228    61.2
18970301 18970331    29.7
18970401 18970430     0.0
18970501 18970531    19.1
18970601 18970630    64.0
18970701 18970731    11.7
18970801 18970831    16.2
18970901 18970930    26.4
18971001 18971031    62.9
18971101 18971130    99.6
18971201 18971231   110.2
18980101 18980131   188.8
18980201 18980228    99.5
18980301 18980331    43.1
18980401 18980430     0.0
18980501 18980531    13.3
18980601 18980630    26.8
18980701 18980731     6.7
18980801 18980831    13.7
18980901 18980930    62.4
18981001 18981031    30.4
18981101 18981130    68.9
18981201 18981231    48.8
18990101 18990131   180.9
18990201 18990228    51.1
18990301 18990331    73.4
18990401 18990430    89.3
18990501 18990531    34.3
18990601 18990630    15.5
18990701 18990731    32.3
18990801 18990831    40.7
18990901 18990930    39.3
18991001 18991031    21.1
18991101 18991130    84.4
18991201 18991231    16.5
19000101 19000131    45.2
19000201 19000228    92.7
19000301 19000331    74.2
19000401 19000430    53.6
19000501 19000531    64.7
19000601 19000630    35.6
19000701 19000731    62.5
19000801 19000831    74.2
19000901 19000930    57.4
19001001 19001031    37.3
19001101 19001130    11.4
19001201 19001231     7.4
19010101 19010131    35.5
19010201 19010228     2.6
19010301 19010331    80.0
19010401 19010430    47.7
19010501 19010531    43.2
19010601 19010630    55.6
19010701 19010731    69.6
19010801 19010831    59.3
19010901 19010930    53.6
19011001 19011031    23.3
19011101 19011130    10.7
19011201 19011231     7.9
19020101 19020131    13.5
19020201 19020228    46.3
19020301 19020331    33.0
19020401 19020430     8.4
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     4.3
19020901 19020930    11.4
19021001 19021031    17.3
19021101 19021130    35.6
19021201 19021231    73.2
19030101 19030131   109.8
19030201 19030228    38.9
19030301 19030331    32.8
19030401 19030430    20.9
19030501 19030531   224.3
19030601 19030630     5.8
19030701 19030731    97.3
19030801 19030831    56.0
19030901 19030930    89.2
19031001 19031031    52.1
19031101 19031130    95.6
19031201 19031231    81.8
19040101 19040131    35.3
19040201 19040229    70.9
19040301 19040331    40.1
19040401 19040430    56.1
19040501 19040531    88.7
19040601 19040630    13.7
19040701 19040731    15.0
19040801 19040831    20.8
19040901 19040930     1.3
19041001 19041031    61.3
19041101 19041130    44.0
19041201 19041231    74.2
19050101 19050131    82.5
19050201 19050228    41.4
19050301 19050331    69.4
19050401 19050430   156.7
19050501 19050531    56.4
19050601 19050630     8.4
19050701 19050731    17.0
19050801 19050831     7.9
19050901 19050930     0.0
19051001 19051031    19.3
19051101 19051130    90.5
19051201 19051231    64.1
19060101 19060131    47.4
19060201 19060228   348.9
19060301 19060331   152.9
19060401 19060430     5.8
19060501 19060531    26.4
19060601 19060630    20.6
19060701 19060731    15.4
19060801 19060831    58.4
19060901 19060930   108.3
19061001 19061031    43.3
19061101 19061130    34.2
19061201 19061231   139.5
19070101 19070131   131.1
19070201 19070228    27.9
19070301 19070331    47.3
19070401 19070430     0.0
19070501 19070531    25.7
19070601 19070630    95.5
19070701 19070731    17.8
19070801 19070831     1.0
19070901 19070930     2.5
19071001 19071031    17.1
19071101 19071130   173.2
19071201 19071231    96.2
19080101 19080131     5.1
19080201 19080229   190.8
19080301 19080331   209.2
19080401 19080430    18.8
19080501 19080531     3.8
19080601 19080630    27.9
19080701 19080731    15.2
19080801 19080831    45.2
19080901 19080930    59.9
19081001 19081031    47.8
19081101 19081130    53.8
19081201 19081231    14.7
19090101 19090131   140.0
19090201 19090228    50.8
19090301 19090331    54.6
19090401 19090430    59.9
19090501 19090531    15.8
19090601 19090630    51.8
19090701 19090731    42.2
19090801 19090831    98.3
19090901 19090930     2.5
19091001 19091031    37.7
19091101 19091130    50.3
19091201 19091231    31.6
19100101 19100131   271.4
19100201 19100228    34.4
19100301 19100331   150.2
19100401 19100430     0.0
19100501 19100531     0.0
19100601 19100630    39.3
19100701 19100731    27.7
19100801 19100831     2.0
19100901 19100930    50.0
19101001 19101031    46.0
19101101 19101130   113.8
19101201 19101231   113.6
19110101 19110131   197.6
19110201 19110228    64.8
19110301 19110331    42.0
19110401 19110430     4.1
19110501 19110531    18.0
19110601 19110630     0.0
19110701 19110731    17.1
19110801 19110831    34.5
19110901 19110930    22.6
19111001 19111031    60.7
19111101 19111130    10.2
19111201 19111231   119.1
19120101 19120131    22.3
19120201 19120229    21.3
19120301 19120331   100.4
19120401 19120430     0.0
19120501 19120531     2.3
19120601 19120630   228.6
19120701 19120731    66.6
19120801 19120831    22.6
19120901 19120930     0.5
19121001 19121031    93.7
19121101 19121130   117.3
19121201 19121231    10.2
19130101 19130131   197.0
19130201 19130228    49.5
19130301 19130331    52.1
19130401 19130430    22.9
19130501 19130531    78.4
19130601 19130630   104.0
19130701 19130731    12.7
19130801 19130831     0.0
19130901 19130930    49.0
19131001 19131031    16.8
19131101 19131130    38.6
19131201 19131231    69.7
19140101 19140131    28.0
19140201 19140228    39.7
19140301 19140331   120.2
19140401 19140430     8.5
19140501 19140531    12.7
19140601 19140630    57.4
19140701 19140731    16.8
19140801 19140831     0.5
19140901 19140930    14.4
19141001 19141031    50.3
19141101 19141130   103.4
19141201 19141231    51.8
19150101 19150131    44.9
19150201 19150228    30.2
19150301 19150331    13.0
19150401 19150430    56.2
19150501 19150531    25.6
19150601 19150630     0.8
19150701 19150731    13.7
19150801 19150831    49.3
19150901 19150930    36.3
19151001 19151031    12.7
19151101 19151130    96.6
19151201 19151231    75.0
19160101 19160131    82.9
19160201 19160229    63.0
19160301 19160331    55.4
19160401 19160430    23.4
19160501 19160531     3.3
19160601 19160630    75.7
19160701 19160731    64.7
19160801 19160831    20.8
19160901 19160930     9.5
19161001 19161031    96.3
19161101 19161130   158.5
19161201 19161231    52.7
19170101 19170131   117.4
19170201 19170228   113.0
19170301 19170331   100.7
19170401 19170430    29.5
19170501 19170531     6.9
19170601 19170630     9.0
19170701 19170731    13.2
19170801 19170831    24.3
19170901 19170930   185.7
19171001 19171031    23.0
19171101 19171130   175.2
19171201 19171231   117.0
19180101 19180131   273.1
19180201 19180228    24.9
19180301 19180331     6.1
19180401 19180430    42.1
19180501 19180531     6.3
19180601 19180630    16.3
19180701 19180731     0.0
19180801 19180831    34.7
19180901 19180930    22.4
19181001 19181031     1.5
19181101 19181130     9.4
19181201 19181231    73.7
19190101 19190131    26.2
19190201 19190228    82.1
19190301 19190331    50.2
19190401 19190430    51.9
19190501 19190531    46.7
19190601 19190630     3.0
19190701 19190731     0.0
19190801 19190831    25.7
19190901 19190930     0.0
19191001 19191031     8.1
19191101 19191130    20.2
19191201 19191231    49.0
19200101 19200131    90.8
19200201 19200229    60.7
19200301 19200331    19.8
19200401 19200430    13.7
19200501 19200531    24.0
19200601 19200630    41.1
19200701 19200731   106.5
19200801 19200831    47.4
19200901 19200930    29.2
19201001 19201031   111.2
