PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
18861201 18861231   147.6
18870101 18870131   101.8
18870201 18870228   161.8
18870301 18870331   136.2
18870401 18870430     1.0
18870501 18870531    26.7
18870601 18870630    24.8
18870701 18870731    19.6
18870801 18870831    32.0
18870901 18870930     2.5
18871001 18871031     5.9
18871101 18871130    72.7
18871201 18871231    41.6
18880101 18880131    14.7
18880201 18880229    80.5
18880301 18880331     6.9
18880401 18880430     0.0
18880501 18880531    56.2
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     3.8
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    50.1
18881201 18881231    24.9
18890101 18890131    33.6
18890201 18890228     5.1
18890301 18890331    34.8
18890401 18890430   228.9
18890501 18890531    28.9
18890601 18890630    19.9
18890701 18890731    23.8
18890801 18890831    18.6
18890901 18890930     8.6
18891001 18891031     4.1
18891101 18891130    95.8
18891201 18891231    17.6
18900101 18900131   413.6
18900201 18900228    89.8
18900301 18900331   143.4
18900401 18900430    59.3
18900501 18900531    45.5
18900601 18900630     4.5
18900701 18900731    12.9
18900801 18900831     5.1
18900901 18900930    56.2
18901001 18901031    37.4
18901101 18901130    16.0
18901201 18901231    23.4
18910101 18910131   323.7
18910201 18910228    83.5
18910301 18910331   188.2
18910401 18910430   178.8
18910501 18910531   119.6
18910601 18910630    71.9
18910701 18910731    16.8
18910801 18910831    38.9
18910901 18910930     1.0
18911001 18911031    10.1
18911101 18911130    10.5
18911201 18911231    28.8
18920101 18920131    89.0
18920201 18920229    28.6
18920301 18920331     9.3
18920401 18920430     8.2
18920501 18920531    96.8
18920601 18920630     0.0
18920701 18920731    35.1
18920801 18920831     0.0
18920901 18920930    25.0
18921001 18921031    56.1
18921101 18921130    12.8
18921201 18921231     4.6
18930101 18930131     4.9
18930201 18930228     3.8
18930301 18930331    22.3
18930401 18930430    18.7
18930501 18930531    96.6
18930601 18930630    78.0
18930701 18930731    13.5
18930801 18930831    25.6
18930901 18930930     2.1
18931001 18931031     3.0
18931101 18931130     8.6
18931201 18931231    64.1
18940101 18940131    42.8
18940201 18940228   146.4
18940301 18940331   191.1
18940401 18940430    91.7
18940501 18940531    49.7
18940601 18940630   123.0
18940701 18940731     0.0
18940801 18940831    10.2
18940901 18940930    30.5
18941001 18941031    67.8
18941101 18941130    11.2
18941201 18941231    60.8
18950101 18950131    92.4
18950201 18950228    65.6
18950301 18950331     6.6
18950401 18950430    30.8
18950501 18950531    47.8
18950601 18950630     0.0
18950701 18950731    78.5
18950801 18950831     0.0
18950901 18950930     3.3
18951001 18951031    11.5
18951101 18951130    36.6
18951201 18951231    24.1
18960101 18960131    18.5
18960201 18960229   202.6
18960301 18960331    29.0
18960401 18960430    15.6
18960501 18960531    17.8
18960601 18960630     0.3
18960701 18960731    73.4
18960801 18960831    23.9
18960901 18960930     3.0
18961001 18961031    16.6
18961101 18961130     4.9
18961201 18961231    48.5
18970101 18970131    86.1
18970201 18970228    22.2
18970301 18970331    10.0
18970401 18970430     0.0
18970501 18970531     5.3
18970601 18970630   105.7
18970701 18970731     0.0
18970801 18970831    24.4
18970901 18970930    20.0
18971001 18971031    49.6
18971101 18971130     2.0
18971201 18971231    46.8
18980101 18980131   109.6
18980201 18980228   286.7
18980301 18980331     1.4
18980401 18980430     6.6
18980501 18980531     4.1
18980601 18980630    11.2
18980701 18980731     0.6
18980801 18980831     3.6
18980901 18980930    47.2
18981001 18981031     3.0
18981101 18981130     8.0
18981201 18981231    38.8
18990101 18990131    53.6
18990201 18990228    68.3
18990301 18990331    59.2
18990401 18990430    29.7
18990501 18990531     9.9
18990601 18990630     1.4
18990701 18990731    26.2
18990801 18990831    13.5
18990901 18990930     6.9
18991001 18991031    23.9
18991101 18991130    13.2
18991201 18991231     1.1
19000101 19000131    78.3
19000201 19000228    16.5
19000301 19000331     2.3
19000401 19000430    51.5
19000501 19000531    35.1
19000601 19000630     7.4
19000701 19000731   111.4
19000801 19000831    41.4
19000901 19000930     0.8
19001001 19001031     0.0
19001101 19001130     7.7
19001201 19001231    30.7
19010101 19010131     3.9
19010201 19010228    29.7
19010301 19010331    94.0
19010401 19010430    48.2
19010501 19010531    56.0
19010601 19010630    20.9
19010701 19010731    16.0
19010801 19010831     6.4
19010901 19010930    13.0
19011001 19011031    13.7
19011101 19011130    14.0
19011201 19011231     2.4
19020101 19020131    60.7
19020201 19020228     1.8
19020301 19020331     9.4
19020401 19020430     0.5
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     2.1
19020901 19020930     0.5
19021001 19021031     5.3
19021101 19021130    24.1
19021201 19021231   162.9
19030101 19030131    94.8
19030201 19030228    10.2
19030301 19030331    23.9
19030401 19030430     0.0
19030501 19030531   125.1
19030601 19030630     0.0
19030701 19030731    22.8
19030801 19030831    12.7
19030901 19030930   107.5
19031001 19031031    25.6
19031101 19031130   101.6
19031201 19031231    23.4
19040101 19040131    82.9
19040201 19040229    24.5
19040301 19040331     2.8
19040401 19040430    30.2
19040501 19040531    97.7
19040601 19040630     4.1
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     5.1
19041001 19041031    98.7
19041101 19041130    25.9
19041201 19041231   166.3
19050101 19050131    48.2
19050201 19050228     3.0
19050301 19050331     6.7
19050401 19050430    39.6
19050501 19050531     0.0
19050601 19050630     0.0
19050701 19050731     7.6
19050801 19050831     1.1
19050901 19050930     0.0
19051001 19051031     3.8
19051101 19051130    37.8
19051201 19051231    33.1
19060101 19060131   101.9
19060201 19060228   179.7
19060301 19060331   351.6
19060401 19060430     0.0
19060501 19060531    43.1
19060601 19060630     4.9
19060701 19060731     2.5
19060801 19060831     0.0
19060901 19060930    73.2
19061001 19061031    74.3
19061101 19061130    33.8
19061201 19061231    26.5
19070101 19070131    87.4
19070201 19070228    10.9
19070301 19070331    38.3
19070401 19070430    20.9
19070501 19070531     8.7
19070601 19070630    51.5
19070701 19070731    22.1
19070801 19070831     1.5
19070901 19070930     0.0
19071001 19071031    30.7
19071101 19071130    39.2
19071201 19071231   298.3
19080101 19080131     0.0
19080201 19080229   130.4
19080301 19080331    82.0
19080401 19080430     5.3
19080501 19080531    26.9
19080601 19080630    28.2
19080701 19080731    32.8
19080801 19080831     1.5
19080901 19080930     1.0
19081001 19081031   154.2
19081101 19081130    21.6
19081201 19081231     8.0
19090101 19090131    97.8
19090201 19090228    32.8
19090301 19090331    42.5
19090401 19090430    34.8
19090501 19090531     7.4
19090601 19090630    64.0
19090701 19090731     1.6
19090801 19090831    26.0
19090901 19090930     0.0
19091001 19091031    49.1
19091101 19091130     8.4
19091201 19091231    46.3
19100101 19100131    71.0
19100201 19100228    45.2
19100301 19100331   316.0
19100401 19100430     9.1
19100501 19100531    12.5
19100601 19100630    53.2
19100701 19100731    42.2
19100801 19100831     0.3
19100901 19100930    46.6
19101001 19101031    11.9
19101101 19101130    58.7
19101201 19101231    89.9
19110101 19110131   185.9
19110201 19110228   184.9
19110301 19110331    26.2
19110401 19110430    36.6
19110501 19110531    17.8
19110601 19110630     0.0
19110701 19110731    35.6
19110801 19110831     6.9
19110901 19110930     9.2
19111001 19111031    21.0
19111101 19111130    41.8
19111201 19111231    13.3
19120101 19120131     9.5
19120201 19120229    51.9
19120301 19120331    96.5
19120401 19120430     0.5
19120501 19120531     0.0
19120601 19120630   124.2
19120701 19120731    66.3
19120801 19120831     0.3
19120901 19120930     0.0
19121001 19121031    23.9
19121101 19121130    33.1
19121201 19121231    56.4
19130101 19130131   109.7
19130201 19130228   179.9
19130301 19130331    20.3
19130401 19130430    81.3
19130501 19130531    59.8
19130601 19130630    55.4
19130701 19130731     1.8
19130801 19130831     0.0
19130901 19130930    13.8
19131001 19131031    41.4
19131101 19131130     0.8
19131201 19131231    78.3
19140101 19140131    71.2
19140201 19140228   105.6
19140301 19140331    21.3
19140401 19140430    37.6
19140501 19140531     4.3
19140601 19140630    86.1
19140701 19140731     1.5
19140801 19140831     0.0
19140901 19140930     0.5
19141001 19141031    24.1
19141101 19141130     5.4
19141201 19141231    96.9
19150101 19150131     5.0
19150201 19150228     2.3
19150301 19150331     0.0
19150401 19150430     4.4
19150501 19150531    22.9
19150601 19150630     0.0
19150701 19150731     1.3
19150801 19150831    29.0
19150901 19150930    28.5
19151001 19151031     0.0
19151101 19151130     2.3
19151201 19151231    57.5
19160101 19160131    83.0
19160201 19160229    10.5
19160301 19160331    94.7
19160401 19160430     5.4
19160501 19160531     0.0
19160601 19160630    19.0
19160701 19160731   111.1
19160801 19160831     9.2
19160901 19160930     0.8
19161001 19161031    75.5
19161101 19161130    87.1
19161201 19161231   169.0
19170101 19170131    93.1
19170201 19170228   123.4
19170301 19170331   186.2
19170401 19170430     3.3
19170501 19170531     2.5
19170601 19170630    27.0
19170701 19170731     4.1
19170801 19170831    73.2
19170901 19170930    69.4
19171001 19171031    10.7
19171101 19171130   214.5
19171201 19171231    74.9
19180101 19180131   349.5
19180201 19180228    88.2
19180301 19180331    16.0
19180401 19180430   154.9
19180501 19180531     0.0
19180601 19180630     0.8
19180701 19180731     0.0
19180801 19180831     6.4
19180901 19180930     1.5
19181001 19181031     7.7
19181101 19181130    28.2
19181201 19181231    38.1
19190101 19190131    41.3
19190201 19190228   122.0
19190301 19190331    26.7
19190401 19190430    60.2
19190501 19190531     5.4
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    22.4
19190901 19190930     0.0
19191001 19191031     1.3
19191101 19191130     4.8
19191201 19191231    32.0
19200101 19200131    32.0
19200201 19200229    15.7
19200301 19200331    19.6
19200401 19200430   135.0
19200501 19200531    57.2
19200601 19200630     7.6
19200701 19200731    53.6
19200801 19200831    20.3
19200901 19200930    28.2
19201001 19201031    40.2
19201101 19201130    41.5
19201201 19201231    73.1
19210101 19210131    65.1
19210201 19210228    30.0
19210301 19210331   142.5
19210401 19210430    42.7
19210501 19210531    46.7
19210601 19210630    65.0
19210701 19210731    91.9
19210801 19210831    41.3
19210901 19210930    84.1
19211001 19211031   103.0
19211101 19211130    19.8
19211201 19211231    66.8
19220101 19220131   102.5
19220201 19220228   228.3
19220301 19220331    25.9
19220401 19220430     0.0
19220501 19220531     0.3
19220601 19220630    20.8
19220701 19220731    18.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     2.8
19221101 19221130     8.9
19221201 19221231   106.5
19230101 19230131    40.9
19230201 19230228     6.6
19230301 19230331    20.1
19230401 19230430    16.3
19230501 19230531     0.0
19230601 19230630    66.4
19230701 19230731     0.0
19230801 19230831    16.3
19230901 19230930    19.5
19231001 19231031     3.1
19231101 19231130     5.3
19231201 19231231    59.4
19240101 19240131    25.0
19240201 19240229   164.4
19240301 19240331    90.4
19240401 19240430    37.7
19240501 19240531     0.0
19240601 19240630     3.0
19240701 19240731    12.5
19240801 19240831    54.6
19240901 19240930    32.3
19241001 19241031    25.4
19241101 19241130    66.3
19241201 19241231    79.4
19250101 19250131    71.4
19250201 19250228    33.0
19250301 19250331    37.4
19250401 19250430     0.0
19250501 19250531     3.8
19250601 19250630    19.3
19250701 19250731     3.1
19250801 19250831     1.0
19250901 19250930    28.2
19251001 19251031     0.0
19251101 19251130    55.9
19251201 19251231     8.5
19260101 19260131    22.2
19260201 19260228    13.9
19260301 19260331    15.1
19260401 19260430     4.6
19260501 19260531    25.9
19260601 19260630     0.0
19260701 19260731     1.3
19260801 19260831     0.0
19260901 19260930    54.1
19261001 19261031     2.8
19261101 19261130     3.8
19261201 19261231    23.0
19270101 19270131    43.1
19270201 19270228    17.0
19270301 19270331    59.0
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    10.2
19270701 19270731     0.0
19270801 19270831     1.3
19270901 19270930    19.8
19271001 19271031     9.4
19271101 19271130     3.3
19271201 19271231   256.1
19280101 19280131    12.0
19280201 19280229    54.3
19280301 19280331    38.8
19280401 19280430    79.9
19280501 19280531     0.0
19280601 19280630    25.7
19280701 19280731     9.4
19280801 19280831    10.5
19280901 19280930     0.0
19281001 19281031     3.0
19281101 19281130    24.1
19281201 19281231   113.8
19290101 19290131     2.1
19290201 19290228    78.2
19290301 19290331    27.1
19290401 19290430    84.8
19290501 19290531     0.0
19290601 19290630     5.3
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.8
19291101 19291130    20.1
19291201 19291231     4.5
19300101 19300131   191.0
19300201 19300228   143.4
19300301 19300331    23.6
19300401 19300430     1.5
19300501 19300531   117.7
19300601 19300630    31.8
19300701 19300731    29.2
19300801 19300831    20.6
19300901 19300930     0.3
19301001 19301031    82.1
19301101 19301130    14.8
19301201 19301231     5.0
19310101 19310131    48.1
19310201 19310228     0.5
19310301 19310331    52.1
19310401 19310430    23.4
19310501 19310531    45.5
19310601 19310630     5.8
19310701 19310731     0.8
